,Concept_ID,ce,tt
0,Auge::N,бӏаьрг,күз
1,Ohr::N,лерг,колак
2,Nase::N,мара,борын
3,Mund::N,бага,авыз
4,Mund::N,бага,тамак
5,Zahn::N,церг,теш
6,Zunge::N,мотт,тел
7,Lippe::N,балда,ирен
8,Wange::N,бесни,яңак
9,Gesicht::N,юьхь,йөз
10,Stirn::N,хьаж,маңгай
11,Haar::N,мас,чәч
12,Schnurrbart::N,мекх,мыек
13,Bart::N,маж,сакал
14,Kinn::N,чӏениг,ияк
15,Kiefer[Anatomie]::N,мочхал,казналык
16,Kehle::N,къамкъарг,тамак
17,Hals::N,ворта,бугаз
18,Genick::N,кӏесаркӏаг,җилкә
19,Kopf::N,корта,баш
20,Rücken::N,букъ,сырт
21,Bauch::N,кийра,корсак
22,Nabel::N,цӏонга,кендек
23,Busen::N,зударийн накха,түш
24,Brust::N,накха,имчәк
25,Brust::N,накха,күкрәк
26,Schulter::N,белш,иңбаш
27,Schulter::N,белш,кулбаш
28,Arm::N,пхьарс,кул
29,Ellenbogen::N,пхьаьрсан гола,терсәк
30,Hand::N,куьг,кул
31,Handfläche::N,кераюкъ,уч
32,Finger::N,пӏелг,бармак
33,Fingernagel::N,мӏара,тырнак
34,Nagel[Anatomie]::N,мӏара,тырнак
35,Zeh::N,кога пӏелг,бармак
36,Fuß::N,ког,табан
37,Ferse::N,кӏажа,үкчә
38,Knie::N,гола,тез
39,Oberschenkel::N,варе,бот
40,Bein::N,ког,аяк
41,Körper::N,хӏума,тән
42,Körper::N,хӏума,җисем
43,Haut::N,чкъор,тире
44,Blut::N,цӏий,кан
45,Ader::N,пха,тамыр
46,Sehne::N,хьорзам,сеңер
47,Knochen::N,даьӏахк,сөяк
48,Gehirn::N,хье,ми
49,Herz::N,дог,йөрәк
50,Magen::N,зорх,ашказаны
51,Leber::N,доӏах,бавыр
52,Atem::N,садеӏар,сулыш
53,Hunger::N,мацалла,ачлык
54,Träne::N,бӏаьрхи,яшь
55,Geschmack::N,чам,тәм
56,Geschmack::N,чам,зәвык
57,Geruch::N,хьожа,ис
58,Schlaf::N,наб,йокы
59,Traum::N,гӏан,төш
60,Himmel::N,стигал,күк
61,Sonne::N,малх,кояш
62,Mond::N,бутт,ай
63,Stern::N,седа,йолдыз
64,Luft::N,xӏаваъ,һава
65,Wind::N,мох,җил
66,Welle::N,тулгӏе,дулкын
67,Wasser::N,хи,су
68,Stein::N,тӏулг,таш
69,Boden::N,цӏенкъа,туфрак
70,Erde::N,латта,җир
71,Staub::N,чан,тузан
72,Rauch::N,кӏур,төтен
73,Funke::N,суй,очкын
74,Feuer::N,цӏе,ут
75,Licht::N,серло,якты
76,Schatten::N,ӏиндагӏ,күләгә
77,Wetter::N,хенан хӏоттам,һава
78,Nebel::N,дохк,томан
79,Wolke::N,марха,болыт
80,Regen::N,догӏа,яңгыр
81,Schnee::N,ло,кар
82,Eis::N,ша,боз
83,Frost::N,шело,суык
84,Frost::N,шело,салкын
85,Kälte::N,шело,суык
86,Kälte::N,шело,салкын
87,Hitze::N,йовхо,эсселек
88,Raureif::N,йис,бәс
89,Raureif::N,йис,сыкы
90,Regenbogen::N,стелаӏад,салават күпере
91,Donner::N,ткъес,күкрәү
92,Strömung::N,дӏаэхар,агыш'агым
93,Strömung::N,дӏасалелар,агыш'агым
94,Tropfen::N,тӏадам,тамчы
95,Schaum::N,чопа,күбек
96,Schmutz::N,хатт,пычрак
97,See::N,ӏам,күл
98,Sumpf::N,уьшал,саз
99,Moor::N,уьшал,торфлык
100,Wiese::N,бай,болын
101,Wald::N,хьун,урман
102,Hügel::N,гу,калку
103,Hügel::N,шу,калку
104,Hügel::N,барз,калку
105,Anhöhe::N,акъари,үр
106,Berg::N,лам,тау
107,Gipfel::N,бохь,оч
108,Höhle::N,хьех,мәгарә
109,Abhang::N,басе,кабырга
110,Quelle::N,шовда,чишмә
111,Bach::N,татол,елга
112,Fluss::N,хи,дәрья
113,Ufer::N,хийист,су кырые
114,Küste::N,йист,яр буе
115,Festland::N,латта,коры җир
116,Meer::N,xӏорд,диңгез
117,Bucht::N,чож,бухта
118,Bucht::N,чож,култык
119,Insel::N,гӏайре,атау
120,Insel::N,гӏайре,утрау
121,Blume::N,зезаг,чәчкә
122,Gras::N,буц,үлән
123,Wurzel::N,орам,тамыр
124,Baum::N,дитт,агач
125,Stamm::N,гӏад,кәүсә
126,Stamm::N,тайпа,кәүсә
127,Rinde::N,кевстиг,кабык
128,Ast::N,га,ботак
129,Zweig::N,га,ботак
130,Zweig::N,га,тармак
131,Blatt::N,гӏа,яфрак
132,Birke::N,дакх,каен
133,Kiefer[Baum]::N,бага,нарат
134,Weide[Baum]::N,дак,тал
135,Tanne::N,база,чыршы
136,Horn::N,маӏа,мөгез
137,Feder::N,пелаг,йон
138,Fell::N,цӏока,тире
139,Flügel::N,тӏам,канат
140,Klaue::N,мӏара,тырнак
141,Kralle::N,тlод,тырнак
142,Schwanz::N,цӏога,койрык
143,Ei::N,xӏoa,күкәй
144,Ei::N,xӏoa,йомырка
145,Nest::N,бен,оя
146,Bau::N,lуьрг,өн
147,Tier::N,дийнат,хайван
148,Herde::N,жа,көтү
149,Kuh::N,етт,сыер
150,Bulle::N,сту,үгез
151,Pferd::N,говр,ат
152,Schaf::N,жий,сарык
153,Schaf::N,уьстагӏ,сарык
154,Schwein::N,хьакха,дуңгыз
155,Hund::N,жӏаьла,эт
156,Katze::N,цициг,песи
157,Bär::N,ча,аю
158,Eichhörnchen::N,тарсал,тиен
159,Elch::N,сай,поши
160,Fuchs::N,цхьогал,төлке
161,Hase::N,пхьагал,куян
162,Maus::N,дахка,тычкан
163,Wolf::N,борз,бүре
164,Vogel::N,олхазар,кош
165,Huhn::N,котам,тавык
166,Hahn::N,нӏаьна,әтәч
167,Hahn::N,боргӏал,әтәч
168,Gans::N,гӏаз,каз
169,Adler::N,aьрзу,каракош
170,Ente::N,бад,үрдәк
171,Eule::N,бухӏа,ябалак
172,Kranich::N,гӏаргӏули,торна
173,Krähe::N,къиг,карга
174,Kuckuck::N,aттйокх,күке
175,Kuckuck::N,aттйокх,кәккүк
176,Schwan::N,гӏургӏаз,аккош
177,Fisch::N,чӏара,балык
178,Barsch::N,окунь,алабуга
179,Hecht::N,гӏазкхийн чӏара,чуртан
180,Schlange[Tier]::N,лаьхьа,елан
181,Wurm::N,нӏаьна,корт
182,Spinne::N,гезг,үрмәкүч
183,Ameise::N,зингат,кырмыска
184,Laus::N,меза,бет
185,Laus::N,гӏениг,бет
186,Mücke::N,чуьрк,черки
187,Mücke::N,чуьрк,озынборын
188,Fliege::N,моза,чебен
189,Schmetterling::N,полла,күбәләк
190,Beere::N,цӏазам,җиләк
191,Apfel::N,ӏаж,алма
192,Pilz::N,жӏаьлин нускал,гөмбә
193,Zwiebel::N,xох,суган
194,Zwiebel::N,xох,суганбаш
195,Saat::N,чlу,орлык
196,Korn::N,буьртиг,иген
197,Korn::N,буьртиг,орлык
198,Heu::N,йол,печән
199,Schale::N,пардо,кабык
200,Grube::N,ор,баз
201,Grube::N,ор,чокыр
202,Falle::N,кӏело,тозак
203,Falle::N,кӏело,капкын
204,Spur::N,лар,эз
205,Asche::N,чим,көл
206,Dreck::N,мода,пычрак
207,Eisen::N,эчиг,тимер
208,Gold::N,деши,алтын
209,Silber::N,дети,көмеш
210,Kohle::N,кӏора,күмер
211,Glas::N,aнгали,пыяла
212,Lehm::N,поппар,балчык
213,Sand::N,гӏум,ком
214,Mensch::N,адам,адәм
215,Mensch::N,адам,инсан
216,Mann::N,майра,ир
217,Frau::N,зуда,хатын
218,Kind::N,бер,бала
219,Junge::N,жимха,малай
220,Mädchen::N,жима йоӏ,кыз
221,Familie::N,доьзал,гаилә
222,Großvater::N,ненада,бабай
223,Großmutter::N,денана,әби
224,Eltern::N,да-нана,ата-ана
225,Vater::N,да,ата
226,Mutter::N,нана,ана
227,Sohn::N,кӏант,ул
228,Tochter::N,йоӏ,кыз
229,Bruder::N,ваша,кардәш
230,Schwester::N,йиша,апа
231,Schwester::N,йиша,сеңел
232,Onkel::N,деваша,дәдә
233,Onkel::N,деваша,дәдәй
234,Tante::N,дейиша,түти
235,Tante::N,дейиша,тәтәй
236,Ehemann::N,майра,ир
237,Ehefrau::N,зуда,хатын
238,Freude::N,самукъа,сөенеч
239,Freude::N,хазахетар,сөенеч
240,Gelächter::N,белам,көлү
241,Gelächter::N,белам,көлеш
242,Glück::N,ирс,бәхет
243,Kummer::N,бала,хәсрәт
244,Wunsch::N,лаам,теләк
245,Lust::N,лаам,теләк
246,Lust::N,лаам,теләү
247,Geist::N,са,рух
248,Gedanke::N,ойла,уй
249,Gedanke::N,ойла,фикер
250,Gedächtnis::N,диццадалар,хәтер
251,Verstand::N,хьекъал,акыл
252,Sinn::N,маьӏна,мәгънә
253,Grund::N,бахьана,сәбәп
254,Wahrheit::N,бакъдерг,хак
255,Gespräch::N,къамел,әңгәмә
256,Märchen::N,туьйра,әкият
257,Erzählung::N,дийцар,хикәя
258,Nachricht::N,хаам,хәбәр
259,Neuigkeit::N,керланиг,яңалык
260,Name::N,цӏе,исем
261,Rätsel::N,хӏетал-метал,табышмак
262,Rede::N,къамел,нотык
263,Sprache::N,мотт,тел
264,Stimme::N,aз,тавыш
265,Wort::N,дош,сүз
266,Zeichen::N,билгало,ишарә
267,Ruf::N,кхайкхар,дәшү
268,Lärm::N,гӏовгӏа,шау
269,Laut::N,аз,аваз
270,Ton::N,aз,шалтырату
271,Lied::N,илли,җыр
272,Ruhe::N,тийналла,тынлык
273,Leute::N,нах,халык
274,Volk::N,халкъ,халык
275,Arbeit::N,болх,эш
276,Arbeit::N,болх,хезмәт
277,Gast::N,хьаша,кунак
278,Geschenk::N,совгӏат,бүләк
279,Spiel::N,ловзар,уен
280,Gesellschaft::N,юкъаралла,җәмгыять
281,Hilfe::N,гӏо,ярдәм
282,Hilfe::N,гӏо,булышлык
283,Freund::N,доттагl,дус
284,Kamerad::N,накъост,иптәш
285,Angelegenheit::N,гӏуллакх,эш
286,Anzahl::N,терахь,микъдар
287,Stück::N,юьхк,кисәк
288,Teil::N,дакъа,өлеш
289,Hälfte::N,ах,ярым
290,Kreis::N,го,түгәрәк
291,Kreuz::N,жӏара,хач
292,Kreuz::N,жӏара,тәре
293,Linie::N,сиз,сызык
294,Strich::N,сиз,сызык
295,Abstand::N,юкъ,ара
296,Gegend::N,мeттиг,урын
297,Platz::N,майда,бушлык
298,Ort::N,меттиг,урын
299,Seite::N,aгӏo,як
300,Mitte::N,юкъ,урта
301,Gegenstand::N,хӏума,нәрсә
302,Sache::N,хӏума,нәрсә
303,Rand::N,йист,чит
304,Kante::N,йист,кырый
305,Ecke::N,са,почмак
306,Spitze::N,ралла,оч
307,Ende::N,юьхьиг,азак
308,Loch::N,ӏуьрг,тишек
309,Winkel::N,са,почмак
310,Muster::N,дагар,парча
311,Muster::N,тӏамар,парча
312,Größe::N,барам,зурлык
313,Länge::N,йохалла,озынлык
314,Höhe::N,локхалла,биеклек
315,Gewicht::N,йозалла,авырлык
316,Menge::N,дукхалла,микъдар
317,Haufen::N,сал,өем
318,Haufen::N,оьла,өем
319,Reihe::N,рагӏ,рәт
320,Reihe::N,могӏа,рәт
321,Boot::N,кема,каек
322,Boot::N,кема,көймә
323,Ruder::N,пийсиг,ишкәк
324,Schlitten::N,салаз,чана
325,Ski::N,когсалаз,чаңгы
326,Lagerfeuer::N,цӏе,костёр
327,Last::N,дукъ,йөк
328,Gang::N,лелар,йөреш
329,Schritt::N,гӏулч,адым
330,Norden::N,къилбаседе,төньяк
331,Süden::N,къилбе,көньяк
332,Westen::N,малхбузе,көнбатыш
333,Osten::N,малхбале,шәрык
334,Osten::N,малхбале,көнчыгыш
335,Holz::N,дечиг,агач
336,Brett::N,у,такта
337,Platte::N,у,плитә
338,Stütze::N,гӏopтоp,таяу
339,Stange::N,гӏуркх,колга
340,Stock::N,ӏаса,таяк
341,Stab::N,гӏаж,таяк
342,Rohr::N,биргӏа,торба
343,Haus::N,цӏа,өй
344,Haus::N,цӏа,йорт
345,Heim::N,кхерч,гаилә
346,Heim::N,кхерч,нәсел
347,Ofen::N,кхерч,мич
348,Fußboden::N,цӏенкъа,идән
349,Tisch::N,шун,өстәл
350,Stuhl::N,гӏант,утыргыч
351,Wiege::N,ага,бишек
352,Bett::N,маьнга,ятак
353,Bett::N,маьнга,урын-җир
354,Regal::N,терхи,киштә
355,Regal::N,терхи,шүрлек
356,Kiste::N,яьшка,әрҗә
357,Fenster::N,кор,тәрәзә
358,Tür::N,неӏ,ишек
359,Tor::N,ков,капка
360,Zaun::N,керт,койма
361,Dach::N,тхов,түбә
362,Leiter::N,лами,баскыч
363,Besen::N,нуй,себерке
364,Spaten::N,бел,көрәк
365,Schaufel::N,аьшкал,көрәк
366,Gabel::N,мӏара,чәннечке
367,Löffel::N,ӏайг,кашык
368,Messer::N,урс,пычак
369,Nagel::N,хьостам,кадак
370,Netz::N,бой,челтәр
371,Haken::N,мӏара,ыргак
372,Schloss::N,чӏега,йозак
373,Bild::N,сурт,рәсем
374,Bild::N,сурт,картина
375,Puppe::N,тайниг,курчак
376,Beutel::N,гали,луза
377,Bündel::N,кочар,бәйләм
378,Tasche::N,тӏоьрмиг,букча
379,Eimer::N,чийлик,чиләк
380,Deckel::N,негӏар,капкач
381,Geschirr::N,пхьегӏа,савыт-саба
382,Geschirr::N,пхьегӏа,кашык-аяк
383,Sack::N,гали,капчык
384,Tasse::N,кад,чынаяк
385,Topf::N,яй,чүлмәк
386,Kessel::N,яй,казан
387,Essen::N,юург,ашау
388,Nahrung::N,кхача,азык
389,Nahrung::N,кхача,тәгам
390,Nahrung::N,кхача,ашамлык
391,Speise::N,юург,ризык
392,Fleisch::N,жижиг,ит
393,Getreide::N,буьртиг,ашлык
394,Brei::N,xудар,ботка
395,Brot::N,бепиг,ипи
396,Brot::N,бепиг,икмәк
397,Brot::N,кхаллар,ипи
398,Brot::N,кхаллар,икмәк
399,Scheibe::N,цастар,телем
400,Fett::N,мохь,май
401,Butter::N,налха,май
402,Öl::N,даьтта,май
403,Salz::N,туьха,тоз
404,Suppe::N,чорпа,шулпа
405,Honig::N,моз,бал
406,Milch::N,шура,сөт
407,Tee::N,чай,чәй
408,Leder::N,цӏока,күн
409,Wolle::N,тӏapгӏa,йон
410,Stoff::N,кӏади,тукыма
411,Nadel::N,маха,энә
412,Faden::N,тай,җеп
413,Knopf::N,нуьйда,төймә
414,Knoten::N,шад,төен
415,Farbe::N,сир,буяу
416,Farbe::N,басар,буяу
417,Kleidung::N,бедар,кием
418,Hemd::N,коч,күлмәк
419,Kragen::N,кач,яка
420,Ärmel::N,пхьош,җиң
421,Hose::N,хеча,чалбар
422,Gürtel::N,доьхка,билбау
423,Mütze::N,куй,бүрек
424,Schuh::N,мача,башмак
425,Stiefel::N,этка,итек
426,Ring::N,чӏуг,балдак
427,Band::N,лента,тасма
428,Kamm::N,ехк,тарак
429,Spiegel::N,куьзга,көзге
430,Riemen::N,доьхка,каеш
431,Schnur::N,муш,бау
432,Leine::N,кочатосу доьхка,тезген
433,Decke::N,юргӏа,юрган
434,Kissen::N,гIайба,мендәр
435,Tuch::N,исхар,яулык
436,Handtuch::N,гата,сөлгә
437,Kraft::N,гӏора,егәр
438,Kraft::N,гӏора,дәрман
439,Stärke::N,гӏап,көч
440,Stärke::N,гӏап,дәрман
441,Gesundheit::N,могашалла,саулык
442,Krankheit::N,цамгар,чир
443,Krankheit::N,цамгар,хаста
444,Krankheit::N,цамгар,сырхау
445,Schmerz::N,лазар,авырту
446,Wunde::N,чов,яра
447,Wunde::N,чов,җәрәхәт
448,Fieber::N,xорша,бизгәк
449,Arznei::N,молха,дару
450,Brücke::N,тӏай,күпер
451,Brunnen::N,гӏу,кое
452,Weide::N,дак,утлавык
453,Pfad::N,тача,сукмак
454,Weg::N,некъ,юл
455,Straße::N,урам,урам
456,Dorf::N,юрт,авыл
457,Stadt::N,гӏала,шәһәр
458,Brief::N,кехат,хат
459,Buch::N,жайна,китап
460,Buchstabe::N,элп,хәреф
461,Zeitung::N,газет,газет
462,Zeitung::N,газет,газета
463,Leben::N,дахар,гомер
464,Leben::N,дахар,тормыш
465,Leben::N,дахар,тереклек
466,Tod::N,далар,үлем
467,Tod::N,ӏожалла,үлем
468,Grab::N,каш,гүр
469,Grab::N,каш,кабер
470,Kirche::N,килс,чиркәү
471,Sünde::N,къа,язык
472,Sünde::N,къа,гөнаһ
473,Gott::N,дела,алла
474,Gott::N,дела,ходай
475,Arbeiter::N,белхало,эшче
476,Chef::N,хьаькам,башлык
477,Meister::N,говзанча,оста
478,Arzt::N,лор,врач
479,Arzt::N,лор,табиб
480,Lehrer::N,хьехархо,укытучы
481,Lehrer::N,хьехархо,мөгаллим
482,Geld::N,aхча,акча
483,Geschäft::N,туька,эш
484,Laden::N,туька,кибет
485,Laden::N,туька,магазин
486,Preis::N,мах,бәя
487,Preis::N,мах,бәһа
488,Ware::N,хlума,товар
489,Nutzen::N,пайда,файда
490,Reichtum::N,хьал,байлык
491,Welt::N,дуьне,дөнья
492,Land::N,мохк,ил
493,Staat::N,пачхьалкх,дәүләт
494,König::N,паччахь,патша
495,Macht::N,ӏедал,хакимият
496,Grenze::N,доза,чик
497,Krieg::N,тӏом,сугыш
498,Feind::N,мостагӏ,дошман
499,Gewalt::N,гӏело,көчләү
500,Kampf::N,къийсам,көрәш
501,Pfeil::N,пха,ук
502,Gewehr::N,топ,мылтык
503,Fehler::N,гӏалат,хата
504,Lüge::N,аьшпаш,ялган
505,Schaden::N,зен,зыян
506,Schaden::N,зен,зарар
507,Unglück::N,бала,бәла
508,Schuld::N,бехк,гаеп
509,Alter::N,хан,яшь
510,Schluss::N,чакхе,ахыр
511,Zeit::N,хан,заман
512,Tag::N,де,көн
513,Morgen::N,ӏуьйре,иртә
514,Mittag::N,делкъе,өйлә
515,Abend::N,суьйре,кич
516,Nacht::N,буьйса,төн
517,Woche::N,кӏира,атна
518,Monat::N,бутт,ай
519,Jahr::N,шо,ел
520,Frühling::N,бӏаьсте,яз
521,Sommer::N,аьхке,җәй
522,Herbst::N,гуьйре,көз
523,Winter::N,ӏа,кыш
524,Januar::N,январь,гыйнвар
525,Februar::N,февраль,февраль
526,März::N,март,март
527,April::N,апрель,апрель
528,Mai::N,май,май
529,Juni::N,июнь,июнь
530,Juli::N,июль,июль
531,August::N,август,август
532,September::N,сентябрь,сентябрь
533,Oktober::N,октябрь,октябрь
534,November::N,ноябрь,ноябрь
535,Dezember::N,декабрь,декабрь
536,Montag::N,оршот,дүшәмбе
537,Dienstag::N,шинара,сишәмбе
538,Mittwoch::N,кхаара,чәршәмбе
539,Donnerstag::N,еара,атнакич
540,Donnerstag::N,еара,пәнҗешәмбе
541,Freitag::N,пӏераска,җомга
542,Samstag::N,шот,шимбә
543,Sonntag::N,кӏиранде,якшәмбе
544,groß::A,доккха,зур
545,klein::A,кегий,кечкенә
546,lang::A,еха,озын
547,kurz::A,доца,кыска
548,breit::A,шуьйра,киң
549,schmal::A,готта,кысык
550,dicht::A,луьста,куе
551,dick[Gegenstand]::A,стомма,калын
552,dünn::A,дуткъа,нечкә
