,Concept_ID,myv,cv
0,Auge::N,сельме,куҫ
1,Ohr::N,пиле,хӑлха
2,Nase::N,судо,сӑмса
3,Mund::N,курго,ҫӑвар
4,Zahn::N,пей,шӑл
5,Zunge::N,кель,чӗлхе
6,Lippe::N,турва,тута
7,Wange::N,чамабока,пит ҫӑмарти
8,Wange::N,чамаумарь,пит ҫӑмарти
9,Gesicht::N,чама,пит
10,Gesicht::N,чама,пит-куҫ
11,Stirn::N,коня,ҫамка
12,Haar::N,черь,ҫӳҫ
13,Schnurrbart::N,ус,усси
14,Schnurrbart::N,муюк,усси
15,Bart::N,сакал,сухал
16,Kinn::N,уло,янах
17,Kiefer[Anatomie]::N,пейпакар,янах
18,Kiefer[Anatomie]::N,пейловажа,янах
19,Kehle::N,кирьгапарь,пыр
20,Kehle::N,кирьгапарь,карланкӑ
21,Hals::N,кирьга,пыр
22,Genick::N,човонь,ӗнсе
23,Kopf::N,пря,пуҫ
24,Rücken::N,копорь,ҫурӑм
25,Bauch::N,пеке,
26,Nabel::N,почо,кӑвапа
27,Busen::N,поте,кӑкӑр
28,Brust::N,меште,умӗ
29,Schulter::N,лавтов,хул пуҫҫи
30,Arm::N,кедь,алӑ
31,Ellenbogen::N,кенерепакарь,чавса
32,Hand::N,кедь,алӑ сыппи
33,Handfläche::N,кедькуншка,ал лаппи
34,Handfläche::N,кедьлапушка,ал лаппи
35,Finger::N,сур,пӳрне
36,Fingernagel::N,кенже,чӗрне
37,Nagel[Anatomie]::N,кенже,чӗрне
38,Zeh::N,пильге сур,пӳрне
39,Fuß::N,пильге,ура лаппи
40,Ferse::N,кочкаря,кӗле
41,Knie::N,эле,чӗркуҫҫи
42,Knie::N,эзне,чӗркуҫҫи
43,Knie::N,кумажа,чӗркуҫҫи
44,Oberschenkel::N,качо,пӗҫӗ
45,Bein::N,пильге,ура
46,Körper::N,рунго,ӳт
47,Körper::N,рунго,ӳт-пӳ
48,Haut::N,киське,тир
49,Blut::N,верь,юн
50,Ader::N,сан,вена
51,Sehne::N,коське сан,шӑнӑр
52,Knochen::N,пакарь,шӑмӑ
53,Gehirn::N,удем,миме
54,Herz::N,седей,чӗре
55,Magen::N,пеке,хырӑмлӑх
56,Leber::N,максо,пӗвер
57,Atem::N,лексема,сывлав
58,Atem::N,оймень таргсема,сывлав
59,Hunger::N,вачочи,выҫлӑх
60,Träne::N,селведь,куҫҫуль
61,Geschmack::N,тансть,техӗм
62,Geruch::N,чине,шӑршӑ
63,Schlaf::N,удома,ыйхӑ
64,Traum::N,он,тӗлӗк
65,Himmel::N,менель,пӗлӗт
66,Sonne::N,чи,хӗвел
67,Mond::N,ков,уйӑх
68,Stern::N,теште,ҫӑлтӑр
69,Luft::N,кошт,сывлӑш
70,Wind::N,варма,ҫил
71,Welle::N,толкун,хум
72,Wasser::N,ведь,шыв
73,Wasser::N,ведь,шыв-шур
74,Stein::N,кев,чул
75,Boden::N,мода,тӑпра
76,Erde::N,мастор,ҫӗр
77,Staub::N,пуль,тусан
78,Rauch::N,качамо,тӗтӗм
79,Funke::N,сятко,хӗм
80,Feuer::N,тол,вут
81,Feuer::N,тол,ҫулӑм
82,Licht::N,валдо,ҫутӑ
83,Schatten::N,сулей,сулхӑн
84,Schatten::N,сулейкс,сулхӑн
85,Wetter::N,ушо,ҫанталӑк
86,Nebel::N,сув,тӗтре
87,Wolke::N,пель,пӗлӗт
88,Regen::N,пиземс,ҫумӑр
89,Schnee::N,лов,юр
90,Eis::N,эй,пӑр
91,Frost::N,кельме,сивӗ
92,Kälte::N,якшамо,сивӗ
93,Hitze::N,пси,вӗри
94,Hitze::N,пси,шӑрӑх
95,Raureif::N,лекш,пас
96,Regenbogen::N,пурьгинечирьке,асамат кӗперӗ
97,Regenbogen::N,пурьгинеёнкс,асамат кӗперӗ
98,Donner::N,пурьгине,аслати
99,Strömung::N,чудема,юхӑ
100,Strömung::N,чудевкс,юхӑ
101,Tropfen::N,петнявкс,тумлам
102,Schaum::N,чов,кӑпӑк
103,Schmutz::N,рудаз,пылчӑк
104,See::N,эрьке,кӳлӗ
105,Sumpf::N,чей,шур
106,Sumpf::N,чей,шурлӑх
107,Moor::N,чей,торфлӑ шурлӑх
108,Wiese::N,луга,улӑх
109,Wiese::N,луга,ҫаран
110,Wald::N,вирь,вӑрман
111,Hügel::N,губорь,сӑрт
112,Hügel::N,губорь,тӗмеске
113,Hügel::N,пандыне,сӑрт
114,Hügel::N,пандыне,тӗмеске
115,Anhöhe::N,губорь,сӑрт
116,Anhöhe::N,пандыне,сӑрт
117,Berg::N,пандо,ту
118,Gipfel::N,пря,тӳпе
119,Höhle::N,пещера,ҫӗр хӑвӑлӗ
120,Abhang::N,пандочама,тӑвайкки
121,Quelle::N,ушодкс,ҫӑл куҫ
122,Bach::N,чудикерькс,пӗчӗк шыв
123,Fluss::N,лей,юхан шыв
124,Ufer::N,чире,ҫыран
125,Küste::N,лейчире,тинӗс ҫыранӗ
126,Festland::N,мода,тип ҫӗр
127,Meer::N,моря,тинӗс
128,Bucht::N,усия,тинӗс кукӑрӗ
129,Insel::N,усия,утрав
130,Blume::N,цеця,чечек
131,Gras::N,тикше,курӑк
132,Wurzel::N,юр,тымар
133,Wurzel::N,ундокс,тымар
134,Baum::N,чувто,йывӑҫ
135,Stamm::N,рунго,вулӑ
136,Rinde::N,суд,хуйӑр
137,Rinde::N,керь,хуйӑр
138,Ast::N,морго,турат
139,Zweig::N,тарад,турат
140,Blatt::N,лопа,ҫулҫӑ
141,Birke::N,килей,хурӑн
142,Kiefer[Baum]::N,пиче,хыр
143,Weide[Baum]::N,каль,хӑва
144,Tanne::N,куз,чӑрӑш
145,Horn::N,сюро,мӑйрака
146,Feder::N,толга,тӗк
147,Fell::N,пона,ҫӑм
148,Flügel::N,сёлмо,ҫунат
149,Klaue::N,кенже,чӗрне
150,Kralle::N,кенже,ура
151,Schwanz::N,пуло,хӳре
152,Ei::N,ал,ҫӑмарта
153,Nest::N,пизэ,йӑва
154,Bau::N,варя,йӗнӗ
155,Bau::N,пизе,йӗнӗ
156,Tier::N,ракша,выльӑх
157,Herde::N,стада,кӗтӳ
158,Kuh::N,скал,ӗне
159,Bulle::N,бука,вӑкӑр
160,Pferd::N,лишме,лаша
161,Schaf::N,реве,сурӑх
162,Schwein::N,туво,сысна
163,Hund::N,пине,йытӑ
164,Hund::N,киска,йытӑ
165,Katze::N,псака,кушак
166,Bär::N,овто,упа
167,Eichhörnchen::N,ур,пакша
168,Elch::N,сярдо,пӑши
169,Fuchs::N,ривезь,тилӗ
170,Hase::N,нумоло,куян
171,Hase::N,нумоло,мулкач
172,Maus::N,чеерь,шӑши
173,Wolf::N,верьгиз,кашкӑр
174,Vogel::N,нармунь,кайӑк
175,Vogel::N,нармунь,вӗҫен кайӑк
176,Schwarm::N,полк,ушкӑн
177,Schwarm::N,стада,ушкӑн
178,Huhn::N,сараз,чӑх
179,Huhn::N,сараз,чӑхӑ
180,Hahn::N,атякш,автан
181,Gans::N,гала,хур
182,Gans::N,мацей,хур
