,Concept_ID,cy,ca
0,Auge::N,llygad,ull
1,Ohr::N,clust,orella
2,Nase::N,trwyn,nas
3,Mund::N,ceg,boca
4,Zahn::N,dant,dent
5,Zunge::N,tafod,llēngua
6,Lippe::N,gwefus,llavi
7,Wange::N,boch,galta
8,Gesicht::N,wyneb,cara
9,Stirn::N,talcen,front
10,Haar::N,blew,cabēll
11,Schnurrbart::N,mwstas,bigoti
12,Bart::N,barf,barba
13,Kinn::N,gên,mentó
14,Kinn::N,gên,barbeta
15,Kiefer[Anatomie]::N,gên,queix
16,Kiefer[Anatomie]::N,gên,mandíbula
17,Kehle::N,gwddf,gola
18,Kehle::N,gwddf,gorja
19,Hals::N,gwddf,coll
20,Genick::N,gwar,nuca
21,Genick::N,gwegil,nuca
22,Kopf::N,pen,cap
23,Rücken::N,cefn,esquena
24,Bauch::N,bol,panxa
25,Nabel::N,bogail,llombrígol
26,Busen::N,bron,pit
27,Busen::N,bron,mama
28,Brust::N,brest,pit
29,Schulter::N,ysgwydd,espatlla
30,Arm::N,braich,braç
31,Ellenbogen::N,penelin,colze
32,Hand::N,llaw,mà
33,Handfläche::N,palf,palma
34,Finger::N,bys,dit
35,Fingernagel::N,ewin,ungla
36,Nagel[Anatomie]::N,ewin,ungla
37,Zeh::N,bys troed,dit del peu
38,Fuß::N,troed,peu
39,Ferse::N,sawdl,taló
40,Knie::N,glin,genoll
41,Oberschenkel::N,clun,cuixa
42,Bein::N,coes,cama
43,Körper::N,corff,cos
44,Haut::N,croen,pell
45,Blut::N,gwaed,sang
46,Ader::N,gwythïen,vena
47,Sehne::N,gewyn,tendó
48,Knochen::N,asgwrn,os
49,Gehirn::N,ymennydd,cervell
50,Herz::N,calon,cor
51,Magen::N,cylla,estómac
52,Magen::N,stumog,estómac
53,Leber::N,iau,fetge
54,Atem::N,anadl,alè
55,Atem::N,anadl,hàlit
56,Hunger::N,newyn,fam
57,Hunger::N,newyn,gana
58,Träne::N,deigryn,llàgrima
59,Geschmack::N,cyflas,gust
60,Geschmack::N,cyflas,sabor
61,Geruch::N,aroglau,olor
62,Schlaf::N,cwsg,son
63,Traum::N,breuddwyd,somni
64,Himmel::N,awyr,celm
65,Sonne::N,haul,sol
66,Mond::N,lleuad,lluna
67,Stern::N,seren,estel
68,Stern::N,seren,estrella
69,Luft::N,awyr,aire
70,Wind::N,gwynt,vent
71,Welle::N,ton,ona
72,Wasser::N,dŵr,āigua
73,Stein::N,carreg,pedra
74,Boden::N,llawr,sòl
75,Erde::N,pridd,terra
76,Staub::N,llwch,pols
77,Rauch::N,mwg,fum
78,Funke::N,gwreichioni,guspira
79,Funke::N,gwreichioni,centella
80,Feuer::N,tân,foc
81,Licht::N,golau,llum
82,Schatten::N,cysgod,ombra
83,Wetter::N,tywydd,temps
84,Nebel::N,niwl,boira
85,Wolke::N,cwmwl,núvol
86,Regen::N,glaw,pluja
87,Schnee::N,ôd,neu
88,Schnee::N,eira,neu
89,Eis::N,iâ,gel
90,Eis::N,iâ,glaç
91,Frost::N,rhew,glaçada
92,Kälte::N,oerni,fred
93,Kälte::N,annwyd,fred
94,Hitze::N,gwres,calor
95,Raureif::N,barrug,gebre
96,Regenbogen::N,enfys,arc iris
97,Donner::N,tyrfau,tro
98,Strömung::N,cerrynt,corrent
99,Tropfen::N,dafn,gota
100,Tropfen::N,diferyn,gota
101,Schaum::N,ewyn,escuma
102,Schmutz::N,baw,brutícia
103,Schmutz::N,budreddi,brutícia
104,See::N,llyn,llac
105,Sumpf::N,cors,pantà
106,Moor::N,rhos,pantà
107,Wiese::N,dôl,prat
108,Wiese::N,dôl,prada
109,Wald::N,coedwig,bosc
110,Hügel::N,bryn,puig
111,Hügel::N,bryn,pujol
112,Anhöhe::N,bryn,turó
113,Berg::N,mynydd,muntanya
114,Gipfel::N,copa,cim
115,Höhle::N,ogof,cova
116,Abhang::N,llethr,coster
117,Quelle::N,tarddiad,font
118,Quelle::N,ffynhonnell,font
