,Concept_ID,xal,be
0,Auge::N,нүдн,вока
1,Ohr::N,чикн,вуха
2,Nase::N,хамр,нос
3,Mund::N,амн,рот
4,Zahn::N,шүдн,зуб
5,Zunge::N,келн,язык
6,Lippe::N,урл,губа
7,Wange::N,халх,шчака
8,Gesicht::N,нүр,твар
9,Stirn::N,маңна,лоб
10,Haar::N,үсн,волас
11,Haar::N,үсн,валасы
12,Schnurrbart::N,сахл,вус
13,Schnurrbart::N,сахл,вусы
14,Bart::N,сахл,барада
15,Bart::N,өргнә сахл,барада
16,Kinn::N,өргн,падбародак
17,Kiefer[Anatomie]::N,өргн,сківіца
18,Kehle::N,хол,горла
19,Hals::N,күзүн,шыя
20,Genick::N,гиҗг,патыліца
21,Kopf::N,толһа,галава
22,Rücken::N,нурһн,спіна
23,Bauch::N,гесн,жывот
24,Nabel::N,киисн,пупок
25,Busen::N,көкн,грудзі
26,Brust::N,чееҗ,грудзі
27,Schulter::N,ээм,плячо
28,Arm::N,һар,рука
29,Ellenbogen::N,тоха,локаць
30,Hand::N,баһлцг,кісць
31,Handfläche::N,альхн,далонь
32,Finger::N,хурһн,палец
33,Finger::N,һарин хурһн,палец
34,Fingernagel::N,хумсн,ногаць
35,Nagel[Anatomie]::N,хумсн,ногаць
36,Zeh::N,хурһн,палец
37,Zeh::N,көлин хурһн,палец
38,Fuß::N,тавг,нага
39,Ferse::N,өскә,пята
40,Ferse::N,өскә,пятка
41,Knie::N,өвдг,калена
42,Oberschenkel::N,һуй,бядро
43,Oberschenkel::N,һуй,сцягно
44,Bein::N,көл,нага
45,Körper::N,махмуд,цела
46,Haut::N,арсн,скура
47,Blut::N,цусн,кроў
48,Ader::N,судцн,вена
49,Ader::N,судцн,сасуд
50,Sehne::N,шүрүсн,жыла
51,Sehne::N,шүрүсн,цеціва
52,Sehne::N,шүрүсн,сухажылле
53,Knochen::N,ясн,косць
54,Gehirn::N,экн,мозг
55,Herz::N,зүркн,сэрца
56,Magen::N,гесн,страўнік
57,Leber::N,элкн,печань
58,Atem::N,әмсхл,дыханне
59,Hunger::N,харһнлһн,голад
60,Träne::N,нульмсн,сляза
61,Geschmack::N,амтн,смак
62,Geruch::N,үнр,пах
63,Schlaf::N,нөр,сон
64,Traum::N,зүүдн,сон
65,Himmel::N,теңгр,неба
66,Sonne::N,нарн,сонца
67,Mond::N,сар,месяц
68,Stern::N,одн,зорка
69,Luft::N,аһар,паветра
70,Wind::N,салькн,вецер
71,Welle::N,дольган,хваля
72,Wasser::N,усн,вада
73,Stein::N,чолун,камень
74,Boden::N,Һазр,глеба
75,Erde::N,Һазр,зямля
76,Staub::N,тоосн,пыл
77,Rauch::N,утан,дым
78,Funke::N,очн,іскра
79,Feuer::N,һал,агонь
80,Licht::N,герл,святло
81,Schatten::N,сүүдр,цень
82,Wetter::N,теңгр,пагода
83,Wetter::N,теңгр,надворʼе
84,Nebel::N,будн,туман
85,Wolke::N,үүлн,воблака
86,Regen::N,хур,дождж
87,Schnee::N,цасн,снег
88,Eis::N,мөсн,лёд
89,Frost::N,киитн,мароз
90,Kälte::N,киитн,холад
91,Hitze::N,халун,спёка
92,Raureif::N,цаң,іней
93,Raureif::N,кирү,іней
94,Regenbogen::N,солңһ,вясёлка
95,Donner::N,оһтрһун дун,гром
96,Strömung::N,урсхл,цячэнне
97,Tropfen::N,дусал,кропля
98,Schaum::N,көөсн,пена
99,Schmutz::N,кир,гразь
100,See::N,нур,возера
101,Sumpf::N,унул,багна
102,Moor::N,улм,балота
103,Wiese::N,хадлһн,луг
104,Wald::N,ө-модн,лес
105,Hügel::N,толһа,узгорак
106,Anhöhe::N,хамр,узвышша
107,Berg::N,уул,гара
108,Gipfel::N,ора,вяршыня
109,Höhle::N,хадин көндә,пячора
110,Abhang::N,ташу,схіл
111,Quelle::N,булг,крыніца
112,Bach::N,һооҗур,ручай
113,Fluss::N,һол,рака
114,Ufer::N,көвә,бераг
115,Küste::N,көвә,узбярэжжа
116,Küste::N,теңгсин көвә,узбярэжжа
117,Festland::N,хүүрә һазр,суша
118,Meer::N,теңгс,мора
119,Bucht::N,цекә,бухта
120,Bucht::N,теңгсин цекә,бухта
121,Insel::N,арл,востраў
122,Blume::N,цецг,кветка
123,Gras::N,ноһан,трава
124,Wurzel::N,уңг,корань
125,Baum::N,модн,дрэва
126,Stamm::N,шилв,ствол
127,Stamm::N,һол модн,ствол
128,Rinde::N,көрсн,кара
129,Ast::N,ац,сук
130,Zweig::N,ац,галіна
131,Blatt::N,хамтхасн,ліст
132,Birke::N,хусм модн,бяроза
133,Kiefer[Baum]::N,шар харһа,хвоя
134,Kiefer[Baum]::N,шар харһа,сасна
135,Weide[Baum]::N,удн,вярба
136,Tanne::N,җөөлн цаһан модн,яліна
137,Horn::N,өвр,рог
138,Feder::N,өрвлг,пяро
139,Fell::N,арсн,шкура
140,Flügel::N,җивр,крыло
141,Klaue::N,хумсн,кіпцюр
142,Kralle::N,тавг,лапа
143,Schwanz::N,сүл,хвост
144,Ei::N,өндгн,яйка
145,Nest::N,үр,гняздо
146,Bau::N,нүкн,нара
147,Tier::N,мал,жывёла
148,Herde::N,сүрг мал,статак
149,Kuh::N,үкр,карова
150,Bulle::N,бух,бык
151,Pferd::N,мөрн,конь
152,Schaf::N,хөн,авечка
153,Schwein::N,һаха,свіння
154,Hund::N,ноха,сабака
155,Katze::N,мис,кошка
156,Bär::N,аю,мядзведзь
157,Eichhörnchen::N,кермн,вавёрка
158,Elch::N,хандһа,лось
159,Fuchs::N,арат,ліса
160,Hase::N,туула,заяц
161,Maus::N,хулһн,мыш
162,Wolf::N,чон,воўк
163,Vogel::N,шовун,птах
164,Vogel::N,шовун,птушка
165,Schwarm::N,зел,чарада
166,Huhn::N,така,курыца
167,Hahn::N,эр така,певень
168,Gans::N,һалун,гусь
169,Adler::N,һәрд,арол
170,Ente::N,нуһсн,качка
171,Eule::N,һурвлһ,сава
172,Kranich::N,тоһрун,жораў
173,Kranich::N,тоһрун,журавель
174,Krähe::N,шаазһа,варона
175,Kuckuck::N,эргин хуцдг,зязюля
176,Schwan::N,хун,лебедзь
177,Fisch::N,заһсн,рыба
178,Barsch::N,шүрг,акунь
179,Hecht::N,цурх,шчупак
180,Schlange[Tier]::N,моһа,змяя
181,Wurm::N,өтн,чарвяк
182,Spinne::N,аралҗн,павук
183,Ameise::N,шорһлҗн,мурашка
184,Laus::N,бөөсн,вош
