,Concept_ID,xal,sq
0,Auge::N,нүдн,sy
1,Ohr::N,чикн,vesh
2,Nase::N,хамр,hundë
3,Mund::N,амн,gojë
4,Zahn::N,шүдн,dhëmb
5,Zunge::N,келн,gjuhë
6,Lippe::N,урл,buzë
7,Wange::N,халх,faqe
8,Wange::N,халх,mollëz
9,Gesicht::N,нүр,fytyrë
10,Stirn::N,маңна,ballë
11,Haar::N,үсн,flokë
12,Schnurrbart::N,сахл,mustaqe
13,Bart::N,сахл,mjekër
14,Bart::N,өргнә сахл,mjekër
15,Kinn::N,өргн,mjekër
16,Kiefer[Anatomie]::N,өргн,nofull
17,Kehle::N,хол,fyt
18,Kehle::N,хол,grykë
19,Hals::N,күзүн,qafë
20,Genick::N,гиҗг,arrëz
21,Kopf::N,толһа,kokë
22,Rücken::N,нурһн,kurriz
23,Bauch::N,гесн,bark
24,Nabel::N,киисн,kërthizë
25,Busen::N,көкн,gji
26,Brust::N,чееҗ,gjoks
27,Brust::N,чееҗ,kraharor
28,Schulter::N,ээм,sup
29,Schulter::N,ээм,krah
30,Arm::N,һар,krah
31,Ellenbogen::N,тоха,bërryl
32,Hand::N,баһлцг,dorë
33,Handfläche::N,альхн,pëllëmbë
34,Finger::N,хурһн,gisht
35,Finger::N,һарин хурһн,gisht
36,Fingernagel::N,хумсн,thua
37,Nagel[Anatomie]::N,хумсн,thua
38,Zeh::N,хурһн,gisht i këmbës
39,Zeh::N,көлин хурһн,gisht i këmbës
40,Fuß::N,тавг,këmbë
41,Ferse::N,өскә,thembër
42,Knie::N,өвдг,gju
43,Oberschenkel::N,һуй,kofshë
44,Bein::N,көл,këmbë
45,Körper::N,махмуд,trup
46,Haut::N,арсн,lëkurë
47,Blut::N,цусн,gjak
48,Ader::N,судцн,venë
49,Sehne::N,шүрүсн,dell
50,Knochen::N,ясн,asht
51,Knochen::N,ясн,kockë
52,Gehirn::N,экн,tru
53,Herz::N,зүркн,zemër
54,Magen::N,гесн,stomak
55,Leber::N,элкн,mëlçi
56,Atem::N,әмсхл,frymë
57,Hunger::N,харһнлһн,uri
58,Träne::N,нульмсн,lot
59,Geschmack::N,амтн,shije
60,Geruch::N,үнр,erë
61,Schlaf::N,нөр,gjumë
62,Traum::N,зүүдн,ëndërr
63,Himmel::N,теңгр,qiell
64,Sonne::N,нарн,diell
65,Mond::N,сар,hënë
66,Stern::N,одн,yll
67,Luft::N,аһар,ajër
68,Wind::N,салькн,erë
69,Welle::N,дольган,valë
70,Welle::N,дольган,dallgë
71,Wasser::N,усн,ujë
72,Stein::N,чолун,gur
73,Boden::N,Һазр,tokë
74,Boden::N,Һазр,truall
75,Erde::N,Һазр,dhe
76,Erde::N,Һазр,baltë
77,Staub::N,тоосн,pluhur
78,Rauch::N,утан,tym
79,Funke::N,очн,xixë
80,Funke::N,очн,shkëndijë
81,Feuer::N,һал,zjarr
82,Licht::N,герл,dritë
83,Schatten::N,сүүдр,hije
84,Wetter::N,теңгр,mot
85,Nebel::N,будн,mjegull
86,Wolke::N,үүлн,re
87,Regen::N,хур,shi
88,Schnee::N,цасн,borë
89,Eis::N,мөсн,akull
90,Frost::N,киитн,ngricë
91,Kälte::N,киитн,të ftohtë
92,Hitze::N,халун,vapë
93,Hitze::N,халун,nxehtësi
94,Raureif::N,цаң,cikmë
95,Raureif::N,кирү,cikmë
96,Regenbogen::N,солңһ,ylber
97,Donner::N,оһтрһун дун,gjëmim
98,Donner::N,оһтрһун дун,bubullimë
99,Strömung::N,урсхл,rrymë
100,Tropfen::N,дусал,pikë
101,Schaum::N,көөсн,shkumë
102,Schmutz::N,кир,baltë
103,See::N,нур,liqen
104,Sumpf::N,унул,batak
105,Moor::N,улм,kënetë
106,Wiese::N,хадлһн,livadh
107,Wald::N,ө-модн,pyll
108,Hügel::N,толһа,kodër
109,Anhöhe::N,хамр,bregore
110,Berg::N,уул,mal
111,Gipfel::N,ора,kulm
112,Höhle::N,хадин көндә,shpellë
113,Höhle::N,хадин көндә,zgafelle
114,Abhang::N,ташу,shpat
115,Abhang::N,ташу,tatëpjetë
116,Quelle::N,булг,krua
117,Quelle::N,булг,burim
118,Bach::N,һооҗур,virua
119,Fluss::N,һол,lumë
120,Ufer::N,көвә,breg
121,Küste::N,көвә,anëdet
122,Küste::N,көвә,bregdet
123,Küste::N,теңгсин көвә,anëdet
124,Küste::N,теңгсин көвә,bregdet
125,Festland::N,хүүрә һазр,kontinent
126,Meer::N,теңгс,det
127,Bucht::N,цекә,gji deti
128,Bucht::N,теңгсин цекә,gji deti
129,Insel::N,арл,ishull
130,Insel::N,арл,ujdhesë
131,Blume::N,цецг,lule
132,Gras::N,ноһан,bar
133,Wurzel::N,уңг,rrënjë
134,Baum::N,модн,pemë
135,Stamm::N,шилв,trung
136,Stamm::N,һол модн,trung
137,Rinde::N,көрсн,lëvore
138,Ast::N,ац,degë
139,Zweig::N,ац,bisk
140,Blatt::N,хамтхасн,fletë
141,Blatt::N,хамтхасн,gjethe
142,Birke::N,хусм модн,mështekën
143,Kiefer[Baum]::N,шар харһа,pishë
144,Weide[Baum]::N,удн,shelg
145,Tanne::N,җөөлн цаһан модн,bredh
146,Horn::N,өвр,bri
147,Feder::N,өрвлг,pupël
148,Fell::N,арсн,lëkurë
149,Flügel::N,җивр,krah
150,Flügel::N,җивр,fletë
151,Klaue::N,хумсн,kthetër
152,Kralle::N,тавг,thua
153,Kralle::N,тавг,kthetër
154,Schwanz::N,сүл,bisht
155,Ei::N,өндгн,vezë
156,Nest::N,үр,fole
157,Bau::N,нүкн,strofkë
158,Tier::N,мал,kafshë
159,Herde::N,сүрг мал,kope
160,Herde::N,сүрг мал,grigjë
161,Kuh::N,үкр,lopë
162,Bulle::N,бух,dem
163,Pferd::N,мөрн,kalë
164,Schaf::N,хөн,dele
165,Schwein::N,һаха,derr
166,Hund::N,ноха,qen
167,Katze::N,мис,mace
168,Bär::N,аю,ari
169,Eichhörnchen::N,кермн,ketër
170,Elch::N,хандһа,dre brilopatë
171,Fuchs::N,арат,dhelpër
172,Hase::N,туула,lepur
173,Maus::N,хулһн,mi
174,Wolf::N,чон,ujk
175,Vogel::N,шовун,zog
176,Vogel::N,шовун,shpend
177,Schwarm::N,зел,luzmë
178,Huhn::N,така,pulë
179,Hahn::N,эр така,gjel
180,Hahn::N,эр така,këndes
181,Gans::N,һалун,patë
182,Adler::N,һәрд,shqiponjë
183,Ente::N,нуһсн,rosë
184,Eule::N,һурвлһ,buf
185,Kranich::N,тоһрун,lejlek
186,Kranich::N,тоһрун,kurrillë
187,Krähe::N,шаазһа,sorrë
188,Kuckuck::N,эргин хуцдг,qyqe
189,Schwan::N,хун,mjellmë
190,Fisch::N,заһсн,peshk
191,Barsch::N,шүрг,purtekë
192,Hecht::N,цурх,mlysh
193,Schlange[Tier]::N,моһа,gjarpër
194,Wurm::N,өтн,krimb
195,Spinne::N,аралҗн,marimangë
196,Ameise::N,шорһлҗн,thnegël
197,Ameise::N,шорһлҗн,milingonë
198,Laus::N,бөөсн,morr
