,Concept_ID,is,da
0,Auge::N,auga,øje
1,Ohr::N,eyra,øre
2,Nase::N,nef,næse
3,Mund::N,munnur,mund
4,Zahn::N,tönn,tand
5,Zunge::N,tunga,tunge
6,Lippe::N,vör,læbe
7,Wange::N,kinn,kind
8,Wange::N,vangi,kind
9,Gesicht::N,andlit,ansigt
10,Stirn::N,enni,pande
11,Haar::N,hár,hår
12,Schnurrbart::N,yfirskegg,overskæg
13,Bart::N,skegg,skæg
14,Kinn::N,haka,hage
15,Kiefer[Anatomie]::N,kjálki,kæbe
16,Kiefer[Anatomie]::N,skoltur,kæbe
17,Kehle::N,kverk,strube
18,Hals::N,háls,hals
19,Genick::N,hnakki,nakke
20,Kopf::N,höfuð,hoved
21,Rücken::N,hryggur,ryg
22,Bauch::N,kviður,mave
23,Nabel::N,nafli,navle
24,Busen::N,barmur,barm
25,Brust::N,brjóst,bryst
26,Schulter::N,öxl,skulder
27,Arm::N,armur,arm
28,Ellenbogen::N,olnbogi,albue
29,Hand::N,hönd,hånd
30,Handfläche::N,lófi,håndflade
31,Finger::N,fingur,finger
32,Fingernagel::N,fingurnögl,fingernegl
33,Nagel[Anatomie]::N,nögl,negl
34,Zeh::N,tá,tå
35,Fuß::N,fótur,fod
36,Ferse::N,hæll,hæl
37,Knie::N,kné,knæ
38,Oberschenkel::N,læri,lår
39,Bein::N,fótleggur,ben
40,Körper::N,búkur,krop
41,Körper::N,búkur,legeme
42,Körper::N,líkami,krop
43,Körper::N,líkami,legeme
44,Haut::N,húð,hud
45,Haut::N,skinn,hud
46,Blut::N,blóð,blod
47,Ader::N,æð,åre
48,Sehne::N,sin,sene
49,Knochen::N,bein,ben
50,Gehirn::N,heili,hjerne
51,Herz::N,hjarta,hjerte
52,Magen::N,magi,mave
53,Leber::N,lifur,lever
54,Atem::N,andi,ånde
55,Atem::N,andardráttur,ånde
56,Hunger::N,hungur,sult
57,Träne::N,tár,tåre
58,Geschmack::N,smekkur,smag
59,Geruch::N,lykt,lugt
60,Schlaf::N,svefn,søvn
61,Traum::N,draumur,drøm
62,Himmel::N,himinn,himmel
63,Sonne::N,sól,sol
64,Mond::N,tungl,måne
65,Stern::N,stjarna,stjerne
66,Luft::N,loft,luft
67,Wind::N,vindur,vind
68,Welle::N,alda,bølge
69,Welle::N,bylgja,bølge
70,Wasser::N,vatn,vand
71,Stein::N,steinn,sten
72,Boden::N,botn,jord
73,Erde::N,jörð,jord
74,Staub::N,ryk,støv
75,Staub::N,duft,støv
76,Rauch::N,reykur,røg
77,Funke::N,neisti,gnist
78,Feuer::N,eldur,ild
79,Licht::N,ljós,lys
80,Schatten::N,skuggi,skygge
81,Wetter::N,veður,vejr
82,Nebel::N,þoka,tåge
83,Wolke::N,ský,sky
84,Regen::N,regn,regn
85,Schnee::N,snjór,sne
86,Eis::N,ís,is
87,Frost::N,frost,frost
88,Kälte::N,kuldi,kulde
89,Hitze::N,hiti,hede
90,Raureif::N,hrím,rimfrost
91,Regenbogen::N,regnbogi,regnbue
92,Donner::N,þruma,torden
93,Strömung::N,straumur,strømning
94,Tropfen::N,dropi,dråbe
95,Schaum::N,froða,skum
96,Schmutz::N,óhreinindi,snavs
97,See::N,stöðuvatn,sø
98,Sumpf::N,fen,sump
99,Moor::N,mýri,mose
100,Wiese::N,engi,eng
101,Wald::N,skógur,skov
102,Hügel::N,hæð,høj
103,Hügel::N,hæð,bakke
104,Hügel::N,hóll,høj
105,Hügel::N,hóll,bakke
106,Anhöhe::N,hæð,høj
107,Anhöhe::N,hæð,bakke
108,Anhöhe::N,hóll,høj
109,Anhöhe::N,hóll,bakke
110,Berg::N,fell,bjerg
111,Berg::N,fjall,bjerg
112,Gipfel::N,tindur,top
113,Höhle::N,hellir,hule
114,Abhang::N,hlíð,skrænt
115,Abhang::N,hlíð,skråning
116,Abhang::N,brekka,skrænt
117,Abhang::N,brekka,skråning
118,Quelle::N,lind,kilde
119,Quelle::N,uppspretta,kilde
120,Bach::N,lækur,bæk
121,Fluss::N,á,flod
122,Fluss::N,fljót,flod
123,Ufer::N,árbakki,bred
124,Ufer::N,sjávarbakki,bred
125,Küste::N,strönd,kyst
126,Festland::N,meginland,fastland
127,Meer::N,haf,hav
128,Meer::N,sjór,hav
129,Bucht::N,vík,bugt
130,Insel::N,eyja,ø
131,Blume::N,blóm,blomst
132,Gras::N,gras,græs
133,Wurzel::N,rót,rod
134,Baum::N,tré,træ
135,Stamm::N,stofn,stamme
136,Rinde::N,börkur,bark
137,Ast::N,grein,gren
138,Zweig::N,angi,kvist
139,Zweig::N,kvistur,kvist
140,Blatt::N,blað,blad
141,Birke::N,birki,birk
142,Kiefer[Baum]::N,fura,fyrretræ
143,Weide[Baum]::N,víðir,piletræ
144,Tanne::N,greni,gran
145,Horn::N,horn,horn
146,Feder::N,fjöður,fjer
147,Fell::N,skinn,skind
148,Flügel::N,vængur,vinge
149,Klaue::N,kló,klov
150,Kralle::N,kló,klo
151,Schwanz::N,rófa,hale
152,Schwanz::N,skott,hale
153,Ei::N,egg,æg
154,Nest::N,hreiður,rede
155,Bau::N,greni,bo
156,Bau::N,bæli,bo
157,Tier::N,dýr,dyr
158,Herde::N,hjörð,flok
159,Kuh::N,kýr,ko
160,Bulle::N,boli,tyr
161,Pferd::N,hestur,hest
162,Schaf::N,kind,får
