,Concept_ID,az,bn
0,Auge::N,göz,চক্ষু
1,Ohr::N,qulaq,কর্ণ
2,Nase::N,burun,নাক
3,Mund::N,ağız,মুখ
4,Zahn::N,diş,দাঁত
5,Zunge::N,dil,জিহবা
6,Lippe::N,dodaq,অধর
7,Wange::N,yanaq,গণ্ড
8,Gesicht::N,üz,মুখমণ্ডল
9,Stirn::N,alın,কপাল
10,Haar::N,saç,চুল
11,Schnurrbart::N,bığ,গোঁফ
12,Bart::N,saqqal,শ্মশ্রু
13,Kinn::N,çənə,চিবুক
14,Kiefer[Anatomie]::N,çənə,চোয়াল
15,Kehle::N,boğaz,কণ্ঠ
16,Hals::N,boyun,গল
17,Genick::N,ənsə,ঘাড়
18,Kopf::N,baş,মাথা
19,Rücken::N,bel,পৃষ্ঠ
20,Bauch::N,qarın,উদর
21,Nabel::N,göbək,নাভি
22,Busen::N,məmə,স্তন
23,Brust::N,döş,বুক
24,Schulter::N,çiyin,স্কন্ধ
25,Arm::N,qol,বাহু
26,Ellenbogen::N,dirsək,কনুই
27,Hand::N,əl,হাত
28,Handfläche::N,ovuc,করতল
29,Finger::N,barmaq,আঙ্গুল
30,Fingernagel::N,barmaq dırnağı,হাতের নখ
31,Nagel[Anatomie]::N,dırnak,নখ
32,Zeh::N,ayaq barmağı,আঙ্গুল
33,Fuß::N,ayaq,পা
34,Ferse::N,daban,গোড়ালি
35,Knie::N,diz,হাঁটু
36,Oberschenkel::N,bud,ঊরু
37,Bein::N,qıç,পা
38,Körper::N,əndam,দেহ
39,Haut::N,dəri,ত্বক
40,Blut::N,qan,রক্ত
41,Ader::N,damar,শিরা
42,Sehne::N,vətər,কণ্ডরা
43,Knochen::N,sümük,অস্থি
44,Gehirn::N,beyin,মস্তিষ্ক
45,Herz::N,ürək,হৃৎপিণ্ড
46,Magen::N,mədə,পাকস্থলী
47,Leber::N,qara ciyər,যকৃৎ
48,Atem::N,nəfəs,শ্বাস
49,Hunger::N,aclıq,ক্ষুধা
50,Träne::N,göz yaşı,অশ্রু
51,Geschmack::N,tam,স্বাদ
52,Geschmack::N,ləzzət,স্বাদ
53,Geruch::N,qoxu,গন্ধ
54,Schlaf::N,yuxu,ঘুম
55,Traum::N,röya,স্বপ্ন
56,Himmel::N,göy,আকাশ
57,Himmel::N,səma,আকাশ
58,Sonne::N,günəş,সূর্য
59,Mond::N,ay,চন্দ্র
60,Stern::N,ulduz,নক্ষত্র
61,Luft::N,hava,বায়ু
62,Wind::N,yel,বাতাস
63,Wind::N,külək,বাতাস
64,Welle::N,dalğa,ঢেউ
65,Welle::N,dalğa,তরঙ্গ
66,Wasser::N,su,জল
67,Stein::N,daş,ঢিল
68,Stein::N,daş,প্রস্তর
69,Boden::N,yer,ভূতল
70,Boden::N,zəmin,ভূতল
71,Erde::N,yer torpaq,ভূমি
72,Staub::N,toz,ধুলা
73,Rauch::N,tüstü,ধোঁয়া
74,Funke::N,qığılcım,স্ফুলিঙ্গ
75,Feuer::N,od,অগ্নি
76,Licht::N,işıq,আলো
77,Schatten::N,kölgə,ছায়া
78,Wetter::N,hava,আবহাওয়া
79,Nebel::N,duman,কুহেলিকা
80,Wolke::N,bulud,মেঘ
81,Regen::N,yağış,বৃষ্টি
82,Regen::N,yağmur,বৃষ্টি
83,Schnee::N,qar,তুষার
84,Eis::N,buz,বরফ
85,Frost::N,ayaz,তুষার
86,Kälte::N,soyuq,শৈত্য
87,Hitze::N,coşğunluq,তাপ
88,Raureif::N,qırov,তুহিন
89,Regenbogen::N,göy qurşağı,রামধনু
90,Donner::N,göy gurultusu,বজ্রধ্বনি
91,Strömung::N,axın,স্রোত
92,Tropfen::N,damcı,ফোঁটা
93,Schaum::N,köpük,ফেনা
94,Schmutz::N,çamır,ধুলা
95,See::N,göl,হ্রদ
96,Sumpf::N,bataqlıq,জলা
97,Moor::N,bataqlıq,মাঠ
98,Wiese::N,çəmən,তৃণভূমি
99,Wald::N,meşə,বন
100,Hügel::N,təpə,পাহাড়
101,Anhöhe::N,təpə,টিলা
102,Berg::N,dağ,পর্বত
103,Gipfel::N,zirvə,শীর্ষ
104,Höhle::N,mağara,গুহা
105,Abhang::N,yamac,ঢাল
106,Quelle::N,bulaq,উৎস
107,Bach::N,kiçik çay,ক্ষুদ্র নদী
108,Fluss::N,çay,নদী
109,Ufer::N,kənar,উপকূল
110,Küste::N,sahil,তীর
111,Festland::N,materik,ভূমি
112,Meer::N,dəniz,সমুদ্র
113,Bucht::N,körfəz,উপসাগর
114,Insel::N,ada,দ্বীপ
115,Blume::N,çiçək,ফুল
116,Gras::N,ot,ঘাস
117,Wurzel::N,kök,শিকড়
118,Baum::N,ağac,গাছ
119,Stamm::N,gövdə,স্কন্ধ
120,Rinde::N,qabıq,বল্কল
121,Ast::N,şax,শাখা
122,Zweig::N,budaq,ডাল
123,Blatt::N,yarpaq,পর্ণ
124,Birke::N,tozağacı,ভুর্জ
125,Kiefer[Baum]::N,şam,পাইন গাছ
126,Weide[Baum]::N,söyüd,উইলো
127,Tanne::N,küknar,দেবদারূ গাছ
128,Horn::N,buynuz,শিং
129,Feder::N,tük,পালক
130,Feder::N,lələk,পালক
131,Fell::N,xəz,রোম
132,Flügel::N,qanad,ডানা
133,Klaue::N,pəncə,নখর
134,Kralle::N,dırnaq,নখর
135,Schwanz::N,quyruq,লেজ
136,Ei::N,yumurta,ডিম
137,Nest::N,yuva,কুলায়
138,Bau::N,yuva,ডেরা
139,Tier::N,heyvan,জন্তু
140,Herde::N,sürü,ঝাঁক
141,Kuh::N,inək,গোরু
142,Bulle::N,öküz,বৃষ
143,Pferd::N,at,ঘোড়া
144,Schaf::N,qoyun,ভেড়া
145,Schwein::N,donuz,শূকর
146,Hund::N,it,কুকুর
147,Hund::N,köpək,কুকুর
148,Katze::N,pişik,বেড়াল
149,Bär::N,ayı,ভল্লুক
150,Eichhörnchen::N,dələ,কাঠবিড়াল
151,Elch::N,sığın,হরিণবিশেষ
152,Fuchs::N,tülkü,পাঁতিশিয়াল
153,Hase::N,dovşan,শশক
154,Maus::N,siçan,নেংটি ইঁদুর
155,Wolf::N,qurd,নেকড়ে
156,Vogel::N,quş,পক্ষী
157,Schwarm::N,sürü,ঝাঁক
158,Huhn::N,toyuq,মোরগ
159,Hahn::N,xoruz,কুক্কুট
160,Gans::N,qaz,হংসী
161,Adler::N,qartal,ইগল
162,Adler::N,qaraquş,ইগল
163,Ente::N,ördək,হংসী
164,Eule::N,bayquş,পেচক
165,Kranich::N,durna,সারস
166,Krähe::N,qarğa,কাক
167,Kuckuck::N,ququ,কোকিল
168,Schwan::N,qu quşu,মরাল
169,Fisch::N,balıq,মাছ
170,Barsch::N,tar,মৎন্যবিশেষ
171,Hecht::N,durnabalığı,বানমাছ
172,Schlange[Tier]::N,ilan,সর্প
173,Wurm::N,qurd,কীট
174,Spinne::N,hörümçək,মাকড়সা
175,Ameise::N,qarışqa,পিপীলিকা
176,Laus::N,bit,উকুন
177,Mücke::N,ağcaqanad,মশা
178,Fliege::N,milçək,মাছি
179,Schmetterling::N,kəpənək,প্রজাপতি
180,Beere::N,gilə,বেরি
181,Apfel::N,alma,আপেল
182,Pilz::N,göbələk,ছত্রক
183,Zwiebel::N,soğan,পিয়াজ
184,Saat::N,əkin,বীজ
185,Korn::N,taxıl,শস্য
186,Heu::N,quru ot,খড়
187,Schale::N,qabıq,খোসা
188,Grube::N,çuxur,গর্ত
189,Falle::N,tələ,ফাঁদ
190,Falle::N,duzaq,ফাঁদ
191,Schlinge::N,ilmək,পাশ
192,Spur::N,iz,চিহ্ন
193,Asche::N,kül,ভস্ম
194,Dreck::N,kir,ময়লা
195,Eisen::N,dəmir,লোহা
196,Gold::N,altun,স্বর্ণ
197,Silber::N,gümüş,রৌপ্য
198,Kohle::N,kömür,অঙ্গার
199,Glas::N,şüşə,কাচ
200,Lehm::N,gil,মৃত্তিকা
201,Lehm::N,palçıq,মৃত্তিকা
202,Sand::N,qum,বালি
203,Mensch::N,adam,নর
204,Mensch::N,adam,মানুষ
205,Mensch::N,insan,নর
206,Mensch::N,insan,মানুষ
207,Mann::N,kişi,মানুষ
208,Frau::N,qadın,নারী
209,Kind::N,uşaq,বাচ্চা
210,Junge::N,oğlan,ছেলে
211,Mädchen::N,qız,মেয়ে
212,Familie::N,ailə,পরিবার
213,Großvater::N,baba,মাতামহ
214,Großmutter::N,nənə,মাতামহী
215,Eltern::N,valideyn,মাতাপিতা
216,Vater::N,ata,পিতা
217,Mutter::N,ana,মাতা
218,Sohn::N,oğul,ছেলে
219,Tochter::N,qız,মেয়ে
220,Bruder::N,qardaş,দাদা
221,Schwester::N,bacı,বোন
222,Schwester::N,bacı,দিদি
223,Onkel::N,əmi,মামা
224,Onkel::N,dayı,মামা
225,Tante::N,bibi,মাসী
226,Ehemann::N,ər,স্বামী
227,Ehefrau::N,arvad,পত্নী
228,Freude::N,nəşə,উল্লাস
229,Freude::N,sevinc,উল্লাস
230,Gelächter::N,gülüş,হাসি
231,Gelächter::N,qəhqəhə,হাসি
232,Glück::N,səadət,সুখ
233,Glück::N,xoşbəxtlik,সুখ
234,Kummer::N,qəm,দুঃখ
235,Kummer::N,kədər,দুঃখ
236,Wunsch::N,arzu,আকাঙ্ক্ষা
