,Concept_ID,es,it
61,Geruch::N,olor,odore
62,Schlaf::N,sueño,sonno
63,Traum::N,sueño,sogno
64,Traum::N,ensueño,sogno
65,Himmel::N,cielo,cielo
66,Sonne::N,sol,sole
67,Mond::N,luna,luna
68,Stern::N,estrella,stella
69,Luft::N,aire,aria
70,Wind::N,viento,vento
71,Welle::N,ola,onda
72,Welle::N,onda,onda
73,Wasser::N,agua,acqua
74,Stein::N,piedra,sasso
75,Stein::N,piedra,pietra
76,Boden::N,suelo,suolo
77,Boden::N,suelo,terreno
78,Erde::N,tierra,terra
79,Staub::N,polvo,polvere
80,Rauch::N,humo,fumo
81,Funke::N,chispa,scintilla
82,Feuer::N,fuego,fuoco
83,Licht::N,luz,luce
84,Schatten::N,sombra,ombra
85,Wetter::N,tiempo,tempo
86,Nebel::N,niebla,nebbia
87,Wolke::N,nube,nube
88,Wolke::N,nube,nùvola
89,Regen::N,lluvia,pioggia
90,Schnee::N,nieve,neve
91,Eis::N,hielo,ghiaccio
92,Frost::N,helada,gelo
93,Kälte::N,frío,freddo
94,Hitze::N,calor,caldo
95,Hitze::N,calor,calura
96,Raureif::N,escarcha,brina
97,Regenbogen::N,arco iris,arcobaleno
98,Donner::N,trueno,tuono
99,Strömung::N,corriente,corrente
100,Tropfen::N,gota,goccia
101,Schaum::N,espuma,spuma
102,Schaum::N,espuma,schiuma
103,Schmutz::N,suciedad,sudiciume
104,See::N,lago,lago
105,Sumpf::N,pantano,palude
106,Moor::N,turbera,torbiera
107,Wiese::N,prado,prato
108,Wiese::N,pradera,prato
109,Wald::N,bosque,bosco
110,Wald::N,bosque,foresta
111,Hügel::N,colina,colle
112,Hügel::N,colina,collina
113,Anhöhe::N,cerro,altura
114,Berg::N,monte,monte
115,Berg::N,monte,montagna
116,Berg::N,montaña,monte
117,Berg::N,montaña,montagna
118,Gipfel::N,cima,cima
119,Gipfel::N,cumbre,cima
120,Höhle::N,cueva,grotta
121,Höhle::N,cueva,caverna
122,Höhle::N,caverna,grotta
123,Höhle::N,caverna,caverna
124,Abhang::N,cuesta,pendìo
125,Abhang::N,declive,pendìo
126,Quelle::N,fuente,sorgente
127,Quelle::N,manantial,sorgente
128,Bach::N,arroyo,ruscello
129,Fluss::N,río,fiume
130,Ufer::N,orilla,riva
131,Küste::N,costa,costa
132,Festland::N,tierra firme,terraferma
133,Meer::N,mar,mare
134,Bucht::N,cala,cala
135,Bucht::N,bahía,cala
136,Insel::N,isla,ìsola
137,Blume::N,flor,fiore
138,Gras::N,hierba,erba
139,Wurzel::N,raíz,radice
140,Baum::N,árbol,àlbero
141,Stamm::N,tronco,tronco
142,Rinde::N,corteza,corteccia
143,Ast::N,rama,ramo
144,Zweig::N,ramo,ramo
145,Blatt::N,hoja,foglia
146,Birke::N,abedul,betulla
147,Kiefer[Baum]::N,pino,pino
148,Weide[Baum]::N,sauce,sàlice
149,Tanne::N,abeto,abete
150,Horn::N,asta,corno
151,Horn::N,cuerno,corno
152,Feder::N,pluma,penna
153,Fell::N,piel,manto
154,Fell::N,piel,pelame
155,Flügel::N,ala,ala
156,Klaue::N,garra,grinfia
157,Kralle::N,uña,unghia
158,Kralle::N,uña,artiglio
159,Kralle::N,garra,unghia
160,Kralle::N,garra,artiglio
161,Schwanz::N,cola,coda
162,Ei::N,huevo,uovo
163,Nest::N,nido,nido
164,Bau::N,madriguera,covo
165,Tier::N,animal,bestia
166,Tier::N,animal,animale
167,Herde::N,rebaño,gregge
168,Kuh::N,vaca,vacca
169,Bulle::N,toro,toro
170,Pferd::N,caballo,cavallo
171,Schaf::N,oveja,pècora
172,Schwein::N,cerdo,porco
173,Schwein::N,cerdo,maiale
174,Hund::N,perro,cane
175,Katze::N,gato,gatta
176,Bär::N,oso,orso
177,Eichhörnchen::N,ardilla,scoiàttolo
178,Elch::N,alce,alce
179,Fuchs::N,zorro,volpe
180,Hase::N,liebre,lepre
181,Maus::N,ratón,topo
182,Maus::N,ratón,sorcio
183,Wolf::N,lobo,lupo
184,Vogel::N,ave,uccello
185,Vogel::N,pájaro,uccello
186,Schwarm::N,bandada,stormo
187,Huhn::N,gallina,gallina
188,Hahn::N,gallo,gallo
189,Gans::N,oca,oca
190,Gans::N,ganso,oca
191,Adler::N,águila,àquila
192,Ente::N,pato,ànatra
193,Eule::N,lechuza,gufo
194,Eule::N,lechuza,civetta
195,Kranich::N,grulla,gru
196,Krähe::N,corneja,cornacchia
197,Kuckuck::N,cuco,cuccù
198,Kuckuck::N,cuco,cùculo
199,Schwan::N,cisne,cigno
200,Fisch::N,pez,pesce
201,Barsch::N,perca,pèrsico
202,Hecht::N,lucio,luccio
203,Schlange[Tier]::N,serpiente,serpente
204,Wurm::N,gusano,baco
205,Wurm::N,gusano,verme
206,Spinne::N,araña,ragno
207,Ameise::N,hormiga,formica
208,Laus::N,piojo,pidocchio
209,Mücke::N,mosquito,zanzara
210,Fliege::N,mosca,mosca
211,Schmetterling::N,mariposa,farfalla
212,Beere::N,baya,bacca
213,Apfel::N,manzana,mela
214,Pilz::N,seta,fungo
215,Pilz::N,hongo,fungo
216,Zwiebel::N,cebolla,cipolla
217,Saat::N,siembra,semente
218,Korn::N,grano,grano
219,Heu::N,heno,fieno
220,Schale::N,cáscara,buccia
221,Grube::N,foso,cava
222,Grube::N,foso,fossa
223,Falle::N,trampa,tràppola
224,Schlinge::N,lazo,laccio
225,Spur::N,huella,traccia
226,Asche::N,ceniza,cenere
227,Dreck::N,suciedad,fango
228,Eisen::N,hierro,ferro
229,Gold::N,oro,oro
230,Silber::N,plata,argento
231,Kohle::N,carbón,carbone
232,Glas::N,vidrio,vetro
233,Glas::N,cristal,vetro
234,Lehm::N,barro,argilla
235,Sand::N,arena,arena
236,Sand::N,arena,sabbia
237,Mensch::N,hombre,uomo
238,Mensch::N,hombre,èssere umano
239,Mensch::N,ser humano,uomo
240,Mensch::N,ser humano,èssere umano
241,Mann::N,hombre,uomo
242,Frau::N,mujer,donna
243,Kind::N,niño,bambino
244,Junge::N,chico,ragazzo
245,Junge::N,muchacho,ragazzo
246,Mädchen::N,chica,ragazza
247,Mädchen::N,muchacha,ragazza
248,Familie::N,familia,famiglia
249,Großvater::N,abuelo,nonno
250,Großmutter::N,abuela,nonna
251,Eltern::N,padres,genitori
252,Vater::N,padre,padre
253,Mutter::N,madre,madre
254,Sohn::N,hijo,figlio
255,Tochter::N,hija,figlia
256,Bruder::N,hermano,fratello
257,Schwester::N,hermana,sorella
258,Onkel::N,tío,zio
259,Tante::N,tía,zia
260,Ehemann::N,esposo,marito
261,Ehefrau::N,esposa,moglie
262,Freude::N,placer,gioia
263,Freude::N,placer,piacere
264,Freude::N,alegría,gioia
265,Freude::N,alegría,piacere
266,Gelächter::N,risa,risata
267,Gelächter::N,carcajada,risata
268,Glück::N,felicidad,felicità
269,Kummer::N,pena,afflizione
270,Wunsch::N,deseo,desiderio
271,Lust::N,ganas,voglia
272,Geist::N,mente,mente
