,Concept_ID,ro,ce
0,Auge::N,ochi,бӏаьрг
1,Ohr::N,ureche,лерг
2,Nase::N,nas,мара
3,Mund::N,gură,бага
4,Zahn::N,dinte,церг
5,Zunge::N,limbă,мотт
6,Lippe::N,buză,балда
7,Wange::N,bucă,бесни
8,Wange::N,obraz,бесни
9,Gesicht::N,față,юьхь
10,Gesicht::N,figură,юьхь
11,Stirn::N,frunte,хьаж
12,Haar::N,păr,мас
13,Schnurrbart::N,mustață,мекх
14,Bart::N,barbă,маж
15,Kinn::N,bărbie,чӏениг
16,Kiefer[Anatomie]::N,falcă,мочхал
17,Kehle::N,beregată,къамкъарг
18,Hals::N,gât,ворта
19,Genick::N,ceafă,кӏесаркӏаг
20,Kopf::N,cap,корта
21,Rücken::N,dos,букъ
22,Rücken::N,spate,букъ
23,Rücken::N,spinare,букъ
24,Bauch::N,burtă,кийра
25,Bauch::N,pântece,кийра
26,Nabel::N,buric,цӏонга
27,Busen::N,sân,зударийн накха
28,Brust::N,piept,накха
29,Schulter::N,umăr,белш
30,Schulter::N,spate,белш
31,Arm::N,braț,пхьарс
32,Ellenbogen::N,cot,пхьаьрсан гола
33,Hand::N,mână,куьг
34,Handfläche::N,palmă,кераюкъ
35,Finger::N,deget,пӏелг
36,Fingernagel::N,unghie,мӏара
37,Nagel[Anatomie]::N,unghie,мӏара
38,Zeh::N,deget de la picior,кога пӏелг
39,Fuß::N,picior,ког
40,Ferse::N,călcâi,кӏажа
41,Knie::N,genunchi,гола
42,Oberschenkel::N,coapsă,варе
43,Bein::N,picior,ког
44,Körper::N,corp,хӏума
45,Haut::N,piele,чкъор
46,Blut::N,sânge,цӏий
47,Ader::N,vână,пха
48,Ader::N,arteră,пха
49,Sehne::N,tendon,хьорзам
50,Knochen::N,os,даьӏахк
51,Gehirn::N,creier,хье
52,Herz::N,inimă,дог
53,Magen::N,stomac,зорх
54,Leber::N,ficat,доӏах
55,Atem::N,răsuflare,садеӏар
56,Atem::N,respirație,садеӏар
57,Hunger::N,foame,мацалла
58,Träne::N,lacrimă,бӏаьрхи
59,Geschmack::N,gust,чам
60,Geruch::N,miros,хьожа
61,Schlaf::N,somn,наб
62,Traum::N,vis,гӏан
63,Himmel::N,cer,стигал
64,Sonne::N,soare,малх
65,Mond::N,lună,бутт
66,Stern::N,stea,седа
67,Luft::N,aer,xӏаваъ
68,Wind::N,vânt,мох
69,Welle::N,val,тулгӏе
70,Welle::N,undă,тулгӏе
71,Wasser::N,apă,хи
72,Stein::N,piatră,тӏулг
73,Boden::N,sol,цӏенкъа
74,Boden::N,pământ,цӏенкъа
75,Erde::N,pământ,латта
76,Staub::N,praf,чан
77,Rauch::N,fum,кӏур
78,Funke::N,scânteie,суй
79,Feuer::N,foc,цӏе
80,Licht::N,lumină,серло
81,Schatten::N,umbră,ӏиндагӏ
82,Wetter::N,timp,хенан хӏоттам
