,Concept_ID,cv,os
0,Auge::N,куҫ,цӕст
1,Ohr::N,хӑлха,хъус
2,Nase::N,сӑмса,фындз
3,Mund::N,ҫӑвар,дзых
4,Zahn::N,шӑл,дӕндаг
5,Zunge::N,чӗлхе,ӕвзаг
6,Lippe::N,тута,был
7,Wange::N,пит ҫӑмарти,рус
8,Wange::N,пит ҫӑмарти,уадул
9,Wange::N,пит ҫӑмарти,ӕхсӕрфарс
10,Gesicht::N,пит,цӕсгом
11,Gesicht::N,пит-куҫ,цӕсгом
12,Stirn::N,ҫамка,ных
13,Haar::N,ҫӳҫ,хил
14,Schnurrbart::N,усси,рихи
15,Bart::N,сухал,зачъе
16,Kinn::N,янах,роцъо
17,Kiefer[Anatomie]::N,янах,ӕфсӕр
18,Kehle::N,пыр,хъуыр
19,Kehle::N,карланкӑ,хъуыр
20,Hals::N,пыр,къубал
21,Genick::N,ӗнсе,къӕбут
22,Kopf::N,пуҫ,сӕр
23,Rücken::N,ҫурӑм,фӕсонтӕ
24,Nabel::N,кӑвапа,бикъ
25,Busen::N,кӑкӑр,дзидзи
26,Brust::N,умӗ,риу
27,Schulter::N,хул пуҫҫи,уӕхск
28,Arm::N,алӑ,цонг
29,Ellenbogen::N,чавса,рæмбын
30,Hand::N,алӑ сыппи,къух
31,Handfläche::N,ал лаппи,армытъӕпӕн
32,Finger::N,пӳрне,ӕнруылдз
33,Fingernagel::N,чӗрне,ных
34,Nagel[Anatomie]::N,чӗрне,ных
35,Zeh::N,пӳрне,къух
36,Fuß::N,ура лаппи,фад
37,Ferse::N,кӗле,зӕвӕт
38,Knie::N,чӗркуҫҫи,уӕраг
39,Oberschenkel::N,пӗҫӗ,агъд
40,Bein::N,ура,зӕнг
41,Körper::N,ӳт,буар
42,Körper::N,ӳт-пӳ,буар
43,Haut::N,тир,царм
44,Blut::N,юн,туг
45,Ader::N,вена,дадзин
46,Ader::N,вена,тугдадзин
47,Sehne::N,шӑнӑр,хъиутæ
48,Sehne::N,шӑнӑр,нуар
49,Knochen::N,шӑмӑ,стӕг
50,Gehirn::N,миме,магъз
51,Herz::N,чӗре,зӕрдӕ
52,Magen::N,хырӑмлӑх,ахсӕн
53,Leber::N,пӗвер,игæр
54,Atem::N,сывлав,улӕфт
55,Hunger::N,выҫлӑх,стонг
56,Träne::N,куҫҫуль,цæссыг
57,Geschmack::N,техӗм,ад
58,Geruch::N,шӑршӑ,смаг
59,Schlaf::N,ыйхӑ,хуыссӕг
60,Traum::N,тӗлӗк,фын
61,Himmel::N,пӗлӗт,арв
62,Himmel::N,пӗлӗт,уӕларв
63,Sonne::N,хӗвел,хур
64,Mond::N,уйӑх,мӕй
65,Stern::N,ҫӑлтӑр,стъалы
66,Luft::N,сывлӑш,уӕлдӕф
67,Wind::N,ҫил,дымгӕ
68,Welle::N,хум,уылӕн
69,Wasser::N,шыв,дон
70,Wasser::N,шыв-шур,дон
71,Stein::N,чул,дур
72,Boden::N,тӑпра,зӕхх
73,Erde::N,ҫӗр,сыджыт
74,Staub::N,тусан,рыг
75,Rauch::N,тӗтӗм,фӕздӕг
76,Funke::N,хӗм,цӕхӕр
77,Feuer::N,вут,зынг
78,Feuer::N,ҫулӑм,зынг
79,Licht::N,ҫутӑ,рухс
80,Schatten::N,сулхӑн,аууон
81,Wetter::N,ҫанталӑк,боныхъӕд
82,Nebel::N,тӗтре,мигъ
83,Wolke::N,пӗлӗт,ӕврагъ
84,Regen::N,ҫумӑр,уарын
85,Schnee::N,юр,мит
86,Eis::N,пӑр,их
87,Frost::N,сивӗ,ихæн
88,Kälte::N,сивӗ,уазал
89,Hitze::N,вӗри,ӕнтӕф
90,Hitze::N,шӑрӑх,ӕнтӕф
91,Raureif::N,пас,халас
92,Regenbogen::N,асамат кӗперӗ,арвырон
93,Regenbogen::N,асамат кӗперӗ,арвырдын
94,Donner::N,аслати,æрвнæрын
95,Strömung::N,юхӑ,цыд
