,Concept_ID,de,lv
0,Auge::N,Auge,син
1,Auge::N,Auge,acs
2,Ohr::N,Ohr,пель
3,Ohr::N,Ohr,auss
4,Nase::N,Nase,ныр
5,Nase::N,Nase,deguns
6,Mund::N,Mund,вом
7,Mund::N,Mund,mute
8,Zahn::N,Zahn,пинь
9,Zahn::N,Zahn,zobs
10,Zunge::N,Zunge,кыв
11,Zunge::N,Zunge,mēle
12,Lippe::N,Lippe,вом дор
13,Lippe::N,Lippe,lūpa
14,Wange::N,Wange,бан
15,Wange::N,Wange,vaigs
16,Gesicht::N,Gesicht,чужӧм
17,Gesicht::N,Gesicht,seja
18,Gesicht::N,Gesicht,ģīmis
19,Stirn::N,Stirn,плеш
20,Stirn::N,Stirn,кымӧс
21,Stirn::N,Stirn,piere
22,Haar::N,Haar,си
23,Haar::N,Haar,юрси
24,Haar::N,Haar,mats
25,Schnurrbart::N,Schnurrbart,ус
26,Schnurrbart::N,Schnurrbart,пыртсим
27,Schnurrbart::N,Schnurrbart,ūsas
28,Bart::N,Bart,тош
29,Bart::N,Bart,bārda
30,Kinn::N,Kinn,тшӧка
31,Kinn::N,Kinn,zods
32,Kinn::N,Kinn,smakrs
33,Kiefer[Anatomie]::N,Kiefer,черлы
34,Kiefer[Anatomie]::N,Kiefer,алака лы
35,Kiefer[Anatomie]::N,Kiefer,вомкӧтш лы
36,Kiefer[Anatomie]::N,Kiefer,žoklis
37,Kehle::N,Kehle,голя
38,Kehle::N,Kehle,rīkle
39,Hals::N,Hals,сьылі
40,Hals::N,Hals,kakls
41,Genick::N,Genick,юрбӧр
42,Genick::N,Genick,балябӧж
43,Genick::N,Genick,sprands
44,Kopf::N,Kopf,юр
45,Kopf::N,Kopf,galva
46,Rücken::N,Rücken,мыш
47,Rücken::N,Rücken,mugura
48,Bauch::N,Bauch,рушку
49,Bauch::N,Bauch,vēders
50,Nabel::N,Nabel,гӧг
51,Nabel::N,Nabel,naba
52,Busen::N,Busen,морӧс
53,Busen::N,Busen,krūts
54,Brust::N,Brust,морӧс
55,Brust::N,Brust,krūts
56,Schulter::N,Schulter,пельпом
57,Schulter::N,Schulter,plecs
58,Arm::N,Arm,ки
59,Arm::N,Arm,roka
60,Arm::N,Arm,delms
61,Ellenbogen::N,Ellenbogen,гырддза
62,Ellenbogen::N,Ellenbogen,elkonis
63,Hand::N,Hand,ки
64,Hand::N,Hand,roka
65,Hand::N,Hand,plauksta
66,Handfläche::N,Handfläche,ки пыдӧс
67,Handfläche::N,Handfläche,delna
68,Handfläche::N,Handfläche,plauksta
69,Finger::N,Finger,чунь
70,Finger::N,Finger,pirksts
71,Fingernagel::N,Fingernagel,гыж
72,Fingernagel::N,Fingernagel,nags
73,Nagel[Anatomie]::N,Nagel,гыж
74,Nagel[Anatomie]::N,Nagel,nags
75,Zeh::N,Zeh,кок чунь
