,Concept_ID,en,udm
0,Auge::N,eye,син
1,Ohr::N,ear,пель
2,Nase::N,nose,ныр
3,Mund::N,mouth,ым
4,Zahn::N,tooth,пинь
5,Zunge::N,tongue,кыл
6,Lippe::N,lip,ымдур
7,Wange::N,cheek,бам
8,Gesicht::N,face,ымныр
9,Stirn::N,forehead,кымес
10,Haar::N,hair,йырси
11,Schnurrbart::N,moustache,мыйык
12,Bart::N,beard,туш
13,Kinn::N,chin,ангес
14,Kiefer[Anatomie]::N,jaw,ан
15,Kiefer[Anatomie]::N,jaw,анлы
16,Kehle::N,throat,гульым
17,Hals::N,neck,чырты
18,Genick::N,nape,йырбер
19,Kopf::N,head,йыр
20,Rücken::N,back,мыш
21,Rücken::N,spine,мыш
22,Bauch::N,belly,кӧт
23,Nabel::N,navel,гогы
24,Busen::N,bosom,ноны
25,Brust::N,chest,мӧля
26,Brust::N,breast,мӧля
27,Schulter::N,shoulder,пельпум
28,Arm::N,arm,суй
29,Ellenbogen::N,elbow,гырпум
30,Hand::N,hand,ки
31,Handfläche::N,palm,ки пыдэс
32,Handfläche::N,palm,кырым пыдэс
33,Finger::N,finger,чиньы
34,Fingernagel::N,fingernail,гижы
35,Fingernagel::N,fingernail,гиждӥнь
36,Nagel[Anatomie]::N,nail,гижы
37,Zeh::N,toe,пыдчиньы
38,Fuß::N,foot,пыд
39,Ferse::N,heel,пыдбер
40,Knie::N,knee,пыдес
41,Oberschenkel::N,thigh,макес
42,Bein::N,leg,пыд
43,Körper::N,body,мугор
44,Körper::N,body,вылтыр
45,Haut::N,skin,ку
46,Blut::N,blood,вир
47,Ader::N,vein,вирсэр
48,Sehne::N,sinew,вуж
49,Knochen::N,bone,лы
50,Gehirn::N,brain,вим
51,Herz::N,heart,сюлэм
52,Magen::N,stomach,ӝуш
53,Leber::N,liver,мус
54,Atem::N,breath,лул
55,Atem::N,breath,шокан
56,Hunger::N,hunger,кӧтсюман
57,Träne::N,tear,синкыли
58,Geschmack::N,flavour,шӧм
59,Geschmack::N,flavor,шӧм
60,Geruch::N,odour,зын
61,Geruch::N,odor,зын
62,Schlaf::N,sleep,вӧт
63,Traum::N,dream,уйвӧт
64,Himmel::N,sky,ин
65,Sonne::N,sun,шунды
66,Mond::N,moon,толэзь
67,Stern::N,star,кизили
68,Luft::N,air,омыр
69,Wind::N,wind,тӧл
70,Welle::N,wave,тулкым
71,Wasser::N,water,ву
72,Stein::N,stone,из
73,Boden::N,soil,музъем
74,Boden::N,ground,музъем
75,Erde::N,earth,му
76,Staub::N,dust,пыль
77,Rauch::N,smoke,ӵын
78,Funke::N,spark,гизьы
79,Feuer::N,fire,тыл
80,Licht::N,light,тыл
81,Schatten::N,shadow,вужер
82,Wetter::N,weather,куазь
83,Nebel::N,fog,бус
84,Wolke::N,cloud,пилем
85,Regen::N,rain,зор
86,Schnee::N,snow,лымы
87,Eis::N,ice,йӧ
88,Frost::N,frost,кезьыт
89,Kälte::N,chill,кезьыт
90,Hitze::N,heat,пӧсь
91,Raureif::N,hoarfrost,гӧр
92,Regenbogen::N,rainbow,вуюись
93,Donner::N,thunder,гудыри
94,Strömung::N,current,бызён
95,Tropfen::N,drop,шапык
96,Schaum::N,foam,шукы
97,Schmutz::N,dirt,нӧд
98,Schmutz::N,dirt,дэри
99,See::N,lake,ты
100,Sumpf::N,swamp,нюр
101,Moor::N,moor,нюр
102,Wiese::N,meadow,возь
103,Wiese::N,meadow,возьвыл
104,Wald::N,forest,сик
105,Wald::N,forest,нюлэс
106,Hügel::N,hill,выр
107,Hügel::N,hill,вырйыл
108,Anhöhe::N,elevation,выр
109,Anhöhe::N,elevation,вырйыл
110,Berg::N,mountain,гурезь
111,Gipfel::N,summit,йыл
112,Höhle::N,cave,гу
113,Abhang::N,slope,бам
114,Quelle::N,source,ошмес
115,Bach::N,brook,пичи шур
116,Fluss::N,river,шур
117,Ufer::N,shore,ярдур
118,Küste::N,coast,вудур
119,Festland::N,land,мувыр
120,Meer::N,sea,зарезь
121,Bucht::N,cove,вукож
122,Insel::N,island,вумуӵ
123,Insel::N,island,шормуӵ
124,Blume::N,flower,сяська
125,Gras::N,grass,турын
126,Wurzel::N,root,выжы
127,Baum::N,tree,пу
128,Stamm::N,trunk,модос
129,Rinde::N,bark,сул
130,Ast::N,limb,ул
131,Zweig::N,branch,вай
132,Blatt::N,leaf,куар
133,Birke::N,birch,кызьпу
134,Kiefer[Baum]::N,pine,пужым
135,Weide[Baum]::N,willow,бадьпу
136,Tanne::N,fir,кыз
137,Horn::N,horn,сюр
138,Feder::N,feather,тылы
139,Fell::N,fur,ку
140,Flügel::N,wing,бурд
141,Klaue::N,claw,гижы
142,Kralle::N,claw,пыд
143,Schwanz::N,tail,быж
144,Ei::N,egg,пуз
145,Ei::N,egg,кукей
146,Nest::N,nest,кар
147,Nest::N,nest,пузкар
148,Bau::N,lair,кар
149,Bau::N,lair,гу
150,Tier::N,animal,пӧйшур
151,Herde::N,flock,уллё
152,Kuh::N,cow,скал
153,Bulle::N,bull,ош
154,Bulle::N,bull,пороз
155,Pferd::N,horse,вал
156,Schaf::N,sheep,ыж
157,Schwein::N,pig,парсь
158,Hund::N,dog,пуны
159,Katze::N,cat,коӵыш
160,Bär::N,bear,гондыр
161,Eichhörnchen::N,squirrel,коньы
162,Elch::N,elk,койык
163,Fuchs::N,fox,ӟичы
164,Hase::N,hare,кеч
165,Maus::N,mouse,шыр
166,Wolf::N,wolf,кион
167,Vogel::N,bird,тылобурдо
168,Schwarm::N,swarm,уллё
169,Huhn::N,chicken,курег
170,Hahn::N,cock,атас
171,Gans::N,goose,ӟазег
172,Adler::N,eagle,ӧрзи
173,Ente::N,duck,ӵӧж
174,Eule::N,owl,кучыран
175,Kranich::N,crane,тури
176,Krähe::N,crow,куака
177,Kuckuck::N,cuckoo,кикы
178,Schwan::N,swan,юсь
179,Fisch::N,fish,чорыг
180,Barsch::N,perch,юш
181,Hecht::N,pike,чипей
182,Schlange[Tier]::N,snake,кый
183,Wurm::N,worm,нумыр
184,Spinne::N,spider,чонари
185,Ameise::N,ant,кузьыли
186,Laus::N,louse,тэй
187,Mücke::N,midge,нымы
188,Mücke::N,midge,чибинь
189,Fliege::N,fly,кут
