,Concept_ID,ku,hu
0,Auge::N,çav,szem
1,Ohr::N,guh,fül
2,Nase::N,bêvil,orr
3,Mund::N,dev,száj
4,Zahn::N,didan,fog
5,Zunge::N,ziman,nyelv
6,Lippe::N,lêv,ajak
7,Wange::N,dêm,orca
8,Wange::N,hinarik,orca
9,Gesicht::N,rû,arc
10,Stirn::N,enî,homlok
11,Haar::N,por,haj
12,Schnurrbart::N,simbêl,bajusz
13,Bart::N,rih,szakáll
14,Kinn::N,zenî,áll
15,Kiefer[Anatomie]::N,arguşk,állkapocs
16,Kehle::N,qirik,gége
17,Kehle::N,qirik,torok
18,Hals::N,stû,nyak
19,Hals::N,qirik,nyak
20,Genick::N,stû,tarkó
21,Kopf::N,serî,fő
22,Kopf::N,serî,fej
23,Rücken::N,pişt,hát
24,Bauch::N,ûr,has
25,Bauch::N,zik,has
26,Nabel::N,navik,köldök
27,Busen::N,sîng,mell
28,Busen::N,sîng,kebel
29,Brust::N,sîng,mell
30,Schulter::N,mil,váll
31,Arm::N,çepil,kar
32,Ellenbogen::N,enîşk,könyök
33,Hand::N,dest,kéz
34,Handfläche::N,kefadest,tenyér
35,Finger::N,tilî,ujj
36,Fingernagel::N,neynuk,köröm
37,Nagel[Anatomie]::N,bizmar,köröm
38,Zeh::N,tilî linga,lábujj
39,Fuß::N,ling,láb
40,Ferse::N,pahnî,sarok
41,Knie::N,kabok,térd
42,Oberschenkel::N,rahn,comb
43,Bein::N,çip,láb
44,Bein::N,çip,lábszár
45,Körper::N,laş,test
46,Körper::N,gowde,test
47,Haut::N,çerm,bőr
48,Blut::N,xwîn,vér
49,Ader::N,reh,ér
50,Sehne::N,reh,ín
51,Knochen::N,hestî,csont
52,Gehirn::N,mêjî,agy
53,Gehirn::N,mêjî,agyvelő
54,Herz::N,dil,szív
55,Magen::N,navêş,gyomor
56,Leber::N,kezeb,máj
57,Atem::N,hilm,lehelet
58,Atem::N,hilm,lélegzet
59,Hunger::N,birçîtî,éhség
60,Träne::N,hêstir,könny
61,Geschmack::N,tam,íz
62,Geruch::N,bêhn,szag
63,Schlaf::N,xew,álom
64,Schlaf::N,xew,alvás
65,Traum::N,xewn,álom
66,Himmel::N,ezman,ég
67,Himmel::N,ezman,menny
68,Sonne::N,roj,nap
69,Mond::N,heyv,hold
70,Stern::N,stêrk,csillag
71,Luft::N,ba,levegő
72,Wind::N,ba,szél
73,Welle::N,şewl,hullám
74,Wasser::N,av,víz
75,Stein::N,kevir,kő
76,Boden::N,herd,föld
77,Boden::N,herd,talaj
78,Erde::N,ax,föld
79,Staub::N,toz,por
80,Rauch::N,dû,füst
81,Funke::N,çirûşk,szikra
82,Feuer::N,agir,tűz
83,Licht::N,ronahî,fény
84,Schatten::N,sî,árnyék
85,Wetter::N,hewa,idő
86,Wetter::N,hewa,időjárás
87,Nebel::N,mij,köd
88,Wolke::N,ewr,felhő
89,Regen::N,baran,eső
90,Schnee::N,berf,hó
91,Eis::N,qeşa,jég
92,Frost::N,xûsik,fagy
93,Kälte::N,serma,hideg
94,Hitze::N,germayî,hő
95,Hitze::N,germayî,hőség
96,Raureif::N,şext,zúzmara
97,Regenbogen::N,heftreng,szivárvány
98,Donner::N,gire-gir,dörgés
99,Donner::N,gire-gir,mennydörgés
100,Strömung::N,şewl,áramlat
101,Tropfen::N,dilop,csepp
102,Schaum::N,kef,hab
103,Schaum::N,kef,tajték
104,Schmutz::N,gemar,piszok
105,See::N,gol,tó
106,Sumpf::N,hezek,mocsár
107,Moor::N,mafêl,láp
108,Wiese::N,sûrik,rét
109,Wiese::N,sûrik,mező
110,Wald::N,çiya,erdő
111,Wald::N,daristan,erdő
112,Hügel::N,gir,domb
113,Anhöhe::N,sere gir,magaslat
114,Berg::N,kaş,hegy
115,Gipfel::N,sere gir,csúcs
116,Höhle::N,şikeft,barlang
117,Abhang::N,kaş,lejtő
118,Quelle::N,kanî,forrás
119,Bach::N,çem,patak
120,Fluss::N,çem,folyó
121,Fluss::N,rûbar,folyó
122,Ufer::N,kevî,part
123,Küste::N,berav,tengerpart
124,Festland::N,bejahî,szárazföld
125,Meer::N,behr,tenger
126,Bucht::N,derav,öböl
127,Insel::N,girav,sziget
128,Blume::N,kulînk,virág
129,Gras::N,giha,fű
130,Wurzel::N,reh,gyökér
131,Baum::N,dar,fa
132,Stamm::N,bavik,tő
133,Stamm::N,bavik,törzs
134,Rinde::N,qaqil,kéreg
135,Ast::N,gulî,ág
136,Zweig::N,şax,gally
137,Blatt::N,pel,levél
138,Birke::N,dara sipî,nyír
139,Kiefer[Baum]::N,dara bî,fenyő
140,Weide[Baum]::N,dara belalûk,fűz
141,Tanne::N,merx,fenyő
142,Horn::N,strô,szarv
143,Feder::N,pîrtîk,toll
144,Fell::N,heyar,szőr
145,Fell::N,heyar,bunda
146,Flügel::N,per,szárny
147,Klaue::N,napîk,köröm
148,Kralle::N,dinik,karom
149,Kralle::N,dirnax,karom
150,Schwanz::N,dûv,farok
151,Ei::N,hêk,tojás
152,Nest::N,hêlîn,fészek
153,Bau::N,avahî,odú
154,Tier::N,heywan,állat
155,Herde::N,hoz,nyáj
156,Herde::N,hoz,csorda
157,Kuh::N,çêlek,tehén
158,Bulle::N,ga,bika
159,Pferd::N,hesp,ló
160,Schaf::N,mîh,juh
161,Schaf::N,mîh,birka
162,Schwein::N,beraz,sertés
163,Hund::N,seh,eb
164,Hund::N,seh,kutya
165,Katze::N,pişîk,macska
166,Bär::N,hirç,medve
167,Eichhörnchen::N,pilûr,mókus
168,Elch::N,pazkovî,jávorszarvas
169,Fuchs::N,rovî,róka
170,Hase::N,kîroşk,nyúl
171,Maus::N,mişk,egér
172,Wolf::N,gur,farkas
173,Vogel::N,çûk,madár
174,Schwarm::N,lufik,raj
175,Huhn::N,mirîşk,tyúk
176,Hahn::N,dîk,kakas
177,Gans::N,qaz,lúd
178,Gans::N,qaz,liba
179,Adler::N,eylo,sas
180,Ente::N,werdek,kacsa
181,Eule::N,bûm,bagoly
182,Eule::N,kund,bagoly
183,Kranich::N,quling,daru
184,Krähe::N,qijik,varjú
185,Kuckuck::N,pepûk,kakukk
186,Schwan::N,qû,hattyú
187,Fisch::N,masî,hal
188,Barsch::N,okûn,sügér
189,Hecht::N,mesîyê lûf,csuka
190,Schlange[Tier]::N,mar,kígyó
191,Wurm::N,kurm,kukac
192,Spinne::N,pîrê,pók
193,Ameise::N,mîro,hangya
194,Ameise::N,gêrîk,hangya
195,Laus::N,spi,tetű
196,Mücke::N,mêş,szúnyog
197,Fliege::N,mêş,légy
198,Schmetterling::N,perperîk,lepke
199,Schmetterling::N,perperîk,pillangó
200,Beere::N,hirç,bogyó
201,Apfel::N,sêv,alma
202,Pilz::N,bîrov,gomba
203,Zwiebel::N,pîvaz,hagyma
204,Saat::N,tov,vetőmag
205,Korn::N,dexl,mag
206,Korn::N,dexl,szem
