,Concept_ID,cv,en
0,Auge::N,куҫ,eye
1,Ohr::N,хӑлха,ear
2,Nase::N,сӑмса,nose
3,Mund::N,ҫӑвар,mouth
4,Zahn::N,шӑл,tooth
5,Zunge::N,чӗлхе,tongue
6,Lippe::N,тута,lip
7,Wange::N,пит ҫӑмарти,cheek
8,Gesicht::N,пит,face
9,Gesicht::N,пит-куҫ,face
10,Stirn::N,ҫамка,forehead
11,Haar::N,ҫӳҫ,hair
12,Schnurrbart::N,усси,moustache
13,Bart::N,сухал,beard
14,Kinn::N,янах,chin
15,Kiefer[Anatomie]::N,янах,jaw
16,Kehle::N,пыр,throat
17,Kehle::N,карланкӑ,throat
18,Hals::N,пыр,neck
19,Genick::N,ӗнсе,nape
20,Kopf::N,пуҫ,head
21,Rücken::N,ҫурӑм,back
22,Rücken::N,ҫурӑм,spine
23,Nabel::N,кӑвапа,navel
24,Busen::N,кӑкӑр,bosom
25,Brust::N,умӗ,chest
26,Brust::N,умӗ,breast
27,Schulter::N,хул пуҫҫи,shoulder
28,Arm::N,алӑ,arm
29,Ellenbogen::N,чавса,elbow
30,Hand::N,алӑ сыппи,hand
31,Handfläche::N,ал лаппи,palm
32,Finger::N,пӳрне,finger
33,Fingernagel::N,чӗрне,fingernail
34,Nagel[Anatomie]::N,чӗрне,nail
35,Zeh::N,пӳрне,toe
36,Fuß::N,ура лаппи,foot
37,Ferse::N,кӗле,heel
38,Knie::N,чӗркуҫҫи,knee
39,Oberschenkel::N,пӗҫӗ,thigh
40,Bein::N,ура,leg
41,Körper::N,ӳт,body
42,Körper::N,ӳт-пӳ,body
43,Haut::N,тир,skin
44,Blut::N,юн,blood
45,Ader::N,вена,vein
46,Sehne::N,шӑнӑр,sinew
47,Knochen::N,шӑмӑ,bone
48,Gehirn::N,миме,brain
49,Herz::N,чӗре,heart
50,Magen::N,хырӑмлӑх,stomach
51,Leber::N,пӗвер,liver
52,Atem::N,сывлав,breath
53,Hunger::N,выҫлӑх,hunger
54,Träne::N,куҫҫуль,tear
55,Geschmack::N,техӗм,flavour
56,Geschmack::N,техӗм,flavor
57,Geruch::N,шӑршӑ,odour
58,Geruch::N,шӑршӑ,odor
59,Schlaf::N,ыйхӑ,sleep
60,Traum::N,тӗлӗк,dream
61,Himmel::N,пӗлӗт,sky
62,Sonne::N,хӗвел,sun
63,Mond::N,уйӑх,moon
64,Stern::N,ҫӑлтӑр,star
65,Luft::N,сывлӑш,air
66,Wind::N,ҫил,wind
67,Welle::N,хум,wave
68,Wasser::N,шыв,water
69,Wasser::N,шыв-шур,water
70,Stein::N,чул,stone
71,Boden::N,тӑпра,soil
72,Boden::N,тӑпра,ground
73,Erde::N,ҫӗр,earth
74,Staub::N,тусан,dust
75,Rauch::N,тӗтӗм,smoke
76,Funke::N,хӗм,spark
77,Feuer::N,вут,fire
78,Feuer::N,ҫулӑм,fire
79,Licht::N,ҫутӑ,light
80,Schatten::N,сулхӑн,shadow
81,Wetter::N,ҫанталӑк,weather
82,Nebel::N,тӗтре,fog
83,Wolke::N,пӗлӗт,cloud
84,Regen::N,ҫумӑр,rain
85,Schnee::N,юр,snow
86,Eis::N,пӑр,ice
87,Frost::N,сивӗ,frost
88,Kälte::N,сивӗ,chill
89,Hitze::N,вӗри,heat
90,Hitze::N,шӑрӑх,heat
91,Raureif::N,пас,hoarfrost
92,Regenbogen::N,асамат кӗперӗ,rainbow
93,Donner::N,аслати,thunder
94,Strömung::N,юхӑ,current
95,Tropfen::N,тумлам,drop
96,Schaum::N,кӑпӑк,foam
97,Schmutz::N,пылчӑк,dirt
98,See::N,кӳлӗ,lake
99,Sumpf::N,шур,swamp
100,Sumpf::N,шурлӑх,swamp
101,Moor::N,торфлӑ шурлӑх,moor
102,Wiese::N,улӑх,meadow
103,Wiese::N,ҫаран,meadow
104,Wald::N,вӑрман,forest
105,Hügel::N,сӑрт,hill
106,Hügel::N,тӗмеске,hill
107,Anhöhe::N,сӑрт,elevation
108,Berg::N,ту,mountain
109,Gipfel::N,тӳпе,summit
110,Höhle::N,ҫӗр хӑвӑлӗ,cave
111,Abhang::N,тӑвайкки,slope
112,Quelle::N,ҫӑл куҫ,source
113,Bach::N,пӗчӗк шыв,brook
114,Fluss::N,юхан шыв,river
115,Ufer::N,ҫыран,shore
116,Küste::N,тинӗс ҫыранӗ,coast
117,Festland::N,тип ҫӗр,land
118,Meer::N,тинӗс,sea
119,Bucht::N,тинӗс кукӑрӗ,cove
120,Insel::N,утрав,island
121,Blume::N,чечек,flower
122,Gras::N,курӑк,grass
123,Wurzel::N,тымар,root
124,Baum::N,йывӑҫ,tree
125,Stamm::N,вулӑ,trunk
126,Rinde::N,хуйӑр,bark
127,Ast::N,турат,limb
128,Zweig::N,турат,branch
129,Blatt::N,ҫулҫӑ,leaf
130,Birke::N,хурӑн,birch
131,Kiefer[Baum]::N,хыр,pine
132,Weide[Baum]::N,хӑва,willow
133,Tanne::N,чӑрӑш,fir
134,Horn::N,мӑйрака,horn
135,Feder::N,тӗк,feather
136,Fell::N,ҫӑм,fur
137,Flügel::N,ҫунат,wing
138,Klaue::N,чӗрне,claw
139,Kralle::N,ура,claw
140,Schwanz::N,хӳре,tail
141,Ei::N,ҫӑмарта,egg
142,Nest::N,йӑва,nest
143,Bau::N,йӗнӗ,lair
144,Tier::N,выльӑх,animal
145,Herde::N,кӗтӳ,flock
146,Kuh::N,ӗне,cow
147,Bulle::N,вӑкӑр,bull
148,Pferd::N,лаша,horse
149,Schaf::N,сурӑх,sheep
150,Schwein::N,сысна,pig
151,Hund::N,йытӑ,dog
152,Katze::N,кушак,cat
153,Bär::N,упа,bear
154,Eichhörnchen::N,пакша,squirrel
155,Elch::N,пӑши,elk
156,Fuchs::N,тилӗ,fox
157,Hase::N,куян,hare
158,Hase::N,мулкач,hare
159,Maus::N,шӑши,mouse
160,Wolf::N,кашкӑр,wolf
161,Vogel::N,кайӑк,bird
162,Vogel::N,вӗҫен кайӑк,bird
163,Schwarm::N,ушкӑн,swarm
164,Huhn::N,чӑх,chicken
165,Huhn::N,чӑхӑ,chicken
166,Hahn::N,автан,cock
167,Gans::N,хур,goose
168,Adler::N,ӑмӑрт кайӑк,eagle
169,Ente::N,кӑвакал,duck
170,Eule::N,тӑмана,owl
171,Kranich::N,тӑрна,crane
172,Krähe::N,ула курак,crow
173,Kuckuck::N,куккук,cuckoo
174,Schwan::N,акӑш,swan
175,Fisch::N,пулӑ,fish
176,Barsch::N,уланкӑ,perch
177,Hecht::N,ҫӑрттан,pike
178,Schlange[Tier]::N,ҫӗлен,snake
179,Wurm::N,ӑман,worm
180,Spinne::N,эрешмен,spider
181,Ameise::N,кӑткӑ,ant
182,Laus::N,пыйтӑ,louse
183,Mücke::N,вӑрӑм туна,midge
184,Fliege::N,шӑна,fly
185,Schmetterling::N,лӗпӗш,butterfly
186,Beere::N,ҫырла,berry
187,Apfel::N,улма,apple
188,Apfel::N,пан улми,apple
189,Pilz::N,кӑмпа,mushroom
190,Zwiebel::N,сухан,onion
191,Saat::N,вӑрӑ,seed
192,Korn::N,тӗшӗ,grain
193,Korn::N,пӗрчӗ,grain
194,Heu::N,утӑ,hay
195,Schale::N,хупӑ,husk
196,Grube::N,шӑтӑк,pit
197,Falle::N,тапӑ,trap
198,Falle::N,капкӑн,trap
199,Schlinge::N,йӑлӑ,noose
200,Spur::N,йӗр,track
201,Asche::N,кӗл,ashes
202,Dreck::N,пылчӑк,filth
203,Eisen::N,тимӗр,iron
204,Gold::N,ылтӑн,gold
205,Silber::N,кӗмӗл,silver
206,Kohle::N,кӑмрӑк,coal
207,Glas::N,кӗленче,glass
208,Lehm::N,тӑм,clay
209,Sand::N,хӑйӑр,sand
210,Mensch::N,ҫын,human
211,Mensch::N,этем,human
212,Mann::N,ар,man
213,Frau::N,хӗрарӑм,woman
214,Kind::N,ача,child
215,Junge::N,ача,boy
216,Junge::N,ар ҫын ача,boy
217,Mädchen::N,хӗр ача,girl
218,Familie::N,ҫемье,family
219,Familie::N,кил-йыш,family
