,Concept_ID,hr,be
0,Auge::N,oko,вока
1,Ohr::N,uho,вуха
2,Nase::N,nos,нос
3,Mund::N,usta,рот
4,Zahn::N,zub,зуб
5,Zunge::N,jezik,язык
6,Lippe::N,usna,губа
7,Wange::N,obraz,шчака
8,Gesicht::N,lice,твар
9,Stirn::N,čelo,лоб
10,Haar::N,kosa,волас
11,Haar::N,kosa,валасы
12,Schnurrbart::N,brkovi,вус
13,Schnurrbart::N,brkovi,вусы
14,Bart::N,brada,барада
15,Kinn::N,brada,падбародак
16,Kinn::N,podbradak,падбародак
17,Kiefer[Anatomie]::N,čeljust,сківіца
18,Kehle::N,grlo,горла
19,Hals::N,vrat,шыя
20,Genick::N,zatiljak,патыліца
21,Kopf::N,glava,галава
22,Rücken::N,leđa,спіна
23,Rücken::N,hrbat,спіна
24,Bauch::N,trbuh,жывот
25,Nabel::N,pupak,пупок
26,Busen::N,sisa,грудзі
27,Busen::N,njedra,грудзі
28,Brust::N,prsa,грудзі
29,Schulter::N,rame,плячо
30,Schulter::N,pleći,плячо
31,Arm::N,ruka,рука
32,Ellenbogen::N,lakat,локаць
33,Hand::N,ruka,кісць
34,Handfläche::N,dlan,далонь
35,Finger::N,prst,палец
36,Fingernagel::N,nokat,ногаць
37,Nagel[Anatomie]::N,nokat,ногаць
38,Zeh::N,nozni prst,палец
39,Fuß::N,noga,нага
40,Fuß::N,stopalo,нага
41,Ferse::N,peta,пята
42,Ferse::N,peta,пятка
43,Knie::N,koljeno,калена
44,Oberschenkel::N,bedro,бядро
45,Oberschenkel::N,bedro,сцягно
46,Bein::N,noga,нага
47,Körper::N,tijelo,цела
48,Haut::N,put,скура
49,Haut::N,koža,скура
50,Blut::N,krv,кроў
51,Ader::N,žila,вена
52,Ader::N,žila,сасуд
53,Sehne::N,tetiva,жыла
54,Sehne::N,tetiva,цеціва
55,Sehne::N,tetiva,сухажылле
56,Knochen::N,kost,косць
57,Herz::N,srce,сэрца
58,Magen::N,stomak,страўнік
59,Magen::N,želudac,страўнік
60,Leber::N,jetra,печань
61,Atem::N,dah,дыханне
62,Hunger::N,glad,голад
63,Träne::N,suza,сляза
64,Geschmack::N,ukus,смак
65,Geruch::N,njuh,пах
66,Geruch::N,miris,пах
67,Schlaf::N,san,сон
68,Traum::N,san,сон
69,Himmel::N,nebo,неба
70,Sonne::N,sunce,сонца
71,Mond::N,mjesec,месяц
72,Stern::N,zvijezda,зорка
73,Luft::N,zrak,паветра
74,Wind::N,vjetar,вецер
75,Welle::N,val,хваля
76,Welle::N,talas,хваля
77,Wasser::N,voda,вада
78,Stein::N,kamen,камень
79,Boden::N,tlo,глеба
80,Boden::N,zemlja,глеба
81,Erde::N,zemlja,зямля
82,Staub::N,prah,пыл
83,Staub::N,prašina,пыл
84,Rauch::N,dim,дым
85,Funke::N,iskra,іскра
86,Funke::N,varnica,іскра
87,Feuer::N,vatra,агонь
88,Licht::N,svjetlo,святло
89,Schatten::N,hlad,цень
90,Schatten::N,sjena,цень
91,Wetter::N,vrijeme,пагода
92,Wetter::N,vrijeme,надворʼе
93,Nebel::N,magla,туман
94,Wolke::N,oblak,воблака
95,Regen::N,kiša,дождж
96,Schnee::N,snijeg,снег
97,Eis::N,led,лёд
98,Frost::N,mraz,мароз
99,Kälte::N,studen,холад
100,Kälte::N,hladnoća,холад
101,Hitze::N,vrućina,спёка
102,Raureif::N,inje,іней
