,Concept_ID,fa,lv
0,Auge::N,چشم,син
1,Auge::N,چشم,acs
2,Ohr::N,گوش,пель
3,Ohr::N,گوش,auss
4,Nase::N,بینی,ныр
5,Nase::N,بینی,deguns
6,Mund::N,دهان,вом
7,Mund::N,دهان,mute
8,Zahn::N,دندان,пинь
9,Zahn::N,دندان,zobs
10,Zunge::N,زبان,кыв
11,Zunge::N,زبان,mēle
12,Lippe::N,لب,вом дор
13,Lippe::N,لب,lūpa
14,Wange::N,لپ,бан
15,Wange::N,لپ,vaigs
16,Gesicht::N,رو,чужӧм
17,Gesicht::N,رو,seja
18,Gesicht::N,رو,ģīmis
19,Gesicht::N,چهره,чужӧм
20,Gesicht::N,چهره,seja
21,Gesicht::N,چهره,ģīmis
22,Stirn::N,پیشانی,плеш
23,Stirn::N,پیشانی,кымӧс
24,Stirn::N,پیشانی,piere
25,Haar::N,مو,си
26,Haar::N,مو,юрси
27,Haar::N,مو,mats
28,Schnurrbart::N,سبیل,ус
29,Schnurrbart::N,سبیل,пыртсим
30,Schnurrbart::N,سبیل,ūsas
31,Bart::N,ریش,тош
32,Bart::N,ریش,bārda
33,Kinn::N,چانه,тшӧка
34,Kinn::N,چانه,zods
35,Kinn::N,چانه,smakrs
36,Kiefer[Anatomie]::N,فک,черлы
37,Kiefer[Anatomie]::N,فک,алака лы
38,Kiefer[Anatomie]::N,فک,вомкӧтш лы
39,Kiefer[Anatomie]::N,فک,žoklis
40,Kiefer[Anatomie]::N,آرواره,черлы
41,Kiefer[Anatomie]::N,آرواره,алака лы
42,Kiefer[Anatomie]::N,آرواره,вомкӧтш лы
43,Kiefer[Anatomie]::N,آرواره,žoklis
44,Kehle::N,حلق,голя
45,Kehle::N,حلق,rīkle
46,Hals::N,گردن,сьылі
47,Hals::N,گردن,kakls
48,Genick::N,پشت گردن,юрбӧр
49,Genick::N,پشت گردن,балябӧж
50,Genick::N,پشت گردن,sprands
51,Kopf::N,سر,юр
52,Kopf::N,سر,galva
53,Kopf::N,کله,юр
54,Kopf::N,کله,galva
55,Rücken::N,پشت,мыш
56,Rücken::N,پشت,mugura
57,Bauch::N,شکم,рушку
58,Bauch::N,شکم,vēders
59,Nabel::N,ناف,гӧг
60,Nabel::N,ناف,naba
61,Busen::N,پستان,морӧс
62,Busen::N,پستان,krūts
63,Brust::N,سینه,морӧс
64,Brust::N,سینه,krūts
65,Schulter::N,دوش,пельпом
66,Schulter::N,دوش,plecs
67,Schulter::N,شانه,пельпом
68,Schulter::N,شانه,plecs
69,Arm::N,بازو,ки
70,Arm::N,بازو,roka
71,Arm::N,بازو,delms
72,Ellenbogen::N,آرنج,гырддза
73,Ellenbogen::N,آرنج,elkonis
74,Hand::N,دست,ки
75,Hand::N,دست,roka
76,Hand::N,دست,plauksta
77,Handfläche::N,کف دست,ки пыдӧс
78,Handfläche::N,کف دست,delna
79,Handfläche::N,کف دست,plauksta
80,Finger::N,انگشت,чунь
