,Concept_ID,be,xal
0,Auge::N,вока,нүдн
1,Ohr::N,вуха,чикн
2,Nase::N,нос,хамр
3,Mund::N,рот,амн
4,Zahn::N,зуб,шүдн
5,Zunge::N,язык,келн
6,Lippe::N,губа,урл
7,Wange::N,шчака,халх
8,Gesicht::N,твар,нүр
9,Stirn::N,лоб,маңна
10,Haar::N,волас,үсн
11,Haar::N,валасы,үсн
12,Schnurrbart::N,вус,сахл
13,Schnurrbart::N,вусы,сахл
14,Bart::N,барада,сахл
15,Bart::N,барада,өргнә сахл
16,Kinn::N,падбародак,өргн
17,Kiefer[Anatomie]::N,сківіца,өргн
18,Kehle::N,горла,хол
19,Hals::N,шыя,күзүн
20,Genick::N,патыліца,гиҗг
21,Kopf::N,галава,толһа
22,Rücken::N,спіна,нурһн
23,Bauch::N,жывот,гесн
24,Nabel::N,пупок,киисн
25,Busen::N,грудзі,көкн
26,Brust::N,грудзі,чееҗ
27,Schulter::N,плячо,ээм
28,Arm::N,рука,һар
29,Ellenbogen::N,локаць,тоха
30,Hand::N,кісць,баһлцг
31,Handfläche::N,далонь,альхн
32,Finger::N,палец,хурһн
33,Finger::N,палец,һарин хурһн
34,Fingernagel::N,ногаць,хумсн
35,Nagel[Anatomie]::N,ногаць,хумсн
36,Zeh::N,палец,хурһн
37,Zeh::N,палец,көлин хурһн
38,Fuß::N,нага,тавг
39,Ferse::N,пята,өскә
40,Ferse::N,пятка,өскә
41,Knie::N,калена,өвдг
42,Oberschenkel::N,бядро,һуй
43,Oberschenkel::N,сцягно,һуй
44,Bein::N,нага,көл
45,Körper::N,цела,махмуд
46,Haut::N,скура,арсн
47,Blut::N,кроў,цусн
48,Ader::N,вена,судцн
49,Ader::N,сасуд,судцн
50,Sehne::N,жыла,шүрүсн
51,Sehne::N,цеціва,шүрүсн
52,Sehne::N,сухажылле,шүрүсн
53,Knochen::N,косць,ясн
54,Gehirn::N,мозг,экн
55,Herz::N,сэрца,зүркн
56,Magen::N,страўнік,гесн
57,Leber::N,печань,элкн
58,Atem::N,дыханне,әмсхл
59,Hunger::N,голад,харһнлһн
60,Träne::N,сляза,нульмсн
61,Geschmack::N,смак,амтн
62,Geruch::N,пах,үнр
63,Schlaf::N,сон,нөр
64,Traum::N,сон,зүүдн
65,Himmel::N,неба,теңгр
66,Sonne::N,сонца,нарн
67,Mond::N,месяц,сар
68,Stern::N,зорка,одн
69,Luft::N,паветра,аһар
70,Wind::N,вецер,салькн
71,Welle::N,хваля,дольган
72,Wasser::N,вада,усн
73,Stein::N,камень,чолун
74,Boden::N,глеба,Һазр
75,Erde::N,зямля,Һазр
76,Staub::N,пыл,тоосн
77,Rauch::N,дым,утан
78,Funke::N,іскра,очн
79,Feuer::N,агонь,һал
80,Licht::N,святло,герл
81,Schatten::N,цень,сүүдр
82,Wetter::N,пагода,теңгр
83,Wetter::N,надворʼе,теңгр
84,Nebel::N,туман,будн
85,Wolke::N,воблака,үүлн
86,Regen::N,дождж,хур
87,Schnee::N,снег,цасн
88,Eis::N,лёд,мөсн
89,Frost::N,мароз,киитн
90,Kälte::N,холад,киитн
91,Hitze::N,спёка,халун
92,Raureif::N,іней,цаң
93,Raureif::N,іней,кирү
94,Regenbogen::N,вясёлка,солңһ
95,Donner::N,гром,оһтрһун дун
96,Strömung::N,цячэнне,урсхл
97,Tropfen::N,кропля,дусал
98,Schaum::N,пена,көөсн
99,Schmutz::N,гразь,кир
100,See::N,возера,нур
101,Sumpf::N,багна,унул
102,Moor::N,балота,улм
103,Wiese::N,луг,хадлһн
104,Wald::N,лес,ө-модн
105,Hügel::N,узгорак,толһа
106,Anhöhe::N,узвышша,хамр
107,Berg::N,гара,уул
108,Gipfel::N,вяршыня,ора
109,Höhle::N,пячора,хадин көндә
110,Abhang::N,схіл,ташу
111,Quelle::N,крыніца,булг
112,Bach::N,ручай,һооҗур
113,Fluss::N,рака,һол
114,Ufer::N,бераг,көвә
115,Küste::N,узбярэжжа,көвә
116,Küste::N,узбярэжжа,теңгсин көвә
117,Festland::N,суша,хүүрә һазр
118,Meer::N,мора,теңгс
119,Bucht::N,бухта,цекә
120,Bucht::N,бухта,теңгсин цекә
121,Insel::N,востраў,арл
122,Blume::N,кветка,цецг
123,Gras::N,трава,ноһан
124,Wurzel::N,корань,уңг
125,Baum::N,дрэва,модн
126,Stamm::N,ствол,шилв
127,Stamm::N,ствол,һол модн
128,Rinde::N,кара,көрсн
129,Ast::N,сук,ац
130,Zweig::N,галіна,ац
131,Blatt::N,ліст,хамтхасн
132,Birke::N,бяроза,хусм модн
133,Kiefer[Baum]::N,хвоя,шар харһа
134,Kiefer[Baum]::N,сасна,шар харһа
135,Weide[Baum]::N,вярба,удн
136,Tanne::N,яліна,җөөлн цаһан модн
137,Horn::N,рог,өвр
138,Feder::N,пяро,өрвлг
139,Fell::N,шкура,арсн
140,Flügel::N,крыло,җивр
141,Klaue::N,кіпцюр,хумсн
142,Kralle::N,лапа,тавг
143,Schwanz::N,хвост,сүл
144,Ei::N,яйка,өндгн
145,Nest::N,гняздо,үр
146,Bau::N,нара,нүкн
147,Tier::N,жывёла,мал
148,Herde::N,статак,сүрг мал
149,Kuh::N,карова,үкр
150,Bulle::N,бык,бух
151,Pferd::N,конь,мөрн
152,Schaf::N,авечка,хөн
153,Schwein::N,свіння,һаха
154,Hund::N,сабака,ноха
155,Katze::N,кошка,мис
156,Bär::N,мядзведзь,аю
157,Eichhörnchen::N,вавёрка,кермн
158,Elch::N,лось,хандһа
159,Fuchs::N,ліса,арат
160,Hase::N,заяц,туула
161,Maus::N,мыш,хулһн
162,Wolf::N,воўк,чон
163,Vogel::N,птах,шовун
164,Vogel::N,птушка,шовун
165,Schwarm::N,чарада,зел
166,Huhn::N,курыца,така
167,Hahn::N,певень,эр така
168,Gans::N,гусь,һалун
169,Adler::N,арол,һәрд
170,Ente::N,качка,нуһсн
171,Eule::N,сава,һурвлһ
172,Kranich::N,жораў,тоһрун
173,Kranich::N,журавель,тоһрун
174,Krähe::N,варона,шаазһа
175,Kuckuck::N,зязюля,эргин хуцдг
176,Schwan::N,лебедзь,хун
177,Fisch::N,рыба,заһсн
178,Barsch::N,акунь,шүрг
179,Hecht::N,шчупак,цурх
180,Schlange[Tier]::N,змяя,моһа
181,Wurm::N,чарвяк,өтн
