,Concept_ID,ja,ja
0,Auge::N,目,目
1,Ohr::N,耳,耳
2,Nase::N,鼻,鼻
3,Mund::N,口,口
4,Zahn::N,歯,歯
5,Zunge::N,舌,舌
6,Lippe::N,唇,唇
7,Wange::N,頬,頬
8,Gesicht::N,顔,顔
9,Stirn::N,額,額
10,Haar::N,髪,髪
11,Schnurrbart::N,口髭,口髭
12,Bart::N,髭,髭
13,Kinn::N,顎,顎
14,Kiefer[Anatomie]::N,顎,顎
15,Kehle::N,喉,喉
16,Hals::N,首,首
17,Genick::N,首,首
18,Kopf::N,頭,頭
19,Rücken::N,背中,背中
20,Bauch::N,腹,腹
21,Bauch::N,腹,お腹
22,Bauch::N,お腹,腹
23,Bauch::N,お腹,お腹
24,Nabel::N,へそ,へそ
25,Busen::N,乳房,乳房
26,Brust::N,胸,胸
27,Schulter::N,肩,肩
28,Arm::N,腕,腕
29,Ellenbogen::N,肘,肘
30,Hand::N,手,手
31,Handfläche::N,手のひら,手のひら
32,Finger::N,指,指
33,Fingernagel::N,爪,爪
34,Nagel[Anatomie]::N,爪,爪
35,Zeh::N,足の指,足の指
36,Fuß::N,足,足
37,Ferse::N,かかと,かかと
38,Knie::N,膝,膝
39,Oberschenkel::N,上腿,上腿
40,Bein::N,足,足
41,Körper::N,体,体
42,Haut::N,皮膚,皮膚
43,Blut::N,血,血
44,Ader::N,血管,血管
45,Sehne::N,腱,腱
46,Knochen::N,骨,骨
47,Gehirn::N,脳,脳
48,Herz::N,心,心
49,Herz::N,心,心臓
50,Herz::N,心臓,心
51,Herz::N,心臓,心臓
52,Magen::N,胃,胃
53,Leber::N,肝臓,肝臓
54,Atem::N,息,息
55,Atem::N,息,呼吸
56,Atem::N,呼吸,息
57,Atem::N,呼吸,呼吸
58,Hunger::N,空腹,空腹
59,Träne::N,涙,涙
60,Geschmack::N,味,味
61,Geruch::N,匂い,匂い
62,Schlaf::N,睡眠,睡眠
63,Traum::N,夢,夢
64,Himmel::N,空,空
65,Sonne::N,太陽,太陽
66,Mond::N,月,月
67,Stern::N,星,星
68,Luft::N,空気,空気
69,Wind::N,風,風
70,Welle::N,波,波
71,Wasser::N,水,水
72,Stein::N,石,石
73,Boden::N,土地,土地
74,Erde::N,土,土
75,Staub::N,埃,埃
76,Rauch::N,煙,煙
77,Funke::N,火花,火花
78,Feuer::N,火,火
79,Licht::N,光,光
80,Schatten::N,陰,陰
81,Wetter::N,天気,天気
82,Nebel::N,霧,霧
83,Wolke::N,雲,雲
84,Regen::N,雨,雨
85,Schnee::N,雪,雪
86,Eis::N,氷,氷
87,Frost::N,霜,霜
88,Kälte::N,寒さ,寒さ
89,Hitze::N,暑さ,暑さ
90,Raureif::N,霧氷,霧氷
91,Regenbogen::N,虹,虹
92,Donner::N,雷,雷
93,Strömung::N,流れ,流れ
94,Tropfen::N,滴,滴
95,Schaum::N,泡,泡
96,Schmutz::N,汚れ,汚れ
97,See::N,湖,湖
98,Sumpf::N,沼,沼
99,Moor::N,湿原,湿原
100,Wiese::N,草原,草原
101,Wald::N,森,森
102,Hügel::N,丘,丘
103,Anhöhe::N,高み,高み
104,Berg::N,山,山
105,Gipfel::N,頂上,頂上
106,Höhle::N,洞窟,洞窟
107,Abhang::N,斜面,斜面
108,Quelle::N,泉,泉
109,Bach::N,小川,小川
110,Fluss::N,川,川
111,Ufer::N,岸,岸
112,Küste::N,海岸,海岸
113,Festland::N,陸,陸
114,Meer::N,海,海
115,Bucht::N,湾,湾
116,Insel::N,島,島
117,Blume::N,花,花
118,Gras::N,草,草
119,Wurzel::N,根,根
120,Baum::N,木,木
121,Stamm::N,幹,幹
122,Rinde::N,皮層,皮層
123,Ast::N,枝,枝
124,Zweig::N,小枝,小枝
125,Blatt::N,葉,葉
126,Birke::N,樺,樺
127,Kiefer[Baum]::N,松,松
128,Weide[Baum]::N,柳,柳
129,Tanne::N,樅,樅
130,Horn::N,角,角
131,Feder::N,羽根,羽根
132,Fell::N,毛皮,毛皮
133,Flügel::N,羽,羽
134,Klaue::N,鉤爪,鉤爪
135,Kralle::N,爪,爪
136,Schwanz::N,尻尾,尻尾
137,Ei::N,卵,卵
