,Concept_ID,no,da
0,Auge::N,øye,øje
1,Ohr::N,øre,øre
2,Nase::N,nese,næse
3,Mund::N,munn,mund
4,Zahn::N,tann,tand
5,Zunge::N,tunge,tunge
6,Lippe::N,leppe,læbe
7,Wange::N,kinn,kind
8,Gesicht::N,fjes,ansigt
9,Gesicht::N,ansikt,ansigt
10,Stirn::N,panne,pande
11,Haar::N,hår,hår
12,Schnurrbart::N,bart,overskæg
13,Bart::N,skjegg,skæg
14,Kinn::N,hake,hage
15,Kiefer[Anatomie]::N,kjeve,kæbe
16,Kehle::N,strupe,strube
17,Hals::N,hals,hals
18,Genick::N,nakke,nakke
19,Kopf::N,hode,hoved
20,Rücken::N,rygg,ryg
21,Bauch::N,buk,mave
22,Bauch::N,mage,mave
23,Nabel::N,navle,navle
24,Busen::N,barm,barm
25,Brust::N,bryst,bryst
26,Schulter::N,skulder,skulder
27,Arm::N,arm,arm
28,Ellenbogen::N,albue,albue
29,Hand::N,hånd,hånd
30,Handfläche::N,håndflate,håndflade
31,Finger::N,finger,finger
32,Fingernagel::N,fingernegl,fingernegl
33,Nagel[Anatomie]::N,negl,negl
34,Zeh::N,tå,tå
35,Fuß::N,fot,fod
36,Ferse::N,hæl,hæl
37,Knie::N,kne,knæ
38,Oberschenkel::N,lår,lår
39,Bein::N,bein,ben
40,Körper::N,kropp,krop
41,Körper::N,kropp,legeme
42,Körper::N,legeme,krop
43,Körper::N,legeme,legeme
44,Haut::N,hud,hud
45,Haut::N,skinn,hud
46,Blut::N,blod,blod
47,Ader::N,åre,åre
48,Sehne::N,sene,sene
49,Knochen::N,bein,ben
50,Knochen::N,knokkel,ben
51,Gehirn::N,hjerne,hjerne
52,Herz::N,hjerte,hjerte
53,Magen::N,mage,mave
54,Leber::N,lever,lever
55,Atem::N,pust,ånde
56,Hunger::N,sult,sult
57,Träne::N,tåre,tåre
58,Geschmack::N,smak,smag
59,Geruch::N,lukt,lugt
60,Schlaf::N,søvn,søvn
61,Traum::N,drøm,drøm
62,Himmel::N,himmel,himmel
63,Sonne::N,sol,sol
64,Mond::N,måne,måne
65,Stern::N,stjerne,stjerne
66,Luft::N,luft,luft
67,Wind::N,vind,vind
68,Welle::N,bølge,bølge
69,Wasser::N,vann,vand
70,Stein::N,stein,sten
71,Boden::N,bakke,jord
72,Erde::N,jord,jord
73,Staub::N,støv,støv
74,Rauch::N,røyk,røg
75,Funke::N,gnist,gnist
76,Feuer::N,ild,ild
77,Licht::N,lys,lys
78,Schatten::N,skygge,skygge
79,Wetter::N,vær,vejr
80,Nebel::N,tåke,tåge
81,Wolke::N,sky,sky
82,Regen::N,regn,regn
83,Schnee::N,snø,sne
84,Eis::N,is,is
