,Concept_ID,eu,uk
0,Auge::N,begi,око
1,Ohr::N,belarri,вухо
2,Nase::N,sudur,ніс
3,Mund::N,aho,рот
4,Zahn::N,hortz,зуб
5,Zunge::N,mihi,язик
6,Lippe::N,ezpain,губа
7,Wange::N,masail,щока
8,Gesicht::N,aurpegi,обличчя
9,Stirn::N,bekoki,лоб
10,Haar::N,ile,волосся
11,Haar::N,bilo,волосся
12,Schnurrbart::N,bibote,вуса
13,Schnurrbart::N,sudurpeko,вуса
14,Bart::N,bizar,борода
15,Kinn::N,kokots,підборіддя
16,Kiefer[Anatomie]::N,masailezur,щелепа
17,Kehle::N,eztarri,горло
18,Hals::N,sama,шия
19,Genick::N,garondo,потилиця
20,Kopf::N,buru,голова
21,Rücken::N,bizkar,спина
22,Bauch::N,sabel,живіт
23,Nabel::N,zilbor,пупок
24,Busen::N,titi,груди
25,Busen::N,ugatz,груди
26,Brust::N,bular,груди
27,Schulter::N,besaburu,плече
28,Arm::N,beso,рука
29,Ellenbogen::N,ukondo,лікоть
30,Hand::N,esku,рука
31,Handfläche::N,ahur,долоня
32,Finger::N,hatz,палець
33,Fingernagel::N,azazkal,ніготь
34,Nagel[Anatomie]::N,azazkal,ніготь
35,Zeh::N,behatz,палець на нозі
36,Fuß::N,oin,нога
37,Ferse::N,orpo,п’ятка
38,Ferse::N,oinburu,п’ятка
39,Knie::N,belaun,коліно
40,Oberschenkel::N,izter,стегно
41,Bein::N,zango,нога
42,Körper::N,soin,тіло
43,Haut::N,azal,шкіра
44,Blut::N,odol,кров
45,Ader::N,zain,вена
46,Sehne::N,gihar-zain,сухожилля
47,Knochen::N,hezur,кістка
48,Gehirn::N,garun,мозок
49,Gehirn::N,burmuin,мозок
50,Herz::N,bihotz,серце
51,Magen::N,urdail,шлунок
52,Leber::N,gibel,печінка
53,Atem::N,hats,дихання
54,Atem::N,arnasa,дихання
55,Hunger::N,gose,голод
56,Träne::N,malko,сльоза
57,Geschmack::N,dasta,смак
58,Geruch::N,usain,запах
59,Schlaf::N,lo,сон
60,Schlaf::N,lo,сплячка
61,Traum::N,amets,сон
62,Himmel::N,zeru,небо
63,Sonne::N,eguzki,сонце
64,Mond::N,ilargi,місяць
65,Stern::N,izar,зірка
66,Luft::N,aire,повітря
67,Wind::N,haize,вітер
68,Welle::N,uhin,хвиля
69,Welle::N,olatu,хвиля
70,Wasser::N,ur,вода
71,Stein::N,harri,камінь
72,Boden::N,lur,ґрунт
73,Boden::N,zoru,ґрунт
74,Erde::N,lur,земля
75,Staub::N,hauts,пил
76,Rauch::N,ke,дим
77,Funke::N,zirta,іскра
78,Funke::N,txinparta,іскра
79,Feuer::N,su,вогонь
80,Licht::N,argi,світло
81,Schatten::N,itzal,тінь
82,Schatten::N,geriza,тінь
83,Wetter::N,eguraldi,погода
84,Nebel::N,laino,туман
85,Wolke::N,hodei,хмара
86,Regen::N,euri,дощ
87,Schnee::N,elur,сніг
88,Eis::N,horma,лід
89,Frost::N,izotzaldi,мороз
90,Kälte::N,hotz,холод
91,Hitze::N,bero,жар
92,Raureif::N,antzigar,іній
93,Regenbogen::N,ostadar,райдуга
94,Regenbogen::N,ortzadar,райдуга
95,Donner::N,ostots,грім
96,Donner::N,ihurtzuri,грім
97,Strömung::N,laster,струмина
98,Tropfen::N,xorta,крапля
99,Schaum::N,bits,піна
100,Schmutz::N,lohi,бруд
101,Schmutz::N,zikin,бруд
102,See::N,laku,озеро
103,See::N,aintzira,озеро
104,Sumpf::N,zingira,драговина
105,Moor::N,zohikaztegi,болото
106,Wiese::N,larre,луг
107,Wiese::N,larre,лука
108,Wiese::N,belardi,луг
109,Wiese::N,belardi,лука
110,Wald::N,baso,ліс
111,Wald::N,oihan,ліс
112,Hügel::N,muino,горб
113,Hügel::N,pentoka,горб
114,Anhöhe::N,garai,височина
115,Anhöhe::N,goragune,височина
116,Berg::N,mendi,гора
117,Gipfel::N,gain,вершина
118,Gipfel::N,tontor,вершина
119,Höhle::N,kobazulo,печера
120,Abhang::N,aldapa,схил
121,Quelle::N,iturri,джерело
122,Quelle::N,iturbegi,джерело
123,Bach::N,lats,струмок
124,Bach::N,erreka,струмок
125,Fluss::N,ibai,річка
126,Fluss::N,uhaitz,річка
