,Concept_ID,te,se
0,Auge::N,కన్ను,tjelmie
1,Auge::N,కన్ను,tjalmme
2,Auge::N,కన్ను,čalbmi
3,Auge::N,కన్ను,čalme
4,Auge::N,కన్ను,čâ´lmm
5,Auge::N,కన్ను,ча̄лльм
6,Ohr::N,చెవి,bieljie
7,Ohr::N,చెవి,biellje
8,Ohr::N,చెవి,beallji
9,Ohr::N,చెవి,pelji
10,Ohr::N,చెవి,pe´llj
11,Ohr::N,చెవి,пе̄лльй
12,Nase::N,ముక్కు,njuenie
13,Nase::N,ముక్కు,njunnje
14,Nase::N,ముక్కు,njunni
15,Nase::N,ముక్కు,njuṇe
16,Nase::N,ముక్కు,njuu´nn
17,Nase::N,ముక్కు,нюннҍ
18,Mund::N,నోరు,njaelmie
19,Mund::N,నోరు,njálmme
20,Mund::N,నోరు,njálbmi
21,Mund::N,నోరు,njälmi
22,Mund::N,నోరు,njä´lmm
23,Mund::N,నోరు,ня̄лльм
24,Zahn::N,పల్లు,baenie
25,Zahn::N,పల్లు,bádne
26,Zahn::N,పల్లు,bátni
27,Zahn::N,పల్లు,pääṇi
28,Zahn::N,పల్లు,pää´nn
29,Zahn::N,పల్లు,па̄ннҍ
30,Zunge::N,నాలుక,njoektjeme
31,Zunge::N,నాలుక,njuovtjav
32,Zunge::N,నాలుక,njuovčča
33,Zunge::N,నాలుక,njuovčâ
34,Zunge::N,నాలుక,njuhččâm
35,Zunge::N,నాలుక,нюхчем
36,Lippe::N,పెదవి,bangseme
37,Lippe::N,పెదవి,njálmmerabdda
38,Lippe::N,పెదవి,bavssa
39,Lippe::N,పెదవి,poovsâ
40,Lippe::N,పెదవి,põõus
41,Lippe::N,పెదవి,пэ̄кс
42,Wange::N,చెంప,skiehrie
43,Wange::N,చెంప,nierra
44,Wange::N,చెంప,muohtu
45,Wange::N,చెంప,nieṛâ
46,Wange::N,చెంప,njiõrr
47,Wange::N,చెంప,нӣрр
48,Gesicht::N,ముఖము,ååredæjja
49,Gesicht::N,ముఖము,muohto
50,Gesicht::N,ముఖము,muođut
51,Gesicht::N,ముఖము,ámadadju
52,Gesicht::N,ముఖము,muáđuh
53,Gesicht::N,ముఖము,muâđ
54,Gesicht::N,ముఖము,ка̄ссв
55,Stirn::N,నుదురు,gaalloe
56,Stirn::N,నుదురు,gállo
57,Stirn::N,నుదురు,gállu
58,Stirn::N,నుదురు,kállu
59,Stirn::N,నుదురు,käll
60,Stirn::N,నుదురు,вуэххьц
61,Haar::N,వెండ్రుక,voepte
62,Haar::N,వెండ్రుక,vuoppta
63,Haar::N,వెండ్రుక,vuokta
64,Haar::N,వెండ్రుక,vuop'tâ
65,Haar::N,వెండ్రుక,vuõpt
66,Haar::N,వెండ్రుక,вӯппт
67,Schnurrbart::N,మీసము,bijjie-skaavtjoe
68,Schnurrbart::N,మీసము,njunjevuolskávttjá
69,Schnurrbart::N,మీసము,seamu
70,Schnurrbart::N,మీసము,siämu
71,Schnurrbart::N,మీసము,ää´bben
72,Schnurrbart::N,మీసము,о̄а̄бпан
73,Bart::N,గడ్డము,skaavtja
74,Bart::N,గడ్డము,skaavtjoe
75,Bart::N,గడ్డము,skávttjá
76,Bart::N,గడ్డము,seamu
77,Bart::N,గడ్డము,siämu
78,Bart::N,గడ్డము,seäm
79,Bart::N,గడ్డము,ся̄м
80,Kinn::N,గడ్డము,gaejpie
81,Kinn::N,గడ్డము,gájbbe
82,Kinn::N,గడ్డము,gáibi
83,Kinn::N,గడ్డము,käibi
84,Kinn::N,గడ్డము,käi´bb
85,Kinn::N,గడ్డము,ка̄ййп
86,Kiefer[Anatomie]::N,దౌడ,gaejpie
87,Kiefer[Anatomie]::N,దౌడ,oalol
88,Kiefer[Anatomie]::N,దౌడ,oaloldákte
89,Kiefer[Anatomie]::N,దౌడ,gáibi
90,Kiefer[Anatomie]::N,దౌడ,uá'lultähti
91,Kiefer[Anatomie]::N,దౌడ,vuâl'lõš
