,Concept_ID,en,kv
195,Asche::N,ashes,пӧим
196,Dreck::N,filth,нять
197,Eisen::N,iron,кӧрт
198,Gold::N,gold,зарни
199,Silber::N,silver,язісь
200,Kohle::N,coal,шом
201,Kohle::N,coal,уголь
202,Glas::N,glass,стекло
203,Lehm::N,clay,сёй
204,Sand::N,sand,лыа
205,Mensch::N,human,морт
206,Mann::N,man,мужик
207,Frau::N,woman,инька
208,Kind::N,child,кага
209,Junge::N,boy,зонка
210,Mädchen::N,girl,нывкаок
211,Familie::N,family,семья
212,Großvater::N,grandfather,дед
213,Großmutter::N,grandmother,баб
214,Eltern::N,parents,ай-мам
215,Vater::N,father,ай
216,Mutter::N,mother,мам
217,Sohn::N,son,зон
218,Tochter::N,daughter,ныв
219,Bruder::N,brother,вон
220,Schwester::N,sister,сой
221,Onkel::N,uncle,дядь
222,Tante::N,aunt,айӧлӧн сой
223,Tante::N,aunt,ичинь
224,Ehemann::N,husband,жӧник
225,Ehefrau::N,wife,инь
226,Freude::N,joy,гаж
227,Freude::N,joy,радъялӧм
228,Gelächter::N,laughter,сералӧм
229,Glück::N,happiness,мичлун
230,Kummer::N,grief,шог
231,Wunsch::N,wish,мӧдӧм
232,Wunsch::N,wish,охотитӧм
233,Lust::N,desire,охота
234,Geist::N,spirit,лов
235,Gedanke::N,thought,дума
236,Gedächtnis::N,memory,тӧдвыв
237,Verstand::N,mind,вежӧр
238,Sinn::N,meaning,ылӧс
239,Grund::N,reason,мог
240,Wahrheit::N,truth,правда
241,Gespräch::N,talk,сёрни
242,Märchen::N,fairy tale,сказка
243,Erzählung::N,story,висьт
244,Nachricht::N,message,юӧр
245,Nachricht::N,message,висьталӧм
246,Neuigkeit::N,news,новость
247,Name::N,name,ним
248,Rätsel::N,puzzle,загадка
249,Rede::N,speech,сёрни
250,Sprache::N,language,кыв
251,Stimme::N,voice,голос
252,Wort::N,word,кыв
253,Zeichen::N,sign,пас
254,Ruf::N,call,чуксӧм
255,Ruf::N,call,чукӧстӧм
256,Lärm::N,noise,шум
257,Laut::N,sound,шы
258,Ton::N,tone,гор
259,Lied::N,song,сьыланкыв
260,Ruhe::N,calm,спокой
261,Leute::N,people,йӧз
262,Volk::N,nation,йӧз
263,Volk::N,nation,народ
264,Arbeit::N,work,удж
265,Gast::N,guest,гӧсь
266,Geschenk::N,gift,гӧснеч
267,Geschenk::N,gift,подарок
268,Spiel::N,game,орсӧм
269,Gesellschaft::N,company,компания
270,Hilfe::N,help,отсӧт
271,Freund::N,friend,модз
272,Freund::N,friend,дружок
273,Kamerad::N,companion,тӧдса
274,Angelegenheit::N,matter,дело
275,Anzahl::N,count,лыд
276,Art::N,sort,пӧлӧс
277,Stück::N,piece,тор
278,Teil::N,part,юкӧм
279,Hälfte::N,half,джын
280,Kreis::N,circle,круг
281,Kreuz::N,cross,перна
282,Linie::N,line,визь
283,Strich::N,stroke,кырӧв
284,Abstand::N,gap,колас
285,Entfernung::N,distance,ылына
286,Gegend::N,area,места
287,Platz::N,space,места
288,Ort::N,place,места
289,Seite::N,side,ладор
290,Mitte::N,middle,шӧр
291,Gegenstand::N,item,тор
292,Sache::N,thing,тор
293,Rand::N,fringe,дор
294,Kante::N,edge,ордлы
295,Ecke::N,corner,пельӧс
296,Spitze::N,tip,йыв
297,Ende::N,end,йыв
298,Loch::N,hole,осьта
299,Winkel::N,angle,пельӧс
300,Muster::N,pattern,сер
301,Größe::N,size,ыжда
302,Länge::N,length,кузя
303,Höhe::N,height,сувда
304,Höhe::N,height,вылына
305,Gewicht::N,weight,сьӧкта
306,Menge::N,amount,
307,Haufen::N,heap,куча
308,Reihe::N,row,лёдз
309,Boot::N,boat,пыж
310,Ruder::N,oar,пелыс
311,Schlitten::N,sleigh,додь
312,Ski::N,ski,лямпа
313,Lagerfeuer::N,campfire,бипур
314,Last::N,load,тягота
315,Gang::N,walk,мунӧм
316,Schritt::N,step,вожмӧв
317,Norden::N,north,ой
318,Süden::N,south,лун
319,Westen::N,west,рытвыв
320,Osten::N,east,асыв
321,Holz::N,wood,пу
322,Brett::N,board,пӧв
323,Platte::N,slab,плита
324,Stütze::N,bracket,пика
325,Stange::N,pole,зор
326,Stange::N,pole,потш
327,Stock::N,stick,бедь
328,Stab::N,staff,шест
329,Rohr::N,pipe,труба
330,Haus::N,house,керку
331,Heim::N,home,керку
332,Ofen::N,stove,пӧжавны
333,Fußboden::N,floor,джодж
334,Tisch::N,table,пызан
335,Stuhl::N,chair,стул
336,Wiege::N,cradle,зыбка
337,Bett::N,bed,кровать
338,Regal::N,shelf,джадж
339,Kiste::N,box,ящик
340,Fenster::N,window,ӧшын
341,Tür::N,door,ыбӧс
342,Tor::N,gate,ворота
343,Zaun::N,fence,забор
344,Dach::N,roof,крыша
345,Leiter::N,ladder,лиснич
346,Besen::N,broom,рос
347,Spaten::N,spade,зыр
348,Schaufel::N,shovel,зыр
349,Gabel::N,fork,вила
