,Concept_ID,ab,da
0,Auge::N,ала,øje
1,Ohr::N,алымҳа,øre
2,Nase::N,аҧынҵа,næse
3,Mund::N,аҧышə,mund
4,Zahn::N,ахаҧыц,tand
5,Zunge::N,абз,tunge
6,Lippe::N,ақьышə,læbe
7,Wange::N,аӡамҩа,kind
8,Gesicht::N,аҿы,ansigt
9,Stirn::N,алахь,pande
10,Haar::N,ахəыц,hår
11,Schnurrbart::N,аҧаҵа,overskæg
12,Bart::N,ажакьа,skæg
13,Kinn::N,ацламкəыгə,hage
14,Kiefer[Anatomie]::N,ацламҳəа,kæbe
15,Kehle::N,ахəда,strube
16,Hals::N,ахəда,hals
17,Genick::N,ахəдаџьал,nakke
18,Kopf::N,ахы,hoved
19,Rücken::N,азқəа,ryg
20,Bauch::N,амгəа,mave
21,Nabel::N,аҷапан,navle
22,Busen::N,агəыҧҳəы,barm
23,Brust::N,агəышҧы,bryst
24,Schulter::N,ажəҩахыр,skulder
25,Arm::N,амахəар,arm
26,Ellenbogen::N,амашьхəылҵ,albue
27,Hand::N,анапы,hånd
28,Handfläche::N,анапсаргəыҵа,håndflade
29,Finger::N,анацəа,finger
30,Fingernagel::N,анапхыц,fingernegl
31,Nagel[Anatomie]::N,ашьапхыц,negl
32,Zeh::N,ашьацəа,tå
33,Fuß::N,ашьапсыргəыҵа,fod
34,Ferse::N,ашьхəа,hæl
35,Knie::N,ашьамхы,knæ
36,Oberschenkel::N,ауаҭəа,lår
37,Bein::N,ашьапы,ben
38,Körper::N,ацəеижь,krop
39,Körper::N,ацəеижь,legeme
40,Haut::N,ацəа,hud
41,Blut::N,ашьа,blod
42,Ader::N,ада,åre
43,Sehne::N,адаш,sene
44,Knochen::N,абаҩ,ben
45,Gehirn::N,ахшлыбаҩ,hjerne
46,Gehirn::N,ахшыбаҩ,hjerne
47,Herz::N,агəы,hjerte
48,Magen::N,аца,mave
49,Magen::N,ацар,mave
50,Leber::N,агəаҵəа,lever
51,Atem::N,аҧсыҧлагаҩгара,ånde
52,Hunger::N,амла,sult
53,Träne::N,алабжыш,tåre
54,Geschmack::N,агьама,smag
55,Geruch::N,афҩы,lugt
56,Schlaf::N,ацəа,søvn
57,Traum::N,аҧхыӡ,drøm
58,Himmel::N,ажəҩан,himmel
59,Sonne::N,амра,sol
60,Mond::N,амза,måne
61,Stern::N,аеҵəа,stjerne
62,Luft::N,аҳаир,luft
63,Wind::N,аҧша,vind
64,Welle::N,ацəқəырҧа,bølge
65,Wasser::N,аӡы,vand
66,Stein::N,ахаҳə,sten
67,Boden::N,адгьыл,jord
68,Erde::N,адгьыл,jord
69,Staub::N,асаба,støv
70,Rauch::N,алҩа,røg
71,Funke::N,акəиц,gnist
72,Funke::N,ацҧхь,gnist
73,Feuer::N,амца,ild
74,Licht::N,алашара,lys
75,Schatten::N,ашəшьыра,skygge
76,Wetter::N,амш,vejr
77,Nebel::N,анаҟəа,tåge
78,Wolke::N,аҧсҭҳəа,sky
79,Regen::N,ақəа,regn
80,Schnee::N,асы,sne
81,Eis::N,аҵаа,is
82,Frost::N,аҵаа,frost
83,Kälte::N,ахьҭа,kulde
84,Hitze::N,ашоура,hede
85,Raureif::N,аҵааҧшқа,rimfrost
86,Regenbogen::N,ацəаҟəа,regnbue
87,Donner::N,адыд,torden
88,Strömung::N,аиасра,strømning
89,Strömung::N,амҩасра,strømning
90,Tropfen::N,ацəыкəбар,dråbe
91,Schaum::N,ашəах,skum
92,Schmutz::N,алымт,snavs
93,See::N,аӡиа,sø
