,Concept_ID,myv,fa
0,Auge::N,сельме,چشم
1,Ohr::N,пиле,گوش
2,Nase::N,судо,بینی
3,Mund::N,курго,دهان
4,Zahn::N,пей,دندان
5,Zunge::N,кель,زبان
6,Lippe::N,турва,لب
7,Wange::N,чамабока,لپ
8,Wange::N,чамаумарь,لپ
9,Gesicht::N,чама,رو
10,Gesicht::N,чама,چهره
11,Stirn::N,коня,پیشانی
12,Haar::N,черь,مو
13,Schnurrbart::N,ус,سبیل
14,Schnurrbart::N,муюк,سبیل
15,Bart::N,сакал,ریش
16,Kinn::N,уло,چانه
17,Kiefer[Anatomie]::N,пейпакар,فک
18,Kiefer[Anatomie]::N,пейпакар,آرواره
19,Kiefer[Anatomie]::N,пейловажа,فک
20,Kiefer[Anatomie]::N,пейловажа,آرواره
21,Kehle::N,кирьгапарь,حلق
22,Hals::N,кирьга,گردن
23,Genick::N,човонь,پشت گردن
24,Kopf::N,пря,سر
25,Kopf::N,пря,کله
26,Rücken::N,копорь,پشت
27,Bauch::N,пеке,شکم
28,Nabel::N,почо,ناف
29,Busen::N,поте,پستان
30,Brust::N,меште,سینه
31,Schulter::N,лавтов,دوش
32,Schulter::N,лавтов,شانه
33,Arm::N,кедь,بازو
34,Ellenbogen::N,кенерепакарь,آرنج
35,Hand::N,кедь,دست
36,Handfläche::N,кедькуншка,کف دست
37,Handfläche::N,кедьлапушка,کف دست
38,Finger::N,сур,انگشت
39,Fingernagel::N,кенже,ناخن دست
40,Nagel[Anatomie]::N,кенже,ناخن
41,Zeh::N,пильге сур,انگشت پا
42,Fuß::N,пильге,پا
43,Ferse::N,кочкаря,پاشنه
44,Knie::N,эле,زانو
45,Knie::N,эзне,زانو
46,Knie::N,кумажа,زانو
47,Oberschenkel::N,качо,ران
48,Bein::N,пильге,پا
49,Bein::N,пильге,لنگ
50,Körper::N,рунго,تن
51,Körper::N,рунго,بدن
52,Haut::N,киське,پوست
53,Blut::N,верь,خون
54,Ader::N,сан,رگ
55,Sehne::N,коське сан,زردپی
56,Knochen::N,пакарь,استخوان
57,Gehirn::N,удем,مخ
58,Gehirn::N,удем,مغز
59,Herz::N,седей,دل
60,Herz::N,седей,قلب
61,Magen::N,пеке,معده
62,Leber::N,максо,کبد
63,Atem::N,лексема,نفس
64,Atem::N,оймень таргсема,نفس
65,Hunger::N,вачочи,گرسنگی
66,Träne::N,селведь,اشک
67,Geschmack::N,тансть,مزه
68,Geruch::N,чине,بو
69,Schlaf::N,удома,خواب
70,Traum::N,он,رؤیا
71,Himmel::N,менель,فلک
72,Himmel::N,менель,آسمان
73,Sonne::N,чи,آفتاب
74,Sonne::N,чи,خورشید
75,Mond::N,ков,ماه
76,Stern::N,теште,ستاره
77,Luft::N,кошт,هوا
78,Wind::N,варма,باد
79,Welle::N,толкун,موج
80,Wasser::N,ведь,آب
81,Stein::N,кев,سنگ
82,Boden::N,мода,زمین
83,Erde::N,мастор,خاک
84,Erde::N,мастор,زمین
85,Staub::N,пуль,گرد
86,Staub::N,пуль,غبار
87,Rauch::N,качамо,دود
88,Funke::N,сятко,جرقه
89,Feuer::N,тол,آتش
90,Licht::N,валдо,نور
91,Licht::N,валдо,روشنی
92,Schatten::N,сулей,سایه
93,Schatten::N,сулейкс,سایه
94,Wetter::N,ушо,هوا
95,Nebel::N,сув,مه
96,Wolke::N,пель,ابر
97,Regen::N,пиземс,باران
98,Schnee::N,лов,برف
99,Eis::N,эй,یخ
100,Frost::N,кельме,یخبندان
101,Kälte::N,якшамо,سرما
102,Hitze::N,пси,گرما
103,Hitze::N,пси,حرارت
104,Raureif::N,лекш,برف ریزه
105,Regenbogen::N,пурьгинечирьке,رنگین‌کمان
106,Regenbogen::N,пурьгинеёнкс,رنگین‌کمان
107,Donner::N,пурьгине,رعد
108,Strömung::N,чудема,جریان
109,Strömung::N,чудевкс,جریان
110,Tropfen::N,петнявкс,قطره
111,Schaum::N,чов,کف
112,Schmutz::N,рудаз,گل
113,Schmutz::N,рудаз,کثافت
114,See::N,эрьке,دریاچه
115,Sumpf::N,чей,مرداب
116,Sumpf::N,чей,باتلاق
117,Moor::N,чей,باتلاق
118,Wiese::N,луга,چمن
119,Wald::N,вирь,جنگل
120,Hügel::N,губорь,تل
121,Hügel::N,губорь,تپه
122,Hügel::N,пандыне,تل
123,Hügel::N,пандыне,تپه
124,Anhöhe::N,губорь,بلندی
125,Anhöhe::N,пандыне,بلندی
126,Berg::N,пандо,کوه
127,Gipfel::N,пря,قله
128,Höhle::N,пещера,غار
129,Abhang::N,пандочама,سرازیری
130,Quelle::N,ушодкс,چشمه
131,Bach::N,чудикерькс,نهر
132,Fluss::N,лей,رود
133,Ufer::N,чире,ساحل
134,Ufer::N,чире,کرانه
135,Küste::N,лейчире,ساحل
136,Festland::N,мода,خشکی
137,Meer::N,моря,دریا
138,Bucht::N,усия,خلیج
139,Insel::N,усия,جزیره
140,Blume::N,цеця,گل
141,Gras::N,тикше,علف
142,Wurzel::N,юр,ریشه
143,Wurzel::N,ундокс,ریشه
144,Baum::N,чувто,درخت
145,Stamm::N,рунго,تنه
146,Rinde::N,суд,توژ
147,Rinde::N,суд,پوست
148,Rinde::N,керь,توژ
149,Rinde::N,керь,پوست
150,Ast::N,морго,شاخه
151,Zweig::N,тарад,شاخه
152,Blatt::N,лопа,برگ
153,Birke::N,килей,غان
154,Kiefer[Baum]::N,пиче,کاج
155,Weide[Baum]::N,каль,بید
156,Tanne::N,куз,صنوبر
157,Horn::N,сюро,شاخ
158,Feder::N,толга,پر
159,Fell::N,пона,خز
160,Flügel::N,сёлмо,پر
161,Flügel::N,сёлмо,بال
162,Klaue::N,кенже,چنگ
163,Klaue::N,кенже,پنجه
164,Kralle::N,кенже,پنجه
165,Schwanz::N,пуло,دم
166,Ei::N,ал,تخم
167,Nest::N,пизэ,لانه
168,Bau::N,варя,بنا
169,Bau::N,варя,ساختمان
170,Bau::N,пизе,بنا
171,Bau::N,пизе,ساختمان
172,Tier::N,ракша,هیوان
173,Herde::N,стада,رمه
174,Kuh::N,скал,گاو
175,Bulle::N,бука,گاو نر
176,Pferd::N,лишме,اسب
177,Schaf::N,реве,گوسفند
178,Schwein::N,туво,خوک
179,Hund::N,пине,سگ
180,Hund::N,киска,سگ
181,Katze::N,псака,گربه
182,Bär::N,овто,خرس
183,Eichhörnchen::N,ур,سنجاب
184,Elch::N,сярдо,گوزن شمالی
185,Fuchs::N,ривезь,روباه
186,Hase::N,нумоло,خرگوش
187,Maus::N,чеерь,موش
188,Wolf::N,верьгиз,گرگ
189,Vogel::N,нармунь,پرنده
190,Schwarm::N,полк,دسته
191,Schwarm::N,стада,دسته
192,Huhn::N,сараз,مرغ
193,Hahn::N,атякш,خروس
194,Gans::N,гала,غاز
195,Gans::N,мацей,غاز
196,Adler::N,куцькан,عقاب
197,Adler::N,тумоатякш,عقاب
198,Ente::N,яксярго,اردک
199,Ente::N,яксярго,مرغابی
200,Eule::N,корж,جغد
