,Concept_ID,,br
0,Auge::N,,lagad
1,Ohr::N,,skouarn
2,Nase::N,,fri
3,Mund::N,,genoù
4,Zahn::N,,dant
5,Zunge::N,,teod
6,Lippe::N,,muzell
7,Wange::N,,chot
8,Gesicht::N,,dremm
9,Stirn::N,,tal
10,Haar::N,,blev
11,Schnurrbart::N,,mourenn
12,Bart::N,,barv
13,Kinn::N,,groñj
14,Kiefer[Anatomie]::N,,javed
15,Kehle::N,,gouzoug
16,Hals::N,,gouzoug
17,Genick::N,,choug
18,Kopf::N,,penn
19,Rücken::N,,kein
20,Bauch::N,,kof
21,Nabel::N,,begel
22,Busen::N,,bronn
23,Brust::N,,bruched
24,Schulter::N,,skoaz
25,Arm::N,,brec'h
26,Ellenbogen::N,,ilin
27,Hand::N,,dorn
28,Handfläche::N,,palv
29,Finger::N,,biz
30,Fingernagel::N,,ivin
31,Nagel[Anatomie]::N,,ivin
32,Zeh::N,,biz-troad
33,Fuß::N,,troad
34,Ferse::N,,seul
35,Knie::N,,glin
36,Oberschenkel::N,,morzhed
37,Bein::N,,gar
38,Körper::N,,korf
39,Haut::N,,kroc'hen
40,Blut::N,,gwad
41,Ader::N,,gwazhi
42,Sehne::N,,stir
43,Knochen::N,,askorn
44,Gehirn::N,,empenn
45,Herz::N,,kalon
46,Magen::N,,stomog
47,Leber::N,,avu
48,Atem::N,,anal
49,Hunger::N,,naon
50,Träne::N,,daer
51,Geschmack::N,,blaz
52,Geruch::N,,c'hwezh
53,Schlaf::N,,kousked
54,Traum::N,,hune
55,Himmel::N,,oabl
56,Sonne::N,,heol
57,Mond::N,,loar
58,Stern::N,,steredenn
59,Luft::N,,aer
60,Wind::N,,avel
61,Welle::N,,houlenn
62,Wasser::N,,dour
63,Stein::N,,maen
64,Boden::N,,tachenn
65,Erde::N,,douar
66,Staub::N,,poultr
67,Rauch::N,,moged
68,Funke::N,,ful
69,Feuer::N,,tan
70,Licht::N,,gouloù
71,Schatten::N,,disheol
72,Wetter::N,,amzer
73,Nebel::N,,brumenn
74,Wolke::N,,koumoulenn
75,Regen::N,,glav
76,Schnee::N,,erc'h
77,Eis::N,,skorn
78,Frost::N,,rev
79,Kälte::N,,yen
80,Hitze::N,,tommder
81,Raureif::N,,frim
82,Regenbogen::N,,gwareg-ar-glav
83,Donner::N,,kurun
84,Strömung::N,,red
85,Tropfen::N,,bannac'h
86,Tropfen::N,,takenn
87,Schaum::N,,spoum
88,Schmutz::N,,fank
89,See::N,,lenn
90,Sumpf::N,,gwern
91,Moor::N,,taouarc'heg
92,Wiese::N,,prad
93,Wald::N,,koad
94,Hügel::N,,torgenn
95,Anhöhe::N,,run
96,Berg::N,,menez
97,Gipfel::N,,barr
98,Höhle::N,,kav
99,Abhang::N,,naou
100,Quelle::N,,feunteun
101,Bach::N,,gwazh
102,Fluss::N,,stêr
103,Ufer::N,,ribl
104,Küste::N,,aod
105,Festland::N,,douar
106,Meer::N,,mor
107,Bucht::N,,mor-bihan
108,Insel::N,,enez
109,Blume::N,,bleunienn
110,Gras::N,,geot
111,Wurzel::N,,gwrizienn
112,Baum::N,,gwezenn
113,Stamm::N,,kef
114,Rinde::N,,rusk
115,Ast::N,,barr
116,Zweig::N,,bod
117,Blatt::N,,delienn
118,Birke::N,,bezvenn
119,Kiefer[Baum]::N,,pinenn
120,Weide[Baum]::N,,halegenn
121,Tanne::N,,sapenn
122,Horn::N,,korn
123,Feder::N,,pluñv
124,Fell::N,,kreoñ
