,Concept_ID,sv,ta
0,Auge::N,öga,கண்
1,Ohr::N,öra,காது
2,Nase::N,näsa,மூக்கு
3,Mund::N,mun,வாய்
4,Zahn::N,tand,பல்
5,Zunge::N,tunga,நாக்கு
6,Lippe::N,läpp,உதடு
7,Wange::N,kind,கன்னம்
8,Gesicht::N,syn,முகம்
9,Gesicht::N,ansikte,முகம்
10,Stirn::N,panna,முன்னெற்றி
11,Haar::N,hår,முடி
12,Schnurrbart::N,mustasch,மீசை
13,Bart::N,skägg,தாடி
14,Kinn::N,haka,கீழதாடை
15,Kiefer[Anatomie]::N,käke,தாடை
16,Kehle::N,strupe,தொண்டை
17,Hals::N,hals,கழுத்து
18,Genick::N,nacke,கழுத்து
19,Kopf::N,huvud,தலை
20,Rücken::N,rygg,முதுகு
21,Bauch::N,buk,வயிறு
22,Bauch::N,mage,வயிறு
23,Nabel::N,navel,தொப்புள்
24,Busen::N,barm,மார்பகம்
25,Brust::N,bröst, மார்பு
26,Schulter::N,skuldra,தோள்பட்டை
27,Arm::N,arm,கரம்
28,Ellenbogen::N,armbåge,முழங்கை
29,Hand::N,hand,கை
30,Handfläche::N,handflata,உள்ளங்கை
31,Finger::N,finger,விரல்
32,Fingernagel::N,fingernagel,விரல் நகம்
33,Nagel[Anatomie]::N,nagel,நகம்
34,Zeh::N,tå,கால்விரல்
35,Fuß::N,fot,கால்
36,Ferse::N,häl,குதிகால்
37,Knie::N,knä,முழங்கால்
38,Oberschenkel::N,lår,தொடை
39,Bein::N,ben,கால்
40,Körper::N,kropp,உடல்
41,Haut::N,hud,சருமம்
42,Haut::N,skinn,சருமம்
43,Blut::N,blod,இரத்தம்
44,Ader::N,åder,நாளம்
45,Sehne::N,sena,தசைநார்
46,Knochen::N,ben,எலுமபு
47,Gehirn::N,hjärna,மூனை
48,Herz::N,hjärta,இதயம
49,Magen::N,mage,வயிறு
50,Leber::N,lever,கல்லீரல்
51,Atem::N,anda,மூச்சு
52,Atem::N,andedräkt,மூச்சு
53,Hunger::N,svält,பசி
54,Hunger::N,hunger,பசி
55,Träne::N,tår,கண்ணீர்
56,Geschmack::N,smak,நறுமணம்
57,Geruch::N,lukt,துர்நாற்றம்
58,Schlaf::N,sömn,தூக்கம்
59,Traum::N,dröm,கனவு
60,Himmel::N,himmel,வானம்
61,Sonne::N,sol,சூரியன்
62,Mond::N,måne,சந்திரன்
63,Stern::N,stjärna,நட்சத்திரம்
64,Luft::N,luft,காறறு
65,Wind::N,vind,காற்று
66,Welle::N,våg,அலை
67,Welle::N,bölja,அலை
68,Wasser::N,vatten,நீர்
69,Stein::N,sten,கல்
70,Boden::N,mark,தரை
71,Erde::N,jord,மண்
72,Staub::N,damm,தூசி
73,Rauch::N,rök,புகை
74,Funke::N,gnista,தீப்பொறி
75,Feuer::N,eld,தீ
76,Licht::N,ljus,வெளிச்சம்
77,Schatten::N,skugga,நிழல்
78,Wetter::N,väder,வானிலை
79,Nebel::N,dimma,பனிமூட்டம்
80,Nebel::N,töcken,பனிமூட்டம்
81,Wolke::N,sky,மேகம்
82,Wolke::N,moln,மேகம்
83,Regen::N,regn,மழை
84,Schnee::N,snö,உறைபனி
85,Eis::N,is,பனிக்கட்டி
86,Frost::N,frost,உறைபனி
87,Kälte::N,köld,குளிர்ந்த
88,Hitze::N,hetta,சூடு
89,Raureif::N,rimfrost,உறைபனி வெண்திரை
90,Regenbogen::N,regnbåge,வானவில்
91,Donner::N,åska,இடி
92,Donner::N,dunder,இடி
93,Strömung::N,strömning,நீரோட்டம்
94,Tropfen::N,dropper,துளி
95,Schaum::N,skum,நுரை
96,Schmutz::N,lort,அழுக்கு
97,Schmutz::N,smuts,அழுக்கு
98,See::N,sjö,ஏரி
99,Sumpf::N,träsk,சதுப்பு நிலம்
100,Moor::N,myr,முட்புதற்காடு
101,Moor::N,mosse,முட்புதற்காடு
102,Wiese::N,äng,பசும் புல்தரை
103,Wald::N,skog,காடு
104,Hügel::N,höjd,குன்று
105,Hügel::N,kulle,குன்று
106,Anhöhe::N,höjd,பதுக்கை
107,Anhöhe::N,backe,பதுக்கை
108,Berg::N,berg,மலை
109,Berg::N,fjäll,மலை
110,Gipfel::N,topp,உச்சி மாநாடு
111,Höhle::N,håla,குகை
112,Höhle::N,grotta,குகை
113,Abhang::N,slänt,சரிவு
114,Abhang::N,sluttning,சரிவு
115,Quelle::N,källa,மூலம்
116,Bach::N,bäck,ஓடை
117,Fluss::N,älv,ஆறு
118,Fluss::N,flod,ஆறு
119,Ufer::N,strand,நீர்க்கரை
120,Küste::N,kust,கடற்கரை
121,Festland::N,fastland,நிலம்
122,Meer::N,hav,கடல்
123,Bucht::N,vik,சிறுகுடா
124,Bucht::N,bukt,சிறுகுடா
125,Insel::N,ö,தீவு
126,Blume::N,blomma,பூ
127,Blume::N,blomster,பூ
128,Gras::N,gräs,புல்தரை
129,Wurzel::N,rot,வேர்
130,Baum::N,träd,மரம்
131,Stamm::N,stam,அடிமரம்
132,Rinde::N,bark,பட்டை
133,Rinde::N,bark,மரப்பட்டை
134,Ast::N,gren,கினை
135,Zweig::N,kvist,குச்சி
136,Blatt::N,löv,இலை
137,Blatt::N,blad,இலை
138,Birke::N,björk,பிர்ச் மரம்
139,Kiefer[Baum]::N,tall,தேவதாரு மரம்
140,Weide[Baum]::N,pil,மர வகைகளுள் ஒன்று
141,Weide[Baum]::N,vide,மர வகைகளுள் ஒன்று
142,Tanne::N,gran,சாதிக்கய்
143,Horn::N,horn,கொம்பு
144,Feder::N,fjäder,இறகு
145,Fell::N,fäll,மென்முடி
146,Fell::N,skinn,மென்முடி
147,Flügel::N,vinge,இறக்கை
148,Klaue::N,klöv,நகம்
149,Kralle::N,klo,நகம்
150,Schwanz::N,svans,வால்
151,Schwanz::N,stjärt,வால்
152,Ei::N,ägg,முட்டை
153,Nest::N,rede,கூடு
154,Nest::N,näste,கூடு
155,Bau::N,bo,குகை
156,Tier::N,djur,விலங்கு
157,Herde::N,flock,கூட்டம்
158,Kuh::N,ko,பசு
159,Bulle::N,tjur,காளை
160,Pferd::N,häst,குதிரை
161,Schaf::N,får,செம்மறிஆடு
162,Schwein::N,svin,பன்றி
163,Hund::N,hund,நாய்
164,Katze::N,katt,பூனை
165,Bär::N,björn,கரடி
166,Eichhörnchen::N,ekorre,அணில்
167,Elch::N,älg,கடம்பை
168,Fuchs::N,räv,நரி
169,Hase::N,hare,முயல்
170,Maus::N,mus,எலி
171,Wolf::N,varg,ஓநாய்
172,Vogel::N,fågel,பறவை
173,Schwarm::N,svärm,தொகுதி
174,Huhn::N,höns,கோழிக்குஞசு
175,Hahn::N,tupp,சேவல்
176,Gans::N,gås,பெண் வாத்து
177,Adler::N,örn,பருநது
178,Ente::N,anka,வாத்து
179,Eule::N,uggla,ஆந்தை
180,Kranich::N,trana,நாரை
181,Krähe::N,kråka,காகம்
182,Kuckuck::N,gök,குயில்
183,Schwan::N,svan,அன்னம்
184,Fisch::N,fisk,மீன்
185,Barsch::N,abborre,பேர்ச்
186,Hecht::N,gädda,கோலாச்சி மீன்
187,Schlange[Tier]::N,orm,பாம்பு
188,Wurm::N,mask,புழு
189,Spinne::N,spindel,சிலந்தி
