,Concept_ID,ga,lv
0,Auge::N,súil,син
1,Auge::N,súil,acs
2,Ohr::N,cluas,пель
3,Ohr::N,cluas,auss
4,Nase::N,soc,ныр
5,Nase::N,soc,deguns
6,Mund::N,béal,вом
7,Mund::N,béal,mute
8,Zahn::N,fiacail,пинь
9,Zahn::N,fiacail,zobs
10,Zunge::N,teanga,кыв
11,Zunge::N,teanga,mēle
12,Lippe::N,liopa,вом дор
13,Lippe::N,liopa,lūpa
14,Wange::N,grua,бан
15,Wange::N,grua,vaigs
16,Wange::N,leiceann,бан
17,Wange::N,leiceann,vaigs
18,Gesicht::N,éadan,чужӧм
19,Gesicht::N,éadan,seja
20,Gesicht::N,éadan,ģīmis
21,Gesicht::N,aghaidh,чужӧм
22,Gesicht::N,aghaidh,seja
23,Gesicht::N,aghaidh,ģīmis
24,Stirn::N,baithis,плеш
25,Stirn::N,baithis,кымӧс
26,Stirn::N,baithis,piere
27,Stirn::N,clár éadain,плеш
28,Stirn::N,clár éadain,кымӧс
29,Stirn::N,clár éadain,piere
30,Haar::N,gruaig,си
31,Haar::N,gruaig,юрси
32,Haar::N,gruaig,mats
33,Schnurrbart::N,croiméal,ус
34,Schnurrbart::N,croiméal,пыртсим
35,Schnurrbart::N,croiméal,ūsas
36,Bart::N,féasóg,тош
37,Bart::N,féasóg,bārda
38,Kinn::N,smig,тшӧка
39,Kinn::N,smig,zods
40,Kinn::N,smig,smakrs
41,Kiefer[Anatomie]::N,giall,черлы
42,Kiefer[Anatomie]::N,giall,алака лы
43,Kiefer[Anatomie]::N,giall,вомкӧтш лы
44,Kiefer[Anatomie]::N,giall,žoklis
45,Kehle::N,scornach,голя
46,Kehle::N,scornach,rīkle
47,Hals::N,muinéal,сьылі
48,Hals::N,muinéal,kakls
49,Genick::N,baic,юрбӧр
50,Genick::N,baic,балябӧж
51,Genick::N,baic,sprands
52,Kopf::N,ceann,юр
53,Kopf::N,ceann,galva
54,Rücken::N,droim,мыш
55,Rücken::N,droim,mugura
56,Bauch::N,bolg,рушку
57,Bauch::N,bolg,vēders
58,Nabel::N,imleacán,гӧг
59,Nabel::N,imleacán,naba
60,Busen::N,cíoch,морӧс
