,Concept_ID,bn,ro
0,Auge::N,চক্ষু,ochi
1,Ohr::N,কর্ণ,ureche
2,Nase::N,নাক,nas
3,Mund::N,মুখ,gură
4,Zahn::N,দাঁত,dinte
5,Zunge::N,জিহবা,limbă
6,Lippe::N,অধর,buză
7,Wange::N,গণ্ড,bucă
8,Wange::N,গণ্ড,obraz
9,Gesicht::N,মুখমণ্ডল,față
10,Gesicht::N,মুখমণ্ডল,figură
11,Stirn::N,কপাল,frunte
12,Haar::N,চুল,păr
13,Schnurrbart::N,গোঁফ,mustață
14,Bart::N,শ্মশ্রু,barbă
15,Kinn::N,চিবুক,bărbie
16,Kiefer[Anatomie]::N,চোয়াল,falcă
17,Kehle::N,কণ্ঠ,beregată
18,Hals::N,গল,gât
19,Genick::N,ঘাড়,ceafă
20,Kopf::N,মাথা,cap
21,Rücken::N,পৃষ্ঠ,dos
22,Rücken::N,পৃষ্ঠ,spate
23,Rücken::N,পৃষ্ঠ,spinare
24,Bauch::N,উদর,burtă
25,Bauch::N,উদর,pântece
26,Nabel::N,নাভি,buric
27,Busen::N,স্তন,sân
28,Brust::N,বুক,piept
29,Schulter::N,স্কন্ধ,umăr
30,Schulter::N,স্কন্ধ,spate
31,Arm::N,বাহু,braț
32,Ellenbogen::N,কনুই,cot
33,Hand::N,হাত,mână
34,Handfläche::N,করতল,palmă
35,Finger::N,আঙ্গুল,deget
36,Fingernagel::N,হাতের নখ,unghie
37,Nagel[Anatomie]::N,নখ,unghie
38,Zeh::N,আঙ্গুল,deget de la picior
39,Fuß::N,পা,picior
40,Ferse::N,গোড়ালি,călcâi
41,Knie::N,হাঁটু,genunchi
42,Oberschenkel::N,ঊরু,coapsă
43,Bein::N,পা,picior
44,Körper::N,দেহ,corp
45,Haut::N,ত্বক,piele
46,Blut::N,রক্ত,sânge
47,Ader::N,শিরা,vână
48,Ader::N,শিরা,arteră
49,Sehne::N,কণ্ডরা,tendon
50,Knochen::N,অস্থি,os
51,Gehirn::N,মস্তিষ্ক,creier
52,Herz::N,হৃৎপিণ্ড,inimă
53,Magen::N,পাকস্থলী,stomac
54,Leber::N,যকৃৎ,ficat
55,Atem::N,শ্বাস,răsuflare
56,Atem::N,শ্বাস,respirație
57,Hunger::N,ক্ষুধা,foame
58,Träne::N,অশ্রু,lacrimă
59,Geschmack::N,স্বাদ,gust
60,Geruch::N,গন্ধ,miros
61,Schlaf::N,ঘুম,somn
62,Traum::N,স্বপ্ন,vis
63,Himmel::N,আকাশ,cer
64,Sonne::N,সূর্য,soare
65,Mond::N,চন্দ্র,lună
66,Stern::N,নক্ষত্র,stea
67,Luft::N,বায়ু,aer
68,Wind::N,বাতাস,vânt
69,Welle::N,ঢেউ,val
70,Welle::N,ঢেউ,undă
71,Welle::N,তরঙ্গ,val
72,Welle::N,তরঙ্গ,undă
73,Wasser::N,জল,apă
74,Stein::N,ঢিল,piatră
75,Stein::N,প্রস্তর,piatră
76,Boden::N,ভূতল,sol
77,Boden::N,ভূতল,pământ
78,Erde::N,ভূমি,pământ
79,Staub::N,ধুলা,praf
80,Rauch::N,ধোঁয়া,fum
81,Funke::N,স্ফুলিঙ্গ,scânteie
82,Feuer::N,অগ্নি,foc
83,Licht::N,আলো,lumină
84,Schatten::N,ছায়া,umbră
85,Wetter::N,আবহাওয়া,timp
86,Wetter::N,আবহাওয়া,vreme
87,Nebel::N,কুহেলিকা,ceață
88,Nebel::N,কুহেলিকা,negură
89,Wolke::N,মেঘ,nor
90,Regen::N,বৃষ্টি,ploaie
91,Schnee::N,তুষার,zăpadă
92,Eis::N,বরফ,gheață
93,Frost::N,তুষার,ger
94,Kälte::N,শৈত্য,frig
95,Hitze::N,তাপ,arșiță
96,Hitze::N,তাপ,căldură
97,Raureif::N,তুহিন,chiciură
98,Regenbogen::N,রামধনু,curcubeu
99,Donner::N,বজ্রধ্বনি,tunet
100,Strömung::N,স্রোত,curent
101,Tropfen::N,ফোঁটা,picătură
102,Schaum::N,ফেনা,spumă
103,Schmutz::N,ধুলা,murdărie
104,See::N,হ্রদ,lac
105,Sumpf::N,জলা,mlaștină
106,Moor::N,মাঠ,bărăgan
107,Wiese::N,তৃণভূমি,fânaț
108,Wiese::N,তৃণভূমি,livadă
109,Wald::N,বন,codru
110,Wald::N,বন,pădure
111,Hügel::N,পাহাড়,deal
112,Hügel::N,পাহাড়,movilă
113,Anhöhe::N,টিলা,deal
114,Anhöhe::N,টিলা,ridicătură
115,Berg::N,পর্বত,munte
116,Gipfel::N,শীর্ষ,pisc
117,Höhle::N,গুহা,peșteră
118,Abhang::N,ঢাল,pantă
119,Abhang::N,ঢাল,versant
120,Quelle::N,উৎস,izvor
121,Bach::N,ক্ষুদ্র নদী,gârlă
122,Fluss::N,নদী,râu
123,Fluss::N,নদী,fluviu
124,Ufer::N,উপকূল,mal
125,Ufer::N,উপকূল,țărm
126,Küste::N,তীর,coastă
127,Festland::N,ভূমি,uscat
128,Meer::N,সমুদ্র,mare
129,Bucht::N,উপসাগর,golf
130,Insel::N,দ্বীপ,insulă
131,Blume::N,ফুল,floare
132,Gras::N,ঘাস,iarbă
133,Wurzel::N,শিকড়,rădăcină
134,Baum::N,গাছ,copac
135,Baum::N,গাছ,arbore
136,Stamm::N,স্কন্ধ,tulpină
137,Rinde::N,বল্কল,scoarță
138,Ast::N,শাখা,cracă
139,Ast::N,শাখা,creangă
140,Zweig::N,ডাল,ramură
141,Zweig::N,ডাল,creangă
142,Blatt::N,পর্ণ,frunză
143,Birke::N,ভুর্জ,mesteacăn
144,Kiefer[Baum]::N,পাইন গাছ,pin
145,Weide[Baum]::N,উইলো,salcie
146,Weide[Baum]::N,উইলো,răchită
147,Tanne::N,দেবদারূ গাছ,brad
148,Horn::N,শিং,corn
149,Feder::N,পালক,pană
150,Fell::N,রোম,piele
151,Flügel::N,ডানা,aripă
