,Concept_ID,cy,ka
0,Auge::N,llygad,თვალი
1,Ohr::N,clust,ყური
2,Nase::N,trwyn,ცხვირი
3,Mund::N,ceg,პირი
4,Zahn::N,dant,კბილი
5,Zunge::N,tafod,ენა
6,Lippe::N,gwefus,ბაგე
7,Wange::N,boch,ლოყა
8,Gesicht::N,wyneb,სახე
9,Stirn::N,talcen,შუბლი
10,Haar::N,blew,თმა
11,Schnurrbart::N,mwstas,ულვაში
12,Bart::N,barf,წვერი
13,Kinn::N,gên,ნიკაპი
14,Kiefer[Anatomie]::N,gên,ყბა
15,Kehle::N,gwddf,ყელი
16,Hals::N,gwddf,ყელი
17,Hals::N,gwddf,კისერი
18,Genick::N,gwar,კეფა
19,Genick::N,gwegil,კეფა
20,Kopf::N,pen,თავი
21,Rücken::N,cefn,ზურგი
22,Bauch::N,bol,მუცელი
23,Nabel::N,bogail,ჭიპი
24,Busen::N,bron,ძუძუ
25,Brust::N,brest,მკერდი
26,Schulter::N,ysgwydd,მხარი
27,Schulter::N,ysgwydd,მკლავი
28,Arm::N,braich,ხელი
29,Ellenbogen::N,penelin,იდაყვი
30,Hand::N,llaw,ხელი
31,Handfläche::N,palf,ნები
32,Handfläche::N,palf,ხელისგული
33,Finger::N,bys,თითი
34,Fingernagel::N,ewin,ფრჩხილი
35,Nagel[Anatomie]::N,ewin,ფრჩხილი
36,Zeh::N,bys troed,ფეხის თითი
37,Fuß::N,troed,ტერფი
38,Fuß::N,troed,ფეხისგული
39,Ferse::N,sawdl,ქუსლი
40,Knie::N,glin,მუხლი
41,Oberschenkel::N,clun,ბარძაყი
42,Bein::N,coes,ფეხი
43,Körper::N,corff,ტანი
44,Körper::N,corff,სხეული
45,Haut::N,croen,კანი
46,Blut::N,gwaed,სისხლი
47,Ader::N,gwythïen,ძარღვი
48,Sehne::N,gewyn,მყესი
49,Knochen::N,asgwrn,ძვალი
50,Gehirn::N,ymennydd,ტვინი
51,Herz::N,calon,გული
52,Magen::N,cylla,კუჭი
53,Magen::N,stumog,კუჭი
54,Leber::N,iau,ღვიძლი
55,Atem::N,anadl,სუნთქვა
56,Hunger::N,newyn,შიმშილი
57,Träne::N,deigryn,ცრემლი
58,Geschmack::N,cyflas,გემო
59,Geruch::N,aroglau,სუნი
60,Schlaf::N,cwsg,ძილი
61,Traum::N,breuddwyd,სიზმარი
62,Himmel::N,awyr,ცა
63,Sonne::N,haul,მზე
64,Mond::N,lleuad,მთვარე
65,Stern::N,seren,ვარსკვლავი
66,Luft::N,awyr,ჰაერი
67,Wind::N,gwynt,ქარი
68,Welle::N,ton,ტალღა
69,Wasser::N,dŵr,წყალი
70,Stein::N,carreg,ქვა
71,Boden::N,llawr,მიწა
72,Erde::N,pridd,ნიადაგი
73,Staub::N,llwch,მტვერი
74,Rauch::N,mwg,ბოლი
75,Rauch::N,mwg,კვამლი
76,Funke::N,gwreichioni,ნაკვესი
77,Feuer::N,tân,ცეცხლი
78,Licht::N,golau,შუქი
79,Licht::N,golau,სინათლე
80,Schatten::N,cysgod,ლანდი
81,Schatten::N,cysgod,ჩრდილი
82,Wetter::N,tywydd,ამინდი
83,Nebel::N,niwl,ნისლი
84,Wolke::N,cwmwl,ღრუბელი
85,Regen::N,glaw,წვიმა
86,Schnee::N,ôd,თოვლი
87,Schnee::N,eira,თოვლი
88,Eis::N,iâ,თოში
89,Eis::N,iâ,ყინული
90,Frost::N,rhew,ყინვა
91,Kälte::N,oerni,სიცივე
92,Kälte::N,annwyd,სიცივე
93,Hitze::N,gwres,სიცხე
94,Raureif::N,barrug,ჭირხლი
95,Raureif::N,barrug,თრთვილი
96,Regenbogen::N,enfys,ცისარტყელა
97,Donner::N,tyrfau,ქუხილი
98,Strömung::N,cerrynt,დინება
99,Tropfen::N,dafn,წვეთი
