,Concept_ID,it,fa
0,Auge::N,occhio,چشم
1,Ohr::N,orecchio,گوش
2,Nase::N,naso,بینی
3,Mund::N,bocca,دهان
4,Zahn::N,dente,دندان
5,Zunge::N,lingua,زبان
6,Lippe::N,labbro,لب
7,Wange::N,guancia,لپ
8,Gesicht::N,viso,رو
9,Gesicht::N,viso,چهره
10,Gesicht::N,faccia,رو
11,Gesicht::N,faccia,چهره
12,Stirn::N,fronte,پیشانی
13,Haar::N,capello,مو
14,Schnurrbart::N,baffi,سبیل
15,Schnurrbart::N,mustacchi,سبیل
16,Bart::N,barba,ریش
17,Kinn::N,mento,چانه
18,Kiefer[Anatomie]::N,mascella,فک
19,Kiefer[Anatomie]::N,mascella,آرواره
20,Kehle::N,gola,حلق
21,Hals::N,collo,گردن
22,Genick::N,nuca,پشت گردن
23,Kopf::N,capo,سر
24,Kopf::N,capo,کله
25,Kopf::N,testa,سر
26,Kopf::N,testa,کله
27,Rücken::N,dorso,پشت
28,Rücken::N,schiena,پشت
29,Bauch::N,ventre,شکم
30,Nabel::N,ombelico,ناف
31,Busen::N,seno,پستان
32,Brust::N,petto,سینه
33,Schulter::N,spalla,دوش
34,Schulter::N,spalla,شانه
35,Arm::N,braccio,بازو
36,Ellenbogen::N,gomito,آرنج
37,Hand::N,mano,دست
38,Handfläche::N,palma,کف دست
39,Finger::N,dito,انگشت
40,Fingernagel::N,unghia,ناخن دست
41,Nagel[Anatomie]::N,unghia,ناخن
42,Zeh::N,dito del piede,انگشت پا
43,Fuß::N,piede,پا
44,Ferse::N,tallone,پاشنه
45,Ferse::N,calcagno,پاشنه
46,Knie::N,ginocchio,زانو
47,Oberschenkel::N,fèmore,ران
48,Bein::N,gamba,پا
49,Bein::N,gamba,لنگ
50,Körper::N,corpo,تن
51,Körper::N,corpo,بدن
52,Haut::N,pelle,پوست
53,Blut::N,sangue,خون
54,Ader::N,vena,رگ
55,Sehne::N,tèndine,زردپی
56,Knochen::N,osso,استخوان
57,Gehirn::N,cervello,مخ
58,Gehirn::N,cervello,مغز
59,Herz::N,cuore,دل
60,Herz::N,cuore,قلب
61,Magen::N,stòmaco,معده
62,Leber::N,fegato,کبد
63,Atem::N,fiato,نفس
64,Atem::N,respiro,نفس
65,Hunger::N,fame,گرسنگی
66,Träne::N,làcrima,اشک
67,Geschmack::N,gusto,مزه
68,Geschmack::N,sapore,مزه
69,Geruch::N,odore,بو
70,Schlaf::N,sonno,خواب
71,Traum::N,sogno,رؤیا
72,Himmel::N,cielo,فلک
73,Himmel::N,cielo,آسمان
74,Sonne::N,sole,آفتاب
75,Sonne::N,sole,خورشید
76,Mond::N,luna,ماه
77,Stern::N,stella,ستاره
78,Luft::N,aria,هوا
79,Wind::N,vento,باد
80,Welle::N,onda,موج
81,Wasser::N,acqua,آب
82,Stein::N,sasso,سنگ
83,Stein::N,pietra,سنگ
84,Boden::N,suolo,زمین
85,Boden::N,terreno,زمین
86,Erde::N,terra,خاک
87,Erde::N,terra,زمین
88,Staub::N,polvere,گرد
89,Staub::N,polvere,غبار
90,Rauch::N,fumo,دود
91,Funke::N,scintilla,جرقه
92,Feuer::N,fuoco,آتش
