,Concept_ID,nl,mrj
0,Auge::N,oog,сӹнзӓ
1,Ohr::N,oor,пӹлӹш
2,Nase::N,neus,нер
3,Mund::N,mond,ышма
4,Zahn::N,tand,пӱ
5,Zunge::N,tong,йӹлмӹ
6,Lippe::N,lip,тӹрвӹ
7,Wange::N,wang,шӹргӹ
8,Gesicht::N,gelaat,лицӓ
9,Gesicht::N,gezicht,лицӓ
10,Stirn::N,voorhoofd,лепкӓ
11,Haar::N,haar,ӱп
12,Schnurrbart::N,snor,öрш
13,Bart::N,baard,пандаш
14,Kinn::N,kin,онгылаш
15,Kiefer[Anatomie]::N,kaak,пӱ арата
16,Kehle::N,keel,логер
17,Kehle::N,strot,логер
18,Hals::N,hals,шӱ
19,Genick::N,nek,ланга
20,Kopf::N,hoofd,вуй
21,Rücken::N,rug,туп
22,Bauch::N,buik,мӹшкӹр
23,Nabel::N,navel,кӹлӹмдӹ
24,Busen::N,boezem,цӹзӹ
25,Brust::N,borst,мел
26,Schulter::N,schouder,ӹнгӹжӓ
27,Arm::N,arm,кид
28,Ellenbogen::N,elleboog,кӹнервуй
29,Hand::N,hand,лапа
30,Handfläche::N,handpalm,кид лапа
31,Finger::N,vinger,парня
32,Fingernagel::N,nagel,кӹч
33,Nagel[Anatomie]::N,nagel,кӹч
34,Zeh::N,teen,парня
35,Fuß::N,voet,ял лапа
36,Ferse::N,hak,ялгавал
37,Ferse::N,hak,ял кавал
38,Ferse::N,hiel,ялгавал
39,Ferse::N,hiel,ял кавал
40,Knie::N,knie,пылвуй
41,Oberschenkel::N,dij,ӓрдӹ
42,Bein::N,been,ял
43,Körper::N,lichaam,монгыр
44,Haut::N,huid,кавашты
45,Blut::N,bloed,вӹр
46,Ader::N,ader,вӹршӓр
47,Sehne::N,pees,кукшышӱн
48,Knochen::N,bot,лу
49,Knochen::N,been,лу
50,Knochen::N,knook,лу
51,Gehirn::N,hersenen,вим
52,Herz::N,hart,шӱм
53,Magen::N,maag,шӱм
54,Leber::N,lever,мокш
55,Atem::N,adem,шӱлӹш
56,Hunger::N,honger,шужымаш
57,Träne::N,traan,сӹнзӓвӹд
58,Geschmack::N,smaak,тот
59,Geruch::N,geur,пыш
60,Schlaf::N,slaap,ом
61,Traum::N,droom,ом
62,Himmel::N,hemel,пӹлгом
63,Sonne::N,zon,кечӹ
64,Mond::N,maan,тӹлзӹ
65,Stern::N,ster,шӹдӹр
66,Luft::N,lucht,юж
67,Luft::N,lucht,воздух
68,Wind::N,wind,мардеж
69,Welle::N,golf,ко
70,Welle::N,golf,коэ
71,Wasser::N,water,вӹд
72,Stein::N,steen,кӱ
73,Boden::N,grond,рок
74,Erde::N,aarde,свет
75,Staub::N,stof,пырак
76,Rauch::N,rook,шӹкш
77,Funke::N,vonk,ип
78,Funke::N,vonk,тылип
79,Feuer::N,vuur,тыл
80,Licht::N,licht,соты
81,Licht::N,licht,валгыды
82,Schatten::N,schaduw,ӹмӹл
83,Wetter::N,weer,игечӹ
84,Nebel::N,mist,тӹтӹрӓ
85,Nebel::N,nevel,тӹтӹрӓ
86,Wolke::N,wolk,пӹл
87,Regen::N,regen,юр
88,Schnee::N,sneeuw,лым
89,Eis::N,ijs,и
90,Frost::N,vorst,ӱштӹ
91,Kälte::N,kou,ӱштӹ
92,Kälte::N,koude,ӱштӹ
93,Hitze::N,hitte,шокшы
94,Raureif::N,rijp,пöрш
95,Regenbogen::N,regenboog,шанавӹл
96,Donner::N,donder,хӹдӹртӹш
97,Strömung::N,stroming,йогы
98,Tropfen::N,druppel,капльы
99,Tropfen::N,druppel,капльык
100,Schaum::N,schuim,шонг
101,Schmutz::N,vuil,лявӹрӓ
102,See::N,meer,йӓр
103,Sumpf::N,moeras,лӱкӹ
104,Moor::N,veen,куп
105,Wiese::N,wei,алык
106,Wiese::N,weide,алык
107,Wald::N,bos,шӹргӹ
108,Hügel::N,heuvel,пӱгӹрикӓ
109,Anhöhe::N,hoogte,кӱкшикӓ
110,Berg::N,berg,кырык
111,Gipfel::N,top,неркӓ
112,Höhle::N,hol,ы́раж
113,Abhang::N,helling,полом
114,Quelle::N,bron,вӹдсӹнзӓ
115,Bach::N,beek,ӓнгӹр
116,Fluss::N,stroom,вӹд
117,Ufer::N,wal,сир
118,Ufer::N,oever,сир
119,Küste::N,kust,сир
120,Festland::N,vasteland,мӱлӓндӹ
121,Meer::N,zee,тангыж
122,Bucht::N,baai,вӹдъял
123,Bucht::N,inham,вӹдъял
124,Insel::N,eiland,острок
125,Blume::N,bloem,пеледӹш
126,Gras::N,gras,шуды
127,Wurzel::N,wortel,важ
128,Baum::N,boom,пушӓнгӹ
129,Stamm::N,stam,пушӓнгӹ тӹнг
130,Rinde::N,schors,каргыж
131,Ast::N,tak,укш
132,Zweig::N,twijg,укш
133,Blatt::N,blad,листӹ
134,Birke::N,berk,куги
135,Kiefer[Baum]::N,den,йӓктӹ
136,Weide[Baum]::N,wilg,уа
137,Tanne::N,spar,кож
138,Horn::N,hoorn,шур
139,Feder::N,veer,пын
140,Feder::N,pluim,пын
141,Fell::N,vel,кавашты
142,Flügel::N,vleugel,шылдыр
143,Klaue::N,klauw,кӹч
144,Kralle::N,klauw,лапа
145,Schwanz::N,staart,пач
146,Ei::N,ei,мыны
147,Nest::N,nest,пӹжӓш
148,Bau::N,hol,ыраж
149,Tier::N,dier,во́льык
150,Herde::N,kudde,кӹтö
151,Kuh::N,koe,ышкал
152,Bulle::N,stier,ӱшкӱж
153,Pferd::N,paard,имни
154,Schaf::N,schaap,шарык
155,Schwein::N,varken,сасна
156,Hund::N,hond,пи
157,Katze::N,kat,коти
158,Bär::N,beer,мöскӓ
159,Eichhörnchen::N,eekhoorntje,ур
160,Elch::N,eland,шарды
161,Fuchs::N,vos,рӹвӹж
162,Hase::N,haas,морен
163,Maus::N,muis,каля
164,Wolf::N,wolf,пирӹ
165,Vogel::N,vogel,кек
166,Schwarm::N,zwerm,цуца
167,Huhn::N,kip,цӹвӹ
168,Huhn::N,hoen,цӹвӹ
