,Concept_ID,lez,ku
0,Auge::N,вил,çav
1,Ohr::N,яб,guh
2,Nase::N,нер,bêvil
3,Mund::N,сив,dev
4,Zahn::N,сас,didan
5,Zahn::N,свах,didan
6,Zunge::N,мез,ziman
7,Lippe::N,пӏуз,lêv
8,Wange::N,хъвехъ,dêm
9,Wange::N,хъвехъ,hinarik
10,Gesicht::N,ччин,rû
11,Stirn::N,пел,enî
12,Haar::N,чӏар,por
13,Schnurrbart::N,спел,simbêl
14,Schnurrbart::N,спелар,simbêl
15,Bart::N,ччуру,rih
16,Kinn::N,чене,zenî
17,Kiefer[Anatomie]::N,чене,arguşk
18,Kehle::N,туьд,qirik
19,Hals::N,гардан,stû
20,Hals::N,гардан,qirik
21,Genick::N,кьам,stû
22,Kopf::N,кьил,serî
23,Rücken::N,далу,pişt
24,Bauch::N,руфун,ûr
25,Bauch::N,руфун,zik
26,Nabel::N,пицӏ,navik
27,Busen::N,мам,sîng
28,Brust::N,хур,sîng
29,Schulter::N,къуьн,mil
30,Arm::N,гъил,çepil
31,Ellenbogen::N,кьуьнт,enîşk
32,Hand::N,капаш,dest
33,Handfläche::N,капан юкь,kefadest
34,Finger::N,тӏуб,tilî
35,Fingernagel::N,кек,neynuk
36,Nagel[Anatomie]::N,кек,bizmar
37,Zeh::N,кул,tilî linga
38,Fuß::N,кӏвач,ling
39,Ferse::N,дабан,pahnî
40,Knie::N,мет,kabok
41,Bein::N,кӏвач,çip
42,Körper::N,беден,laş
43,Körper::N,беден,gowde
44,Haut::N,хам,çerm
45,Blut::N,иви,xwîn
46,Ader::N,дамар,reh
47,Sehne::N,кьуру дамар,reh
48,Knochen::N,кӏараб,hestî
49,Gehirn::N,мефт,mêjî
50,Herz::N,рикӏ,dil
51,Magen::N,хук,navêş
52,Leber::N,лекь,kezeb
53,Atem::N,ял,hilm
54,Atem::N,нефес,hilm
55,Hunger::N,каш,birçîtî
56,Träne::N,вилин нагъв,hêstir
57,Geschmack::N,дад,tam
58,Geschmack::N,тӏям,tam
59,Geruch::N,ни,bêhn
60,Schlaf::N,ахвар,xew
61,Traum::N,ахвар,xewn
62,Himmel::N,цав,ezman
63,Sonne::N,рагъ,roj
64,Mond::N,варз,heyv
65,Stern::N,гъед,stêrk
66,Luft::N,гьава,ba
67,Wind::N,гар,ba
68,Welle::N,лепе,şewl
69,Wasser::N,яд,av
70,Stein::N,къван,kevir
71,Boden::N,накьв,herd
72,Erde::N,ччил,ax
73,Staub::N,руг,toz
74,Rauch::N,гум,dû
75,Funke::N,цӏелхем,çirûşk
76,Feuer::N,цӏай,agir
77,Licht::N,экв,ronahî
78,Schatten::N,серин,sî
79,Wetter::N,гьава,hewa
80,Nebel::N,ччилин циф,mij
81,Wolke::N,циф,ewr
82,Regen::N,марф,baran
83,Schnee::N,жив,berf
84,Eis::N,мурк,qeşa
85,Frost::N,аяз,xûsik
86,Kälte::N,мекь,serma
87,Kälte::N,мекьивал,serma
88,Hitze::N,зегьем,germayî
89,Raureif::N,къирав,şext
90,Regenbogen::N,яргъируш,heftreng
91,Donner::N,цавун ван,gire-gir
92,Tropfen::N,стӏал,dilop
93,Schaum::N,каф,kef
94,Schmutz::N,чирк,gemar
95,Schmutz::N,кьуруш,gemar
96,See::N,вир,gol
97,Sumpf::N,уьлен,hezek
98,Wiese::N,векь,sûrik
99,Wald::N,там,çiya
100,Wald::N,там,daristan
101,Hügel::N,кӏунтӏ,gir
102,Anhöhe::N,тепе,sere gir
103,Anhöhe::N,гьуьндуьрвал,sere gir
104,Berg::N,дагъ,kaş
105,Gipfel::N,кӏукӏ,sere gir
106,Höhle::N,кьветӏ,şikeft
107,Abhang::N,гуьне,kaş
108,Quelle::N,чешме,kanî
109,Bach::N,булах,çem
110,Fluss::N,вацӏ,çem
111,Fluss::N,вацӏ,rûbar
112,Ufer::N,къерех,kevî
113,Küste::N,къерех,berav
114,Festland::N,кьурамат,bejahî
115,Meer::N,гьуьл,behr
116,Bucht::N,бухта,derav
117,Insel::N,остров,girav
118,Blume::N,цуьк,kulînk
119,Gras::N,хъач,giha
120,Wurzel::N,дувул,reh
121,Baum::N,ттар,dar
122,Stamm::N,тан,bavik
123,Rinde::N,чкал,qaqil
124,Ast::N,тӏур,gulî
125,Zweig::N,хел,şax
126,Blatt::N,пеш,pel
127,Birke::N,верх,dara sipî
128,Kiefer[Baum]::N,шамагъаж,dara bî
129,Weide[Baum]::N,цӏвелин ттар,dara belalûk
130,Tanne::N,ель,merx
131,Horn::N,карч,strô
132,Feder::N,цӏакул,pîrtîk
133,Fell::N,хам,heyar
134,Flügel::N,лув,per
135,Klaue::N,къармах,napîk
136,Kralle::N,пац,dinik
137,Kralle::N,пац,dirnax
138,Kralle::N,тапас,dinik
139,Kralle::N,тапас,dirnax
140,Schwanz::N,ттум,dûv
141,Ei::N,кака,hêk
142,Nest::N,муг,hêlîn
143,Bau::N,тӏеквен,avahî
144,Tier::N,гьайван,heywan
145,Herde::N,суьруь,hoz
146,Kuh::N,ккал,çêlek
147,Bulle::N,яц,ga
148,Bulle::N,бугъа,ga
149,Pferd::N,балкӏан,hesp
150,Schaf::N,хеб,mîh
151,Schwein::N,вак,beraz
152,Hund::N,кицӏ,seh
153,Katze::N,кац,pişîk
154,Bär::N,сев,hirç
155,Eichhörnchen::N,белка,pilûr
156,Elch::N,лось,pazkovî
157,Fuchs::N,сикӏ,rovî
158,Hase::N,къуьр,kîroşk
159,Maus::N,кьиф,mişk
160,Wolf::N,жанавур,gur
161,Vogel::N,луван ничхир,çûk
162,Schwarm::N,луж,lufik
163,Huhn::N,верч,mirîşk
164,Hahn::N,кӏек,dîk
165,Gans::N,къаз,qaz
166,Adler::N,лекь,eylo
167,Ente::N,пӏатӏ,werdek
168,Eule::N,тӏиб,bûm
169,Eule::N,тӏиб,kund
170,Kranich::N,дурна,quling
171,Krähe::N,къаргъа,qijik
172,Kuckuck::N,кукупӏ,pepûk
173,Schwan::N,къугь,qû
174,Fisch::N,гъед,masî
175,Barsch::N,окунь,okûn
176,Hecht::N,щука,mesîyê lûf
177,Schlange[Tier]::N,илан,mar
178,Schlange[Tier]::N,гъуьлягъ,mar
179,Wurm::N,квак,kurm
180,Spinne::N,хуьшрекан,pîrê
181,Ameise::N,цегв,mîro
182,Ameise::N,цегв,gêrîk
183,Laus::N,нет,spi
184,Mücke::N,ветӏ,mêş
185,Fliege::N,тӏветӏ,mêş
186,Schmetterling::N,чепелукь,perperîk
187,Beere::N,куьлуь емиш,hirç
188,Apfel::N,ич,sêv
189,Pilz::N,къарникъуз,bîrov
190,Zwiebel::N,чичӏек,pîvaz
191,Saat::N,тумар,tov
192,Korn::N,твар,dexl
193,Heu::N,векь,sap
194,Heu::N,векьер,sap
195,Schale::N,пириш,qaşik
196,Schale::N,хъуьруьш,qaşik
197,Grube::N,фур,çahl
198,Falle::N,ракьар,dafik
199,Schlinge::N,гьалкъа,dahf
200,Spur::N,гел,rêç
201,Asche::N,руьхъ,xweli
202,Dreck::N,чирк,gemarî
203,Dreck::N,кьуруш,gemarî
204,Eisen::N,ракь,hesing
205,Gold::N,алтун,zêr
206,Silber::N,гимиш,zîv
207,Kohle::N,цӏивин,komir
208,Glas::N,шуьше,qedeh
209,Lehm::N,ччеб,kelpîç
210,Sand::N,къум,qûm
211,Mensch::N,инсан,mirov
212,Mann::N,итим,mêr
213,Frau::N,паб,jin
214,Frau::N,дишегьли,jin
