,Concept_ID,sah,is
0,Auge::N,харах,auga
1,Ohr::N,кулгаах,eyra
2,Nase::N,мурун,nef
3,Mund::N,айах,munnur
4,Zahn::N,тиис,tönn
5,Zunge::N,тыл,tunga
6,Lippe::N,уос,vör
7,Wange::N,иэдэс,kinn
8,Wange::N,иэдэс,vangi
9,Gesicht::N,сирэй,andlit
10,Stirn::N,сүүс,enni
11,Haar::N,баттах,hár
12,Schnurrbart::N,уос бытыга,yfirskegg
13,Bart::N,сэҥийэ бытыга,skegg
14,Kinn::N,сэҥийэ,haka
15,Kiefer[Anatomie]::N,сыҥаах,kjálki
16,Kiefer[Anatomie]::N,сыҥаах,skoltur
17,Kehle::N,тамах,kverk
18,Kehle::N,күөмэй,kverk
19,Hals::N,моой,háls
20,Genick::N,кэтэх,hnakki
21,Kopf::N,бас,höfuð
22,Rücken::N,көҕүс,hryggur
23,Bauch::N,ис,kviður
24,Nabel::N,киин,nafli
25,Busen::N,эмиий,barmur
26,Brust::N,түөс,brjóst
27,Schulter::N,сарын,öxl
28,Arm::N,илии,armur
29,Ellenbogen::N,тоҕонох,olnbogi
30,Hand::N,илии,hönd
31,Handfläche::N,ытыс,lófi
32,Finger::N,тарбах,fingur
33,Fingernagel::N,тыҥырах,fingurnögl
34,Nagel[Anatomie]::N,тыҥырах,nögl
35,Zeh::N,тарбах,tá
36,Fuß::N,уллуҥах,fótur
37,Ferse::N,тилэх,hæll
38,Knie::N,тобук,kné
39,Knie::N,дьилбэк,kné
40,Oberschenkel::N,уллук,læri
41,Oberschenkel::N,өттүк,læri
42,Bein::N,атах,fótleggur
43,Körper::N,бэйэ,búkur
44,Körper::N,бэйэ,líkami
45,Haut::N,тирии,húð
46,Haut::N,тирии,skinn
47,Blut::N,хаан,blóð
48,Ader::N,вена,æð
49,Ader::N,күөх_тымыр,æð
50,Sehne::N,иҥиир,sin
51,Knochen::N,уҥуох,bein
52,Knochen::N,уҥгуох,bein
53,Gehirn::N,мэйии,heili
54,Herz::N,сүрэх,hjarta
55,Magen::N,куртах,magi
56,Leber::N,быар,lifur
57,Atem::N,тыын,andi
58,Atem::N,тыын,andardráttur
59,Hunger::N,аас,hungur
60,Träne::N,харах уута,tár
61,Geschmack::N,амтан,smekkur
62,Geruch::N,сыт,lykt
63,Schlaf::N,утуйуу,svefn
64,Traum::N,түүл,draumur
65,Himmel::N,халлаан,himinn
66,Sonne::N,күн,sól
67,Mond::N,ый,tungl
68,Stern::N,сулус,stjarna
69,Luft::N,салгын,loft
70,Wind::N,тыал,vindur
71,Welle::N,долгун,alda
72,Welle::N,долгун,bylgja
73,Welle::N,балхаан,alda
74,Welle::N,балхаан,bylgja
75,Wasser::N,уу,vatn
76,Stein::N,таас,steinn
77,Boden::N,сир,botn
78,Erde::N,буор,jörð
79,Staub::N,быыл,ryk
80,Staub::N,быыл,duft
81,Rauch::N,буруо,reykur
82,Funke::N,кыым,neisti
83,Feuer::N,уот,eldur
84,Licht::N,уот,ljós
85,Schatten::N,күлүк,skuggi
86,Wetter::N,күн-дьыл,veður
87,Nebel::N,туман,þoka
88,Wolke::N,былыт,ský
89,Regen::N,самыыр,regn
90,Schnee::N,хаар,snjór
91,Eis::N,муус,ís
92,Frost::N,тымныы,frost
93,Kälte::N,тымныы,kuldi
94,Hitze::N,куйаас,hiti
95,Raureif::N,кырыа,hrím
96,Regenbogen::N,кустук,regnbogi
97,Donner::N,этиҥ,þruma
98,Strömung::N,сүүрүк,straumur
99,Tropfen::N,таммах,dropi
100,Tropfen::N,хааппыла,dropi
101,Schaum::N,күүгэн,froða
102,Schmutz::N,кир,óhreinindi
103,See::N,күөл,stöðuvatn
104,Sumpf::N,бадараан,fen
105,Moor::N,дьэбэрэ,mýri
106,Wiese::N,ходуһа,engi
107,Wald::N,ойуур,skógur
108,Hügel::N,булгунньах,hæð
109,Hügel::N,булгунньах,hóll
110,Anhöhe::N,үрдэл,hæð
111,Anhöhe::N,үрдэл,hóll
112,Berg::N,хайа,fell
113,Berg::N,хайа,fjall
114,Gipfel::N,чыпчаал,tindur
115,Höhle::N,хайа_хаспаҕа,hellir
116,Höhle::N,көҥүс,hellir
117,Abhang::N,эниэ,hlíð
118,Abhang::N,эниэ,brekka
119,Quelle::N,дьүүктэ,lind
120,Quelle::N,дьүүктэ,uppspretta
121,Bach::N,үрүйэ,lækur
122,Fluss::N,өрүс,á
123,Fluss::N,өрүс,fljót
124,Ufer::N,биэрэк,árbakki
125,Ufer::N,биэрэк,sjávarbakki
126,Küste::N,кытыл,strönd
127,Festland::N,кураанах сир,meginland
