,Concept_ID,mhr,kk
0,Auge::N,шинча́,көз
1,Ohr::N,пы́лыш,құлақ
2,Nase::N,нер,мұрын
3,Mund::N,умша́,ауыз
4,Zahn::N,пӱй,тіс
5,Zunge::N,йы́лме,тіл
6,Lippe::N,тӱ́рвӧ,ерін
7,Wange::N,шӱ́ргӧ,ұрт
8,Gesicht::N,чури́й,бет-аузы
9,Stirn::N,саҥга́,маңдай
10,Haar::N,ӱп,қыл
11,Schnurrbart::N,ӧ́рыш,мұрт
12,Bart::N,понда́ш,сақал
13,Kinn::N,оҥыла́ш,иек
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,жақ
15,Kiefer[Anatomie]::N,пӱйората́,жақ
16,Kehle::N,лога́р,алқым
17,Hals::N,шӱй,мойын
18,Genick::N,шӱйло́дыш,желке
19,Kopf::N,вуй,кәллә
20,Rücken::N,туп,арқа
21,Bauch::N,мӱ́шкыр,қарын
22,Nabel::N,кы́лымде,кіндік
23,Busen::N,чы́зе,омырау
24,Brust::N,оҥ,кеуде
25,Schulter::N,ва́че,иық
26,Arm::N,кид,қол
27,Ellenbogen::N,кынерву́й,шынтақ
28,Hand::N,кид,қол
29,Hand::N,копа́,қол
30,Handfläche::N,со́во,алақан
31,Finger::N,парня́,саусақ
32,Fingernagel::N,кидкӱ́ч,тырнақ
33,Fingernagel::N,парнягӱ́ч,тырнақ
34,Nagel[Anatomie]::N,кӱч,тырнақ
35,Zeh::N,йолварня́,тырнақ
36,Zeh::N,йолварня́,тұяқ
37,Fuß::N,йол,аяқ-басы
38,Fuß::N,йолкопа́,аяқ-басы
39,Ferse::N,тага́н,өкше
40,Ferse::N,тага́н,өкшелік
41,Knie::N,пулву́й,тізе
42,Oberschenkel::N,э́рде,жамбас
43,Bein::N,йол,аяқ
44,Körper::N,кап,дене
45,Haut::N,кова́ште,тері
46,Blut::N,вӱр,қан
47,Ader::N,шӧн,көктамыр
48,Ader::N,шӧн,күретамыр
49,Sehne::N,шӧн,сіңір
50,Sehne::N,кӱсе́н,сіңір
51,Knochen::N,лу,жілік
52,Gehirn::N,вем,ми
53,Gehirn::N,вуйве́м,ми
54,Herz::N,шӱм,жүрек
55,Magen::N,пага́р,асқазан
56,Leber::N,мокш,бауыр
57,Atem::N,шӱ́лыш,леп
58,Hunger::N,шужыма́ш,ашаршылық
59,Träne::N,шинчавӱ́д,жас
60,Geschmack::N,там,дәм
61,Geschmack::N,там,татым
62,Geschmack::N,там,талғам
63,Geruch::N,пуш,иіс
64,Schlaf::N,о́мо,ұйқы
65,Schlaf::N,о́мо,ұйықтау
66,Traum::N,йӱдо́мо,түс
67,Himmel::N,кава́,аспан
68,Himmel::N,кава́,көқ
69,Himmel::N,кава́,таңдай
70,Sonne::N,ке́че,күн
71,Mond::N,ты́лзе,ай
72,Stern::N,шӱ́дыр,жұлдыз
73,Luft::N,юж,әуе
74,Wind::N,марде́ж,жел
75,Welle::N,то́лкын,толқын
76,Wasser::N,вӱд,су
77,Stein::N,кӱ,тас
78,Boden::N,рок,қыртыс
79,Erde::N,мла́нде,топырақ
80,Staub::N,пура́к,шаң
81,Rauch::N,шикш,түтін
82,Funke::N,сеске́м,ұшқын
83,Funke::N,тулйы́п,ұшқын
84,Feuer::N,тул,алау
85,Licht::N,со́то,шұғыла
86,Schatten::N,ӱ́мыл,көлеңке
87,Wetter::N,иге́че,ауа райы
88,Nebel::N,тӱтыра́,тұман
89,Wolke::N,пыл,бұлт
90,Regen::N,йӱр,жаңбыр
91,Schnee::N,лум,қар
92,Eis::N,ий,мұз
93,Frost::N,чатлама́,суық
94,Kälte::N,йӱ́штӧ,ызғар
95,Kälte::N,йӱ́штӧ,суықтық
96,Hitze::N,шо́кшо,аптап
97,Raureif::N,пӧрш,қырау
98,Raureif::N,по́кшым,қырау
99,Regenbogen::N,шонанпы́л,кемпірқосақ
100,Donner::N,кӱ́дырчӧ,күн күркіреу
101,Strömung::N,йо́гын,ағын
102,Tropfen::N,чӱча́лтыш,тамшы
103,Schaum::N,шоҥ,көбік
104,Schmutz::N,лавыра́,кір
105,See::N,ер,көл
106,Sumpf::N,лӱ́кӧ,саз
107,Moor::N,куп,саз
108,Wiese::N,о́лык,шалғын
109,Wald::N,чодыра́,орман
110,Hügel::N,арка́,төбе
111,Hügel::N,арка́,белес
112,Hügel::N,арка́,белес-белес
113,Anhöhe::N,тӧва́,дөң
114,Anhöhe::N,тӧва́,адыр
115,Anhöhe::N,тӧва́,қырат
116,Anhöhe::N,кӱкшака́,дөң
117,Anhöhe::N,кӱкшака́,адыр
118,Anhöhe::N,кӱкшака́,қырат
119,Berg::N,ку́рык,тау
120,Gipfel::N,чаҥга́,төбе
121,Gipfel::N,курыкву́й,төбе
122,Höhle::N,пеще́р,үңгір
123,Höhle::N,курыкпо́мыш,үңгір
124,Abhang::N,та́йыл,бауыр
125,Quelle::N,важ,қайнар
126,Quelle::N,вӱдшинча́,қайнар
127,Bach::N,изэҥе́р,жылға
128,Fluss::N,эҥе́р,өзен
129,Ufer::N,сер,жиек
130,Küste::N,вӱдтӱ́р,жиегі
131,Küste::N,вӱдтӱ́р,жағалау
132,Festland::N,мла́нде,құрылық
133,Meer::N,те́ҥыз,теңіз
134,Bucht::N,икса́,шығанақ
135,Insel::N,отро́,арал
136,Blume::N,пеле́дыш,гүл
137,Gras::N,шу́до,от
138,Wurzel::N,вож,түбір
139,Baum::N,пуше́ҥге,ағаш
140,Baum::N,пуше́ҥге,дарақ
141,Stamm::N,йы́тыр,сояу
142,Stamm::N,йы́тыр,оқпан
143,Rinde::N,шӱм,қабық
144,Ast::N,укш,бұтақ
145,Zweig::N,торма́к,шыбық
146,Blatt::N,лышта́ш,жапырақ
147,Birke::N,куэ́,қайың
148,Kiefer[Baum]::N,пӱ́нчӧ,қарағай
149,Weide[Baum]::N,уа́,тал
150,Tanne::N,кож,шырша
151,Horn::N,шур,мүйіз
152,Feder::N,пы́стыл,қаламұш
153,Fell::N,кова́ште,тері
154,Flügel::N,шу́лдыр,қанат
155,Klaue::N,кӱч,тырнақ
156,Kralle::N,ла́па,аяқ
157,Kralle::N,копа́,аяқ
158,Schwanz::N,поч,құйрық
159,Ei::N,му́но,жұмыртқа
160,Nest::N,пыжа́ш,ұя
161,Bau::N,пыжа́ш,жатақ
162,Tier::N,я́нлык,айуан
163,Tier::N,я́нлык,жануар
164,Tier::N,живо́тный,айуан
165,Tier::N,живо́тный,жануар
166,Herde::N,кӱ́тӱ,пада
167,Herde::N,тӱшка́,пада
168,Kuh::N,ушка́л,сиыр
169,Bulle::N,ӱ́шкыж,өгіз
170,Pferd::N,и́мне,жылқы
171,Schaf::N,шо́рык,қой
172,Schwein::N,сӧсна́,шошқа
173,Hund::N,пий,ит
174,Katze::N,пы́рыс,мысық
175,Bär::N,маска́,аю
176,Eichhörnchen::N,ур,тиін
177,Elch::N,шо́рдо,бұғы
178,Fuchs::N,ры́выж,түлкі
179,Hase::N,мера́ҥ,қоян
180,Maus::N,коля́,қаптесер
181,Wolf::N,пи́ре,бөрі
182,Wolf::N,пи́ре,қасқыр
183,Vogel::N,ка́йык,құс
184,Schwarm::N,каша́к,топ
185,Schwarm::N,каша́к,үйір
186,Huhn::N,чы́ве,тауық
187,Huhn::N,чы́ве,мекиен
188,Hahn::N,агыта́н,әтеш
189,Hahn::N,агыта́н,қораз
190,Gans::N,ко́мбо,қаз
191,Adler::N,карагу́ш,бүркіт
192,Ente::N,лу́до,үйрек
193,Eule::N,тумна́,жапалақ
194,Kranich::N,турня́,тырна
195,Krähe::N,кора́к,қарға
196,Kuckuck::N,куку́,көкек
197,Schwan::N,йӱ́ксӧ,аққу
198,Fisch::N,кол,балық
199,Barsch::N,ола́ҥге,алабұға
200,Hecht::N,нуж,шортан
201,Hecht::N,чорта́н,шортан
202,Schlange[Tier]::N,ки́шке,жылан
203,Wurm::N,шукш,шұбалшаң
204,Spinne::N,эҥыре́мыш,өрмекші
205,Ameise::N,ку́тко,қүмырска
206,Laus::N,тий,бит
207,Mücke::N,шыҥа́,маса
208,Fliege::N,ка́рме,шыбын
209,Schmetterling::N,лы́ве,көбелек
210,Beere::N,мӧр,жидек
211,Apfel::N,олма́,алма
212,Pilz::N,по́ҥго,қозықұйрық
213,Pilz::N,по́ҥго,саңыраукулақ
214,Zwiebel::N,шога́н,жуа
215,Saat::N,нӧ́шмӧ,тұқым
216,Saat::N,туш,тұқым
217,Korn::N,шу́рно,дән
218,Heu::N,шу́до,шөп
219,Schale::N,шӱм,қабық
220,Schale::N,шӱм,қабығы
221,Grube::N,выне́м,ор
222,Falle::N,лӧ́дӧ,дұзақ
223,Falle::N,лӧ́дӧ,қақпан
224,Schlinge::N,о́птыш,ілмек
225,Schlinge::N,шӧрга́лтыш,ілмек
226,Spur::N,кыша́,із
227,Asche::N,ло́мыж,күл
228,Dreck::N,лавыра́,былғаныш
229,Eisen::N,кӱ́ртньӧ,темір
230,Gold::N,шӧ́ртньӧ,алтын
231,Silber::N,ший,күміс
232,Kohle::N,мландышӱ́й,көмір
233,Glas::N,янда́,шыны
234,Lehm::N,шун,балшық
235,Sand::N,ошма́,құм
236,Mensch::N,еҥ,адам
237,Mensch::N,айде́ме,адам
238,Mann::N,пӧръе́ҥ,еркек
239,Mann::N,пӧръе́ҥ,ер адам
240,Frau::N,ӱдырама́ш,бике
241,Frau::N,ӱдырама́ш,қатын
242,Kind::N,аза́,бала
243,Kind::N,аза́,перзент
244,Junge::N,рве́зе,бала
245,Junge::N,рве́зе,ер бала
246,Mädchen::N,ӱдыра́ш,қыз
247,Familie::N,еш,жанұя
248,Großvater::N,коча́,ата
249,Großmutter::N,кова́,әже
250,Großmutter::N,кова́,әжей
251,Eltern::N,ача́-ава́,ата-аналар
252,Vater::N,ача́,әке
253,Mutter::N,ава́,ана
254,Sohn::N,э́рге,ұл
255,Tochter::N,ӱ́дыр,қызым
256,Bruder::N,иза́,бауырым
257,Bruder::N,шо́льо,бауырым
258,Schwester::N,ака́,әпке
259,Onkel::N,иза́,көке
260,Tante::N,кока́,тәте
