,Concept_ID,lt,kv
0,Auge::N,akis,син
1,Ohr::N,ausis,пель
2,Nase::N,nosis,ныр
3,Mund::N,burna,ӧм
4,Zahn::N,dantis,пинь
5,Zunge::N,liežuvis,кыв
6,Lippe::N,lūpa,тырп
7,Wange::N,žandas,рожабан
8,Wange::N,skruostas,рожабан
9,Gesicht::N,veidas,бан
10,Stirn::N,kakta,кымӧс
11,Haar::N,plaukai,юрси
12,Schnurrbart::N,ūsai,уссэз
13,Bart::N,barzda,тош
14,Kinn::N,smakras,тшӧка
15,Kiefer[Anatomie]::N,žandikaulis,ан
16,Kehle::N,gerklė,юан
17,Hals::N,kaklas,юан
18,Genick::N,sprandas,юр бӧр
19,Kopf::N,galva,юр
20,Rücken::N,nugara,мышк
21,Bauch::N,pilvas,кынӧм
22,Nabel::N,bamba,гӧг
23,Busen::N,krūtinė,морос
24,Brust::N,krūtis,морос
25,Schulter::N,petys,пельпон
26,Arm::N,ranka,ки
27,Ellenbogen::N,alkūnė,гырдзза
28,Hand::N,ranka,кикар
29,Hand::N,plaštaka,кикар
30,Handfläche::N,delnas,ки пыдӧс
31,Handfläche::N,plaštaka,ки пыдӧс
32,Finger::N,pirštas,чунь
33,Fingernagel::N,nagas,гыж
34,Nagel[Anatomie]::N,nagas,гыж
35,Zeh::N,pirštas,чунь
36,Fuß::N,pėda,кокпыдӧс
37,Ferse::N,kulnas,кокдзир
38,Knie::N,kelis,пидзӧс
39,Oberschenkel::N,kulšis,лядьбей
40,Oberschenkel::N,šlaunis,лядьбей
41,Bein::N,koja,кок
42,Körper::N,kūnas,вывтыр
43,Haut::N,oda,кучик
44,Blut::N,kraujas,вир
45,Ader::N,kraujagyslė,сӧн
46,Sehne::N,sausgyslė,жила
47,Knochen::N,kaulas,коска
48,Gehirn::N,smegenys,вем
49,Herz::N,širdis,сьӧлӧм
50,Magen::N,skrandis,жӧвдӧк
51,Leber::N,kepenys,мус
52,Atem::N,kvapas,лолалӧм
53,Hunger::N,badas,тшыг
54,Hunger::N,alkis,тшыг
55,Träne::N,ašara,синва
56,Geschmack::N,skonis,кӧр
57,Geruch::N,kvapas,дук
58,Schlaf::N,miegas,он
59,Traum::N,sapnas,вӧт
60,Himmel::N,dangus,небо
61,Sonne::N,saulė,шондi
62,Mond::N,mėnulis,тӧлiсь
63,Stern::N,žvaigždė,кӧдзыв
64,Luft::N,oras,ру
65,Wind::N,vėjas,тӧв
66,Welle::N,banga,гы
67,Welle::N,vilnis,гы
68,Wasser::N,vanduo,ва
69,Stein::N,akmuo,из
70,Boden::N,žemė,му
71,Boden::N,dugnas,му
72,Erde::N,žemė,му
73,Staub::N,dulkės,бус
74,Rauch::N,dūmai,тшын
75,Funke::N,kibirkštis,бичир
76,Feuer::N,ugnis,би
77,Licht::N,šviesa,би
78,Schatten::N,paūksmė,вуджӧр
79,Wetter::N,oras,погоддя
80,Nebel::N,migla,туман
81,Nebel::N,rūkas,туман
82,Wolke::N,debesis,кымӧр
