,Concept_ID,ps,uk
0,Auge::N,سترګه,око
1,Ohr::N,غوږ,вухо
2,Nase::N,پوزه,ніс
3,Mund::N,خوله,рот
4,Zahn::N,غاښ,зуб
5,Zunge::N,جبه,язик
6,Lippe::N,شونډه,губа
7,Wange::N,باړخو,щока
8,Gesicht::N,مخ,обличчя
9,Stirn::N,تندی,лоб
10,Stirn::N,وچولی,лоб
11,Haar::N,وېښته,волосся
12,Schnurrbart::N,برېت,вуса
13,Bart::N,ږیره,борода
14,Kinn::N,زنه,підборіддя
15,Kiefer[Anatomie]::N,جامه,щелепа
16,Kehle::N,غاړه,горло
17,Hals::N,غاړه,шия
18,Genick::N,ورمېږ,потилиця
19,Kopf::N,سر,голова
20,Rücken::N,شا,спина
21,Bauch::N,نس,живіт
22,Bauch::N,ګېډه,живіт
23,Nabel::N,نوم,пупок
24,Busen::N,تی,груди
25,Brust::N,سینه,груди
26,Schulter::N,اوږه,плече
27,Arm::N,لاس,рука
28,Ellenbogen::N,څنګل,лікоть
29,Hand::N,لاس,рука
30,Handfläche::N,ورغوی,долоня
31,Finger::N,ګوته,палець
32,Fingernagel::N,نوک,ніготь
33,Nagel[Anatomie]::N,نوک,ніготь
34,Zeh::N,ګوته,палець на нозі
35,Fuß::N,پښه,нога
36,Ferse::N,پونده,п’ятка
37,Knie::N,زنګون,коліно
38,Oberschenkel::N,پتون,стегно
39,Bein::N,پښه,нога
40,Körper::N,ځان,тіло
41,Haut::N,پوټکی,шкіра
42,Blut::N,وینه,кров
43,Ader::N,رګ,вена
44,Sehne::N,پله,сухожилля
45,Knochen::N,هډوکی,кістка
46,Gehirn::N,ماغزه,мозок
47,Herz::N,زړه,серце
48,Magen::N,معده,шлунок
49,Leber::N,ينه,печінка
50,Leber::N,ځیګر,печінка
51,Atem::N,نفس,дихання
52,Hunger::N,ولږه,голод
53,Träne::N,اوښکه,сльоза
54,Geschmack::N,مزه,смак
55,Geschmack::N,خوند,смак
56,Geruch::N,بوی,запах
57,Schlaf::N,خوب,сон
58,Schlaf::N,خوب,сплячка
59,Traum::N,خوب,сон
60,Himmel::N,اسمان,небо
61,Sonne::N,لمر,сонце
62,Mond::N,سپوږمۍ,місяць
63,Stern::N,ستوری,зірка
64,Luft::N,هوا,повітря
65,Wind::N,ورښ,вітер
66,Welle::N,موج,хвиля
67,Wasser::N,اوبه,вода
68,Stein::N,ډبره,камінь
69,Boden::N,مځکه,ґрунт
70,Erde::N,خاوره,земля
71,Staub::N,ګرد,пил
72,Staub::N,خاوره,пил
73,Rauch::N,دود,дим
74,Rauch::N,لوګی,дим
75,Funke::N,سپرغۍ,іскра
76,Feuer::N,اور,вогонь
77,Licht::N,رڼا,світло
78,Schatten::N,سیوری,тінь
79,Wetter::N,هوا,погода
80,Nebel::N,لړه,туман
