,Concept_ID,uz,se
0,Auge::N,ko'z,tjelmie
1,Auge::N,ko'z,tjalmme
2,Auge::N,ko'z,čalbmi
3,Auge::N,ko'z,čalme
4,Auge::N,ko'z,čâ´lmm
5,Auge::N,ko'z,ча̄лльм
6,Ohr::N,quloq,bieljie
7,Ohr::N,quloq,biellje
8,Ohr::N,quloq,beallji
9,Ohr::N,quloq,pelji
10,Ohr::N,quloq,pe´llj
11,Ohr::N,quloq,пе̄лльй
12,Nase::N,burun,njuenie
13,Nase::N,burun,njunnje
14,Nase::N,burun,njunni
15,Nase::N,burun,njuṇe
16,Nase::N,burun,njuu´nn
17,Nase::N,burun,нюннҍ
18,Mund::N,og'iz,njaelmie
19,Mund::N,og'iz,njálmme
20,Mund::N,og'iz,njálbmi
21,Mund::N,og'iz,njälmi
22,Mund::N,og'iz,njä´lmm
23,Mund::N,og'iz,ня̄лльм
24,Zahn::N,tish,baenie
25,Zahn::N,tish,bádne
26,Zahn::N,tish,bátni
27,Zahn::N,tish,pääṇi
28,Zahn::N,tish,pää´nn
29,Zahn::N,tish,па̄ннҍ
30,Zunge::N,til,njoektjeme
31,Zunge::N,til,njuovtjav
32,Zunge::N,til,njuovčča
33,Zunge::N,til,njuovčâ
34,Zunge::N,til,njuhččâm
35,Zunge::N,til,нюхчем
36,Lippe::N,dudoq,bangseme
37,Lippe::N,dudoq,njálmmerabdda
38,Lippe::N,dudoq,bavssa
39,Lippe::N,dudoq,poovsâ
40,Lippe::N,dudoq,põõus
41,Lippe::N,dudoq,пэ̄кс
42,Wange::N,bet,skiehrie
43,Wange::N,bet,nierra
44,Wange::N,bet,muohtu
45,Wange::N,bet,nieṛâ
46,Wange::N,bet,njiõrr
47,Wange::N,bet,нӣрр
48,Gesicht::N,yuz,ååredæjja
49,Gesicht::N,yuz,muohto
50,Gesicht::N,yuz,muođut
51,Gesicht::N,yuz,ámadadju
52,Gesicht::N,yuz,muáđuh
53,Gesicht::N,yuz,muâđ
54,Gesicht::N,yuz,ка̄ссв
55,Stirn::N,manglay,gaalloe
56,Stirn::N,manglay,gállo
57,Stirn::N,manglay,gállu
58,Stirn::N,manglay,kállu
59,Stirn::N,manglay,käll
