,Concept_ID,ga,lez
0,Auge::N,súil,вил
1,Ohr::N,cluas,яб
2,Nase::N,soc,нер
3,Mund::N,béal,сив
4,Zahn::N,fiacail,сас
5,Zahn::N,fiacail,свах
6,Zunge::N,teanga,мез
7,Lippe::N,liopa,пӏуз
8,Wange::N,grua,хъвехъ
9,Wange::N,leiceann,хъвехъ
10,Gesicht::N,éadan,ччин
11,Gesicht::N,aghaidh,ччин
12,Stirn::N,baithis,пел
13,Stirn::N,clár éadain,пел
14,Haar::N,gruaig,чӏар
15,Schnurrbart::N,croiméal,спел
16,Schnurrbart::N,croiméal,спелар
17,Bart::N,féasóg,ччуру
18,Kinn::N,smig,чене
19,Kiefer[Anatomie]::N,giall,чене
20,Kehle::N,scornach,туьд
21,Hals::N,muinéal,гардан
22,Genick::N,baic,кьам
23,Kopf::N,ceann,кьил
24,Rücken::N,droim,далу
25,Bauch::N,bolg,руфун
26,Nabel::N,imleacán,пицӏ
27,Busen::N,cíoch,мам
28,Brust::N,brollach,хур
29,Schulter::N,gualainn,къуьн
30,Arm::N,lámh,гъил
31,Ellenbogen::N,uillinn,кьуьнт
32,Hand::N,lámh,капаш
33,Handfläche::N,bos,капан юкь
34,Finger::N,méar,тӏуб
35,Fingernagel::N,ionga,кек
36,Nagel[Anatomie]::N,ionga,кек
37,Zeh::N,ladhar,кул
38,Fuß::N,cos,кӏвач
39,Fuß::N,troigh,кӏвач
40,Ferse::N,sáil,дабан
41,Knie::N,glúin,мет
42,Oberschenkel::N,ceathrú,
43,Bein::N,cos,кӏвач
44,Körper::N,corp,беден
45,Körper::N,colainn,беден
46,Haut::N,cneas,хам
47,Haut::N,craiceann,хам
48,Blut::N,fuil,иви
49,Sehne::N,teannán,кьуру дамар
50,Sehne::N,féitheog,кьуру дамар
51,Knochen::N,cnámh,кӏараб
52,Gehirn::N,inchinn,мефт
53,Herz::N,croí,рикӏ
54,Magen::N,bolg,хук
55,Magen::N,goile,хук
56,Leber::N,ae,лекь
57,Atem::N,anáil,ял
58,Atem::N,anáil,нефес
59,Hunger::N,ocras,каш
60,Träne::N,deoir,вилин нагъв
61,Geschmack::N,blas,дад
62,Geschmack::N,blas,тӏям
63,Geruch::N,boladh,ни
64,Schlaf::N,suan,ахвар
65,Schlaf::N,codladh,ахвар
66,Traum::N,taibhreamh,ахвар
67,Himmel::N,spéir,цав
68,Sonne::N,grian,рагъ
69,Mond::N,ré,варз
70,Mond::N,gealach,варз
71,Stern::N,rinn,гъед
72,Stern::N,réalta,гъед
73,Luft::N,aer,гьава
74,Wind::N,gaoth,гар
75,Welle::N,tonn,лепе
76,Wasser::N,uisce,яд
77,Stein::N,cloch,къван
78,Boden::N,talamh,накьв
79,Erde::N,cré,ччил
80,Erde::N,ithir,ччил
81,Staub::N,dusta,руг
82,Staub::N,deannach,руг
83,Rauch::N,toit,гум
84,Rauch::N,deatach,гум
85,Funke::N,drithle,цӏелхем
86,Feuer::N,tine,цӏай
87,Licht::N,solas,экв
88,Schatten::N,scáth,серин
89,Wetter::N,aimsir,гьава
90,Nebel::N,ceo,ччилин циф
91,Wolke::N,néal,циф
92,Wolke::N,scamall,циф
93,Regen::N,báisteach,марф
94,Regen::N,fearthainn,марф
95,Schnee::N,sneachta,жив
96,Eis::N,oighear,мурк
97,Frost::N,sioc,аяз
98,Kälte::N,fuacht,мекь
99,Kälte::N,fuacht,мекьивал
100,Hitze::N,teas,зегьем
101,Hitze::N,teocht,зегьем
102,Raureif::N,sioc bán,къирав
103,Regenbogen::N,stua ceatha,яргъируш
104,Regenbogen::N,bogha báistí,яргъируш
105,Donner::N,toirneach,цавун ван
106,Strömung::N,sruth,
107,Tropfen::N,deoir,стӏал
108,Schaum::N,cúr,каф
109,Schmutz::N,salachar,чирк
110,Schmutz::N,salachar,кьуруш
111,See::N,loch,вир
112,Sumpf::N,portach,уьлен
113,Moor::N,caorán,
114,Moor::N,móinteán,
115,Wiese::N,cluain,векь
116,Wiese::N,móinéar,векь
117,Wald::N,coill,там
118,Wald::N,foraois,там
119,Hügel::N,ard,кӏунтӏ
120,Anhöhe::N,ard,тепе
121,Anhöhe::N,ard,гьуьндуьрвал
122,Anhöhe::N,ardán,тепе
123,Anhöhe::N,ardán,гьуьндуьрвал
124,Berg::N,sliabh,дагъ
125,Gipfel::N,barr,кӏукӏ
126,Gipfel::N,mullach,кӏукӏ
127,Höhle::N,uaimh,кьветӏ
128,Höhle::N,pluais,кьветӏ
129,Abhang::N,fána,гуьне
130,Quelle::N,foinse,чешме
131,Bach::N,sruthán,булах
132,Fluss::N,abhainn,вацӏ
133,Ufer::N,bruach,къерех
134,Küste::N,cósta,къерех
135,Küste::N,cladach,къерех
136,Festland::N,míntír,кьурамат
137,Meer::N,muir,гьуьл
138,Meer::N,farraige,гьуьл
139,Bucht::N,bá,бухта
140,Bucht::N,cuan,бухта
141,Insel::N,inis,остров
142,Insel::N,oileán,остров
143,Blume::N,bláth,цуьк
144,Gras::N,féar,хъач
145,Wurzel::N,rúta,дувул
146,Wurzel::N,fréamh,дувул
147,Baum::N,crann,ттар
148,Stamm::N,stoc,тан
149,Stamm::N,tamhan,тан
150,Rinde::N,coirt,чкал
151,Rinde::N,craiceann,чкал
