,Concept_ID,pt,fr
0,Auge::N,olho,œil
1,Ohr::N,orelha,oreille
2,Nase::N,nariz,nez
3,Mund::N,boca,bouche
4,Zahn::N,dente,dent
5,Zunge::N,língua,langue
6,Lippe::N,lábio,lèvre
7,Wange::N,face,joue
8,Gesicht::N,cara,face
9,Gesicht::N,cara,visage
10,Gesicht::N,rosto,face
11,Gesicht::N,rosto,visage
12,Stirn::N,testa,front
13,Haar::N,cabelo,cheveu
14,Schnurrbart::N,bigode,moustache
15,Bart::N,barba,barbe
16,Kinn::N,queixo,menton
17,Kiefer[Anatomie]::N,maxila,mâchoire
18,Kiefer[Anatomie]::N,mandíbula,mâchoire
19,Kehle::N,garganta,gorge
20,Hals::N,colo,cou
21,Hals::N,pescoço,cou
22,Genick::N,nuca,nuque
23,Kopf::N,cabeça,tête
24,Rücken::N,dorso,dos
25,Rücken::N,costas,dos
26,Bauch::N,ventre,ventre
27,Bauch::N,barriga,ventre
28,Nabel::N,umbigo,nombril
29,Busen::N,seio,sein
30,Brust::N,peito,poitrine
31,Schulter::N,ombro,épaule
32,Arm::N,braço,bras
33,Ellenbogen::N,cotovelo,coude
34,Hand::N,mão,main
35,Handfläche::N,palma,paume
36,Handfläche::N,palma da mão,paume
37,Finger::N,dedo,doigt
38,Fingernagel::N,unha,ongle
39,Nagel[Anatomie]::N,unha,ongle
40,Zeh::N,dedo do pé,orteil
41,Zeh::N,dedo do pé,doigt de pied
42,Fuß::N,pé,pied
43,Ferse::N,calcanhar,talon
44,Knie::N,joelho,genou
45,Oberschenkel::N,coxa,cuisse
46,Bein::N,perna,jambe
47,Körper::N,corpo,corps
48,Haut::N,pele,peau
49,Blut::N,sangue,sang
50,Ader::N,veia,veine
51,Sehne::N,tendão,tendon
52,Knochen::N,osso,os
53,Gehirn::N,cérebro,cerveau
54,Herz::N,coração,cœur
55,Magen::N,estômago,estomac
56,Leber::N,fígado,foie
57,Atem::N,fôlego,haleine
58,Hunger::N,fome,faim
59,Träne::N,lágrima,larme
60,Geschmack::N,gosto,goût
61,Geschmack::N,gosto,saveur
62,Geruch::N,odor,odeur
63,Geruch::N,cheiro,odeur
64,Schlaf::N,sono,sommeil
65,Traum::N,sonho,songe
66,Himmel::N,céu,ciel
67,Sonne::N,sol,soleil
68,Mond::N,lua,lune
69,Stern::N,estrela,étoile
70,Luft::N,ar,air
71,Wind::N,vento,vent
72,Welle::N,onda,vague
73,Wasser::N,água,eau
74,Stein::N,pedra,pierre
75,Boden::N,solo,sol
76,Boden::N,solo,terrain
77,Erde::N,terra,terre
78,Staub::N,pó,poussière
79,Rauch::N,fumo,fumée
80,Funke::N,faísca,étincelle
81,Funke::N,centelha,étincelle
82,Feuer::N,fogo,feu
83,Licht::N,luz,lumière
84,Schatten::N,sombra,ombre
85,Wetter::N,tempo,temps
86,Nebel::N,nevoeiro,brume
87,Nebel::N,nevoeiro,brouillard
88,Wolke::N,nuvem,nuage
89,Regen::N,chuva,pluie
90,Schnee::N,neve,neige
91,Eis::N,gelo,glace
92,Frost::N,gelo,gel
93,Frost::N,gelo,gelée
94,Frost::N,geada,gel
95,Frost::N,geada,gelée
96,Kälte::N,frio,froid
97,Hitze::N,ardor,chaleur
98,Raureif::N,geada,givre
99,Regenbogen::N,arco-iris,arc-en-ciel
100,Donner::N,trovão,tonnerre
101,Strömung::N,corrente,courant
102,Tropfen::N,gota,goutte
103,Schaum::N,espuma,écume
104,Schaum::N,espuma,mousse
105,Schmutz::N,sujidade,boue
106,Schmutz::N,sujidade,saleté
107,Schmutz::N,imundície,boue
108,Schmutz::N,imundície,saleté
109,See::N,lago,lac
110,Sumpf::N,charco,marais
111,Sumpf::N,charco,marécage
112,Sumpf::N,pântano,marais
113,Sumpf::N,pântano,marécage
114,Moor::N,pântano,tourbière
115,Wiese::N,prado,pré
116,Wald::N,bosque,bois
117,Wald::N,bosque,forêt
118,Wald::N,floresta,bois
119,Wald::N,floresta,forêt
120,Hügel::N,colina,coteau
121,Hügel::N,colina,colline
122,Anhöhe::N,alto,éminence
123,Anhöhe::N,alto,élévation
124,Anhöhe::N,outeiro,éminence
125,Anhöhe::N,outeiro,élévation
126,Berg::N,monte,mont
127,Berg::N,monte,montagne
128,Berg::N,montanha,mont
129,Berg::N,montanha,montagne
130,Gipfel::N,pico,cime
131,Gipfel::N,pico,sommet
132,Höhle::N,caverna,caverne
133,Abhang::N,encosta,pente
134,Abhang::N,encosta,versant
135,Quelle::N,fonte,source
136,Quelle::N,fonte,fontaine
137,Bach::N,regato,ruisseau
138,Bach::N,ribeiro,ruisseau
139,Fluss::N,rio,fleuve
140,Fluss::N,rio,rivière
141,Ufer::N,beira,bord
142,Ufer::N,beira,rivage
143,Küste::N,costa,côte
144,Festland::N,terra firme,terre ferme
145,Meer::N,mar,mer
146,Bucht::N,baía,baie
147,Insel::N,ilha,île
148,Blume::N,flor,fleur
149,Gras::N,erva,herbe
150,Wurzel::N,raiz,racine
151,Baum::N,árvore,arbre
152,Stamm::N,tronco,tronc
153,Rinde::N,casca,écorce
154,Ast::N,ramo,branche
155,Zweig::N,galho,rameau
156,Blatt::N,folha,feuille
157,Birke::N,bétula,bouleau
158,Kiefer[Baum]::N,pinheiro,pin
159,Weide[Baum]::N,salgueiro,saule
160,Tanne::N,abeto,sapin
161,Horn::N,corno,corne
162,Horn::N,chifre,corne
163,Feder::N,pena,plume
164,Fell::N,pele,peau
165,Flügel::N,asa,aile
166,Klaue::N,pata,serre
167,Kralle::N,unha,ongle
168,Kralle::N,unha,griffe
169,Kralle::N,garra,ongle
170,Kralle::N,garra,griffe
171,Schwanz::N,rabo,queue
172,Schwanz::N,cauda,queue
173,Ei::N,ovo,œuf
174,Nest::N,ninho,nid
175,Bau::N,toca,terrier
176,Bau::N,covil,terrier
177,Tier::N,animal,animal
178,Herde::N,rebanho,troupeau
179,Kuh::N,vaca,vache
180,Bulle::N,touro,taureau
181,Pferd::N,cavalo,cheval
182,Schaf::N,ovelha,mouton
183,Schwein::N,porco,porc
184,Schwein::N,porco,cochon
185,Hund::N,cão,chien
186,Katze::N,gata,chat
187,Bär::N,urso,ours
188,Eichhörnchen::N,esquilo,écureuil
189,Elch::N,alce,élan
190,Fuchs::N,raposa,renard
191,Hase::N,lebre,lièvre
192,Maus::N,rato,souris
193,Wolf::N,lobo,loup
194,Vogel::N,ave,oiseau
195,Vogel::N,pássaro,oiseau
196,Schwarm::N,bando,nuée
197,Schwarm::N,bando,volée
198,Schwarm::N,enxame,nuée
199,Schwarm::N,enxame,volée
200,Huhn::N,galinha,poule
201,Hahn::N,galo,coq
202,Gans::N,ganso,oie
203,Adler::N,águia,aigle
204,Ente::N,pata,canard
205,Eule::N,mocho,hibou
206,Eule::N,coruja,hibou
207,Kranich::N,grou,grue
208,Krähe::N,gralha,corneille
209,Kuckuck::N,cuco,coucou
210,Schwan::N,cisne,cygne
211,Fisch::N,peixe,poisson
212,Barsch::N,perca,perche
