,Concept_ID,sv,mrj
0,Auge::N,öga,сӹнзӓ
1,Ohr::N,öra,пӹлӹш
2,Nase::N,näsa,нер
3,Mund::N,mun,ышма
4,Zahn::N,tand,пӱ
5,Zunge::N,tunga,йӹлмӹ
6,Lippe::N,läpp,тӹрвӹ
7,Wange::N,kind,шӹргӹ
8,Gesicht::N,syn,лицӓ
9,Gesicht::N,ansikte,лицӓ
10,Stirn::N,panna,лепкӓ
11,Haar::N,hår,ӱп
12,Schnurrbart::N,mustasch,öрш
13,Bart::N,skägg,пандаш
14,Kinn::N,haka,онгылаш
15,Kiefer[Anatomie]::N,käke,пӱ арата
16,Kehle::N,strupe,логер
17,Hals::N,hals,шӱ
18,Genick::N,nacke,ланга
19,Kopf::N,huvud,вуй
20,Rücken::N,rygg,туп
21,Bauch::N,buk,мӹшкӹр
22,Bauch::N,mage,мӹшкӹр
23,Nabel::N,navel,кӹлӹмдӹ
24,Busen::N,barm,цӹзӹ
25,Brust::N,bröst,мел
26,Schulter::N,skuldra,ӹнгӹжӓ
27,Arm::N,arm,кид
28,Ellenbogen::N,armbåge,кӹнервуй
29,Hand::N,hand,лапа
30,Handfläche::N,handflata,кид лапа
31,Finger::N,finger,парня
32,Fingernagel::N,fingernagel,кӹч
33,Nagel[Anatomie]::N,nagel,кӹч
34,Zeh::N,tå,парня
35,Fuß::N,fot,ял лапа
36,Ferse::N,häl,ялгавал
37,Ferse::N,häl,ял кавал
38,Knie::N,knä,пылвуй
39,Oberschenkel::N,lår,ӓрдӹ
40,Bein::N,ben,ял
41,Körper::N,kropp,монгыр
42,Haut::N,hud,кавашты
43,Haut::N,skinn,кавашты
44,Blut::N,blod,вӹр
45,Ader::N,åder,вӹршӓр
46,Sehne::N,sena,кукшышӱн
47,Knochen::N,ben,лу
48,Gehirn::N,hjärna,вим
49,Herz::N,hjärta,шӱм
50,Magen::N,mage,шӱм
51,Leber::N,lever,мокш
52,Atem::N,anda,шӱлӹш
53,Atem::N,andedräkt,шӱлӹш
54,Hunger::N,svält,шужымаш
55,Hunger::N,hunger,шужымаш
56,Träne::N,tår,сӹнзӓвӹд
57,Geschmack::N,smak,тот
58,Geruch::N,lukt,пыш
59,Schlaf::N,sömn,ом
60,Traum::N,dröm,ом
61,Himmel::N,himmel,пӹлгом
62,Sonne::N,sol,кечӹ
63,Mond::N,måne,тӹлзӹ
64,Stern::N,stjärna,шӹдӹр
65,Luft::N,luft,юж
66,Luft::N,luft,воздух
67,Wind::N,vind,мардеж
68,Welle::N,våg,ко
69,Welle::N,våg,коэ
70,Welle::N,bölja,ко
71,Welle::N,bölja,коэ
72,Wasser::N,vatten,вӹд
73,Stein::N,sten,кӱ
74,Boden::N,mark,рок
75,Erde::N,jord,свет
76,Staub::N,damm,пырак
77,Rauch::N,rök,шӹкш
78,Funke::N,gnista,ип
79,Funke::N,gnista,тылип
80,Feuer::N,eld,тыл
81,Licht::N,ljus,соты
82,Licht::N,ljus,валгыды
83,Schatten::N,skugga,ӹмӹл
84,Wetter::N,väder,игечӹ
85,Nebel::N,dimma,тӹтӹрӓ
86,Nebel::N,töcken,тӹтӹрӓ
87,Wolke::N,sky,пӹл
88,Wolke::N,moln,пӹл
89,Regen::N,regn,юр
90,Schnee::N,snö,лым
91,Eis::N,is,и
92,Frost::N,frost,ӱштӹ
93,Kälte::N,köld,ӱштӹ
