,Concept_ID,sv,cv
0,Auge::N,öga,куҫ
1,Ohr::N,öra,хӑлха
2,Nase::N,näsa,сӑмса
3,Mund::N,mun,ҫӑвар
4,Zahn::N,tand,шӑл
5,Zunge::N,tunga,чӗлхе
6,Lippe::N,läpp,тута
7,Wange::N,kind,пит ҫӑмарти
8,Gesicht::N,syn,пит
9,Gesicht::N,syn,пит-куҫ
10,Gesicht::N,ansikte,пит
11,Gesicht::N,ansikte,пит-куҫ
12,Stirn::N,panna,ҫамка
13,Haar::N,hår,ҫӳҫ
14,Schnurrbart::N,mustasch,усси
15,Bart::N,skägg,сухал
16,Kinn::N,haka,янах
17,Kiefer[Anatomie]::N,käke,янах
18,Kehle::N,strupe,пыр
19,Kehle::N,strupe,карланкӑ
20,Hals::N,hals,пыр
21,Genick::N,nacke,ӗнсе
22,Kopf::N,huvud,пуҫ
23,Rücken::N,rygg,ҫурӑм
24,Bauch::N,buk,
25,Bauch::N,mage,
26,Nabel::N,navel,кӑвапа
27,Busen::N,barm,кӑкӑр
28,Brust::N,bröst,умӗ
29,Schulter::N,skuldra,хул пуҫҫи
30,Arm::N,arm,алӑ
31,Ellenbogen::N,armbåge,чавса
32,Hand::N,hand,алӑ сыппи
33,Handfläche::N,handflata,ал лаппи
34,Finger::N,finger,пӳрне
35,Fingernagel::N,fingernagel,чӗрне
36,Nagel[Anatomie]::N,nagel,чӗрне
37,Zeh::N,tå,пӳрне
38,Fuß::N,fot,ура лаппи
39,Ferse::N,häl,кӗле
40,Knie::N,knä,чӗркуҫҫи
41,Oberschenkel::N,lår,пӗҫӗ
42,Bein::N,ben,ура
43,Körper::N,kropp,ӳт
44,Körper::N,kropp,ӳт-пӳ
45,Haut::N,hud,тир
46,Haut::N,skinn,тир
47,Blut::N,blod,юн
48,Ader::N,åder,вена
49,Sehne::N,sena,шӑнӑр
50,Knochen::N,ben,шӑмӑ
51,Gehirn::N,hjärna,миме
52,Herz::N,hjärta,чӗре
53,Magen::N,mage,хырӑмлӑх
54,Leber::N,lever,пӗвер
55,Atem::N,anda,сывлав
56,Atem::N,andedräkt,сывлав
57,Hunger::N,svält,выҫлӑх
58,Hunger::N,hunger,выҫлӑх
59,Träne::N,tår,куҫҫуль
60,Geschmack::N,smak,техӗм
61,Geruch::N,lukt,шӑршӑ
62,Schlaf::N,sömn,ыйхӑ
63,Traum::N,dröm,тӗлӗк
64,Himmel::N,himmel,пӗлӗт
65,Sonne::N,sol,хӗвел
66,Mond::N,måne,уйӑх
67,Stern::N,stjärna,ҫӑлтӑр
68,Luft::N,luft,сывлӑш
69,Wind::N,vind,ҫил
70,Welle::N,våg,хум
71,Welle::N,bölja,хум
72,Wasser::N,vatten,шыв
73,Wasser::N,vatten,шыв-шур
74,Stein::N,sten,чул
75,Boden::N,mark,тӑпра
76,Erde::N,jord,ҫӗр
77,Staub::N,damm,тусан
78,Rauch::N,rök,тӗтӗм
79,Funke::N,gnista,хӗм
80,Feuer::N,eld,вут
81,Feuer::N,eld,ҫулӑм
82,Licht::N,ljus,ҫутӑ
83,Schatten::N,skugga,сулхӑн
84,Wetter::N,väder,ҫанталӑк
85,Nebel::N,dimma,тӗтре
86,Nebel::N,töcken,тӗтре
87,Wolke::N,sky,пӗлӗт
88,Wolke::N,moln,пӗлӗт
89,Regen::N,regn,ҫумӑр
90,Schnee::N,snö,юр
91,Eis::N,is,пӑр
92,Frost::N,frost,сивӗ
93,Kälte::N,köld,сивӗ
94,Hitze::N,hetta,вӗри
95,Hitze::N,hetta,шӑрӑх
96,Raureif::N,rimfrost,пас
97,Regenbogen::N,regnbåge,асамат кӗперӗ
98,Donner::N,åska,аслати
99,Donner::N,dunder,аслати
100,Strömung::N,strömning,юхӑ
101,Tropfen::N,dropper,тумлам
102,Schaum::N,skum,кӑпӑк
103,Schmutz::N,lort,пылчӑк
104,Schmutz::N,smuts,пылчӑк
105,See::N,sjö,кӳлӗ
106,Sumpf::N,träsk,шур
107,Sumpf::N,träsk,шурлӑх
108,Moor::N,myr,торфлӑ шурлӑх
109,Moor::N,mosse,торфлӑ шурлӑх
110,Wiese::N,äng,улӑх
111,Wiese::N,äng,ҫаран
112,Wald::N,skog,вӑрман
113,Hügel::N,höjd,сӑрт
114,Hügel::N,höjd,тӗмеске
115,Hügel::N,kulle,сӑрт
116,Hügel::N,kulle,тӗмеске
117,Anhöhe::N,höjd,сӑрт
118,Anhöhe::N,backe,сӑрт
119,Berg::N,berg,ту
120,Berg::N,fjäll,ту
121,Gipfel::N,topp,тӳпе
122,Höhle::N,håla,ҫӗр хӑвӑлӗ
123,Höhle::N,grotta,ҫӗр хӑвӑлӗ
124,Abhang::N,slänt,тӑвайкки
125,Abhang::N,sluttning,тӑвайкки
126,Quelle::N,källa,ҫӑл куҫ
127,Bach::N,bäck,пӗчӗк шыв
128,Fluss::N,älv,юхан шыв
129,Fluss::N,flod,юхан шыв
130,Ufer::N,strand,ҫыран
131,Küste::N,kust,тинӗс ҫыранӗ
132,Festland::N,fastland,тип ҫӗр
133,Meer::N,hav,тинӗс
134,Bucht::N,vik,тинӗс кукӑрӗ
135,Bucht::N,bukt,тинӗс кукӑрӗ
136,Insel::N,ö,утрав
137,Blume::N,blomma,чечек
138,Blume::N,blomster,чечек
139,Gras::N,gräs,курӑк
140,Wurzel::N,rot,тымар
141,Baum::N,träd,йывӑҫ
142,Stamm::N,stam,вулӑ
143,Rinde::N,bark,хуйӑр
144,Ast::N,gren,турат
145,Zweig::N,kvist,турат
146,Blatt::N,löv,ҫулҫӑ
147,Blatt::N,blad,ҫулҫӑ
148,Birke::N,björk,хурӑн
149,Kiefer[Baum]::N,tall,хыр
150,Weide[Baum]::N,pil,хӑва
151,Weide[Baum]::N,vide,хӑва
152,Tanne::N,gran,чӑрӑш
153,Horn::N,horn,мӑйрака
154,Feder::N,fjäder,тӗк
155,Fell::N,fäll,ҫӑм
156,Fell::N,skinn,ҫӑм
157,Flügel::N,vinge,ҫунат
158,Klaue::N,klöv,чӗрне
159,Kralle::N,klo,ура
160,Schwanz::N,svans,хӳре
161,Schwanz::N,stjärt,хӳре
162,Ei::N,ägg,ҫӑмарта
163,Nest::N,rede,йӑва
164,Nest::N,näste,йӑва
165,Bau::N,bo,йӗнӗ
166,Tier::N,djur,выльӑх
167,Herde::N,flock,кӗтӳ
168,Kuh::N,ko,ӗне
169,Bulle::N,tjur,вӑкӑр
170,Pferd::N,häst,лаша
171,Schaf::N,får,сурӑх
172,Schwein::N,svin,сысна
173,Hund::N,hund,йытӑ
174,Katze::N,katt,кушак
175,Bär::N,björn,упа
176,Eichhörnchen::N,ekorre,пакша
177,Elch::N,älg,пӑши
178,Fuchs::N,räv,тилӗ
179,Hase::N,hare,куян
180,Hase::N,hare,мулкач
181,Maus::N,mus,шӑши
182,Wolf::N,varg,кашкӑр
183,Vogel::N,fågel,кайӑк
184,Vogel::N,fågel,вӗҫен кайӑк
185,Schwarm::N,svärm,ушкӑн
186,Huhn::N,höns,чӑх
187,Huhn::N,höns,чӑхӑ
188,Hahn::N,tupp,автан
189,Gans::N,gås,хур
190,Adler::N,örn,ӑмӑрт кайӑк
191,Ente::N,anka,кӑвакал
192,Eule::N,uggla,тӑмана
193,Kranich::N,trana,тӑрна
194,Krähe::N,kråka,ула курак
195,Kuckuck::N,gök,куккук
196,Schwan::N,svan,акӑш
197,Fisch::N,fisk,пулӑ
198,Barsch::N,abborre,уланкӑ
199,Hecht::N,gädda,ҫӑрттан
200,Schlange[Tier]::N,orm,ҫӗлен
201,Wurm::N,mask,ӑман
202,Spinne::N,spindel,эрешмен
203,Ameise::N,myra,кӑткӑ
204,Laus::N,lus,пыйтӑ
205,Mücke::N,mygga,вӑрӑм туна
206,Fliege::N,fluga,шӑна
207,Schmetterling::N,fjäril,лӗпӗш
208,Beere::N,bär,ҫырла
209,Apfel::N,äpple,улма
210,Apfel::N,äpple,пан улми
211,Pilz::N,svamp,кӑмпа
212,Zwiebel::N,lök,сухан
213,Saat::N,sådd,вӑрӑ
214,Korn::N,korn,тӗшӗ
215,Korn::N,korn,пӗрчӗ
216,Heu::N,hö,утӑ
217,Schale::N,skal,хупӑ
218,Grube::N,grop,шӑтӑк
219,Falle::N,fälla,тапӑ
220,Falle::N,fälla,капкӑн
221,Schlinge::N,snara,йӑлӑ
222,Spur::N,spår,йӗр
223,Asche::N,aska,кӗл
224,Dreck::N,lort,пылчӑк
225,Eisen::N,järn,тимӗр
226,Gold::N,guld,ылтӑн
227,Silber::N,silver,кӗмӗл
228,Kohle::N,kol,кӑмрӑк
229,Glas::N,glas,кӗленче
230,Lehm::N,lera,тӑм
231,Sand::N,sand,хӑйӑр
232,Mensch::N,människa,ҫын
233,Mensch::N,människa,этем
234,Mann::N,man,ар
235,Frau::N,kvinna,хӗрарӑм
236,Kind::N,barn,ача
237,Junge::N,pojke,ача
238,Junge::N,pojke,ар ҫын ача
239,Mädchen::N,flicka,хӗр ача
240,Familie::N,familj,ҫемье
241,Familie::N,familj,кил-йыш
242,Großvater::N,morfar,кукаҫи
243,Großmutter::N,farmor,кукамай
244,Eltern::N,föräldrar,аҫа-ама
245,Vater::N,far,атте
246,Mutter::N,mor,анне
247,Sohn::N,son,ывӑл
248,Tochter::N,dotter,хӗр
249,Bruder::N,bror,ар тӑван
250,Schwester::N,syster,аппа
251,Schwester::N,syster,йӑмӑк
252,Onkel::N,morbror,мучи
253,Onkel::N,morbror,пичче
254,Tante::N,tant,аппа
255,Ehemann::N,äkta man,упӑшка
256,Ehefrau::N,hustru,арӑм
257,Freude::N,fröjd,савӑнӑҫ
258,Freude::N,fröjd,хаваслӑх
259,Freude::N,glädje,савӑнӑҫ
260,Freude::N,glädje,хаваслӑх
261,Gelächter::N,åtlöje,кулӑ
262,Glück::N,lycka,телей
263,Glück::N,lycka,ӑраскал
264,Kummer::N,sorg,хурлӑх
265,Wunsch::N,önskan,ӗмӗт
266,Wunsch::N,önskan,кӑмӑл
267,Lust::N,lust,кӑмӑл
268,Geist::N,ande,чун-чӗм
269,Geist::N,ande,ыр-усал
270,Geist::N,ande,чун хавалӗ
271,Gedanke::N,tanke,шухӑш
272,Gedächtnis::N,minne,ас
273,Verstand::N,förstånd,ӑс
274,Verstand::N,förstånd,ӑс-тӑн
275,Verstand::N,förstånd,ӑс-хакӑл
276,Sinn::N,mening,тупсӑм
277,Sinn::N,mening,пӗлтерӗш
278,Sinn::N,betydelse,тупсӑм
279,Sinn::N,betydelse,пӗлтерӗш
280,Grund::N,skäl,сӑлтав
281,Grund::N,grund,сӑлтав
282,Wahrheit::N,sanning,чӑнлӑх
283,Gespräch::N,samtal,калаҫу
284,Märchen::N,saga,юмах
285,Erzählung::N,berättelse,акалав
286,Erzählung::N,berättelse,каласа пани
287,Nachricht::N,meddelande,хыпар
288,Neuigkeit::N,nyhet,ҫӗнӗ хыпар
289,Name::N,namn,ят
290,Rätsel::N,gåta,сутмалли юмах
291,Rede::N,tal,сӑмах
292,Sprache::N,språk,чӗлхе
293,Stimme::N,stämma,сасӑ
294,Wort::N,ord,сӑмах
295,Zeichen::N,tecken,паллӑ
296,Ruf::N,rop,йыхрав
297,Ruf::N,rop,чӗнӳ
298,Lärm::N,bråk,шав
299,Lärm::N,oväsen,шав
300,Laut::N,ljud,сасӑ
301,Ton::N,ton,сасӑ
302,Lied::N,sång,юрӑ
303,Ruhe::N,ro,канӑҫлӑх
304,Ruhe::N,ro,лӑпкӑлӑх
305,Ruhe::N,lugn,канӑҫлӑх
306,Ruhe::N,lugn,лӑпкӑлӑх
307,Leute::N,folk,ҫамрӑксем
308,Leute::N,folk,ҫамрӑк ҫынсем
309,Volk::N,folk,халӑх
310,Arbeit::N,arbete,ӗҫхӗл
311,Arbeit::N,arbete,ӗҫлев
312,Gast::N,gäst,хӑна
313,Geschenk::N,gåva,парне
314,Geschenk::N,gåva,кучченеҫ
315,Geschenk::N,present,парне
316,Geschenk::N,present,кучченеҫ
317,Spiel::N,lek,вӑйӑ
318,Spiel::N,spel,вӑйӑ
319,Gesellschaft::N,sällskap,общество
320,Hilfe::N,hjälp,пулӑшу
321,Freund::N,vän,тус
322,Kamerad::N,kamrat,юлташ
323,Kamerad::N,kamrat,тус
324,Angelegenheit::N,ärende,ӗҫ
325,Angelegenheit::N,angelägenhet,ӗҫ
326,Anzahl::N,antal,йыш
327,Anzahl::N,antal,хисеп
328,Art::N,art,тӗс
329,Art::N,slag,тӗс
330,Stück::N,stycke,татӑк
331,Teil::N,del,пай
332,Hälfte::N,halva,ҫурӑ
333,Kreis::N,krets,ункӑ
334,Kreis::N,krets,ҫавракӑш
335,Kreis::N,cirkel,ункӑ
336,Kreis::N,cirkel,ҫавракӑш
337,Kreuz::N,kors,хӗрес
338,Kreuz::N,kryss,хӗрес
339,Linie::N,linje,йӗр
340,Strich::N,streck,йӗр
341,Abstand::N,avstånd,хушӑ
342,Entfernung::N,avstånd,хушӑ
343,Gegend::N,trakt,вырӑн
344,Platz::N,plats,хутлӑх
345,Ort::N,plats,вырӑн
346,Ort::N,ställe,вырӑн
347,Seite::N,sida,ен
348,Seite::N,sida,аяк
349,Seite::N,sida,айӑк
350,Mitte::N,mitt,варӑ
351,Gegenstand::N,föremål,япала
352,Sache::N,sak,япала
