,Concept_ID,mdf,uz
0,Auge::N,сельме,ko'z
1,Ohr::N,пиле,quloq
2,Nase::N,шалхка,burun
3,Mund::N,курга,og'iz
4,Zahn::N,пей,tish
5,Zunge::N,кяль,til
6,Lippe::N,търва́,dudoq
7,Wange::N,щёка,bet
8,Gesicht::N,шама,yuz
9,Stirn::N,коня,manglay
10,Haar::N,шя́ярь,soch
11,Schnurrbart::N,уса́,mo'ylov
12,Bart::N,сакал,soqol
13,Kinn::N,ула,ängak
14,Kiefer[Anatomie]::N,саласка,iyak
15,Kehle::N,кълдома,bo'g'iz
16,Kehle::N,кърга́парь,bo'g'iz
17,Hals::N,сялдаз,bo'yin
18,Genick::N,шовонь,gardan
19,Kopf::N,пря,bosh
20,Rücken::N,копорь,orqa
21,Bauch::N,пеке,qorin
22,Nabel::N,по́кон,kindik
23,Busen::N,потя,ämchak
24,Brust::N,мяште,ko'krak
25,Schulter::N,лафту,elka
26,Arm::N,кядь,bilak
27,Ellenbogen::N,кенерьба́карь,tirsak
28,Hand::N,кядь,qo'l
29,Handfläche::N,кядьлапш,kaft
30,Finger::N,сур,barmoq
31,Fingernagel::N,кенже,tirnoq
32,Nagel[Anatomie]::N,кенже,tirnoq
33,Zeh::N,пильгосу́р,oyoq barmog'i
34,Fuß::N,пильге,oyoq
35,Fuß::N,пильгелапа,oyoq
36,Ferse::N,кочкяря,tovon
37,Knie::N,эль,tiz
38,Knie::N,пълма́нжа,tiz
39,Oberschenkel::N,пильгепукша,son
40,Bein::N,пильге,oyoq
41,Körper::N,ро́нга,badna
42,Körper::N,по́нда,badna
43,Haut::N,киське,teri
44,Blut::N,вер,qon
45,Ader::N,сан,qon tomir
46,Ader::N,верза́н,qon tomir
47,Sehne::N,коське сан,tomir
48,Knochen::N,пакарь,suyak
49,Gehirn::N,уй,miya
50,Herz::N,седи,qalb
51,Magen::N,коткърдазь,oshqozon
52,Leber::N,макса,bag'ir
53,Atem::N,лекома,dam
54,Atem::N,ваймонь тарксема,dam
55,Hunger::N,вачеши,ochlik
56,Träne::N,сельмове́дь,yosh
57,Geschmack::N,таньф,tam
58,Geruch::N,шине,jid
59,Schlaf::N,удома́,uyqu
60,Traum::N,он,tush
61,Himmel::N,менель,osmon
62,Sonne::N,ши,quyosh
63,Mond::N,ков,oy
64,Stern::N,тяште,yulduz
65,Luft::N,кожф,havo
66,Wind::N,варма,el
67,Welle::N,тавла,to'lqin
68,Wasser::N,ведь,suv
69,Stein::N,кев,tosh
70,Boden::N,мода,tuproq
71,Boden::N,потмакс,tuproq
72,Erde::N,мода,er
73,Erde::N,мастор,er
74,Staub::N,пуль,chang
75,Rauch::N,качам,tutun
76,Funke::N,ця́тка,yalt
77,Feuer::N,тол,o't
78,Licht::N,ва́лда,yorug'
79,Schatten::N,цильф,soya
80,Wetter::N,уша,havo
81,Nebel::N,тума́н,tuman
82,Wolke::N,ковол,bulut
83,Regen::N,пизем,yomg'ir
84,Schnee::N,лов,qor
85,Eis::N,эй,muz
86,Frost::N,ке́льме,ajoz
87,Kälte::N,якшама,ajoz
88,Hitze::N,пси,issiq
89,Raureif::N,леш,qirov
90,Regenbogen::N,а́тямъёнга,kamalak
91,Donner::N,атям,guldur
92,Strömung::N,шудема́,oqim
93,Tropfen::N,путькс,tomchi
94,Tropfen::N,пътняфкс,tomchi
95,Schaum::N,шов,ko'pik
