,Concept_ID,ga,te
0,Auge::N,súil,కన్ను
1,Ohr::N,cluas,చెవి
2,Nase::N,soc,ముక్కు
3,Mund::N,béal,నోరు
4,Zahn::N,fiacail,పల్లు
5,Zunge::N,teanga,నాలుక
6,Lippe::N,liopa,పెదవి
7,Wange::N,grua,చెంప
8,Wange::N,leiceann,చెంప
9,Gesicht::N,éadan,ముఖము
10,Gesicht::N,aghaidh,ముఖము
11,Stirn::N,baithis,నుదురు
12,Stirn::N,clár éadain,నుదురు
13,Haar::N,gruaig,వెండ్రుక
14,Schnurrbart::N,croiméal,మీసము
15,Bart::N,féasóg,గడ్డము
16,Kinn::N,smig,గడ్డము
17,Kiefer[Anatomie]::N,giall,దౌడ
18,Kehle::N,scornach,గొంతు
19,Hals::N,muinéal,మెడ
20,Genick::N,baic,మూపు
21,Kopf::N,ceann,తల
22,Rücken::N,droim,వెన్ను
23,Bauch::N,bolg,కడుపు
24,Nabel::N,imleacán,బొడ్డు
25,Busen::N,cíoch,స్తనము
26,Brust::N,brollach,ఱొమ్ము
27,Schulter::N,gualainn,భుజము
28,Arm::N,lámh,చేయి
29,Ellenbogen::N,uillinn,మోచేయి
30,Hand::N,lámh,చేయి
31,Handfläche::N,bos,అరచేయు
32,Finger::N,méar,చేతిప్రేలు
33,Fingernagel::N,ionga,గోరు
34,Nagel[Anatomie]::N,ionga,గోరు
35,Zeh::N,ladhar,కాలిప్రేలు
36,Fuß::N,cos,అడుగు
37,Fuß::N,troigh,అడుగు
38,Ferse::N,sáil,మడమ
39,Knie::N,glúin,మోకాలు
40,Oberschenkel::N,ceathrú,తొడ
41,Bein::N,cos,కాలు
42,Körper::N,corp,కాయము
43,Körper::N,colainn,కాయము
44,Haut::N,cneas,చర్మము
45,Haut::N,craiceann,చర్మము
46,Blut::N,fuil,రక్తము
47,Sehne::N,teannán,స్నాయువు
48,Sehne::N,féitheog,స్నాయువు
49,Knochen::N,cnámh,ఎముక
50,Gehirn::N,inchinn,మెదడు
51,Herz::N,croí,హృదయము
52,Magen::N,bolg,కడుపు
53,Magen::N,goile,కడుపు
54,Leber::N,ae,కాలేయము
55,Atem::N,anáil,ఉపిరి
56,Hunger::N,ocras,ఆకలి
57,Träne::N,deoir,కన్నీటిచుక్క
58,Geschmack::N,blas,రుచి
59,Geruch::N,boladh,వాసన
60,Schlaf::N,suan,నిద్ర
61,Schlaf::N,codladh,నిద్ర
62,Traum::N,taibhreamh,కల
63,Himmel::N,spéir,ఆకాశము
64,Sonne::N,grian,సూర్యుడు
65,Mond::N,ré,చంద్రుడు
66,Mond::N,gealach,చంద్రుడు
67,Stern::N,rinn,నక్షత్రము
68,Stern::N,réalta,నక్షత్రము
69,Luft::N,aer,గాలి
70,Wind::N,gaoth,వీచుచున్నగాలి
71,Welle::N,tonn,అల
72,Wasser::N,uisce,నీరు
73,Stein::N,cloch,ఱాయి
74,Boden::N,talamh,నేల
75,Erde::N,cré,మన్ను
76,Erde::N,ithir,మన్ను
77,Staub::N,dusta,దుమ్ము
78,Staub::N,deannach,దుమ్ము
79,Rauch::N,toit,పొగ
80,Rauch::N,deatach,పొగ
81,Funke::N,drithle,అగ్నికణము
82,Feuer::N,tine,అగ్ని
83,Licht::N,solas,కాంతి
84,Schatten::N,scáth,నీడ
85,Wetter::N,aimsir,వాతావరణ స్థితి
86,Nebel::N,ceo,పొగమంచు
87,Wolke::N,néal,మేఘము
88,Wolke::N,scamall,మేఘము
89,Regen::N,báisteach,వాన
90,Regen::N,fearthainn,వాన
91,Schnee::N,sneachta,హిమము
92,Eis::N,oighear,మంచుగడ్డ
93,Frost::N,sioc,పేరిన మంచు
94,Kälte::N,fuacht,చలి
95,Hitze::N,teas,వేడిమి
96,Hitze::N,teocht,వేడిమి
97,Raureif::N,sioc bán,మంచు
98,Regenbogen::N,stua ceatha,ఇంద్రధనుస్సు
99,Regenbogen::N,bogha báistí,ఇంద్రధనుస్సు
100,Donner::N,toirneach,ఉరుము
101,Strömung::N,sruth,ప్రవాహము
102,Tropfen::N,deoir,చుక్క
103,Schaum::N,cúr,నురుగు
104,Schmutz::N,salachar,మైల
105,See::N,loch,సరస్సు
106,Sumpf::N,portach,చిత్తడినేల
107,Moor::N,caorán,చిత్తడినేల
108,Moor::N,móinteán,చిత్తడినేల
109,Wiese::N,cluain,పచ్చిక బయలు
110,Wiese::N,móinéar,పచ్చిక బయలు
111,Wald::N,coill,అడవి
112,Wald::N,foraois,అడవి
113,Hügel::N,ard,చివ్నకొండ
114,Anhöhe::N,ard,కొండ
115,Anhöhe::N,ardán,కొండ
116,Berg::N,sliabh,పర్వతము
117,Gipfel::N,barr,శిఖరము
118,Gipfel::N,mullach,శిఖరము
119,Höhle::N,uaimh,గుహ
120,Höhle::N,pluais,గుహ
121,Abhang::N,fána,ఏటవాలు
122,Quelle::N,foinse,మూలము
123,Bach::N,sruthán,కాలువ
124,Fluss::N,abhainn,నది
125,Ufer::N,bruach,తీరము
126,Küste::N,cósta,తీరము
127,Küste::N,cladach,తీరము
128,Festland::N,míntír,భూమి
129,Meer::N,muir,సముద్రము
130,Meer::N,farraige,సముద్రము
131,Bucht::N,bá,మరుగు
132,Bucht::N,cuan,మరుగు
133,Insel::N,inis,దీవి
