,Concept_ID,ar,ko
0,Auge::N,عين,눈
1,Ohr::N,أذن,귀
2,Nase::N,أنف,코
3,Mund::N,فم,입
4,Zahn::N,سن,이
5,Zunge::N,لسان,혀
6,Lippe::N,شفة,입술
7,Wange::N,خد,뺨
8,Wange::N,وجنة,뺨
9,Gesicht::N,وجه,얼굴
10,Stirn::N,جبين,이마
11,Haar::N,شعر,털
12,Schnurrbart::N,شارب,윗수몀
13,Schnurrbart::N,شارب,코밑수염
14,Bart::N,لحية,수엄
15,Kinn::N,ذقن,아래턱
16,Kiefer[Anatomie]::N,فك,턱
17,Kehle::N,حلق,인후
18,Hals::N,عنق,목
19,Hals::N,رقبة,목
20,Genick::N,قفا,먹덜이
21,Kopf::N,رأس,머리
22,Rücken::N,ظهر,든
23,Bauch::N,بطن,배
24,Nabel::N,سرة,배꼽
25,Busen::N,ثدي,가슴속
26,Brust::N,صدر,가슴
27,Schulter::N,كتف,어깨
28,Arm::N,ذراع,팔
29,Ellenbogen::N,كوع,팔쿰치
30,Hand::N,يد,손
31,Handfläche::N,كف,손바닥
32,Finger::N,إصبع,속가락
33,Fingernagel::N,ظفر,손톱
34,Nagel[Anatomie]::N,ظفر,손톱
35,Zeh::N,إصبع القدم,발가락
36,Fuß::N,قدم,발
37,Ferse::N,كعب,발꿈치
38,Knie::N,ركبة,무릎
39,Oberschenkel::N,فخذ,허벅다리
40,Bein::N,ساق,다리
41,Körper::N,جسم,구간
42,Haut::N,بشرة,살갗
43,Blut::N,دم,피
44,Ader::N,عرق,정맥
45,Sehne::N,طنب,현
46,Knochen::N,عظم,뼈
47,Gehirn::N,دماغ,뇌
48,Gehirn::N,دماغ,뇌수
49,Herz::N,قلب,염통
50,Magen::N,معدة,위
51,Leber::N,كبد,간
52,Atem::N,نفس,기식
53,Hunger::N,جوع,공복
54,Träne::N,دمعة,눈물
55,Geschmack::N,طعم,기호
56,Geschmack::N,مذاق,기호
57,Geruch::N,رائحة,냄새
58,Schlaf::N,نوم,수면
59,Schlaf::N,منام,수면
60,Traum::N,حلم,쿰
61,Himmel::N,سماء,하늘
62,Sonne::N,شمس,해
63,Mond::N,قمر,달
64,Stern::N,نجم,별
65,Stern::N,كوكب,별
66,Luft::N,هواء,동준
67,Luft::N,هواء,가스채
68,Wind::N,ريح,바람
69,Welle::N,موجة,물결
70,Wasser::N,ماء,물
71,Stein::N,حجر,돌
72,Boden::N,تراب,바닥
73,Erde::N,أرض,흙
74,Staub::N,غبار,먼지
75,Rauch::N,دخان,연기
76,Funke::N,شرارة,불티
77,Feuer::N,نار,불
78,Licht::N,نور,불
79,Licht::N,ضوء,불
80,Schatten::N,ظل,어스레함
81,Schatten::N,فيء,어스레함
82,Wetter::N,جو,기상
83,Wetter::N,طقس,기상
84,Nebel::N,ضباب,안개
85,Wolke::N,غيمة,구름
86,Wolke::N,سحابة,구름
87,Regen::N,مطر,비
88,Schnee::N,ثلج,눈
89,Eis::N,جليد,얼음
90,Frost::N,صقيع,혹한
91,Kälte::N,برد,추위
92,Kälte::N,برد,차가움
93,Hitze::N,حر,고온
94,Hitze::N,حر,더위
95,Hitze::N,حرارة,고온
96,Hitze::N,حرارة,더위
97,Raureif::N,صقيع,
98,Regenbogen::N,قوس قزح,무지개
99,Donner::N,رعد,뇌명
100,Strömung::N,تيار,유동
101,Tropfen::N,قطرة,물방울
102,Schaum::N,زبد,포말
103,Schaum::N,رغوة,포말
104,Schmutz::N,وسخ,때
105,See::N,بحيرة,호수
106,Sumpf::N,مستنقع,습지
107,Moor::N,مستنقع,저습지
108,Wiese::N,مرج,목초지
109,Wald::N,غابة,숲
110,Hügel::N,تل,언덕
111,Anhöhe::N,تل,언덕
112,Berg::N,جبل,산
113,Gipfel::N,قمة,졀졍
114,Höhle::N,كهف,공동
115,Abhang::N,منحدر,몰매
116,Quelle::N,منبع,근원
117,Bach::N,مجرى,내
118,Fluss::N,نهر,강
119,Ufer::N,ضفة,강변
120,Ufer::N,ضفة,바닷가
121,Küste::N,ساحل,해변
122,Küste::N,ساحل,해변가
123,Festland::N,بر,본토
124,Meer::N,بحر,바다
125,Bucht::N,خليج,협만
126,Insel::N,جزيرة,섬
127,Blume::N,زهرة,꽃
