,Concept_ID,pt,mhr
0,Auge::N,olho,шинча́
1,Ohr::N,orelha,пы́лыш
2,Nase::N,nariz,нер
3,Mund::N,boca,умша́
4,Zahn::N,dente,пӱй
5,Zunge::N,língua,йы́лме
6,Lippe::N,lábio,тӱ́рвӧ
7,Wange::N,face,шӱ́ргӧ
8,Gesicht::N,cara,чури́й
9,Gesicht::N,rosto,чури́й
10,Stirn::N,testa,саҥга́
11,Haar::N,cabelo,ӱп
12,Schnurrbart::N,bigode,ӧ́рыш
13,Bart::N,barba,понда́ш
14,Kinn::N,queixo,оҥыла́ш
15,Kiefer[Anatomie]::N,maxila,пӱйдӱ́ҥ
16,Kiefer[Anatomie]::N,maxila,пӱйората́
17,Kiefer[Anatomie]::N,mandíbula,пӱйдӱ́ҥ
18,Kiefer[Anatomie]::N,mandíbula,пӱйората́
19,Kehle::N,garganta,лога́р
20,Hals::N,colo,шӱй
21,Hals::N,pescoço,шӱй
22,Genick::N,nuca,шӱйло́дыш
23,Kopf::N,cabeça,вуй
24,Rücken::N,dorso,туп
25,Rücken::N,costas,туп
26,Bauch::N,ventre,мӱ́шкыр
27,Bauch::N,barriga,мӱ́шкыр
28,Nabel::N,umbigo,кы́лымде
29,Busen::N,seio,чы́зе
30,Brust::N,peito,оҥ
31,Schulter::N,ombro,ва́че
32,Arm::N,braço,кид
33,Ellenbogen::N,cotovelo,кынерву́й
34,Hand::N,mão,кид
35,Hand::N,mão,копа́
36,Handfläche::N,palma,со́во
37,Handfläche::N,palma da mão,со́во
38,Finger::N,dedo,парня́
39,Fingernagel::N,unha,кидкӱ́ч
40,Fingernagel::N,unha,парнягӱ́ч
41,Nagel[Anatomie]::N,unha,кӱч
42,Zeh::N,dedo do pé,йолварня́
43,Fuß::N,pé,йол
44,Fuß::N,pé,йолкопа́
45,Ferse::N,calcanhar,тага́н
46,Knie::N,joelho,пулву́й
47,Oberschenkel::N,coxa,э́рде
48,Bein::N,perna,йол
49,Körper::N,corpo,кап
50,Haut::N,pele,кова́ште
51,Blut::N,sangue,вӱр
52,Ader::N,veia,шӧн
53,Sehne::N,tendão,шӧн
54,Sehne::N,tendão,кӱсе́н
55,Knochen::N,osso,лу
56,Gehirn::N,cérebro,вем
57,Gehirn::N,cérebro,вуйве́м
58,Herz::N,coração,шӱм
59,Magen::N,estômago,пага́р
