,Concept_ID,ja,lt
0,Auge::N,目,akis
1,Ohr::N,耳,ausis
2,Nase::N,鼻,nosis
3,Mund::N,口,burna
4,Zahn::N,歯,dantis
5,Zunge::N,舌,liežuvis
6,Lippe::N,唇,lūpa
7,Wange::N,頬,žandas
8,Wange::N,頬,skruostas
9,Gesicht::N,顔,veidas
10,Stirn::N,額,kakta
11,Haar::N,髪,plaukai
12,Schnurrbart::N,口髭,ūsai
13,Bart::N,髭,barzda
14,Kinn::N,顎,smakras
15,Kiefer[Anatomie]::N,顎,žandikaulis
16,Kehle::N,喉,gerklė
17,Hals::N,首,kaklas
18,Genick::N,首,sprandas
19,Kopf::N,頭,galva
20,Rücken::N,背中,nugara
21,Bauch::N,腹,pilvas
22,Bauch::N,お腹,pilvas
23,Nabel::N,へそ,bamba
24,Busen::N,乳房,krūtinė
25,Brust::N,胸,krūtis
26,Schulter::N,肩,petys
27,Arm::N,腕,ranka
28,Ellenbogen::N,肘,alkūnė
29,Hand::N,手,ranka
30,Hand::N,手,plaštaka
31,Handfläche::N,手のひら,delnas
32,Handfläche::N,手のひら,plaštaka
33,Finger::N,指,pirštas
34,Fingernagel::N,爪,nagas
35,Nagel[Anatomie]::N,爪,nagas
36,Zeh::N,足の指,pirštas
37,Fuß::N,足,pėda
38,Ferse::N,かかと,kulnas
39,Knie::N,膝,kelis
40,Oberschenkel::N,上腿,kulšis
41,Oberschenkel::N,上腿,šlaunis
42,Bein::N,足,koja
43,Körper::N,体,kūnas
44,Haut::N,皮膚,oda
45,Blut::N,血,kraujas
46,Ader::N,血管,kraujagyslė
47,Sehne::N,腱,sausgyslė
48,Knochen::N,骨,kaulas
49,Gehirn::N,脳,smegenys
50,Herz::N,心,širdis
51,Herz::N,心臓,širdis
52,Magen::N,胃,skrandis
53,Leber::N,肝臓,kepenys
54,Atem::N,息,kvapas
55,Atem::N,呼吸,kvapas
56,Hunger::N,空腹,badas
57,Hunger::N,空腹,alkis
58,Träne::N,涙,ašara
59,Geschmack::N,味,skonis
60,Geruch::N,匂い,kvapas
61,Schlaf::N,睡眠,miegas
62,Traum::N,夢,sapnas
63,Himmel::N,空,dangus
64,Sonne::N,太陽,saulė
65,Mond::N,月,mėnulis
66,Stern::N,星,žvaigždė
67,Luft::N,空気,oras
68,Wind::N,風,vėjas
69,Welle::N,波,banga
70,Welle::N,波,vilnis
71,Wasser::N,水,vanduo
72,Stein::N,石,akmuo
73,Boden::N,土地,žemė
74,Boden::N,土地,dugnas
75,Erde::N,土,žemė
76,Staub::N,埃,dulkės
77,Rauch::N,煙,dūmai
78,Funke::N,火花,kibirkštis
79,Feuer::N,火,ugnis
80,Licht::N,光,šviesa
81,Schatten::N,陰,paūksmė
82,Wetter::N,天気,oras
83,Nebel::N,霧,migla
84,Nebel::N,霧,rūkas
85,Wolke::N,雲,debesis
86,Regen::N,雨,lietus
87,Schnee::N,雪,sniegas
88,Eis::N,氷,ledas
89,Frost::N,霜,šalna
90,Kälte::N,寒さ,šaltis
91,Hitze::N,暑さ,karštis
92,Raureif::N,霧氷,šerkšnas
93,Regenbogen::N,虹,vaivorykštė
94,Donner::N,雷,perkūnas
95,Donner::N,雷,griaustinis
96,Strömung::N,流れ,tėkmė
97,Tropfen::N,滴,lašas
98,Schaum::N,泡,putos
99,Schmutz::N,汚れ,purvas
100,See::N,湖,ežeras
101,Sumpf::N,沼,klampynė
102,Sumpf::N,沼,liūnas
103,Moor::N,湿原,pelkė
104,Wiese::N,草原,pieva
105,Wald::N,森,miškas
106,Hügel::N,丘,kalva
107,Anhöhe::N,高み,kauburys
108,Berg::N,山,kalnas
109,Gipfel::N,頂上,viršūnė
110,Höhle::N,洞窟,ola
111,Abhang::N,斜面,šlaitas
112,Abhang::N,斜面,nuokalnė
113,Quelle::N,泉,versmė
114,Quelle::N,泉,šaltinis
115,Bach::N,小川,upelis
116,Fluss::N,川,upė
117,Ufer::N,岸,krantas
118,Küste::N,海岸,pajūris
119,Festland::N,陸,sausuma
120,Meer::N,海,jūra
121,Bucht::N,湾,įlanka
122,Bucht::N,湾,užutekis
123,Insel::N,島,sala
124,Blume::N,花,gėlė
125,Gras::N,草,žolė
126,Wurzel::N,根,šaknis
127,Baum::N,木,medis
128,Stamm::N,幹,kamienas
129,Rinde::N,皮層,žievė
130,Ast::N,枝,šaka
131,Zweig::N,小枝,šakelė
132,Blatt::N,葉,lapas
133,Birke::N,樺,beržas
134,Kiefer[Baum]::N,松,pušis
135,Weide[Baum]::N,柳,karklas
136,Tanne::N,樅,eglė
137,Tanne::N,樅,kėnis
138,Horn::N,角,ragas
139,Feder::N,羽根,plunksna
140,Fell::N,毛皮,kailis
141,Flügel::N,羽,sparnas
142,Klaue::N,鉤爪,kanopa
143,Kralle::N,爪,nagas
144,Schwanz::N,尻尾,uodega
145,Ei::N,卵,kiaušinis
146,Nest::N,巣,gūžta
147,Nest::N,巣,lizdas
148,Bau::N,穴,ola
149,Tier::N,動物,gyvūnas
150,Herde::N,群れ,banda
151,Herde::N,群れ,kaimenė
152,Kuh::N,牛,karvė
153,Bulle::N,雄牛,bulius
154,Pferd::N,馬,arklys
155,Schaf::N,羊,avis
156,Schwein::N,豚,kiaulė
157,Hund::N,犬,šuo
158,Katze::N,猫,katė
159,Bär::N,熊,lokys
160,Eichhörnchen::N,栗鼠,voveraitė
161,Elch::N,ヘラジカ,briedis
162,Fuchs::N,狐,lapė
163,Hase::N,兎,kiškas
164,Maus::N,鼠,pelė
165,Wolf::N,狼,vilkas
166,Vogel::N,鳥,paukštis
167,Schwarm::N,群れ,spiečius
168,Huhn::N,鶏,višta
169,Hahn::N,雄鶏,gaidys
170,Gans::N,ガチョウ,žąsis
171,Adler::N,鷲,erelis
172,Ente::N,鴨,antis
173,Eule::N,フクロウ,pelėda
174,Kranich::N,鶴,gervė
175,Krähe::N,烏,varna
176,Kuckuck::N,郭公,gegužė
177,Schwan::N,白鳥,gulbė
178,Fisch::N,魚,žuvis
179,Barsch::N,鱸,ešerys
180,Hecht::N,川魳,lydeka
181,Schlange[Tier]::N,蛇,gyvatė
182,Wurm::N,虫,kirmėlė
