,Concept_ID,udm,cv
0,Auge::N,син,куҫ
1,Ohr::N,пель,хӑлха
2,Nase::N,ныр,сӑмса
3,Mund::N,ым,ҫӑвар
4,Zahn::N,пинь,шӑл
5,Zunge::N,кыл,чӗлхе
6,Lippe::N,ымдур,тута
7,Wange::N,бам,пит ҫӑмарти
8,Gesicht::N,ымныр,пит
9,Gesicht::N,ымныр,пит-куҫ
10,Stirn::N,кымес,ҫамка
11,Haar::N,йырси,ҫӳҫ
12,Schnurrbart::N,мыйык,усси
13,Bart::N,туш,сухал
14,Kinn::N,ангес,янах
15,Kiefer[Anatomie]::N,ан,янах
16,Kiefer[Anatomie]::N,анлы,янах
17,Kehle::N,гульым,пыр
18,Kehle::N,гульым,карланкӑ
19,Hals::N,чырты,пыр
20,Genick::N,йырбер,ӗнсе
21,Kopf::N,йыр,пуҫ
22,Rücken::N,мыш,ҫурӑм
23,Bauch::N,кӧт,
24,Nabel::N,гогы,кӑвапа
25,Busen::N,ноны,кӑкӑр
26,Brust::N,мӧля,умӗ
27,Schulter::N,пельпум,хул пуҫҫи
28,Arm::N,суй,алӑ
29,Ellenbogen::N,гырпум,чавса
30,Hand::N,ки,алӑ сыппи
31,Handfläche::N,ки пыдэс,ал лаппи
32,Handfläche::N,кырым пыдэс,ал лаппи
33,Finger::N,чиньы,пӳрне
34,Fingernagel::N,гижы,чӗрне
35,Fingernagel::N,гиждӥнь,чӗрне
36,Nagel[Anatomie]::N,гижы,чӗрне
37,Zeh::N,пыдчиньы,пӳрне
38,Fuß::N,пыд,ура лаппи
39,Ferse::N,пыдбер,кӗле
40,Knie::N,пыдес,чӗркуҫҫи
41,Oberschenkel::N,макес,пӗҫӗ
42,Bein::N,пыд,ура
43,Körper::N,мугор,ӳт
44,Körper::N,мугор,ӳт-пӳ
45,Körper::N,вылтыр,ӳт
46,Körper::N,вылтыр,ӳт-пӳ
47,Haut::N,ку,тир
48,Blut::N,вир,юн
49,Ader::N,вирсэр,вена
50,Sehne::N,вуж,шӑнӑр
51,Knochen::N,лы,шӑмӑ
52,Gehirn::N,вим,миме
53,Herz::N,сюлэм,чӗре
54,Magen::N,ӝуш,хырӑмлӑх
55,Leber::N,мус,пӗвер
56,Atem::N,лул,сывлав
57,Atem::N,шокан,сывлав
58,Hunger::N,кӧтсюман,выҫлӑх
59,Träne::N,синкыли,куҫҫуль
60,Geschmack::N,шӧм,техӗм
61,Geruch::N,зын,шӑршӑ
62,Schlaf::N,вӧт,ыйхӑ
63,Traum::N,уйвӧт,тӗлӗк
64,Himmel::N,ин,пӗлӗт
65,Sonne::N,шунды,хӗвел
66,Mond::N,толэзь,уйӑх
67,Stern::N,кизили,ҫӑлтӑр
68,Luft::N,омыр,сывлӑш
69,Wind::N,тӧл,ҫил
70,Welle::N,тулкым,хум
71,Wasser::N,ву,шыв
72,Wasser::N,ву,шыв-шур
73,Stein::N,из,чул
74,Boden::N,музъем,тӑпра
75,Erde::N,му,ҫӗр
76,Staub::N,пыль,тусан
77,Rauch::N,ӵын,тӗтӗм
78,Funke::N,гизьы,хӗм
79,Feuer::N,тыл,вут
80,Feuer::N,тыл,ҫулӑм
81,Licht::N,тыл,ҫутӑ
82,Schatten::N,вужер,сулхӑн
83,Wetter::N,куазь,ҫанталӑк
84,Nebel::N,бус,тӗтре
85,Wolke::N,пилем,пӗлӗт
86,Regen::N,зор,ҫумӑр
87,Schnee::N,лымы,юр
88,Eis::N,йӧ,пӑр
89,Frost::N,кезьыт,сивӗ
90,Kälte::N,кезьыт,сивӗ
91,Hitze::N,пӧсь,вӗри
92,Hitze::N,пӧсь,шӑрӑх
93,Raureif::N,гӧр,пас
94,Regenbogen::N,вуюись,асамат кӗперӗ
95,Donner::N,гудыри,аслати
96,Strömung::N,бызён,юхӑ
97,Tropfen::N,шапык,тумлам
98,Schaum::N,шукы,кӑпӑк
99,Schmutz::N,нӧд,пылчӑк
100,Schmutz::N,дэри,пылчӑк
101,See::N,ты,кӳлӗ
102,Sumpf::N,нюр,шур
103,Sumpf::N,нюр,шурлӑх
104,Moor::N,нюр,торфлӑ шурлӑх
105,Wiese::N,возь,улӑх
106,Wiese::N,возь,ҫаран
107,Wiese::N,возьвыл,улӑх
108,Wiese::N,возьвыл,ҫаран
109,Wald::N,сик,вӑрман
110,Wald::N,нюлэс,вӑрман
111,Hügel::N,выр,сӑрт
112,Hügel::N,выр,тӗмеске
113,Hügel::N,вырйыл,сӑрт
114,Hügel::N,вырйыл,тӗмеске
115,Anhöhe::N,выр,сӑрт
116,Anhöhe::N,вырйыл,сӑрт
117,Berg::N,гурезь,ту
118,Gipfel::N,йыл,тӳпе
119,Höhle::N,гу,ҫӗр хӑвӑлӗ
120,Abhang::N,бам,тӑвайкки
121,Quelle::N,ошмес,ҫӑл куҫ
122,Bach::N,пичи шур,пӗчӗк шыв
123,Fluss::N,шур,юхан шыв
124,Ufer::N,ярдур,ҫыран
125,Küste::N,вудур,тинӗс ҫыранӗ
126,Festland::N,мувыр,тип ҫӗр
127,Meer::N,зарезь,тинӗс
128,Bucht::N,вукож,тинӗс кукӑрӗ
129,Insel::N,вумуӵ,утрав
130,Insel::N,шормуӵ,утрав
131,Blume::N,сяська,чечек
132,Gras::N,турын,курӑк
133,Wurzel::N,выжы,тымар
134,Baum::N,пу,йывӑҫ
135,Stamm::N,модос,вулӑ
136,Rinde::N,сул,хуйӑр
137,Ast::N,ул,турат
138,Zweig::N,вай,турат
139,Blatt::N,куар,ҫулҫӑ
140,Birke::N,кызьпу,хурӑн
141,Kiefer[Baum]::N,пужым,хыр
142,Weide[Baum]::N,бадьпу,хӑва
143,Tanne::N,кыз,чӑрӑш
144,Horn::N,сюр,мӑйрака
145,Feder::N,тылы,тӗк
146,Fell::N,ку,ҫӑм
147,Flügel::N,бурд,ҫунат
148,Klaue::N,гижы,чӗрне
149,Kralle::N,пыд,ура
150,Schwanz::N,быж,хӳре
151,Ei::N,пуз,ҫӑмарта
152,Ei::N,кукей,ҫӑмарта
153,Nest::N,кар,йӑва
154,Nest::N,пузкар,йӑва
155,Bau::N,кар,йӗнӗ
156,Bau::N,гу,йӗнӗ
157,Tier::N,пӧйшур,выльӑх
158,Herde::N,уллё,кӗтӳ
159,Kuh::N,скал,ӗне
160,Bulle::N,ош,вӑкӑр
161,Bulle::N,пороз,вӑкӑр
162,Pferd::N,вал,лаша
163,Schaf::N,ыж,сурӑх
164,Schwein::N,парсь,сысна
165,Hund::N,пуны,йытӑ
166,Katze::N,коӵыш,кушак
167,Bär::N,гондыр,упа
168,Eichhörnchen::N,коньы,пакша
169,Elch::N,койык,пӑши
170,Fuchs::N,ӟичы,тилӗ
171,Hase::N,кеч,куян
172,Hase::N,кеч,мулкач
173,Maus::N,шыр,шӑши
174,Wolf::N,кион,кашкӑр
175,Vogel::N,тылобурдо,кайӑк
176,Vogel::N,тылобурдо,вӗҫен кайӑк
177,Schwarm::N,уллё,ушкӑн
178,Huhn::N,курег,чӑх
179,Huhn::N,курег,чӑхӑ
180,Hahn::N,атас,автан
181,Gans::N,ӟазег,хур
182,Adler::N,ӧрзи,ӑмӑрт кайӑк
183,Ente::N,ӵӧж,кӑвакал
184,Eule::N,кучыран,тӑмана
185,Kranich::N,тури,тӑрна
186,Krähe::N,куака,ула курак
187,Kuckuck::N,кикы,куккук
188,Schwan::N,юсь,акӑш
189,Fisch::N,чорыг,пулӑ
190,Barsch::N,юш,уланкӑ
191,Hecht::N,чипей,ҫӑрттан
192,Schlange[Tier]::N,кый,ҫӗлен
193,Wurm::N,нумыр,ӑман
