,Concept_ID,et,pl
0,Auge::N,silm,oko
1,Ohr::N,kõrv,ucho
2,Nase::N,nina,nos
3,Mund::N,suu,usta
4,Zahn::N,hammas,ząb
5,Zunge::N,keel,język
6,Lippe::N,huul,warga
7,Wange::N,põsk,policzek
8,Gesicht::N,nägu,twarz
9,Stirn::N,otsmik,czoło
10,Haar::N,juus,włos
11,Haar::N,juus,włosy
12,Schnurrbart::N,vurrud,wąsy
13,Schnurrbart::N,vuntsid,wąsy
14,Bart::N,habe,broda
15,Kinn::N,lõug,podbródek
16,Kiefer[Anatomie]::N,lõualuu,czeluść
17,Kehle::N,kõri,gardło
18,Hals::N,kael,szyja
19,Genick::N,kukal,kark
20,Kopf::N,pea,głowa
21,Rücken::N,selg,plecy
22,Rücken::N,selg,grzbiet
23,Bauch::N,kõht,brzuch
24,Nabel::N,naba,pępek
25,Busen::N,rind,biust
26,Brust::N,rind,pierś
27,Schulter::N,õlg,bark
28,Schulter::N,õlg,ramię
29,Arm::N,käsivars,ręka
30,Arm::N,käsivars,ramię
31,Ellenbogen::N,küünarnukk,łokieć
32,Hand::N,käsi,dłoń
33,Handfläche::N,pihk,dłoń
34,Finger::N,sõrm,palec
35,Fingernagel::N,küüs,paznokieć
36,Nagel[Anatomie]::N,küüs,paznokieć
37,Zeh::N,varvas,palec
38,Fuß::N,jalg,stopa
39,Ferse::N,kand,pięta
40,Knie::N,põlv,kolano
41,Oberschenkel::N,reis,udo
42,Bein::N,jalg,noga
43,Körper::N,ihu,ciało
44,Körper::N,keha,ciało
45,Haut::N,nahk,skóra
46,Blut::N,veri,krew
47,Ader::N,veen,żyła
48,Sehne::N,kõõlus,ścięgno
49,Knochen::N,luu,kość
50,Gehirn::N,aju,mózg
51,Herz::N,süda,serce
52,Magen::N,magu,żołądek
53,Leber::N,maks,wątroba
54,Atem::N,hingeõhk,dech
55,Atem::N,hingeõhk,oddech
56,Atem::N,hingamine,dech
57,Atem::N,hingamine,oddech
58,Hunger::N,nälg,głód
59,Träne::N,pisar,łza
60,Geschmack::N,maitse,smak
61,Geruch::N,lõhn,woń
62,Geruch::N,lõhn,zapach
63,Schlaf::N,uni,sen
64,Traum::N,unenägu,sen
65,Himmel::N,taevas,niebo
66,Sonne::N,päike,słońce
67,Mond::N,kuu,księżyc
68,Stern::N,täht,gwiazda
69,Luft::N,õhk,powietrze
70,Wind::N,tuul,wiatr
71,Welle::N,laine,fala
72,Wasser::N,vesi,woda
73,Stein::N,kivi,kamień
74,Boden::N,maa,grunt
75,Boden::N,pinnas,grunt
76,Erde::N,maa,ziemia
77,Staub::N,põrm,pył
78,Staub::N,põrm,kurz
79,Rauch::N,suits,dym
80,Funke::N,säde,iskra
81,Feuer::N,tuli,ogień
82,Licht::N,valgus,światło
83,Schatten::N,vari,cień
84,Wetter::N,ilm,pogoda
85,Nebel::N,udu,mgła
86,Wolke::N,pilv,obłok
87,Wolke::N,pilv,chmura
88,Regen::N,sadu,deszcz
89,Schnee::N,lumi,śnieg
90,Eis::N,jää,lód
91,Frost::N,pakane,mróz
92,Kälte::N,külm,chłód
93,Kälte::N,külmus,chłód
94,Hitze::N,kuumus,gorąco
95,Hitze::N,palavus,gorąco
96,Raureif::N,härmatis,szron
97,Regenbogen::N,vikerkaar,tęcza
98,Donner::N,kõu,grzmot
99,Donner::N,müristamine,grzmot
100,Strömung::N,voolus,nurt
101,Strömung::N,jõevool,nurt
102,Tropfen::N,tilk,kropla
103,Schaum::N,vaht,piana
104,Schmutz::N,pori,brud
105,Schmutz::N,mustus,brud
106,See::N,järv,jezioro
107,Sumpf::N,soo,bagno
108,Moor::N,raba,bagno
109,Wiese::N,aas,łąka
110,Wiese::N,nurm,łąka
111,Wald::N,mets,las
112,Hügel::N,küngas,pagórek
113,Anhöhe::N,küngas,wzgórze
114,Berg::N,mägi,góra
115,Gipfel::N,mäetipp,szczyt
116,Gipfel::N,mäetipp,wierzchołek
117,Höhle::N,koobas,pieczara
118,Abhang::N,nõlvak,stok
119,Abhang::N,nõlvak,zbocze
120,Quelle::N,allikas,zdrój
121,Quelle::N,allikas,źródło
122,Bach::N,oja,potok
123,Bach::N,oja,strumień
124,Fluss::N,jõgi,rzeka
125,Ufer::N,kallas,brzeg
126,Küste::N,rannik,wybrzeże
127,Festland::N,mander,ląd
128,Festland::N,maismaa,ląd
129,Meer::N,meri,morze
130,Bucht::N,laht,zatoka
131,Insel::N,saar,wyspa
132,Blume::N,lill,kwiat
133,Gras::N,rohi,trawa
134,Wurzel::N,juur,korzeń
135,Baum::N,puu,drzewo
136,Stamm::N,tüvi,pień
137,Rinde::N,koor,kora
138,Ast::N,oks,gałąź
139,Zweig::N,oks,gałąź
140,Blatt::N,leht,liść
141,Birke::N,kask,brzoza
142,Kiefer[Baum]::N,mänd,sosna
143,Weide[Baum]::N,paju,wierzba
144,Tanne::N,nulg,jodła
145,Horn::N,sarv,róg
146,Feder::N,sulg,pióro
147,Fell::N,karvkate,futro
148,Fell::N,karusnahk,futro
149,Flügel::N,tiib,skrzydło
150,Flügel::N,tiivik,skrzydło
151,Klaue::N,küüs,szpon
152,Kralle::N,küünis,pazur
153,Schwanz::N,saba,ogon
154,Ei::N,muna,jajko
155,Nest::N,pesa,gniazdo
156,Bau::N,urg,nora
157,Tier::N,loom,zwierzę
158,Herde::N,kari,stado
159,Herde::N,kari,trzoda
160,Kuh::N,lehm,krowa
161,Bulle::N,pull,byk
162,Pferd::N,hobune,koń
163,Schaf::N,lammas,owca
164,Schwein::N,siga,świnia
165,Hund::N,koer,pies
166,Katze::N,kass,kot
167,Katze::N,kass,kotka
168,Bär::N,karu,niedźwiedż
169,Eichhörnchen::N,orav,wiewiórka
170,Elch::N,põder,łóś
171,Fuchs::N,rebane,lis
172,Hase::N,jänes,zając
173,Maus::N,hiir,mysz
174,Wolf::N,hunt,wilk
175,Vogel::N,lind,ptak
176,Schwarm::N,parv,stado
177,Huhn::N,kana,kura
178,Hahn::N,kukk,kogut
179,Gans::N,hani,gęś
180,Adler::N,kotkas,orzeł
181,Ente::N,part,kaczka
182,Eule::N,kakk,sowa
183,Eule::N,öökull,sowa
184,Kranich::N,kurg,żuraw
185,Krähe::N,vares,wrona
186,Kuckuck::N,kägu,kukułka
187,Schwan::N,luik,łabędż
188,Fisch::N,kala,ryba
189,Barsch::N,ahven,okoń
190,Hecht::N,haug,szczupak
191,Schlange[Tier]::N,uss,wąż
192,Schlange[Tier]::N,uss,żmija
193,Wurm::N,uss,robak
194,Wurm::N,vagel,robak
195,Spinne::N,ämblik,pająk
196,Ameise::N,sipelgas,mrówka
197,Laus::N,täi,wesz
198,Mücke::N,sääsk,komar
199,Fliege::N,kärbes,mucha
200,Schmetterling::N,liblikas,motyl
201,Beere::N,mari,jagoda
202,Apfel::N,õun,jabłko
203,Pilz::N,seen,grzyb
204,Zwiebel::N,sibul,cebula
205,Saat::N,seeme,siew
206,Korn::N,iva,ziarno
207,Korn::N,tera,ziarno
208,Heu::N,hein,siano
209,Schale::N,koor,łupina
210,Grube::N,kaevand,dół
211,Grube::N,kaevand,jama
212,Falle::N,lõks,pułapka
213,Falle::N,püünis,pułapka
214,Schlinge::N,aas,sidła
215,Spur::N,jälg,ślad
216,Asche::N,tuhk,popiół
217,Dreck::N,saast,brud
218,Dreck::N,mustus,brud
219,Eisen::N,raud,żelazo
220,Gold::N,kuld,złoto
221,Silber::N,hõbe,srebro
222,Kohle::N,süsi,węgiel
223,Glas::N,klaas,szkło
224,Lehm::N,savi,glina
225,Sand::N,liiv,piasek
