,Concept_ID,el,ta
147,Feder::N,φτερό,இறகு
148,Fell::N,δέρμα,மென்முடி
149,Fell::N,τομάρι,மென்முடி
150,Flügel::N,πτερύγιο,இறக்கை
151,Klaue::N,κουλό,நகம்
152,Kralle::N,νύχι,நகம்
153,Schwanz::N,ουρά,வால்
154,Ei::N,αβγό,முட்டை
155,Nest::N,φωλιά,கூடு
156,Bau::N,φωλιά,குகை
157,Tier::N,ζώο,விலங்கு
158,Herde::N,κοπάδι,கூட்டம்
159,Kuh::N,αγελάδα,பசு
160,Bulle::N,ταύρος,காளை
161,Pferd::N,άλογο,குதிரை
162,Schaf::N,πρόβατο,செம்மறிஆடு
163,Schwein::N,γουρούνι,பன்றி
164,Hund::N,σκυλί,நாய்
165,Hund::N,σκύλος,நாய்
166,Katze::N,γάτα,பூனை
167,Bär::N,άρκτος,கரடி
168,Bär::N,αρκούδα,கரடி
169,Eichhörnchen::N,βερβερίτσα,அணில்
170,Elch::N,άλκη,கடம்பை
171,Fuchs::N,αλεπού,நரி
172,Hase::N,λαγός,முயல்
173,Maus::N,ποντικός,எலி
174,Wolf::N,λύκος,ஓநாய்
175,Vogel::N,πουλί,பறவை
176,Schwarm::N,σμήνος,தொகுதி
177,Huhn::N,κότα,கோழிக்குஞசு
178,Huhn::N,όρνιθα,கோழிக்குஞசு
179,Hahn::N,πετεινός,சேவல்
180,Gans::N,χήνα,பெண் வாத்து
181,Adler::N,αετός,பருநது
182,Ente::N,πάπια,வாத்து
183,Eule::N,κουκουβάγια,ஆந்தை
184,Kranich::N,γερανός,நாரை
185,Krähe::N,καρακάξα,காகம்
186,Kuckuck::N,κούκος,குயில்
187,Schwan::N,κύκνος,அன்னம்
188,Fisch::N,ψάρι,மீன்
189,Barsch::N,πέρκα,பேர்ச்
190,Hecht::N,λούτσος,கோலாச்சி மீன்
191,Schlange[Tier]::N,φίδι,பாம்பு
192,Wurm::N,σκουλήκι,புழு
193,Spinne::N,αράχνη,சிலந்தி
194,Ameise::N,μυρμήγκι,எறும்பு
195,Laus::N,ψείρα,பேன்
196,Mücke::N,κουνούπι,கொசுவினப்பூச்சி
197,Fliege::N,μύγα,ஈ
198,Schmetterling::N,πεταλούδα,வண்ணத்துப்பூச்சி
199,Beere::N,ρόγα,சதைப்பழம்
200,Apfel::N,μήλο,ஆப்பிள பழம்
201,Pilz::N,μανιτάρι,காளான்
202,Zwiebel::N,κρεμμύδι,வெங்காயம்
203,Saat::N,σπόρος,விதை
204,Korn::N,σπυρί,தானியம்
205,Heu::N,σανός,வைக்கோல்
206,Schale::N,τσόφλι,தோல்
207,Grube::N,λάκκος,குழி
208,Falle::N,παγίδα,பொறி
209,Schlinge::N,θηλειά,கண்ணி
210,Spur::N,ίχνος,சுவடு
211,Asche::N,στάχτη,சாம்பல்
212,Dreck::N,βρωμιά,அழுக்கு
213,Eisen::N,σίδερο,இரும்பு
214,Gold::N,μάλαμα,தங்கம்
215,Gold::N,χρυσάφι,தங்கம்
216,Silber::N,ασήμι,வெள்ளி
217,Silber::N,άργυρος,வெள்ளி
218,Kohle::N,κάρβουνο,நிலக்கரி
219,Glas::N,γυαλί,கண்ணாடி
220,Lehm::N,πηλός,களிமண்
221,Sand::N,άμμος,மணல்
222,Mensch::N,άνθρωπος,மனிதர்கள்
223,Mann::N,άνδρας,மனிதன்
224,Frau::N,γυναίκα,பெண்
225,Kind::N,παιδί,குழந்தை
226,Junge::N,αγόρι,பையன்
227,Mädchen::N,κοπέλα,சிறுமி
