,Concept_ID,tt,hu
0,Auge::N,күз,szem
1,Ohr::N,колак,fül
2,Nase::N,борын,orr
3,Mund::N,авыз,száj
4,Mund::N,тамак,száj
5,Zahn::N,теш,fog
6,Zunge::N,тел,nyelv
7,Lippe::N,ирен,ajak
8,Wange::N,яңак,orca
9,Gesicht::N,йөз,arc
10,Stirn::N,маңгай,homlok
11,Haar::N,чәч,haj
12,Schnurrbart::N,мыек,bajusz
13,Bart::N,сакал,szakáll
14,Kinn::N,ияк,áll
15,Kiefer[Anatomie]::N,казналык,állkapocs
16,Kehle::N,тамак,gége
17,Kehle::N,тамак,torok
18,Hals::N,бугаз,nyak
19,Genick::N,җилкә,tarkó
20,Kopf::N,баш,fő
21,Kopf::N,баш,fej
22,Rücken::N,сырт,hát
23,Bauch::N,корсак,has
24,Nabel::N,кендек,köldök
25,Busen::N,түш,mell
26,Busen::N,түш,kebel
27,Brust::N,имчәк,mell
28,Brust::N,күкрәк,mell
29,Schulter::N,иңбаш,váll
30,Schulter::N,кулбаш,váll
31,Arm::N,кул,kar
32,Ellenbogen::N,терсәк,könyök
33,Hand::N,кул,kéz
34,Handfläche::N,уч,tenyér
35,Finger::N,бармак,ujj
36,Fingernagel::N,тырнак,köröm
37,Nagel[Anatomie]::N,тырнак,köröm
38,Zeh::N,бармак,lábujj
39,Fuß::N,табан,láb
40,Ferse::N,үкчә,sarok
41,Knie::N,тез,térd
42,Oberschenkel::N,бот,comb
43,Bein::N,аяк,láb
44,Bein::N,аяк,lábszár
45,Körper::N,тән,test
46,Körper::N,җисем,test
47,Haut::N,тире,bőr
48,Blut::N,кан,vér
49,Ader::N,тамыр,ér
50,Sehne::N,сеңер,ín
51,Knochen::N,сөяк,csont
52,Gehirn::N,ми,agy
53,Gehirn::N,ми,agyvelő
54,Herz::N,йөрәк,szív
55,Magen::N,ашказаны,gyomor
56,Leber::N,бавыр,máj
57,Atem::N,сулыш,lehelet
58,Atem::N,сулыш,lélegzet
59,Hunger::N,ачлык,éhség
60,Träne::N,яшь,könny
61,Geschmack::N,тәм,íz
62,Geschmack::N,зәвык,íz
63,Geruch::N,ис,szag
64,Schlaf::N,йокы,álom
65,Schlaf::N,йокы,alvás
66,Traum::N,төш,álom
67,Himmel::N,күк,ég
68,Himmel::N,күк,menny
69,Sonne::N,кояш,nap
70,Mond::N,ай,hold
71,Stern::N,йолдыз,csillag
72,Luft::N,һава,levegő
73,Wind::N,җил,szél
74,Welle::N,дулкын,hullám
75,Wasser::N,су,víz
76,Stein::N,таш,kő
77,Boden::N,туфрак,föld
78,Boden::N,туфрак,talaj
79,Erde::N,җир,föld
80,Staub::N,тузан,por
81,Rauch::N,төтен,füst
82,Funke::N,очкын,szikra
83,Feuer::N,ут,tűz
84,Licht::N,якты,fény
85,Schatten::N,күләгә,árnyék
86,Wetter::N,һава,idő
87,Wetter::N,һава,időjárás
88,Nebel::N,томан,köd
89,Wolke::N,болыт,felhő
90,Regen::N,яңгыр,eső
91,Schnee::N,кар,hó
92,Eis::N,боз,jég
93,Frost::N,суык,fagy
94,Frost::N,салкын,fagy
95,Kälte::N,суык,hideg
96,Kälte::N,салкын,hideg
97,Hitze::N,эсселек,hő
98,Hitze::N,эсселек,hőség
99,Raureif::N,бәс,zúzmara
100,Raureif::N,сыкы,zúzmara
101,Regenbogen::N,салават күпере,szivárvány
102,Donner::N,күкрәү,dörgés
103,Donner::N,күкрәү,mennydörgés
104,Strömung::N,агыш'агым,áramlat
105,Tropfen::N,тамчы,csepp
106,Schaum::N,күбек,hab
107,Schaum::N,күбек,tajték
108,Schmutz::N,пычрак,piszok
109,See::N,күл,tó
110,Sumpf::N,саз,mocsár
111,Moor::N,торфлык,láp
112,Wiese::N,болын,rét
113,Wiese::N,болын,mező
114,Wald::N,урман,erdő
115,Hügel::N,калку,domb
116,Anhöhe::N,үр,magaslat
117,Berg::N,тау,hegy
118,Gipfel::N,оч,csúcs
119,Höhle::N,мәгарә,barlang
120,Abhang::N,кабырга,lejtő
121,Quelle::N,чишмә,forrás
122,Bach::N,елга,patak
123,Fluss::N,дәрья,folyó
124,Ufer::N,су кырые,part
125,Küste::N,яр буе,tengerpart
126,Festland::N,коры җир,szárazföld
127,Meer::N,диңгез,tenger
128,Bucht::N,бухта,öböl
129,Bucht::N,култык,öböl
130,Insel::N,атау,sziget
131,Insel::N,утрау,sziget
132,Blume::N,чәчкә,virág
133,Gras::N,үлән,fű
134,Wurzel::N,тамыр,gyökér
135,Baum::N,агач,fa
136,Stamm::N,кәүсә,tő
137,Stamm::N,кәүсә,törzs
138,Rinde::N,кабык,kéreg
139,Ast::N,ботак,ág
140,Zweig::N,ботак,gally
141,Zweig::N,тармак,gally
142,Blatt::N,яфрак,levél
143,Birke::N,каен,nyír
144,Kiefer[Baum]::N,нарат,fenyő
145,Weide[Baum]::N,тал,fűz
146,Tanne::N,чыршы,fenyő
147,Horn::N,мөгез,szarv
148,Feder::N,йон,toll
149,Fell::N,тире,szőr
150,Fell::N,тире,bunda
151,Flügel::N,канат,szárny
152,Klaue::N,тырнак,köröm
153,Kralle::N,тырнак,karom
154,Schwanz::N,койрык,farok
155,Ei::N,күкәй,tojás
156,Ei::N,йомырка,tojás
157,Nest::N,оя,fészek
158,Bau::N,өн,odú
159,Tier::N,хайван,állat
160,Herde::N,көтү,nyáj
161,Herde::N,көтү,csorda
162,Kuh::N,сыер,tehén
163,Bulle::N,үгез,bika
164,Pferd::N,ат,ló
165,Schaf::N,сарык,juh
166,Schaf::N,сарык,birka
167,Schwein::N,дуңгыз,sertés
168,Hund::N,эт,eb
169,Hund::N,эт,kutya
170,Katze::N,песи,macska
171,Bär::N,аю,medve
172,Eichhörnchen::N,тиен,mókus
173,Elch::N,поши,jávorszarvas
174,Fuchs::N,төлке,róka
175,Hase::N,куян,nyúl
176,Maus::N,тычкан,egér
177,Wolf::N,бүре,farkas
178,Vogel::N,кош,madár
179,Schwarm::N,көтү,raj
180,Huhn::N,тавык,tyúk
181,Hahn::N,әтәч,kakas
182,Gans::N,каз,lúd
183,Gans::N,каз,liba
184,Adler::N,каракош,sas
185,Ente::N,үрдәк,kacsa
186,Eule::N,ябалак,bagoly
187,Kranich::N,торна,daru
188,Krähe::N,карга,varjú
189,Kuckuck::N,күке,kakukk
190,Kuckuck::N,кәккүк,kakukk
191,Schwan::N,аккош,hattyú
192,Fisch::N,балык,hal
193,Barsch::N,алабуга,sügér
194,Hecht::N,чуртан,csuka
195,Schlange[Tier]::N,елан,kígyó
196,Wurm::N,корт,kukac
197,Spinne::N,үрмәкүч,pók
198,Ameise::N,кырмыска,hangya
199,Laus::N,бет,tetű
200,Mücke::N,черки,szúnyog
201,Mücke::N,озынборын,szúnyog
202,Fliege::N,чебен,légy
203,Schmetterling::N,күбәләк,lepke
204,Schmetterling::N,күбәләк,pillangó
205,Beere::N,җиләк,bogyó
206,Apfel::N,алма,alma
207,Pilz::N,гөмбә,gomba
208,Zwiebel::N,суган,hagyma
209,Zwiebel::N,суганбаш,hagyma
210,Saat::N,орлык,vetőmag
211,Korn::N,иген,mag
212,Korn::N,иген,szem
213,Korn::N,орлык,mag
214,Korn::N,орлык,szem
215,Heu::N,печән,széna
216,Schale::N,кабык,héj
217,Grube::N,баз,verem
218,Grube::N,чокыр,verem
219,Falle::N,тозак,csapda
220,Falle::N,капкын,csapda
221,Schlinge::N,элмәк,tőr
222,Spur::N,эз,nyom
223,Asche::N,көл,hamu
224,Dreck::N,пычрак,sár
225,Dreck::N,пычрак,piszok
226,Eisen::N,тимер,vas
227,Gold::N,алтын,arany
228,Silber::N,көмеш,ezüst
229,Kohle::N,күмер,szén
230,Glas::N,пыяла,üveg
231,Lehm::N,балчык,agyag
232,Lehm::N,балчык,vályog
233,Sand::N,ком,homok
234,Mensch::N,адәм,ember
235,Mensch::N,инсан,ember
236,Mann::N,ир,úr
