,Concept_ID,ku,mn
0,Auge::N,çav,нүд
1,Ohr::N,guh,чих
2,Nase::N,bêvil,хамар
3,Mund::N,dev,ам
4,Zahn::N,didan,шүд
5,Zunge::N,ziman,хэл
6,Lippe::N,lêv,уруул
7,Wange::N,dêm,хацар
8,Wange::N,hinarik,хацар
9,Gesicht::N,rû,царай
10,Gesicht::N,rû,нүүр
11,Stirn::N,enî,дух
12,Haar::N,por,үс
13,Schnurrbart::N,simbêl,дээд сахал
14,Schnurrbart::N,simbêl,живэр сахал
15,Bart::N,rih,сахал
16,Kinn::N,zenî,эрүү
17,Kiefer[Anatomie]::N,arguşk,эрүү
18,Kehle::N,qirik,хоолой
19,Hals::N,stû,хүзүү
20,Hals::N,qirik,хүзүү
21,Genick::N,stû,шил
22,Genick::N,stû,хүзүү
23,Kopf::N,serî,толгой
24,Rücken::N,pişt,ар
25,Rücken::N,pişt,нуруу
26,Bauch::N,ûr,хэвлий
27,Bauch::N,ûr,гэдэс
28,Bauch::N,zik,хэвлий
29,Bauch::N,zik,гэдэс
30,Nabel::N,navik,хүйс
31,Busen::N,sîng,хөх
32,Brust::N,sîng,цээж
33,Schulter::N,mil,мөр
34,Schulter::N,mil,бугалга
35,Arm::N,çepil,гар
36,Ellenbogen::N,enîşk,тохой
37,Hand::N,dest,гар
38,Hand::N,dest,алга
39,Handfläche::N,kefadest,алга
40,Finger::N,tilî,хуруу
41,Fingernagel::N,neynuk,хурууны хумс
42,Nagel[Anatomie]::N,bizmar,хумс
43,Zeh::N,tilî linga,хуруу
44,Fuß::N,ling,хөл
45,Ferse::N,pahnî,өсгий
46,Knie::N,kabok,өвдөг
47,Oberschenkel::N,rahn,гуя
48,Bein::N,çip,хөл
49,Körper::N,laş,бие
50,Körper::N,gowde,бие
51,Haut::N,çerm,арьс
52,Blut::N,xwîn,цус
53,Ader::N,reh,судас
54,Sehne::N,reh,бүлх
55,Sehne::N,reh,шандас
56,Knochen::N,hestî,яс
57,Gehirn::N,mêjî,тархи
58,Herz::N,dil,зүрх
59,Magen::N,navêş,ходоод
60,Leber::N,kezeb,элэг
61,Atem::N,hilm,амьсгаа
62,Hunger::N,birçîtî,өлсгөлөн
63,Träne::N,hêstir,нулимс
64,Geschmack::N,tam,амт
65,Geruch::N,bêhn,үнэр
66,Schlaf::N,xew,нойр
67,Traum::N,xewn,зүүд
68,Himmel::N,ezman,тэнгэр
69,Himmel::N,ezman,огторгуй
70,Sonne::N,roj,нар
71,Mond::N,heyv,сар
72,Stern::N,stêrk,од
73,Luft::N,ba,агаар
74,Wind::N,ba,салхи
75,Welle::N,şewl,долгио
76,Welle::N,şewl,давалгаа
77,Wasser::N,av,ус
78,Stein::N,kevir,чулуу
79,Boden::N,herd,хөрс
80,Erde::N,ax,газар
81,Erde::N,ax,шороо
82,Staub::N,toz,тоос
83,Rauch::N,dû,утаа
84,Funke::N,çirûşk,оч
85,Feuer::N,agir,гал
86,Licht::N,ronahî,гэрэл
87,Licht::N,ronahî,гэгээ
88,Schatten::N,sî,сүүдэр
89,Wetter::N,hewa,тэнгэр
90,Wetter::N,hewa,цаг уур
91,Nebel::N,mij,будан
92,Wolke::N,ewr,үүл
93,Regen::N,baran,бороо
94,Schnee::N,berf,цас
95,Eis::N,qeşa,мөс
96,Frost::N,xûsik,хүйт
97,Kälte::N,serma,хүйт
98,Hitze::N,germayî,халуун
99,Raureif::N,şext,цан
100,Raureif::N,şext,хяруу
101,Regenbogen::N,heftreng,солонго
102,Donner::N,gire-gir,тэнгэрийн дуу
103,Strömung::N,şewl,урсгал
104,Tropfen::N,dilop,дусал
105,Schaum::N,kef,хөөс
106,Schmutz::N,gemar,хир
107,Schmutz::N,gemar,шавхай
108,See::N,gol,нуур
109,Sumpf::N,hezek,намаг
110,Sumpf::N,hezek,балчиг
111,Moor::N,mafêl,хүлрийн намаг
112,Wiese::N,sûrik,нуга
113,Wald::N,çiya,ой
114,Wald::N,daristan,ой
115,Hügel::N,gir,болдог
116,Anhöhe::N,sere gir,гүвээ
117,Berg::N,kaş,уул
118,Gipfel::N,sere gir,орой
119,Gipfel::N,sere gir,оргил
120,Höhle::N,şikeft,агуй
121,Abhang::N,kaş,хүр
122,Quelle::N,kanî,булаг
123,Bach::N,çem,горхи
124,Fluss::N,çem,гол
125,Fluss::N,çem,мөрөн
126,Fluss::N,rûbar,гол
127,Fluss::N,rûbar,мөрөн
128,Ufer::N,kevî,эрэг
129,Küste::N,berav,эрэг
130,Festland::N,bejahî,хуурай газар
131,Meer::N,behr,далай
132,Meer::N,behr,тэнгис
133,Bucht::N,derav,булан
134,Bucht::N,derav,далайн тохой
135,Insel::N,girav,арал
136,Blume::N,kulînk,цэцэг
137,Gras::N,giha,өвс
138,Gras::N,giha,ногоо
139,Wurzel::N,reh,үндэс
140,Baum::N,dar,мод
141,Stamm::N,bavik,иш
142,Stamm::N,bavik,гуалин
143,Rinde::N,qaqil,холтос
144,Ast::N,gulî,гишүү
145,Zweig::N,şax,салаа
146,Blatt::N,pel,навч
147,Birke::N,dara sipî,хус
148,Kiefer[Baum]::N,dara bî,нарс
149,Weide[Baum]::N,dara belalûk,уд
150,Weide[Baum]::N,dara belalûk,бургас
151,Tanne::N,merx,гачуур
152,Horn::N,strô,эвэр
153,Feder::N,pîrtîk,өд
154,Fell::N,heyar,арьс
155,Flügel::N,per,жигүүр
156,Flügel::N,per,далавч
157,Klaue::N,napîk,савар
158,Klaue::N,napîk,хумс
159,Kralle::N,dinik,савар
160,Kralle::N,dirnax,савар
161,Schwanz::N,dûv,сүүл
162,Ei::N,hêk,өндөг
163,Nest::N,hêlîn,үүр
164,Bau::N,avahî,нүх
165,Bau::N,avahî,элүү
166,Tier::N,heywan,амьтан
167,Tier::N,heywan,адгуус
168,Herde::N,hoz,сүрэг
169,Kuh::N,çêlek,үнээ
170,Bulle::N,ga,бух
171,Pferd::N,hesp,морь
172,Pferd::N,hesp,адуу
173,Schaf::N,mîh,хонь
174,Schwein::N,beraz,гахай
175,Hund::N,seh,нохой
176,Katze::N,pişîk,муур
177,Katze::N,pişîk,мигуй
178,Bär::N,hirç,баавгай
179,Eichhörnchen::N,pilûr,хэрэм
180,Elch::N,pazkovî,хандгай
181,Fuchs::N,rovî,үнэг
182,Hase::N,kîroşk,туулай
183,Maus::N,mişk,хулгана
184,Wolf::N,gur,чоно
185,Vogel::N,çûk,шувуу
186,Schwarm::N,lufik,сүрэг
187,Huhn::N,mirîşk,тахиа
188,Hahn::N,dîk,эр тахиа
189,Gans::N,qaz,галуу
190,Adler::N,eylo,бүргэд
191,Ente::N,werdek,нугас
192,Eule::N,bûm,ууль
193,Eule::N,kund,ууль
194,Kranich::N,quling,тогоруу
195,Krähe::N,qijik,хэрээ
196,Kuckuck::N,pepûk,хөхөө
197,Schwan::N,qû,хун
198,Fisch::N,masî,загас
199,Barsch::N,okûn,алгана
200,Hecht::N,mesîyê lûf,цурхай
201,Schlange[Tier]::N,mar,могой
202,Wurm::N,kurm,өт
203,Wurm::N,kurm,хорхой
204,Spinne::N,pîrê,аалз
205,Ameise::N,mîro,шоргоолж
206,Ameise::N,gêrîk,шоргоолж
207,Laus::N,spi,бөөс
208,Mücke::N,mêş,шумуул
209,Fliege::N,mêş,ялаа
210,Schmetterling::N,perperîk,эрвээхэй
211,Beere::N,hirç,жимсгэнэ
212,Apfel::N,sêv,алим
213,Pilz::N,bîrov,мөөг
214,Zwiebel::N,pîvaz,сонгино
215,Saat::N,tov,тариа
216,Korn::N,dexl,үр
217,Korn::N,dexl,мөхлөг
218,Heu::N,sap,өвс
219,Schale::N,qaşik,хальс
220,Grube::N,çahl,алам
221,Grube::N,çahl,нүх
222,Falle::N,dafik,хавх
223,Falle::N,dafik,занга
224,Schlinge::N,dahf,урхи
225,Spur::N,rêç,мөр
226,Asche::N,xweli,үнс
227,Dreck::N,gemarî,хир
228,Eisen::N,hesing,төмөр
229,Gold::N,zêr,алт
230,Silber::N,zîv,мөнгө
231,Kohle::N,komir,нүүрс
232,Glas::N,qedeh,шил
233,Lehm::N,kelpîç,шавар
234,Sand::N,qûm,элс
235,Mensch::N,mirov,хүн
236,Mann::N,mêr,эр
237,Mann::N,mêr,эрэгтэй
238,Frau::N,jin,эмэгтэй
239,Frau::N,jin,хатагтай
240,Kind::N,zarok,хүүхэд
241,Junge::N,kur,хүү
242,Mädchen::N,keç,охин
243,Mädchen::N,keç,бүсгүй
244,Mädchen::N,keçik,охин
245,Mädchen::N,keçik,бүсгүй
246,Familie::N,malbat,айл
247,Großvater::N,bapîr,өвгөн аав
248,Großmutter::N,pîrik,эмэг эх
249,Großmutter::N,pîrik,эмгээ
250,Eltern::N,bavudê,эцэг эх
251,Vater::N,bav,аав
252,Vater::N,bav,эцэг
253,Mutter::N,dê,эх
254,Mutter::N,dê,ээж
255,Mutter::N,dayik,эх
256,Mutter::N,dayik,ээж
257,Sohn::N,kur,хүү
258,Tochter::N,keç,охин
259,Bruder::N,bira,ах
260,Bruder::N,bira,дүү
261,Schwester::N,xweh,эгч
262,Schwester::N,xweh,охин дүү
263,Onkel::N,am,авга ах
264,Onkel::N,am,нагац ах
265,Onkel::N,xal,авга ах
266,Onkel::N,xal,нагац ах
267,Tante::N,metik,авга эгч
268,Tante::N,metik,нагац эгч
269,Tante::N,xaltîk,авга эгч
270,Tante::N,xaltîk,нагац эгч
271,Ehemann::N,mêr,нөхөр
272,Ehefrau::N,kulfet,эхнэр
273,Ehefrau::N,kulfet,гэргий
274,Freude::N,kêfxweşî,баяр
275,Freude::N,kêfxweşî,баясгалан
276,Gelächter::N,pîrqînî,инээдэм
277,Glück::N,bext,жаргалан
278,Kummer::N,derd,гаслан
279,Wunsch::N,daxwaz,ерөөл
280,Wunsch::N,xwestek,ерөөл
281,Lust::N,şewq,дур
282,Lust::N,şewq,хүсэл
283,Geist::N,aqil,оюун
284,Gedanke::N,fikir,сэтгэл
285,Gedächtnis::N,aqil,ой
286,Gedächtnis::N,aqil,цээж
287,Verstand::N,fêm,ухаан
288,Sinn::N,aqil,утга
289,Grund::N,asas,учир
290,Wahrheit::N,rastî,үнэн
291,Gespräch::N,guftûgo,яриа
292,Märchen::N,çirok,явган үлгэр
293,Erzählung::N,çirok,тууж
294,Erzählung::N,vegotin,тууж
295,Nachricht::N,nûçe,мэдээ
296,Neuigkeit::N,hewal,сонин
297,Name::N,nav,нэр
298,Name::N,paşnav,нэр
299,Rätsel::N,tiştonek,оньсого
300,Rede::N,gotar,хэлсэн үг
301,Rede::N,axavtin,хэлсэн үг
302,Sprache::N,ziman,хэл
303,Stimme::N,pejn,дуу
304,Wort::N,gotin,үг
305,Zeichen::N,şanek,тамга
306,Zeichen::N,şanek,тэмдэг
307,Ruf::N,hawar,дуудлага
308,Lärm::N,xarbalix,шуугиан
309,Lärm::N,xarbalix,чимээ
310,Laut::N,deng,анир
311,Laut::N,deng,дуу
312,Laut::N,hês,анир
313,Laut::N,hês,дуу
314,Ton::N,awaz,авиа
315,Ton::N,awaz,аялгуу
316,Lied::N,sitran,дуу
317,Ruhe::N,rihetî,энх
318,Ruhe::N,rihetî,тайван
319,Leute::N,xelk,хүмүүс
320,Volk::N,xelk,улс
321,Arbeit::N,xebat,ажил
322,Arbeit::N,xebat,хөдөлмөр
323,Gast::N,mêvan,зочин
324,Gast::N,mêvan,айлчин
325,Geschenk::N,diyarî,бэлэг
326,Spiel::N,lîstik,наадам
327,Spiel::N,lîstik,тоглоом
328,Gesellschaft::N,komal,хамт байх
329,Hilfe::N,alîkarî,тусламж
330,Freund::N,heval,найз
331,Freund::N,heval,нөхөр
332,Kamerad::N,heval,хань
333,Kamerad::N,heval,нөхөр
334,Angelegenheit::N,pirsgirêk,хэрэг
335,Anzahl::N,çend,тоо
336,Art::N,çeh,төрөл
337,Art::N,çeh,янз
338,Stück::N,lib,хэсэг
339,Stück::N,parçe,хэсэг
340,Teil::N,parçe,хувь
341,Teil::N,parçe,хэсэг
342,Hälfte::N,nîvî,хагас
343,Kreis::N,çemil,тойрог
344,Kreis::N,çemil,хүрээ
345,Kreuz::N,xaç,загалмай
346,Linie::N,xezik,шугам
347,Strich::N,xezik,зураас
348,Abstand::N,dûrahî,зай
349,Entfernung::N,dûrahî,зай
350,Entfernung::N,dûrahî,хол ойр
351,Gegend::N,dever,хавь
352,Gegend::N,dever,газар
353,Platz::N,çih,зай
354,Platz::N,çih,завсар
355,Ort::N,dever,газар
356,Ort::N,dever,байр
357,Seite::N,rûpel,тал
358,Seite::N,rûpel,этгээд
359,Mitte::N,nav,төв
360,Mitte::N,nav,дунд
361,Mitte::N,nabênê,төв
362,Mitte::N,nabênê,дунд
363,Gegenstand::N,tişt,юм
364,Sache::N,tişt,үйл
365,Sache::N,tişt,хэрэг
366,Rand::N,kevî,зах
367,Rand::N,kevî,хөвөө
368,Kante::N,kevî,ирмэг
369,Ecke::N,qunç,өнцөг
370,Spitze::N,derzî,үзүүр
371,Ende::N,talî,зах
372,Ende::N,talî,үзүүр
373,Loch::N,qul,цоорхой
374,Loch::N,qul,онгорхой
375,Winkel::N,kurnîşk,өнцөг
376,Muster::N,desen,хээ
377,Muster::N,desen,угалз
378,Größe::N,mezinî,хэмжээ
379,Länge::N,dirêjahî,урт
380,Höhe::N,bilindayî,өндөр
381,Gewicht::N,giranî,жин
382,Menge::N,qas,тоо
383,Haufen::N,lod,бөөн
384,Reihe::N,rêz,эгнээ
385,Boot::N,kelek,завь
386,Ruder::N,bêrik,сэлүүр
387,Schlitten::N,xîjik,чарга
388,Ski::N,lakan,цана
389,Lagerfeuer::N,agir,түүдэг
390,Last::N,bar,ачаа
391,Gang::N,fîtêz,явдал
392,Schritt::N,gav,алхам
393,Norden::N,bakur,умар
394,Süden::N,başur,урд
395,Süden::N,başur,өмнө
396,Westen::N,rojava,өрнө
397,Westen::N,rojava,баруун
398,Osten::N,rojhilat,зүүн
399,Osten::N,rojhilat,дорно
400,Holz::N,dep,мод
401,Brett::N,dep,банз
402,Platte::N,dep,хавтан
403,Stütze::N,destek,тулгуур
404,Stütze::N,destek,тулга
405,Stange::N,sing,сургааг
406,Stock::N,çam,саваа
407,Stab::N,qat,таяг
408,Rohr::N,borî,хоолой
409,Haus::N,mal,гэр
410,Haus::N,mal,байшин
411,Haus::N,xanî,гэр
412,Haus::N,xanî,байшин
413,Heim::N,mal,гэр
414,Ofen::N,sobe,зуух
415,Ofen::N,sobe,пийшин
416,Fußboden::N,binpê,шал
417,Tisch::N,mase,ширээ
418,Stuhl::N,kursî,сандал
419,Wiege::N,derguş,өлгий
420,Bett::N,qerewêle,ор
421,Regal::N,rêbaz,тавиур
422,Kiste::N,sindoq,авдар
423,Kiste::N,sindoq,хайрцаг
424,Fenster::N,çam,гэгээвч
425,Fenster::N,şibeke,гэгээвч
426,Tür::N,derî,үүд
427,Tür::N,derî,хаалга
428,Tor::N,derge,хаалга
429,Zaun::N,hejik,хашаа
430,Dach::N,sere xanî,дээвэр
431,Leiter::N,pêling,шат
432,Besen::N,melkes,хамуур
433,Besen::N,melkes,туужуу
434,Spaten::N,mer,хүрз
435,Schaufel::N,bêr,хүрз
436,Gabel::N,çetel,сэрээ
437,Löffel::N,kevçî,халбага
438,Messer::N,kêr,хутга
439,Nagel::N,bizmar,хадаас
440,Netz::N,tor,өөш
441,Netz::N,tor,тор
442,Haken::N,çenqel,гох
443,Griff::N,destî,иш
444,Griff::N,destî,сэнж
