,Concept_ID,hi,lbe
0,Auge::N,आँख,я
1,Auge::N,चक्षु,я
2,Ohr::N,कान,вичӏи
3,Ohr::N,कर्ण,вичӏи
4,Nase::N,नाक,май
5,Nase::N,नासा,май
6,Mund::N,मुख,кьацӏ
7,Mund::N,मुँह,кьацӏ
8,Zahn::N,दंत,ккарччи
9,Zahn::N,दाँत,ккарччи
10,Zunge::N,जीभ,маз
11,Zunge::N,ज़बान,маз
12,Zunge::N,जिह्वा,маз
13,Lippe::N,ओंठ,мурччи
14,Lippe::N,होंठ,мурччи
15,Wange::N,गाल,чӏав
16,Wange::N,कपोल,чӏав
17,Gesicht::N,मुँह,лажин
18,Gesicht::N,चेहरा,лажин
19,Stirn::N,माथा,ненттабакӏ
20,Stirn::N,मस्तक,ненттабакӏ
21,Haar::N,बाल,чӏара
22,Schnurrbart::N,मूँछें,ссирссилтту
23,Bart::N,दाढ़ी,чӏири
24,Kinn::N,चिबुक,лунттубакӏ
25,Kiefer[Anatomie]::N,जबड़ा,ххинчулул
26,Kehle::N,गला,кьакьари
27,Hals::N,गला,ссурссу
28,Hals::N,गरदन,ссурссу
29,Genick::N,गरदन,махъабакӏ
30,Genick::N,ग्रीवा,махъабакӏ
31,Kopf::N,सिर,бакӏ
32,Kopf::N,शीर्ष,бакӏ
33,Rücken::N,पीठ,ттиликӏ
34,Bauch::N,उदर,лякьа
35,Nabel::N,नाभि,цӏумуккутӏ
36,Nabel::N,ढोंढी,цӏумуккутӏ
37,Busen::N,कुच,ккукку
38,Busen::N,स्तन,ккукку
39,Brust::N,वक्ष,хъазам
40,Schulter::N,कंधा,хъачӏ
41,Schulter::N,स्कंध,хъачӏ
42,Arm::N,बाँह,ка
43,Arm::N,बाज़ू,ка
44,Ellenbogen::N,कुहनी,ссюрхъ
45,Hand::N,हाथ,бартка
46,Hand::N,हस्त,бартка
47,Handfläche::N,हथेली,хъат
48,Handfläche::N,हथेली,битӏянхъ
49,Finger::N,उँगली,кӏисса
50,Finger::N,अँगुली,кӏисса
51,Fingernagel::N,नख,михь
52,Fingernagel::N,नाख़ून,михь
53,Nagel[Anatomie]::N,नख,михь
54,Nagel[Anatomie]::N,नाख़ून,михь
55,Zeh::N,उँगली,кӏисса
56,Zeh::N,पाँव की उँगली,кӏисса
57,Fuß::N,चरण,чӏанччан
58,Fuß::N,पाँव,чӏанччан
59,Ferse::N,एड़ी,никъа
60,Knie::N,जानु,ник
61,Knie::N,घुटना,ник
62,Oberschenkel::N,उरु,жира
63,Bein::N,टाँग,ччан
64,Körper::N,तन,чурх
65,Körper::N,देह,чурх
66,Körper::N,शरीर,чурх
67,Haut::N,चर्म,бурчу
68,Haut::N,त्वचा,бурчу
69,Blut::N,लहू,оь
70,Blut::N,ख़ून,оь
71,Ader::N,रग,тунну
72,Ader::N,शिरा,тунну
73,Sehne::N,कंडरा,хьхьа
74,Sehne::N,स्नायु,хьхьа
75,Knochen::N,अस्थि,ттаркӏ
76,Gehirn::N,दिमाग़,ня
77,Gehirn::N,मस्तिष्क,ня
78,Herz::N,दिल,дакӏ
79,Herz::N,दिल,къюкӏ
80,Herz::N,हृदय,дакӏ
81,Herz::N,हृदय,къюкӏ
82,Magen::N,मेदा,лякьа
83,Magen::N,अमाशय,лякьа
84,Leber::N,जिगर,
85,Leber::N,यकृत्,
86,Atem::N,दम,ссихӏ ласаву
87,Atem::N,दम,ссихӏ бигьаву
88,Atem::N,साँस,ссихӏ ласаву
89,Atem::N,साँस,ссихӏ бигьаву
90,Atem::N,श्वास,ссихӏ ласаву
91,Atem::N,श्वास,ссихӏ бигьаву
92,Hunger::N,भूख,ккаши
93,Hunger::N,क्षुधा,ккаши
94,Träne::N,आँसू,макь
95,Träne::N,अश्रु,макь
96,Geschmack::N,स्वाद,тӏин
97,Geschmack::N,स्वाद,тӏааьн
98,Geschmack::N,ज़ायक़ा,тӏин
99,Geschmack::N,ज़ायक़ा,тӏааьн
100,Geruch::N,बू,кьанкь
101,Geruch::N,गंध,кьанкь
102,Schlaf::N,नींद,шану
103,Schlaf::N,निद्रा,шану
104,Traum::N,सपना,макӏру
105,Traum::N,स्वप्न,макӏру
106,Himmel::N,आकाश,ссав
107,Himmel::N,आसमान,ссав
108,Sonne::N,रवि,баргъ
109,Sonne::N,सूरज,баргъ
110,Sonne::N,सूर्य,баргъ
111,Mond::N,चाँद,барз
112,Mond::N,चंद्र,барз
113,Stern::N,तारा,цӏуку
114,Stern::N,सितारा,цӏуку
115,Luft::N,हवा,гьава
116,Luft::N,वायु,гьава
117,Wind::N,पाद,марч
118,Welle::N,लहर,щатӏи
119,Welle::N,तरंग,щатӏи
120,Wasser::N,जल,щин
121,Wasser::N,पानी,щин
122,Stein::N,पत्थर,чару
123,Boden::N,मिट्टी,аьрщи
124,Erde::N,भूमि,аьрщи
125,Erde::N,ज़मीन,аьрщи
126,Staub::N,धूल,ххит
127,Rauch::N,धूआँ,пуркӏу
128,Rauch::N,धुम्र,пуркӏу
129,Funke::N,चिनगारी,пиягь
130,Funke::N,स्फुलिंग,пиягь
131,Feuer::N,आग,цӏу
132,Feuer::N,आतिश,цӏу
133,Feuer::N,अग्नि,цӏу
134,Licht::N,रोशनी,чани
135,Licht::N,प्रकाश,чани
136,Schatten::N,छाया,ххют
137,Schatten::N,परछाई,ххют
138,Wetter::N,ऋतु,гьава
139,Wetter::N,मौसम,гьава
140,Nebel::N,धुँध,шархь ттурлу
141,Nebel::N,कुहरा,шархь ттурлу
142,Wolke::N,मेघ,ттурлу
143,Wolke::N,अभ्र,ттурлу
144,Regen::N,मेंह,гъарал
145,Regen::N,बारिश,гъарал
146,Schnee::N,हिम,марххала
147,Schnee::N,बर्फ़,марххала
148,Eis::N,हिम,микӏ
149,Eis::N,बर्फ़,микӏ
150,Frost::N,ठंड,дяркъу
151,Frost::N,ठंड,замгьар
152,Kälte::N,सर्दी,дяркъу
153,Kälte::N,शीतलता,дяркъу
154,Hitze::N,ताप,кӏиришиву
155,Hitze::N,गरमी,кӏиришиву
156,Raureif::N,पाला,сил
157,Raureif::N,पाला,бурса
158,Regenbogen::N,इंद्र-धनुष,ссурул ккуртта
159,Donner::N,गरज,къув
160,Donner::N,मेघ-गर्जन,къув
161,Strömung::N,बहाव,экьинанаву
162,Strömung::N,प्रवाह,экьинанаву
163,Tropfen::N,बूँद,кӏунтӏ
164,Schaum::N,झाग,хьама
165,Schmutz::N,गंद,кьяркьи
166,Schmutz::N,कीचड़,кьяркьи
167,See::N,झील,бяр
168,See::N,सरोवर,бяр
169,Sumpf::N,दलदल,кунцӏа
170,Sumpf::N,धँसान,кунцӏа
171,Moor::N,झाबर,
172,Moor::N,धँसान,
173,Wiese::N,घास-स्थल,кьан
