,Concept_ID,hy,ady
0,Auge::N,աչք,нэ
1,Ohr::N,ականջ,тхьакӏу́м
2,Nase::N,քիթ,пэ
3,Mund::N,բերան,жэ
4,Zahn::N,ատամ,цэ
5,Zunge::N,լեզու,бзэгу
6,Lippe::N,շրթունք,ӏупшӏэ́
7,Wange::N,այտ,нэкӏу́шъу
8,Wange::N,թուշ,нэкӏу́шъу
9,Gesicht::N,դեմք,нэ́гу
10,Stirn::N,ճակատ,натӏэ́
11,Haar::N,մազ,шъхьацы́
12,Schnurrbart::N,բեղ,
13,Bart::N,մորուք,жакӏэ́
14,Kinn::N,կզակ,жэкӏэпэпкъ
15,Kiefer[Anatomie]::N,ծնոտ,жэпкъы́
16,Kehle::N,կոկորդ,чый
17,Hals::N,վիզ,пшъэ
18,Hals::N,պարանոց,пшъэ
19,Genick::N,ծոծրակ,шъхьэпхэтыку
20,Kopf::N,գլուխ,шъхьэ́
21,Rücken::N,մեջք,кӏыбы́
22,Bauch::N,փոր,ныбэ́
23,Bauch::N,որովայն,ныбэ́
24,Nabel::N,պորտ,
25,Busen::N,ծոց,бгъэ́
26,Brust::N,կուրծք,бгъэ́
27,Schulter::N,ուս,блыпкъ
28,Arm::N,թեւ,ӏэ
29,Arm::N,բազուկ,ӏэ
30,Ellenbogen::N,արմունկ,ӏэнтэ́гъу
31,Hand::N,ձեռք,ӏэтхьэцу
32,Handfläche::N,ափ,ӏэ́гу
33,Finger::N,մատ,ӏэхъуа́мб
34,Fingernagel::N,եղունգ,ӏэбжъа́н
35,Nagel[Anatomie]::N,եղունգ,ӏэбжъа́н
36,Zeh::N,ոտքի մատ,ӏэхъуа́мб
37,Fuß::N,ոտք,лъэгу
38,Ferse::N,գարշապար,лъэдакъэ
39,Knie::N,ծունկ,лъагуа́ндж
40,Oberschenkel::N,ազդր,ко
41,Bein::N,ոտք,лъакъо́
42,Körper::N,մարմին,пкъышъол
43,Haut::N,մաշկ,кӏы́шъу
44,Blut::N,արյուն,лъы
45,Ader::N,երակ,льытф
46,Sehne::N,ջիղ,фэ
47,Sehne::N,ձգտան,фэ
48,Knochen::N,ոսկոր,къупшъхьэ́
49,Gehirn::N,խելք,куцӏы
50,Herz::N,սիրտ,гу
51,Magen::N,ստամոքս,мышкӏу
52,Leber::N,լյարդ,шӏу
53,Atem::N,շունչ,къэщэныр
54,Hunger::N,քաղց,гъаблэ́
55,Träne::N,արտասուք,нэпсы
56,Geschmack::N,համ,ӏэшӏугъа́кӏ
57,Geschmack::N,բուրմունք,ӏэшӏугъа́кӏ
58,Geruch::N,հոտ,мэ
59,Geruch::N,բուրում,мэ
60,Schlaf::N,քուն,пчыхьы́пӏ
61,Traum::N,երազ,пчыхьы́пӏ
62,Himmel::N,երկինք,уашъо́
63,Sonne::N,արեւ,тыгъэ
64,Mond::N,լուսին,мазэ
65,Stern::N,աստղ,жъуагъо́
66,Luft::N,օդ,жьы
67,Wind::N,քամի,жьыбгъэ́
68,Welle::N,ալիք,ор
69,Welle::N,ալիք,оры
70,Wasser::N,ջուր,псы
71,Stein::N,քար,мыжъо́
72,Boden::N,գետին,чӏ́ыгу
73,Erde::N,հող,чӏ́ыгу
74,Staub::N,փոշի,сап
75,Rauch::N,ծուխ,ӏугъо́
76,Funke::N,կայծ,мэшӏуа́ч
77,Feuer::N,կրակ,машӏо́
78,Feuer::N,հրդեհ,машӏо́
79,Licht::N,լույս,нэфы
80,Licht::N,լույս,нэфын
81,Schatten::N,ստվեր,жьау́
82,Schatten::N,ստվեր,ныбжьыкъу
83,Wetter::N,եղանակ,
84,Nebel::N,մեգ,пща́гъу
85,Nebel::N,մառախուղ,пща́гъу
86,Wolke::N,ամպ,ошъуапщэ
87,Regen::N,անձրև,ощхы
88,Schnee::N,ձյուն,осы́
89,Eis::N,սառույց,мылы
90,Frost::N,սառնամանիք,
91,Kälte::N,դող,чъыӏэ́
92,Hitze::N,շոգ,фэба́е
93,Raureif::N,ցօղեղեամ,
94,Regenbogen::N,ծիածան, лэгъупэкъо́пс
95,Donner::N,որոտ,шыблэ́
96,Strömung::N,հոսանք,ток
97,Tropfen::N,կաթիլ,ткӏопс
