,Concept_ID,ja,fr
0,Auge::N,目,œil
1,Ohr::N,耳,oreille
2,Nase::N,鼻,nez
3,Mund::N,口,bouche
4,Zahn::N,歯,dent
5,Zunge::N,舌,langue
6,Lippe::N,唇,lèvre
7,Wange::N,頬,joue
8,Gesicht::N,顔,face
9,Gesicht::N,顔,visage
10,Stirn::N,額,front
11,Haar::N,髪,cheveu
12,Schnurrbart::N,口髭,moustache
13,Bart::N,髭,barbe
14,Kinn::N,顎,menton
15,Kiefer[Anatomie]::N,顎,mâchoire
16,Kehle::N,喉,gorge
17,Hals::N,首,cou
18,Genick::N,首,nuque
19,Kopf::N,頭,tête
20,Rücken::N,背中,dos
21,Bauch::N,腹,ventre
22,Bauch::N,お腹,ventre
23,Nabel::N,へそ,nombril
24,Busen::N,乳房,sein
25,Brust::N,胸,poitrine
26,Schulter::N,肩,épaule
27,Arm::N,腕,bras
28,Ellenbogen::N,肘,coude
29,Hand::N,手,main
30,Handfläche::N,手のひら,paume
31,Finger::N,指,doigt
32,Fingernagel::N,爪,ongle
33,Nagel[Anatomie]::N,爪,ongle
34,Zeh::N,足の指,orteil
35,Zeh::N,足の指,doigt de pied
36,Fuß::N,足,pied
37,Ferse::N,かかと,talon
38,Knie::N,膝,genou
39,Oberschenkel::N,上腿,cuisse
40,Bein::N,足,jambe
41,Körper::N,体,corps
42,Haut::N,皮膚,peau
43,Blut::N,血,sang
44,Ader::N,血管,veine
45,Sehne::N,腱,tendon
46,Knochen::N,骨,os
47,Gehirn::N,脳,cerveau
48,Herz::N,心,cœur
49,Herz::N,心臓,cœur
50,Magen::N,胃,estomac
51,Leber::N,肝臓,foie
52,Atem::N,息,haleine
53,Atem::N,呼吸,haleine
54,Hunger::N,空腹,faim
55,Träne::N,涙,larme
56,Geschmack::N,味,goût
57,Geschmack::N,味,saveur
58,Geruch::N,匂い,odeur
59,Schlaf::N,睡眠,sommeil
60,Traum::N,夢,songe
61,Himmel::N,空,ciel
62,Sonne::N,太陽,soleil
63,Mond::N,月,lune
64,Stern::N,星,étoile
65,Luft::N,空気,air
66,Wind::N,風,vent
67,Welle::N,波,vague
68,Wasser::N,水,eau
69,Stein::N,石,pierre
70,Boden::N,土地,sol
71,Boden::N,土地,terrain
72,Erde::N,土,terre
73,Staub::N,埃,poussière
74,Rauch::N,煙,fumée
75,Funke::N,火花,étincelle
76,Feuer::N,火,feu
77,Licht::N,光,lumière
78,Schatten::N,陰,ombre
79,Wetter::N,天気,temps
80,Nebel::N,霧,brume
81,Nebel::N,霧,brouillard
82,Wolke::N,雲,nuage
83,Regen::N,雨,pluie
84,Schnee::N,雪,neige
85,Eis::N,氷,glace
86,Frost::N,霜,gel
87,Frost::N,霜,gelée
88,Kälte::N,寒さ,froid
89,Hitze::N,暑さ,chaleur
90,Raureif::N,霧氷,givre
91,Regenbogen::N,虹,arc-en-ciel
92,Donner::N,雷,tonnerre
93,Strömung::N,流れ,courant
94,Tropfen::N,滴,goutte
95,Schaum::N,泡,écume
96,Schaum::N,泡,mousse
97,Schmutz::N,汚れ,boue
98,Schmutz::N,汚れ,saleté
99,See::N,湖,lac
100,Sumpf::N,沼,marais
101,Sumpf::N,沼,marécage
102,Moor::N,湿原,tourbière
103,Wiese::N,草原,pré
104,Wald::N,森,bois
105,Wald::N,森,forêt
106,Hügel::N,丘,coteau
107,Hügel::N,丘,colline
108,Anhöhe::N,高み,éminence
109,Anhöhe::N,高み,élévation
110,Berg::N,山,mont
111,Berg::N,山,montagne
112,Gipfel::N,頂上,cime
113,Gipfel::N,頂上,sommet
114,Höhle::N,洞窟,caverne
115,Abhang::N,斜面,pente
116,Abhang::N,斜面,versant
117,Quelle::N,泉,source
118,Quelle::N,泉,fontaine
119,Bach::N,小川,ruisseau
120,Fluss::N,川,fleuve
121,Fluss::N,川,rivière
122,Ufer::N,岸,bord
123,Ufer::N,岸,rivage
124,Küste::N,海岸,côte
125,Festland::N,陸,terre ferme
126,Meer::N,海,mer
127,Bucht::N,湾,baie
128,Insel::N,島,île
129,Blume::N,花,fleur
130,Gras::N,草,herbe
131,Wurzel::N,根,racine
132,Baum::N,木,arbre
133,Stamm::N,幹,tronc
134,Rinde::N,皮層,écorce
135,Ast::N,枝,branche
136,Zweig::N,小枝,rameau
137,Blatt::N,葉,feuille
138,Birke::N,樺,bouleau
139,Kiefer[Baum]::N,松,pin
140,Weide[Baum]::N,柳,saule
141,Tanne::N,樅,sapin
142,Horn::N,角,corne
143,Feder::N,羽根,plume
144,Fell::N,毛皮,peau
145,Flügel::N,羽,aile
146,Klaue::N,鉤爪,serre
147,Kralle::N,爪,ongle
148,Kralle::N,爪,griffe
149,Schwanz::N,尻尾,queue
150,Ei::N,卵,œuf
151,Nest::N,巣,nid
152,Bau::N,穴,terrier
153,Tier::N,動物,animal
154,Herde::N,群れ,troupeau
155,Kuh::N,牛,vache
156,Bulle::N,雄牛,taureau
157,Pferd::N,馬,cheval
158,Schaf::N,羊,mouton
159,Schwein::N,豚,porc
160,Schwein::N,豚,cochon
161,Hund::N,犬,chien
162,Katze::N,猫,chat
163,Bär::N,熊,ours
164,Eichhörnchen::N,栗鼠,écureuil
165,Elch::N,ヘラジカ,élan
166,Fuchs::N,狐,renard
167,Hase::N,兎,lièvre
168,Maus::N,鼠,souris
169,Wolf::N,狼,loup
170,Vogel::N,鳥,oiseau
171,Schwarm::N,群れ,nuée
172,Schwarm::N,群れ,volée
173,Huhn::N,鶏,poule
174,Hahn::N,雄鶏,coq
175,Gans::N,ガチョウ,oie
176,Adler::N,鷲,aigle
177,Ente::N,鴨,canard
178,Eule::N,フクロウ,hibou
179,Kranich::N,鶴,grue
180,Krähe::N,烏,corneille
181,Kuckuck::N,郭公,coucou
182,Schwan::N,白鳥,cygne
183,Fisch::N,魚,poisson
184,Barsch::N,鱸,perche
185,Hecht::N,川魳,brochet
186,Schlange[Tier]::N,蛇,serpent
187,Wurm::N,虫,ver
188,Spinne::N,蜘蛛,araignée
189,Ameise::N,蟻,fourmi
190,Laus::N,虱,pou
191,Mücke::N,蚊,moucheron
192,Fliege::N,蝿,mouche
193,Schmetterling::N,蝶,papillon
194,Beere::N,漿果,baie
195,Apfel::N,林檎,pomme
196,Pilz::N,茸,champignon
197,Zwiebel::N,玉葱,oignon
198,Saat::N,種,semence
199,Korn::N,粒,grain
200,Heu::N,干し草,foin
201,Schale::N,皮,pelure
202,Grube::N,穴,fosse
203,Falle::N,わな,piège
204,Schlinge::N,輪,lacs
205,Spur::N,跡,trace
206,Asche::N,灰,cendre
207,Dreck::N,泥,crotte
208,Eisen::N,鉄,fer
209,Gold::N,金,or
210,Silber::N,銀,argent
211,Kohle::N,炭,charbon
212,Glas::N,ガラス,verre
213,Lehm::N,ローム,glaise
214,Sand::N,砂,sable
215,Mensch::N,人,homme
216,Mann::N,男,homme
217,Mann::N,男性,homme
218,Frau::N,女,femme
219,Frau::N,女性,femme
220,Kind::N,子,enfant
221,Kind::N,子供,enfant
222,Junge::N,男の子,garçon
223,Mädchen::N,女の子,fille
224,Mädchen::N,女の子,jeune fille
225,Familie::N,家族,famille
226,Großvater::N,祖父,grand-père
227,Großvater::N,おじいさん,grand-père
228,Großmutter::N,祖母,grand-mère
229,Großmutter::N,おばあさん,grand-mère
230,Eltern::N,親,parents
231,Eltern::N,両親,parents
232,Vater::N,父,père
233,Vater::N,お父さん,père
234,Mutter::N,母,mère
235,Mutter::N,お母さん,mère
236,Sohn::N,息子,fils
237,Sohn::N,息子さん,fils
238,Tochter::N,娘,fille
239,Tochter::N,お嬢さん,fille
240,Bruder::N,弟,frère
241,Schwester::N,妹,sœur
242,Onkel::N,伯父,oncle
243,Onkel::N,伯父さん,oncle
244,Tante::N,叔母,tante
245,Tante::N,叔母さん,tante
246,Ehemann::N,夫,mari
247,Ehemann::N,夫,époux
248,Ehemann::N,主人,mari
249,Ehemann::N,主人,époux
250,Ehefrau::N,妻,femme
251,Ehefrau::N,妻,épouse
252,Ehefrau::N,奥さん,femme
253,Ehefrau::N,奥さん,épouse
254,Freude::N,喜び,joie
255,Freude::N,喜び,plaisir
256,Gelächter::N,笑い,rires
257,Glück::N,幸せ,bonheur
258,Kummer::N,悩み,peine
259,Kummer::N,悩み,chagrin
260,Wunsch::N,希望,désir
261,Lust::N,気,envie
262,Geist::N,精神,esprit
263,Gedanke::N,考え,idée
264,Gedanke::N,考え,pensée
265,Gedächtnis::N,記憶,mémoire
266,Verstand::N,理解力,raison
267,Sinn::N,意味,sens
268,Grund::N,理由,cause
269,Grund::N,理由,raison
270,Wahrheit::N,真実,vérité
271,Gespräch::N,会話,conversation
272,Märchen::N,童話,conte
273,Märchen::N,童話,conte de fées
274,Erzählung::N,物語,conte
275,Erzählung::N,物語,narration
276,Nachricht::N,報告,message
277,Neuigkeit::N,ニュース,nouvelle
278,Name::N,名前,nom
