,Concept_ID,la,hi
0,Auge::N,oculus,आँख
1,Auge::N,oculus,चक्षु
2,Ohr::N,auris,कान
3,Ohr::N,auris,कर्ण
4,Nase::N,nasus,नाक
5,Nase::N,nasus,नासा
6,Mund::N,os,मुख
7,Mund::N,os,मुँह
8,Zahn::N,dens,दंत
9,Zahn::N,dens,दाँत
10,Zunge::N,lingua,जीभ
11,Zunge::N,lingua,ज़बान
12,Zunge::N,lingua,जिह्वा
13,Lippe::N,labrum,ओंठ
14,Lippe::N,labrum,होंठ
15,Wange::N,gena,गाल
16,Wange::N,gena,कपोल
17,Gesicht::N,vultus,मुँह
18,Gesicht::N,vultus,चेहरा
19,Stirn::N,frons,माथा
20,Stirn::N,frons,मस्तक
21,Haar::N,capillus,बाल
22,Schnurrbart::N,barba labri superioris,मूँछें
23,Bart::N,barba,दाढ़ी
24,Kinn::N,mentum,चिबुक
25,Kiefer[Anatomie]::N,mala,जबड़ा
26,Kehle::N,iugulums,गला
27,Hals::N,collum,गला
28,Hals::N,collum,गरदन
29,Genick::N,cervices,गरदन
30,Genick::N,cervices,ग्रीवा
31,Kopf::N,caput,सिर
32,Kopf::N,caput,शीर्ष
33,Rücken::N,tergum,पीठ
34,Bauch::N,venter,उदर
35,Nabel::N,umbilicus,नाभि
36,Nabel::N,umbilicus,ढोंढी
37,Busen::N,sinus,कुच
38,Busen::N,sinus,स्तन
39,Brust::N,pectus,वक्ष
40,Schulter::N,umerus,कंधा
41,Schulter::N,umerus,स्कंध
42,Arm::N,bracchium,बाँह
43,Arm::N,bracchium,बाज़ू
44,Ellenbogen::N,cubitum,कुहनी
45,Hand::N,manus,हाथ
46,Hand::N,manus,हस्त
47,Handfläche::N,palma,हथेली
48,Finger::N,digitus,उँगली
49,Finger::N,digitus,अँगुली
50,Fingernagel::N,unguiculus,नख
51,Fingernagel::N,unguiculus,नाख़ून
52,Nagel[Anatomie]::N,unguis,नख
53,Nagel[Anatomie]::N,unguis,नाख़ून
54,Zeh::N,digitus,उँगली
55,Zeh::N,digitus,पाँव की उँगली
56,Fuß::N,pes,चरण
57,Fuß::N,pes,पाँव
58,Ferse::N,calx,एड़ी
59,Knie::N,genu,जानु
60,Knie::N,genu,घुटना
61,Oberschenkel::N,femur,उरु
62,Bein::N,crus,टाँग
63,Körper::N,corpus,तन
64,Körper::N,corpus,देह
65,Körper::N,corpus,शरीर
66,Haut::N,cutis,चर्म
67,Haut::N,cutis,त्वचा
68,Haut::N,pellis,चर्म
69,Haut::N,pellis,त्वचा
70,Blut::N,sanguis,लहू
71,Blut::N,sanguis,ख़ून
72,Ader::N,vena,रग
73,Ader::N,vena,शिरा
74,Sehne::N,nervus,कंडरा
75,Sehne::N,nervus,स्नायु
76,Knochen::N,os,अस्थि
77,Gehirn::N,cerebrum,दिमाग़
78,Gehirn::N,cerebrum,मस्तिष्क
79,Herz::N,cor,दिल
80,Herz::N,cor,हृदय
81,Herz::N,animus,दिल
82,Herz::N,animus,हृदय
83,Magen::N,stomachus,मेदा
84,Magen::N,stomachus,अमाशय
85,Leber::N,iecur,जिगर
86,Leber::N,iecur,यकृत्
87,Atem::N,spiritus,दम
88,Atem::N,spiritus,साँस
89,Atem::N,spiritus,श्वास
90,Hunger::N,fames,भूख
91,Hunger::N,fames,क्षुधा
92,Träne::N,lacrima,आँसू
93,Träne::N,lacrima,अश्रु
94,Geschmack::N,sapor,स्वाद
95,Geschmack::N,sapor,ज़ायक़ा
96,Geschmack::N,gustus,स्वाद
97,Geschmack::N,gustus,ज़ायक़ा
98,Geruch::N,odor,बू
99,Geruch::N,odor,गंध
100,Schlaf::N,somnus,नींद
101,Schlaf::N,somnus,निद्रा
102,Traum::N,somnium,सपना
103,Traum::N,somnium,स्वप्न
104,Himmel::N,caelum,आकाश
105,Himmel::N,caelum,आसमान
106,Sonne::N,sol,रवि
107,Sonne::N,sol,सूरज
108,Sonne::N,sol,सूर्य
109,Mond::N,luna,चाँद
110,Mond::N,luna,चंद्र
111,Stern::N,sidus,तारा
112,Stern::N,sidus,सितारा
113,Stern::N,stella,तारा
114,Stern::N,stella,सितारा
115,Luft::N,aer,हवा
116,Luft::N,aer,वायु
117,Wind::N,ventus,पाद
118,Welle::N,unda,लहर
119,Welle::N,unda,तरंग
120,Wasser::N,aqua,जल
121,Wasser::N,aqua,पानी
122,Stein::N,lapis,पत्थर
123,Boden::N,solum,मिट्टी
124,Erde::N,terra,भूमि
125,Erde::N,terra,ज़मीन
126,Staub::N,pulvis,धूल
127,Rauch::N,fumus,धूआँ
128,Rauch::N,fumus,धुम्र
129,Funke::N,scintilla,चिनगारी
130,Funke::N,scintilla,स्फुलिंग
131,Feuer::N,ignis,आग
132,Feuer::N,ignis,आतिश
133,Feuer::N,ignis,अग्नि
134,Licht::N,lux,रोशनी
135,Licht::N,lux,प्रकाश
136,Licht::N,lumen,रोशनी
137,Licht::N,lumen,प्रकाश
138,Schatten::N,umbra,छाया
139,Schatten::N,umbra,परछाई
140,Wetter::N,caelum,ऋतु
141,Wetter::N,caelum,मौसम
142,Wetter::N,tempestas,ऋतु
143,Wetter::N,tempestas,मौसम
144,Nebel::N,nebula,धुँध
145,Nebel::N,nebula,कुहरा
146,Wolke::N,nubes,मेघ
147,Wolke::N,nubes,अभ्र
148,Regen::N,imber,मेंह
149,Regen::N,imber,बारिश
150,Regen::N,pluvia,मेंह
151,Regen::N,pluvia,बारिश
152,Schnee::N,nix,हिम
153,Schnee::N,nix,बर्फ़
154,Eis::N,glacies,हिम
155,Eis::N,glacies,बर्फ़
156,Frost::N,gelu,ठंड
157,Kälte::N,frigus,सर्दी
158,Kälte::N,frigus,शीतलता
159,Hitze::N,calor,ताप
160,Hitze::N,calor,गरमी
161,Hitze::N,aestus,ताप
162,Hitze::N,aestus,गरमी
163,Raureif::N,pruina,पाला
164,Regenbogen::N,arcus,इंद्र-धनुष
165,Donner::N,tonitrus,गरज
166,Donner::N,tonitrus,मेघ-गर्जन
167,Strömung::N,fluctus,बहाव
168,Strömung::N,fluctus,प्रवाह
169,Tropfen::N,gutta,बूँद
170,Schaum::N,spuma,झाग
171,Schmutz::N,sordes,गंद
172,Schmutz::N,sordes,कीचड़
173,Schmutz::N,squalor,गंद
174,Schmutz::N,squalor,कीचड़
175,See::N,lacus,झील
176,See::N,lacus,सरोवर
177,Sumpf::N,palus,दलदल
178,Sumpf::N,palus,धँसान
179,Moor::N,palus,झाबर
180,Moor::N,palus,धँसान
181,Wiese::N,pratum,घास-स्थल
182,Wald::N,silva,जंगल
183,Hügel::N,collis,टीला
184,Hügel::N,collis,पहाड़
185,Anhöhe::N,specula,टीला
186,Anhöhe::N,specula,पहाड़ी
187,Berg::N,mons,पहाड़
188,Gipfel::N,vertex,शिखर
189,Höhle::N,caverna,गुहा
190,Höhle::N,caverna,गुफ़ा
191,Höhle::N,spelunca,गुहा
192,Höhle::N,spelunca,गुफ़ा
193,Abhang::N,declivum,ढाल
194,Abhang::N,declivum,ढलान
195,Quelle::N,fons,चश्मा
196,Bach::N,rivus,सोता
197,Bach::N,rivus,नदिका
198,Fluss::N,flumen,नदी
199,Fluss::N,flumen,सरिता
200,Ufer::N,ripa,तट
201,Ufer::N,ripa,किनारा
202,Küste::N,litus,समुद्र-तट
203,Festland::N,continens,महाद्वीप
204,Meer::N,mare,सागर
205,Meer::N,mare,समुद्र
206,Bucht::N,sinus,खाड़ी
207,Insel::N,insula,टापू
208,Insel::N,insula,द्वीप
209,Blume::N,flos,फूल
210,Blume::N,flos,पुष्प
211,Gras::N,herba,घास
212,Gras::N,gramen,घास
213,Wurzel::N,radix,मूल
214,Baum::N,arbor,पेड़
215,Baum::N,arbor,वृक्ष
216,Stamm::N,truncus,धड़
217,Rinde::N,cortex,छाल
218,Rinde::N,cortex,वल्कल
219,Ast::N,ramus,डाल
220,Ast::N,ramus,शाखा
221,Zweig::N,ramus,टहनी
222,Blatt::N,folium,पत्र
223,Blatt::N,folium,पत्ता
224,Birke::N,betulla,भूर्ज
225,Kiefer[Baum]::N,pinus,पाइन-वृक्ष
226,Weide[Baum]::N,salix,बेंत
227,Tanne::N,abies,फ़र
228,Horn::N,cornu,सींग
229,Horn::N,cornu,विषाण
230,Feder::N,penna,पर
231,Feder::N,penna,पंख
232,Fell::N,pellis,खाल
233,Fell::N,pellis,पशु-चर्म
234,Flügel::N,ala,पंख
235,Flügel::N,ala,डैना
236,Klaue::N,unguis,पंजा
237,Kralle::N,unguis,पंजा
238,Kralle::N,unguis,नाख़ून
239,Schwanz::N,cauda,पूँछ
240,Ei::N,ovum,अंडा
241,Nest::N,nidus,नीड़
242,Nest::N,nidus,घोंसला
243,Bau::N,cavum,बिल
244,Bau::N,cavum,माँद
245,Bau::N,latibulum,बिल
246,Bau::N,latibulum,माँद
247,Tier::N,bestia,पशु
248,Tier::N,bestia,जानवर
249,Herde::N,grex,गल्ला
250,Kuh::N,vacca,गौ
251,Kuh::N,vacca,गाय
252,Bulle::N,taurus,साँड़
253,Pferd::N,equus,अश्व
254,Pferd::N,equus,घोड़ा
255,Schaf::N,ovis,भेड़
256,Schwein::N,sus,शूकर
257,Schwein::N,porcus,शूकर
258,Hund::N,canis,श्वान
259,Hund::N,canis,कुत्ता
260,Katze::N,felis,बिल्ली
261,Bär::N,ursus,रीछ
262,Bär::N,ursus,भालू
263,Eichhörnchen::N,sciurus,गिलहरी
264,Elch::N,alces,एल्क
265,Fuchs::N,vulpes,लोमड़ी
266,Hase::N,lepus,खरहा
267,Hase::N,lepus,ख़रगोश
268,Maus::N,mus,मूष
269,Maus::N,mus,चूहा
270,Wolf::N,lupus,वृक
271,Wolf::N,lupus,भेड़िया
272,Vogel::N,avis,पक्षी
273,Vogel::N,avis,चिड़िया
274,Schwarm::N,examen,झुंड
275,Huhn::N,gallina,मुर्ग़ी
276,Hahn::N,gallus,मुर्ग़ा
277,Gans::N,anser,हंस
278,Gans::N,anser,हंसिनी
279,Adler::N,aquila,उक़ाब
280,Ente::N,anas,बतख़
281,Ente::N,anas,बत्तक
282,Eule::N,ulula,उल्लू
283,Eule::N,noctua,उल्लू
284,Kranich::N,grus,सारस
285,Kranich::N,grus,क्रौंंच
286,Krähe::N,cornix,काक
287,Kuckuck::N,cuculus,कोयल
288,Kuckuck::N,cuculus,कोकिल
289,Schwan::N,olor,हंस
290,Schwan::N,olor,मराल
291,Schwan::N,cycnus,हंस
292,Schwan::N,cycnus,मराल
293,Fisch::N,piscis,मछली
294,Fisch::N,piscis,मत्स्य
295,Barsch::N,perca,पर्च
296,Hecht::N,esox,पाइक
297,Schlange[Tier]::N,serpens,सर्प
298,Wurm::N,vermis,कृमि
299,Wurm::N,vermis,कीड़ा
300,Spinne::N,aranea,लूता
301,Spinne::N,aranea,मकड़ी
302,Ameise::N,formica,चींटी
303,Laus::N,pediculus,जूँ
304,Mücke::N,culex,डाँस
