,Concept_ID,ga,sk
0,Auge::N,súil,oko
1,Ohr::N,cluas,ucho
2,Nase::N,soc,nos
3,Mund::N,béal,ústa
4,Zahn::N,fiacail,zub
5,Zunge::N,teanga,jazyk
6,Lippe::N,liopa,pera
7,Wange::N,grua,líce
8,Wange::N,leiceann,líce
9,Gesicht::N,éadan,tvár
10,Gesicht::N,éadan,obličaj
11,Gesicht::N,aghaidh,tvár
12,Gesicht::N,aghaidh,obličaj
13,Stirn::N,baithis,čelo
14,Stirn::N,clár éadain,čelo
15,Haar::N,gruaig,vlas
16,Schnurrbart::N,croiméal,fúzy
17,Bart::N,féasóg,brada
18,Kinn::N,smig,brada
19,Kiefer[Anatomie]::N,giall,čeľusť
20,Kehle::N,scornach,hrdlo
21,Hals::N,muinéal,krk
22,Genick::N,baic,väzy
23,Kopf::N,ceann,hlava
24,Rücken::N,droim,chrbát
25,Bauch::N,bolg,brucho
26,Nabel::N,imleacán,pupok
27,Busen::N,cíoch,prsia
28,Brust::N,brollach,hruď
29,Schulter::N,gualainn,plece
30,Arm::N,lámh,rameno
31,Ellenbogen::N,uillinn,lakeť
32,Hand::N,lámh,ruka
33,Handfläche::N,bos,dlaň
34,Finger::N,méar,prst
35,Fingernagel::N,ionga,necht
36,Nagel[Anatomie]::N,ionga,necht
37,Zeh::N,ladhar,prst na nohe
38,Fuß::N,cos,noha
39,Fuß::N,troigh,noha
40,Ferse::N,sáil,päta
41,Knie::N,glúin,koleno
42,Oberschenkel::N,ceathrú,stehno
43,Bein::N,cos,noha
44,Körper::N,corp,telo
45,Körper::N,colainn,telo
46,Haut::N,cneas,koža
47,Haut::N,craiceann,koža
48,Blut::N,fuil,krv
49,Sehne::N,teannán,šľacha
50,Sehne::N,féitheog,šľacha
51,Knochen::N,cnámh,kosť
52,Gehirn::N,inchinn,mozog
53,Herz::N,croí,srdce
54,Magen::N,bolg,žalúdok
55,Magen::N,goile,žalúdok
56,Leber::N,ae,pečeň
57,Atem::N,anáil,dych
58,Hunger::N,ocras,hlad
59,Träne::N,deoir,slza
60,Geschmack::N,blas,chuť
61,Geruch::N,boladh,pach
62,Schlaf::N,suan,spánok
63,Schlaf::N,codladh,spánok
64,Traum::N,taibhreamh,sen
65,Himmel::N,spéir,nebo
66,Sonne::N,grian,slnko
67,Mond::N,ré,mesiac
68,Mond::N,gealach,mesiac
69,Stern::N,rinn,hviezda
70,Stern::N,réalta,hviezda
71,Luft::N,aer,vzduch
72,Wind::N,gaoth,vietor
73,Welle::N,tonn,vlna
74,Wasser::N,uisce,voda
75,Stein::N,cloch,kameň
76,Boden::N,talamh,zem
77,Boden::N,talamh,pôda
78,Erde::N,cré,zem
79,Erde::N,ithir,zem
80,Staub::N,dusta,prach
81,Staub::N,deannach,prach
82,Rauch::N,toit,dym
83,Rauch::N,deatach,dym
84,Funke::N,drithle,iskra
85,Feuer::N,tine,oheň
86,Licht::N,solas,svetlo
87,Schatten::N,scáth,tieň
88,Wetter::N,aimsir,počasie
89,Nebel::N,ceo,hmla
90,Wolke::N,néal,oblak
91,Wolke::N,néal,mračno
92,Wolke::N,scamall,oblak
93,Wolke::N,scamall,mračno
94,Regen::N,báisteach,dážď
95,Regen::N,fearthainn,dážď
96,Schnee::N,sneachta,sneh
97,Eis::N,oighear,ľad
98,Frost::N,sioc,mráz
99,Kälte::N,fuacht,zima
100,Kälte::N,fuacht,chlad
101,Hitze::N,teas,horúčava
102,Hitze::N,teocht,horúčava
103,Raureif::N,sioc bán,srieň
104,Raureif::N,sioc bán,inovať
105,Regenbogen::N,stua ceatha,dúha
106,Regenbogen::N,bogha báistí,dúha
107,Donner::N,toirneach,hrom
108,Strömung::N,sruth,prúdenie
109,Tropfen::N,deoir,kvapka
110,Schaum::N,cúr,pena
111,Schmutz::N,salachar,špina
112,Schmutz::N,salachar,nečistota
113,See::N,loch,jazero
114,Sumpf::N,portach,bahno
115,Moor::N,caorán,močiar
116,Moor::N,móinteán,močiar
117,Wiese::N,cluain,lúka
118,Wiese::N,móinéar,lúka
119,Wald::N,coill,les
120,Wald::N,coill,hora
121,Wald::N,foraois,les
122,Wald::N,foraois,hora
123,Hügel::N,ard,vŕšok
124,Anhöhe::N,ard,výšina
125,Anhöhe::N,ard,vyvýšenina
126,Anhöhe::N,ardán,výšina
127,Anhöhe::N,ardán,vyvýšenina
128,Berg::N,sliabh,hora
129,Gipfel::N,barr,vrchol
130,Gipfel::N,mullach,vrchol
131,Höhle::N,uaimh,jaskyňa
