,Concept_ID,uz,cy
0,Auge::N,ko'z,llygad
1,Ohr::N,quloq,clust
2,Nase::N,burun,trwyn
3,Mund::N,og'iz,ceg
4,Zahn::N,tish,dant
5,Zunge::N,til,tafod
6,Lippe::N,dudoq,gwefus
7,Wange::N,bet,boch
8,Gesicht::N,yuz,wyneb
9,Stirn::N,manglay,talcen
10,Haar::N,soch,blew
11,Schnurrbart::N,mo'ylov,mwstas
12,Bart::N,soqol,barf
13,Kinn::N,ängak,gên
14,Kiefer[Anatomie]::N,iyak,gên
15,Kehle::N,bo'g'iz,gwddf
16,Hals::N,bo'yin,gwddf
17,Genick::N,gardan,gwar
18,Genick::N,gardan,gwegil
19,Kopf::N,bosh,pen
20,Rücken::N,orqa,cefn
21,Bauch::N,qorin,bol
22,Nabel::N,kindik,bogail
23,Busen::N,ämchak,bron
24,Brust::N,ko'krak,brest
25,Schulter::N,elka,ysgwydd
26,Arm::N,bilak,braich
27,Ellenbogen::N,tirsak,penelin
28,Hand::N,qo'l,llaw
29,Handfläche::N,kaft,palf
30,Finger::N,barmoq,bys
31,Fingernagel::N,tirnoq,ewin
32,Nagel[Anatomie]::N,tirnoq,ewin
33,Zeh::N,oyoq barmog'i,bys troed
34,Fuß::N,oyoq,troed
35,Ferse::N,tovon,sawdl
36,Knie::N,tiz,glin
37,Oberschenkel::N,son,clun
38,Bein::N,oyoq,coes
39,Körper::N,badna,corff
40,Haut::N,teri,croen
41,Blut::N,qon,gwaed
42,Ader::N,qon tomir,gwythïen
43,Sehne::N,tomir,gewyn
44,Knochen::N,suyak,asgwrn
45,Gehirn::N,miya,ymennydd
46,Herz::N,qalb,calon
47,Magen::N,oshqozon,cylla
48,Magen::N,oshqozon,stumog
49,Leber::N,bag'ir,iau
50,Atem::N,dam,anadl
51,Hunger::N,ochlik,newyn
52,Träne::N,yosh,deigryn
53,Geschmack::N,tam,cyflas
54,Geruch::N,jid,aroglau
55,Schlaf::N,uyqu,cwsg
56,Traum::N,tush,breuddwyd
57,Himmel::N,osmon,awyr
58,Sonne::N,quyosh,haul
59,Mond::N,oy,lleuad
60,Stern::N,yulduz,seren
61,Luft::N,havo,awyr
62,Wind::N,el,gwynt
63,Welle::N,to'lqin,ton
64,Wasser::N,suv,dŵr
65,Stein::N,tosh,carreg
66,Boden::N,tuproq,llawr
67,Erde::N,er,pridd
68,Staub::N,chang,llwch
69,Rauch::N,tutun,mwg
70,Funke::N,yalt,gwreichioni
71,Feuer::N,o't,tân
72,Licht::N,yorug',golau
