,Concept_ID,az,mn
0,Auge::N,göz,нүд
1,Ohr::N,qulaq,чих
2,Nase::N,burun,хамар
3,Mund::N,ağız,ам
4,Zahn::N,diş,шүд
5,Zunge::N,dil,хэл
6,Lippe::N,dodaq,уруул
7,Wange::N,yanaq,хацар
8,Gesicht::N,üz,царай
9,Gesicht::N,üz,нүүр
10,Stirn::N,alın,дух
11,Haar::N,saç,үс
12,Schnurrbart::N,bığ,дээд сахал
13,Schnurrbart::N,bığ,живэр сахал
14,Bart::N,saqqal,сахал
15,Kinn::N,çənə,эрүү
16,Kiefer[Anatomie]::N,çənə,эрүү
17,Kehle::N,boğaz,хоолой
18,Hals::N,boyun,хүзүү
19,Genick::N,ənsə,шил
20,Genick::N,ənsə,хүзүү
21,Kopf::N,baş,толгой
22,Rücken::N,bel,ар
23,Rücken::N,bel,нуруу
24,Bauch::N,qarın,хэвлий
25,Bauch::N,qarın,гэдэс
26,Nabel::N,göbək,хүйс
27,Busen::N,məmə,хөх
28,Brust::N,döş,цээж
29,Schulter::N,çiyin,мөр
30,Schulter::N,çiyin,бугалга
31,Arm::N,qol,гар
32,Ellenbogen::N,dirsək,тохой
33,Hand::N,əl,гар
34,Hand::N,əl,алга
35,Handfläche::N,ovuc,алга
36,Finger::N,barmaq,хуруу
37,Fingernagel::N,barmaq dırnağı,хурууны хумс
38,Nagel[Anatomie]::N,dırnak,хумс
39,Zeh::N,ayaq barmağı,хуруу
40,Fuß::N,ayaq,хөл
41,Ferse::N,daban,өсгий
42,Knie::N,diz,өвдөг
43,Oberschenkel::N,bud,гуя
44,Bein::N,qıç,хөл
45,Körper::N,əndam,бие
46,Haut::N,dəri,арьс
47,Blut::N,qan,цус
48,Ader::N,damar,судас
49,Sehne::N,vətər,бүлх
50,Sehne::N,vətər,шандас
51,Knochen::N,sümük,яс
52,Gehirn::N,beyin,тархи
53,Herz::N,ürək,зүрх
54,Magen::N,mədə,ходоод
55,Leber::N,qara ciyər,элэг
56,Atem::N,nəfəs,амьсгаа
57,Hunger::N,aclıq,өлсгөлөн
58,Träne::N,göz yaşı,нулимс
59,Geschmack::N,tam,амт
60,Geschmack::N,ləzzət,амт
61,Geruch::N,qoxu,үнэр
62,Schlaf::N,yuxu,нойр
63,Traum::N,röya,зүүд
64,Himmel::N,göy,тэнгэр
65,Himmel::N,göy,огторгуй
66,Himmel::N,səma,тэнгэр
67,Himmel::N,səma,огторгуй
68,Sonne::N,günəş,нар
69,Mond::N,ay,сар
70,Stern::N,ulduz,од
71,Luft::N,hava,агаар
72,Wind::N,yel,салхи
73,Wind::N,külək,салхи
74,Welle::N,dalğa,долгио
75,Welle::N,dalğa,давалгаа
76,Wasser::N,su,ус
77,Stein::N,daş,чулуу
78,Boden::N,yer,хөрс
79,Boden::N,zəmin,хөрс
80,Erde::N,yer torpaq,газар
81,Erde::N,yer torpaq,шороо
82,Staub::N,toz,тоос
83,Rauch::N,tüstü,утаа
84,Funke::N,qığılcım,оч
85,Feuer::N,od,гал
86,Licht::N,işıq,гэрэл
87,Licht::N,işıq,гэгээ
88,Schatten::N,kölgə,сүүдэр
89,Wetter::N,hava,тэнгэр
90,Wetter::N,hava,цаг уур
91,Nebel::N,duman,будан
92,Wolke::N,bulud,үүл
93,Regen::N,yağış,бороо
94,Regen::N,yağmur,бороо
95,Schnee::N,qar,цас
96,Eis::N,buz,мөс
97,Frost::N,ayaz,хүйт
98,Kälte::N,soyuq,хүйт
99,Hitze::N,coşğunluq,халуун
100,Raureif::N,qırov,цан
101,Raureif::N,qırov,хяруу
102,Regenbogen::N,göy qurşağı,солонго
103,Donner::N,göy gurultusu,тэнгэрийн дуу
104,Strömung::N,axın,урсгал
105,Tropfen::N,damcı,дусал
106,Schaum::N,köpük,хөөс
107,Schmutz::N,çamır,хир
108,Schmutz::N,çamır,шавхай
109,See::N,göl,нуур
110,Sumpf::N,bataqlıq,намаг
111,Sumpf::N,bataqlıq,балчиг
112,Moor::N,bataqlıq,хүлрийн намаг
113,Wiese::N,çəmən,нуга
114,Wald::N,meşə,ой
115,Hügel::N,təpə,болдог
116,Anhöhe::N,təpə,гүвээ
117,Berg::N,dağ,уул
118,Gipfel::N,zirvə,орой
119,Gipfel::N,zirvə,оргил
120,Höhle::N,mağara,агуй
121,Abhang::N,yamac,хүр
122,Quelle::N,bulaq,булаг
123,Bach::N,kiçik çay,горхи
124,Fluss::N,çay,гол
125,Fluss::N,çay,мөрөн
126,Ufer::N,kənar,эрэг
127,Küste::N,sahil,эрэг
128,Festland::N,materik,хуурай газар
129,Meer::N,dəniz,далай
130,Meer::N,dəniz,тэнгис
131,Bucht::N,körfəz,булан
132,Bucht::N,körfəz,далайн тохой
133,Insel::N,ada,арал
134,Blume::N,çiçək,цэцэг
135,Gras::N,ot,өвс
136,Gras::N,ot,ногоо
137,Wurzel::N,kök,үндэс
138,Baum::N,ağac,мод
139,Stamm::N,gövdə,иш
140,Stamm::N,gövdə,гуалин
141,Rinde::N,qabıq,холтос
142,Ast::N,şax,гишүү
143,Zweig::N,budaq,салаа
144,Blatt::N,yarpaq,навч
145,Birke::N,tozağacı,хус
146,Kiefer[Baum]::N,şam,нарс
147,Weide[Baum]::N,söyüd,уд
