,Concept_ID,os,hy
0,Auge::N,цӕст,աչք
1,Ohr::N,хъус,ականջ
2,Nase::N,фындз,քիթ
3,Mund::N,дзых,բերան
4,Zahn::N,дӕндаг,ատամ
5,Zunge::N,ӕвзаг,լեզու
6,Lippe::N,был,շրթունք
7,Wange::N,рус,այտ
8,Wange::N,рус,թուշ
9,Wange::N,уадул,այտ
10,Wange::N,уадул,թուշ
11,Wange::N,ӕхсӕрфарс,այտ
12,Wange::N,ӕхсӕрфарс,թուշ
13,Gesicht::N,цӕсгом,դեմք
14,Stirn::N,ных,ճակատ
15,Haar::N,хил,մազ
16,Schnurrbart::N,рихи,բեղ
17,Bart::N,зачъе,մորուք
18,Kinn::N,роцъо,կզակ
19,Kiefer[Anatomie]::N,ӕфсӕр,ծնոտ
20,Kehle::N,хъуыр,կոկորդ
21,Hals::N,къубал,վիզ
22,Hals::N,къубал,պարանոց
23,Genick::N,къӕбут,ծոծրակ
24,Kopf::N,сӕр,գլուխ
25,Rücken::N,фӕсонтӕ,մեջք
26,Bauch::N,гуыбын,փոր
27,Bauch::N,гуыбын,որովայն
28,Nabel::N,бикъ,պորտ
29,Busen::N,дзидзи,ծոց
30,Brust::N,риу,կուրծք
31,Schulter::N,уӕхск,ուս
32,Arm::N,цонг,թեւ
33,Arm::N,цонг,բազուկ
34,Ellenbogen::N,рæмбын,արմունկ
35,Hand::N,къух,ձեռք
36,Handfläche::N,армытъӕпӕн,ափ
37,Finger::N,ӕнруылдз,մատ
38,Fingernagel::N,ных,եղունգ
39,Nagel[Anatomie]::N,ных,եղունգ
40,Zeh::N,къух,ոտքի մատ
41,Fuß::N,фад,ոտք
42,Ferse::N,зӕвӕт,գարշապար
43,Knie::N,уӕраг,ծունկ
44,Oberschenkel::N,агъд,ազդր
45,Bein::N,зӕнг,ոտք
46,Körper::N,буар,մարմին
47,Haut::N,царм,մաշկ
48,Blut::N,туг,արյուն
49,Ader::N,дадзин,երակ
50,Ader::N,тугдадзин,երակ
51,Sehne::N,хъиутæ,ջիղ
52,Sehne::N,хъиутæ,ձգտան
53,Sehne::N,нуар,ջիղ
54,Sehne::N,нуар,ձգտան
55,Knochen::N,стӕг,ոսկոր
56,Gehirn::N,магъз,խելք
57,Herz::N,зӕрдӕ,սիրտ
58,Magen::N,ахсӕн,ստամոքս
59,Leber::N,игæр,լյարդ
60,Atem::N,улӕфт,շունչ
61,Hunger::N,стонг,քաղց
62,Träne::N,цæссыг,արտասուք
63,Geschmack::N,ад,համ
64,Geschmack::N,ад,բուրմունք
65,Geruch::N,смаг,հոտ
66,Geruch::N,смаг,բուրում
67,Schlaf::N,хуыссӕг,քուն
68,Traum::N,фын,երազ
69,Himmel::N,арв,երկինք
70,Himmel::N,уӕларв,երկինք
71,Sonne::N,хур,արեւ
72,Mond::N,мӕй,լուսին
73,Stern::N,стъалы,աստղ
