,Concept_ID,fr,lez
0,Auge::N,œil,вил
1,Ohr::N,oreille,яб
2,Nase::N,nez,нер
3,Mund::N,bouche,сив
4,Zahn::N,dent,сас
5,Zahn::N,dent,свах
6,Zunge::N,langue,мез
7,Lippe::N,lèvre,пӏуз
8,Wange::N,joue,хъвехъ
9,Gesicht::N,face,ччин
10,Gesicht::N,visage,ччин
11,Stirn::N,front,пел
12,Haar::N,cheveu,чӏар
13,Schnurrbart::N,moustache,спел
14,Schnurrbart::N,moustache,спелар
15,Bart::N,barbe,ччуру
16,Kinn::N,menton,чене
17,Kiefer[Anatomie]::N,mâchoire,чене
18,Kehle::N,gorge,туьд
19,Hals::N,cou,гардан
20,Genick::N,nuque,кьам
21,Kopf::N,tête,кьил
22,Rücken::N,dos,далу
23,Bauch::N,ventre,руфун
24,Nabel::N,nombril,пицӏ
25,Busen::N,sein,мам
26,Brust::N,poitrine,хур
27,Schulter::N,épaule,къуьн
28,Arm::N,bras,гъил
29,Ellenbogen::N,coude,кьуьнт
30,Hand::N,main,капаш
31,Handfläche::N,paume,капан юкь
32,Finger::N,doigt,тӏуб
33,Fingernagel::N,ongle,кек
34,Nagel[Anatomie]::N,ongle,кек
35,Zeh::N,orteil,кул
36,Zeh::N,doigt de pied,кул
37,Fuß::N,pied,кӏвач
38,Ferse::N,talon,дабан
39,Knie::N,genou,мет
40,Oberschenkel::N,cuisse,
41,Bein::N,jambe,кӏвач
42,Körper::N,corps,беден
43,Haut::N,peau,хам
44,Blut::N,sang,иви
45,Ader::N,veine,дамар
46,Sehne::N,tendon,кьуру дамар
47,Knochen::N,os,кӏараб
48,Gehirn::N,cerveau,мефт
49,Herz::N,cœur,рикӏ
50,Magen::N,estomac,хук
51,Leber::N,foie,лекь
52,Atem::N,haleine,ял
53,Atem::N,haleine,нефес
54,Hunger::N,faim,каш
55,Träne::N,larme,вилин нагъв
56,Geschmack::N,goût,дад
57,Geschmack::N,goût,тӏям
58,Geschmack::N,saveur,дад
59,Geschmack::N,saveur,тӏям
60,Geruch::N,odeur,ни
61,Schlaf::N,sommeil,ахвар
62,Traum::N,songe,ахвар
63,Himmel::N,ciel,цав
64,Sonne::N,soleil,рагъ
65,Mond::N,lune,варз
66,Stern::N,étoile,гъед
67,Luft::N,air,гьава
68,Wind::N,vent,гар
69,Welle::N,vague,лепе
70,Wasser::N,eau,яд
71,Stein::N,pierre,къван
72,Boden::N,sol,накьв
73,Boden::N,terrain,накьв
74,Erde::N,terre,ччил
75,Staub::N,poussière,руг
76,Rauch::N,fumée,гум
77,Funke::N,étincelle,цӏелхем
78,Feuer::N,feu,цӏай
79,Licht::N,lumière,экв
80,Schatten::N,ombre,серин
81,Wetter::N,temps,гьава
82,Nebel::N,brume,ччилин циф
