,Concept_ID,sah,kn
0,Auge::N,харах,ಕಣ್ಣು
1,Ohr::N,кулгаах,ಕಿವಿ
2,Nase::N,мурун,ಮೂಗು
3,Mund::N,айах,ಬಾಯಿ
4,Zahn::N,тиис,ಹಲ್ಲು
5,Zunge::N,тыл,ನಾಲಿಗೆ
6,Lippe::N,уос,ತುಟಿ
7,Wange::N,иэдэс,ಗಲ್ಲ
8,Gesicht::N,сирэй,ಮುಖ
9,Stirn::N,сүүс,ಹಣೆ
10,Haar::N,баттах,ಕೂದಲು
11,Schnurrbart::N,уос бытыга,ಮೀಸೆ
12,Bart::N,сэҥийэ бытыга,ಗಡ್ಡ
13,Kinn::N,сэҥийэ,ಗದ್ದ
14,Kiefer[Anatomie]::N,сыҥаах,ದವಡೆ
15,Kehle::N,тамах,ಗಂಟಲು
16,Kehle::N,күөмэй,ಗಂಟಲು
17,Hals::N,моой,ಕೊರಳು
18,Genick::N,кэтэх,ಹಿಂಗತ್ತು
19,Kopf::N,бас,ತಲೆ
20,Rücken::N,көҕүс,ಬೆನ್ನು
21,Bauch::N,ис,ಹೊಟ್ಟೆ
22,Nabel::N,киин,ಹೊಕ್ಕುಳು
23,Busen::N,эмиий,ಸ್ತನ
24,Brust::N,түөс,ಎದೆ
25,Schulter::N,сарын,ಭುಜ
26,Arm::N,илии,ತೋಳು
27,Ellenbogen::N,тоҕонох,ಮೊಣಕೈ
28,Hand::N,илии,ಕೈ
29,Handfläche::N,ытыс,ಅಂಗೈ
30,Finger::N,тарбах,ಕೈಬೆರಳು
31,Fingernagel::N,тыҥырах,ಉಗುರು
32,Nagel[Anatomie]::N,тыҥырах,ಉಗುರು
33,Zeh::N,тарбах,ಕಾಲ್ಬೆರಳು
34,Fuß::N,уллуҥах,ಪಾದ
35,Ferse::N,тилэх,ಹಿಮ್ಮಡಿ
36,Knie::N,тобук,ಮಂಡಿ
37,Knie::N,дьилбэк,ಮಂಡಿ
38,Oberschenkel::N,уллук,ತೊಡೆ
39,Oberschenkel::N,өттүк,ತೊಡೆ
40,Bein::N,атах,ಕಾಲು
41,Körper::N,бэйэ,ದೇಹ
42,Haut::N,тирии,ಚರ್ಮ
43,Blut::N,хаан,ರಕ್ತ
44,Ader::N,вена,ನರ
45,Ader::N,күөх_тымыр,ನರ
46,Sehne::N,иҥиир,ನರ
47,Knochen::N,уҥуох,ಮೂಳೆ
48,Knochen::N,уҥгуох,ಮೂಳೆ
49,Gehirn::N,мэйии,ಮಿದುಳು
50,Herz::N,сүрэх,ಹೃದಯ
51,Magen::N,куртах,ಉದರ
52,Leber::N,быар,ಯಕೃತ್ತು
53,Atem::N,тыын,ಉಸಿರು
54,Hunger::N,аас,ಹಸಿವು
55,Träne::N,харах уута,ಕಣ್ಣೀರು
56,Geschmack::N,амтан,ರುಚಿ
57,Geruch::N,сыт,ವಾಸನೆ
58,Schlaf::N,утуйуу,ನಿದ್ರೆ
59,Traum::N,түүл,ಕನಸು
60,Himmel::N,халлаан,ಬಾನು
61,Sonne::N,күн,ಸೂರ್ಯ
62,Mond::N,ый,ಚಂದ್ರ
63,Stern::N,сулус,ಚುಕ್ಕಿ
64,Luft::N,салгын,ವಾಯು
65,Wind::N,тыал,ಗಾಳಿ
66,Welle::N,долгун,ಅಲೆ
67,Welle::N,балхаан,ಅಲೆ
68,Wasser::N,уу,ನೀರು
69,Stein::N,таас,ಕಲ್ಲು
70,Boden::N,сир,ನೆಲ
71,Erde::N,буор,ಭೂಮಿ
72,Staub::N,быыл,ದೂಳು
73,Rauch::N,буруо,ಹೊಗೆ
74,Funke::N,кыым,ಕಿಡಿ
75,Feuer::N,уот,ಬೆಂಕಿ
76,Licht::N,уот,ಬೆಳಕು
77,Schatten::N,күлүк,ನೆರಳು
78,Wetter::N,күн-дьыл,ಹವ
79,Nebel::N,туман,ಮಂಜು
80,Wolke::N,былыт,ಮೋಡ
81,Regen::N,самыыр,ಮಳೆ
82,Schnee::N,хаар,ಹಿಮ
83,Eis::N,муус,ಮಂಜುಗಡ್ಡೆ
84,Frost::N,тымныы,ಮಂಜು
85,Kälte::N,тымныы,ಹಿಮ
86,Hitze::N,куйаас,ಉಷ್ಣ
87,Raureif::N,кырыа,ಇಬ್ಬನಿ
88,Regenbogen::N,кустук,ಇಂದ್ರಚಾಪ
89,Donner::N,этиҥ,ಗುಡುಗು
90,Strömung::N,сүүрүк,ಪ್ರವಾಹ
91,Tropfen::N,таммах,ತೊಟ್ಟು
92,Tropfen::N,хааппыла,ತೊಟ್ಟು
93,Schaum::N,күүгэн,ನೊರೆ
94,Schmutz::N,кир,ಕಸ
95,See::N,күөл,ಸರೋವರ
96,Sumpf::N,бадараан,ಜೌಗುಸ್ಥಳ
97,Moor::N,дьэбэрэ,ಬಂಜರು ಭೂಮಿ
98,Wiese::N,ходуһа,ಹುಲ್ಲುಗಾವಲು
99,Wald::N,ойуур,ಕಾಡು
100,Hügel::N,булгунньах,ಗುಡ್ಡೆ
101,Anhöhe::N,үрдэл,ದಿಬ್ಬ
102,Berg::N,хайа,ಮಲೆ
103,Berg::N,хайа,ಪರ್ವತ
104,Gipfel::N,чыпчаал,ಶೃಂಗ
105,Höhle::N,хайа_хаспаҕа,ಗುಹೆ
106,Höhle::N,көҥүс,ಗುಹೆ
107,Abhang::N,эниэ,ಇಳಿಜಾರು
108,Quelle::N,дьүүктэ,ಮೂಲ
109,Bach::N,үрүйэ,ತೊರೆ
110,Fluss::N,өрүс,ನದಿ
111,Ufer::N,биэрэк,ತೀರ
112,Küste::N,кытыл,ದಂಡೆ
113,Festland::N,кураанах сир,ಭೂಮಿ
114,Meer::N,муора,ಕಡಲು
115,Bucht::N,хомо,ಖಾರಿ
116,Bucht::N,бухта,ಖಾರಿ
117,Insel::N,арыы,ದ್ವೀಪ
118,Blume::N,сибэкки,ಸುಮ
119,Gras::N,от,ಹುಲ್ಲು
120,Wurzel::N,силис,ಬೇರು
121,Baum::N,мас,ಮರ
122,Stamm::N,умнас,ಕಾಂಡ
123,Rinde::N,хатырык,ತೂಗಟಿ
124,Ast::N,мутук,ಶಾಖೆ
125,Zweig::N,лабаа,ರೆಂಬೆ
126,Blatt::N,сэбирдэх,ಎಲೆ
127,Birke::N,хатыҥ,ಬರ್ಚ್ ಮರ
128,Kiefer[Baum]::N,бэс,ದೇವದಾರು ಮರ
129,Weide[Baum]::N,үөт,ವಿಲೋಮರ
130,Weide[Baum]::N,талах,ವಿಲೋಮರ
131,Tanne::N,харыйа,ಭದ್ರದಾರು
132,Horn::N,муос,ಕೊಂಬು
133,Feder::N,куорсун,ಪುಕ್ಕ
134,Fell::N,тирии,ರೋಮ
