,Concept_ID,sl,ko
0,Auge::N,okó,눈
1,Ohr::N,uhó,귀
2,Nase::N,nós,코
3,Mund::N,ústa,입
4,Zahn::N,zób,이
5,Zunge::N,jêzik,혀
6,Lippe::N,ústnica,입술
7,Wange::N,líce,뺨
8,Gesicht::N,oblíčje,얼굴
9,Stirn::N,čêlo,이마
10,Haar::N,lás,털
11,Schnurrbart::N,bŕki,윗수몀
12,Schnurrbart::N,bŕki,코밑수염
13,Bart::N,bráda,수엄
14,Kinn::N,bráda,아래턱
15,Kiefer[Anatomie]::N,čeljúst,턱
16,Kehle::N,gŕlo,인후
17,Hals::N,vrát,목
18,Genick::N,zatílnik,먹덜이
19,Kopf::N,gláva,머리
20,Rücken::N,hrbèt,든
21,Bauch::N,trébuh,배
22,Nabel::N,pópek,배꼽
23,Busen::N,nédrja,가슴속
24,Brust::N,pŕsi,가슴
25,Schulter::N,ráma,어깨
26,Schulter::N,plêče,어깨
27,Arm::N,rôka,팔
28,Ellenbogen::N,komólec,팔쿰치
29,Hand::N,rôka,손
30,Handfläche::N,dlán,손바닥
31,Finger::N,pŕst,속가락
32,Fingernagel::N,nóht na rôki,손톱
33,Nagel[Anatomie]::N,nóht,손톱
34,Zeh::N,pŕst na nôgi,발가락
35,Fuß::N,nôga,발
36,Ferse::N,pêta,발꿈치
37,Knie::N,koléno,무릎
38,Oberschenkel::N,stêgno,허벅다리
39,Bein::N,nôga,다리
40,Körper::N,teló,구간
41,Haut::N,kóža,살갗
42,Blut::N,krí,피
43,Ader::N,žíla,정맥
44,Sehne::N,kíta,현
45,Knochen::N,kóst,뼈
46,Gehirn::N,možgáni,뇌
47,Gehirn::N,možgáni,뇌수
48,Herz::N,srcé,염통
49,Magen::N,želódec,위
50,Leber::N,jétra,간
51,Atem::N,díh,기식
52,Hunger::N,glád,공복
53,Träne::N,sólza,눈물
54,Geschmack::N,okús,기호
55,Geruch::N,vónj,냄새
56,Schlaf::N,sèn,수면
57,Schlaf::N,spánec,수면
58,Traum::N,sánje,쿰
59,Himmel::N,nebó,하늘
60,Sonne::N,sónce,해
61,Mond::N,lúna,달
62,Mond::N,mésec,달
63,Stern::N,zvézda,별
64,Luft::N,zràk,동준
65,Luft::N,zràk,가스채
66,Wind::N,véter,바람
67,Welle::N,vál,물결
68,Wasser::N,vôda,물
69,Stein::N,kámen,돌
70,Boden::N,tlà,바닥
71,Erde::N,pŕst,흙
72,Erde::N,zêmlja,흙
73,Staub::N,práh,먼지
74,Rauch::N,dìm,연기
75,Funke::N,ískra,불티
76,Feuer::N,ôgenj,불
77,Licht::N,lúč,불
78,Schatten::N,sénca,어스레함
79,Wetter::N,vrême,기상
80,Nebel::N,meglà,안개
81,Wolke::N,oblák,구름
82,Regen::N,dèž,비
83,Schnee::N,snég,눈
84,Eis::N,léd,얼음
85,Frost::N,zmrzál,혹한
86,Kälte::N,mràz,추위
87,Kälte::N,mràz,차가움
88,Hitze::N,pripéka,고온
89,Hitze::N,pripéka,더위
90,Raureif::N,ívje,
91,Raureif::N,slána,
92,Regenbogen::N,mávrica,무지개
93,Donner::N,gròm,뇌명
94,Strömung::N,strúja,유동
95,Tropfen::N,káplja,물방울
96,Schaum::N,péna,포말
97,Schmutz::N,nesnága,때
98,See::N,jézero,호수
99,Sumpf::N,močvírje,습지
100,Moor::N,bárje,저습지
101,Wiese::N,trávnik,목초지
102,Wald::N,lés,숲
103,Wald::N,gòzd,숲
104,Hügel::N,brég,언덕
105,Hügel::N,goríca,언덕
106,Anhöhe::N,gríč,언덕
107,Anhöhe::N,višína,언덕
108,Berg::N,gôra,산
109,Berg::N,planína,산
110,Gipfel::N,vŕh,졀졍
111,Höhle::N,jáma,공동
112,Höhle::N,votlína,공동
113,Abhang::N,pobóčje,몰매
114,Quelle::N,izvír,근원
115,Bach::N,pôtok,내
116,Fluss::N,réka,강
117,Ufer::N,brég,강변
118,Ufer::N,brég,바닷가
119,Küste::N,obála,해변
120,Küste::N,obála,해변가
121,Küste::N,obréžje,해변
