,Concept_ID,cv,da
0,Auge::N,куҫ,øje
1,Ohr::N,хӑлха,øre
2,Nase::N,сӑмса,næse
3,Mund::N,ҫӑвар,mund
4,Zahn::N,шӑл,tand
5,Zunge::N,чӗлхе,tunge
6,Lippe::N,тута,læbe
7,Wange::N,пит ҫӑмарти,kind
8,Gesicht::N,пит,ansigt
9,Gesicht::N,пит-куҫ,ansigt
10,Stirn::N,ҫамка,pande
11,Haar::N,ҫӳҫ,hår
12,Schnurrbart::N,усси,overskæg
13,Bart::N,сухал,skæg
14,Kinn::N,янах,hage
15,Kiefer[Anatomie]::N,янах,kæbe
16,Kehle::N,пыр,strube
17,Kehle::N,карланкӑ,strube
18,Hals::N,пыр,hals
19,Genick::N,ӗнсе,nakke
20,Kopf::N,пуҫ,hoved
21,Rücken::N,ҫурӑм,ryg
22,Nabel::N,кӑвапа,navle
23,Busen::N,кӑкӑр,barm
24,Brust::N,умӗ,bryst
25,Schulter::N,хул пуҫҫи,skulder
26,Arm::N,алӑ,arm
27,Ellenbogen::N,чавса,albue
28,Hand::N,алӑ сыппи,hånd
29,Handfläche::N,ал лаппи,håndflade
30,Finger::N,пӳрне,finger
31,Fingernagel::N,чӗрне,fingernegl
32,Nagel[Anatomie]::N,чӗрне,negl
33,Zeh::N,пӳрне,tå
34,Fuß::N,ура лаппи,fod
35,Ferse::N,кӗле,hæl
36,Knie::N,чӗркуҫҫи,knæ
37,Oberschenkel::N,пӗҫӗ,lår
38,Bein::N,ура,ben
39,Körper::N,ӳт,krop
40,Körper::N,ӳт,legeme
41,Körper::N,ӳт-пӳ,krop
42,Körper::N,ӳт-пӳ,legeme
43,Haut::N,тир,hud
44,Blut::N,юн,blod
45,Ader::N,вена,åre
46,Sehne::N,шӑнӑр,sene
47,Knochen::N,шӑмӑ,ben
48,Gehirn::N,миме,hjerne
49,Herz::N,чӗре,hjerte
50,Magen::N,хырӑмлӑх,mave
51,Leber::N,пӗвер,lever
52,Atem::N,сывлав,ånde
53,Hunger::N,выҫлӑх,sult
54,Träne::N,куҫҫуль,tåre
55,Geschmack::N,техӗм,smag
56,Geruch::N,шӑршӑ,lugt
57,Schlaf::N,ыйхӑ,søvn
58,Traum::N,тӗлӗк,drøm
59,Himmel::N,пӗлӗт,himmel
60,Sonne::N,хӗвел,sol
61,Mond::N,уйӑх,måne
62,Stern::N,ҫӑлтӑр,stjerne
63,Luft::N,сывлӑш,luft
64,Wind::N,ҫил,vind
65,Welle::N,хум,bølge
66,Wasser::N,шыв,vand
67,Wasser::N,шыв-шур,vand
68,Stein::N,чул,sten
69,Boden::N,тӑпра,jord
70,Erde::N,ҫӗр,jord
71,Staub::N,тусан,støv
72,Rauch::N,тӗтӗм,røg
73,Funke::N,хӗм,gnist
74,Feuer::N,вут,ild
75,Feuer::N,ҫулӑм,ild
76,Licht::N,ҫутӑ,lys
77,Schatten::N,сулхӑн,skygge
78,Wetter::N,ҫанталӑк,vejr
79,Nebel::N,тӗтре,tåge
80,Wolke::N,пӗлӗт,sky
81,Regen::N,ҫумӑр,regn
82,Schnee::N,юр,sne
83,Eis::N,пӑр,is
84,Frost::N,сивӗ,frost
85,Kälte::N,сивӗ,kulde
86,Hitze::N,вӗри,hede
87,Hitze::N,шӑрӑх,hede
88,Raureif::N,пас,rimfrost
89,Regenbogen::N,асамат кӗперӗ,regnbue
90,Donner::N,аслати,torden
91,Strömung::N,юхӑ,strømning
92,Tropfen::N,тумлам,dråbe
93,Schaum::N,кӑпӑк,skum
94,Schmutz::N,пылчӑк,snavs
95,See::N,кӳлӗ,sø
96,Sumpf::N,шур,sump
97,Sumpf::N,шурлӑх,sump
98,Moor::N,торфлӑ шурлӑх,mose
99,Wiese::N,улӑх,eng
100,Wiese::N,ҫаран,eng
101,Wald::N,вӑрман,skov
102,Hügel::N,сӑрт,høj
103,Hügel::N,сӑрт,bakke
104,Hügel::N,тӗмеске,høj
105,Hügel::N,тӗмеске,bakke
106,Anhöhe::N,сӑрт,høj
107,Anhöhe::N,сӑрт,bakke
108,Berg::N,ту,bjerg
109,Gipfel::N,тӳпе,top
110,Höhle::N,ҫӗр хӑвӑлӗ,hule
111,Abhang::N,тӑвайкки,skrænt
112,Abhang::N,тӑвайкки,skråning
113,Quelle::N,ҫӑл куҫ,kilde
114,Bach::N,пӗчӗк шыв,bæk
115,Fluss::N,юхан шыв,flod
116,Ufer::N,ҫыран,bred
117,Küste::N,тинӗс ҫыранӗ,kyst
118,Festland::N,тип ҫӗр,fastland
119,Meer::N,тинӗс,hav
