,Concept_ID,ab,mn
0,Auge::N,ала,нүд
1,Ohr::N,алымҳа,чих
2,Nase::N,аҧынҵа,хамар
3,Mund::N,аҧышə,ам
4,Zahn::N,ахаҧыц,шүд
5,Zunge::N,абз,хэл
6,Lippe::N,ақьышə,уруул
7,Wange::N,аӡамҩа,хацар
8,Gesicht::N,аҿы,царай
9,Gesicht::N,аҿы,нүүр
10,Stirn::N,алахь,дух
11,Haar::N,ахəыц,үс
12,Schnurrbart::N,аҧаҵа,дээд сахал
13,Schnurrbart::N,аҧаҵа,живэр сахал
14,Bart::N,ажакьа,сахал
15,Kinn::N,ацламкəыгə,эрүү
16,Kiefer[Anatomie]::N,ацламҳəа,эрүү
17,Kehle::N,ахəда,хоолой
18,Hals::N,ахəда,хүзүү
19,Genick::N,ахəдаџьал,шил
20,Genick::N,ахəдаџьал,хүзүү
21,Kopf::N,ахы,толгой
22,Rücken::N,азқəа,ар
23,Rücken::N,азқəа,нуруу
24,Bauch::N,амгəа,хэвлий
25,Bauch::N,амгəа,гэдэс
26,Nabel::N,аҷапан,хүйс
27,Busen::N,агəыҧҳəы,хөх
28,Brust::N,агəышҧы,цээж
29,Schulter::N,ажəҩахыр,мөр
30,Schulter::N,ажəҩахыр,бугалга
31,Arm::N,амахəар,гар
32,Ellenbogen::N,амашьхəылҵ,тохой
33,Hand::N,анапы,гар
34,Hand::N,анапы,алга
35,Handfläche::N,анапсаргəыҵа,алга
36,Finger::N,анацəа,хуруу
37,Fingernagel::N,анапхыц,хурууны хумс
38,Nagel[Anatomie]::N,ашьапхыц,хумс
39,Zeh::N,ашьацəа,хуруу
40,Fuß::N,ашьапсыргəыҵа,хөл
41,Ferse::N,ашьхəа,өсгий
42,Knie::N,ашьамхы,өвдөг
43,Oberschenkel::N,ауаҭəа,гуя
44,Bein::N,ашьапы,хөл
45,Körper::N,ацəеижь,бие
46,Haut::N,ацəа,арьс
47,Blut::N,ашьа,цус
48,Ader::N,ада,судас
49,Sehne::N,адаш,бүлх
50,Sehne::N,адаш,шандас
51,Knochen::N,абаҩ,яс
52,Gehirn::N,ахшлыбаҩ,тархи
53,Gehirn::N,ахшыбаҩ,тархи
54,Herz::N,агəы,зүрх
55,Magen::N,аца,ходоод
56,Magen::N,ацар,ходоод
57,Leber::N,агəаҵəа,элэг
58,Atem::N,аҧсыҧлагаҩгара,амьсгаа
59,Hunger::N,амла,өлсгөлөн
60,Träne::N,алабжыш,нулимс
61,Geschmack::N,агьама,амт
62,Geruch::N,афҩы,үнэр
63,Schlaf::N,ацəа,нойр
64,Traum::N,аҧхыӡ,зүүд
65,Himmel::N,ажəҩан,тэнгэр
66,Himmel::N,ажəҩан,огторгуй
67,Sonne::N,амра,нар
68,Mond::N,амза,сар
69,Stern::N,аеҵəа,од
70,Luft::N,аҳаир,агаар
71,Wind::N,аҧша,салхи
72,Welle::N,ацəқəырҧа,долгио
73,Welle::N,ацəқəырҧа,давалгаа
74,Wasser::N,аӡы,ус
75,Stein::N,ахаҳə,чулуу
76,Boden::N,адгьыл,хөрс
77,Erde::N,адгьыл,газар
78,Erde::N,адгьыл,шороо
79,Staub::N,асаба,тоос
80,Rauch::N,алҩа,утаа
81,Funke::N,акəиц,оч
82,Funke::N,ацҧхь,оч
83,Feuer::N,амца,гал
84,Licht::N,алашара,гэрэл
85,Licht::N,алашара,гэгээ
86,Schatten::N,ашəшьыра,сүүдэр
87,Wetter::N,амш,тэнгэр
88,Wetter::N,амш,цаг уур
89,Nebel::N,анаҟəа,будан
90,Wolke::N,аҧсҭҳəа,үүл
91,Regen::N,ақəа,бороо
92,Schnee::N,асы,цас
93,Eis::N,аҵаа,мөс
94,Frost::N,аҵаа,хүйт
95,Kälte::N,ахьҭа,хүйт
96,Hitze::N,ашоура,халуун
97,Raureif::N,аҵааҧшқа,цан
98,Raureif::N,аҵааҧшқа,хяруу
